Time	Body_3X	Body_3Z	Body_3Y	Body_4X	Body_4Y	Body_4Z	
0	-4.53109	0	2.75	-5.83013	3.5	0	
0.001	-4.531094	0	2.749992	-5.830133	3.499992	0	
0.002	-4.531102	0	2.749978	-5.830142	3.499975	0	
0.003	-4.531114	0	2.749956	-5.830156	3.49995	0	
0.004	-4.53113	0	2.749927	-5.830175	3.499917	0	
0.005	-4.53115	0	2.749892	-5.830199	3.499875	0	
0.006	-4.531175	0	2.74985	-5.830229	3.499824	0	
0.007	-4.531203	0	2.749802	-5.830264	3.499763	0	
0.008	-4.531236	0	2.749747	-5.830304	3.499695	0	
0.009000001	-4.531272	0	2.749685	-5.830349	3.499617	0	
0.01	-4.531313	0	2.749617	-5.8304	3.49953	0	
0.011	-4.531358	0	2.749542	-5.830457	3.499435	0	
0.012	-4.531406	0	2.74946	-5.830518	3.499331	0	
0.013	-4.531459	0	2.749372	-5.830585	3.499218	0	
0.014	-4.531516	0	2.749276	-5.830657	3.499096	0	
0.015	-4.531577	0	2.749175	-5.830734	3.498965	0	
0.016	-4.531642	0	2.749066	-5.830817	3.498826	0	
0.017	-4.531711	0	2.748951	-5.830905	3.498678	0	
0.018	-4.531785	0	2.748829	-5.830999	3.498521	0	
0.019	-4.531862	0	2.748701	-5.831098	3.498356	0	
0.02	-4.531943	0	2.748565	-5.831202	3.498182	0	
0.021	-4.532029	0	2.748423	-5.83131	3.497999	0	
0.022	-4.532119	0	2.748274	-5.831424	3.497808	0	
0.023	-4.532213	0	2.748119	-5.831543	3.497607	0	
0.024	-4.53231	0	2.747956	-5.831668	3.497398	0	
0.025	-4.532413	0	2.747787	-5.831798	3.497181	0	
0.026	-4.532519	0	2.747612	-5.831933	3.496955	0	
0.027	-4.532629	0	2.747429	-5.832073	3.49672	0	
0.028	-4.532743	0	2.74724	-5.832218	3.496476	0	
0.029	-4.532862	0	2.747044	-5.832369	3.496224	0	
0.03	-4.532984	0	2.746841	-5.832525	3.495963	0	
0.031	-4.533111	0	2.746631	-5.832686	3.495693	0	
0.032	-4.533242	0	2.746415	-5.832852	3.495415	0	
0.033	-4.533377	0	2.746192	-5.833024	3.495128	0	
0.034	-4.533515	0	2.745962	-5.833201	3.494833	0	
0.035	-4.533659	0	2.745725	-5.833383	3.494528	0	
0.036	-4.533806	0	2.745482	-5.83357	3.494215	0	
0.037	-4.533957	0	2.745232	-5.833763	3.493893	0	
0.038	-4.534112	0	2.744975	-5.833961	3.493563	0	
0.039	-4.534272	0	2.744711	-5.834164	3.493223	0	
0.04	-4.534435	0	2.744441	-5.834372	3.492876	0	
0.041	-4.534603	0	2.744164	-5.834585	3.492519	0	
0.042	-4.534774	0	2.74388	-5.834803	3.492154	0	
0.043	-4.53495	0	2.743589	-5.835027	3.49178	0	
0.044	-4.53513	0	2.743291	-5.835256	3.491397	0	
0.045	-4.535314	0	2.742987	-5.83549	3.491005	0	
0.046	-4.535502	0	2.742676	-5.835729	3.490605	0	
0.047	-4.535694	0	2.742358	-5.835974	3.490196	0	
0.048	-4.53589	0	2.742033	-5.836223	3.489778	0	
0.049	-4.53609	0	2.741702	-5.836478	3.489352	0	
0.05	-4.536294	0	2.741364	-5.836738	3.488917	0	
0.051	-4.536503	0	2.741019	-5.837003	3.488473	0	
0.052	-4.536715	0	2.740667	-5.837273	3.48802	0	
0.053	-4.536932	0	2.740309	-5.837549	3.487559	0	
0.054	-4.537152	0	2.739944	-5.83783	3.487089	0	
0.055	-4.537376	0	2.739571	-5.838116	3.48661	0	
0.056	-4.537605	0	2.739192	-5.838407	3.486123	0	
0.057	-4.537838	0	2.738807	-5.838703	3.485627	0	
0.058	-4.538075	0	2.738414	-5.839004	3.485122	0	
0.059	-4.538316	0	2.738015	-5.839311	3.484608	0	
0.06	-4.538561	0	2.737609	-5.839622	3.484086	0	
0.061	-4.53881	0	2.737196	-5.839939	3.483554	0	
0.062	-4.539063	0	2.736776	-5.840261	3.483014	0	
0.063	-4.53932	0	2.73635	-5.840588	3.482466	0	
0.064	-4.539581	0	2.735917	-5.84092	3.481908	0	
0.06500001	-4.539846	0	2.735476	-5.841258	3.481342	0	
0.066	-4.540115	0	2.73503	-5.8416	3.480767	0	
0.067	-4.540388	0	2.734576	-5.841948	3.480184	0	
0.068	-4.540665	0	2.734116	-5.842301	3.479591	0	
0.06900001	-4.540946	0	2.733648	-5.842659	3.47899	0	
0.07	-4.541232	0	2.733174	-5.843022	3.47838	0	
0.071	-4.541521	0	2.732693	-5.84339	3.477761	0	
0.072	-4.541814	0	2.732206	-5.843764	3.477134	0	
0.07300001	-4.542112	0	2.731711	-5.844142	3.476497	0	
0.074	-4.542413	0	2.73121	-5.844526	3.475852	0	
0.075	-4.542719	0	2.730702	-5.844915	3.475199	0	
0.07600001	-4.543028	0	2.730187	-5.845309	3.474536	0	
0.07700001	-4.543342	0	2.729665	-5.845708	3.473865	0	
0.078	-4.543659	0	2.729137	-5.846112	3.473185	0	
0.079	-4.543981	0	2.728601	-5.846521	3.472496	0	
0.08000001	-4.544306	0	2.728059	-5.846935	3.471798	0	
0.081	-4.544636	0	2.72751	-5.847355	3.471092	0	
0.082	-4.54497	0	2.726954	-5.847779	3.470376	0	
0.083	-4.545307	0	2.726391	-5.848209	3.469652	0	
0.08400001	-4.545649	0	2.725822	-5.848644	3.468919	0	
0.085	-4.545994	0	2.725245	-5.849083	3.468178	0	
0.086	-4.546344	0	2.724662	-5.849528	3.467427	0	
0.087	-4.546698	0	2.724072	-5.849978	3.466668	0	
0.08800001	-4.547055	0	2.723475	-5.850433	3.465899	0	
0.089	-4.547417	0	2.722871	-5.850893	3.465123	0	
0.09	-4.547782	0	2.72226	-5.851359	3.464337	0	
0.09100001	-4.548152	0	2.721643	-5.851829	3.463543	0	
0.09200001	-4.548525	0	2.721018	-5.852304	3.462739	0	
0.093	-4.548903	0	2.720387	-5.852785	3.461927	0	
0.094	-4.549284	0	2.719749	-5.853271	3.461107	0	
0.09500001	-4.54967	0	2.719104	-5.853761	3.460277	0	
0.096	-4.55006	0	2.718452	-5.854257	3.459438	0	
0.097	-4.550453	0	2.717793	-5.854757	3.458591	0	
0.098	-4.550851	0	2.717128	-5.855263	3.457735	0	
0.09900001	-4.551252	0	2.716456	-5.855774	3.456869	0	
0.1	-4.551658	0	2.715776	-5.85629	3.455995	0	
0.101	-4.552067	0	2.71509	-5.856811	3.455112	0	
0.102	-4.55248	0	2.714397	-5.857337	3.454221	0	
0.103	-4.552897	0	2.713697	-5.857868	3.45332	0	
0.104	-4.553319	0	2.712991	-5.858404	3.452411	0	
0.105	-4.553744	0	2.712277	-5.858945	3.451493	0	
0.106	-4.554173	0	2.711556	-5.859491	3.450566	0	
0.107	-4.554606	0	2.710829	-5.860042	3.44963	0	
0.108	-4.555043	0	2.710095	-5.860598	3.448685	0	
0.109	-4.555484	0	2.709353	-5.861159	3.447731	0	
0.11	-4.555929	0	2.708605	-5.861725	3.446769	0	
0.111	-4.556377	0	2.70785	-5.862297	3.445797	0	
0.112	-4.55683	0	2.707088	-5.862873	3.444817	0	
0.113	-4.557287	0	2.706319	-5.863454	3.443828	0	
0.114	-4.557748	0	2.705544	-5.86404	3.44283	0	
0.115	-4.558212	0	2.704761	-5.864631	3.441823	0	
0.116	-4.558681	0	2.703971	-5.865227	3.440807	0	
0.117	-4.559153	0	2.703175	-5.865829	3.439782	0	
0.118	-4.559629	0	2.702371	-5.866435	3.438749	0	
0.119	-4.56011	0	2.701561	-5.867045	3.437706	0	
0.12	-4.560594	0	2.700743	-5.867661	3.436655	0	
0.121	-4.561081	0	2.699919	-5.868282	3.435594	0	
0.122	-4.561574	0	2.699088	-5.868908	3.434525	0	
0.123	-4.562069	0	2.69825	-5.869539	3.433447	0	
0.124	-4.562569	0	2.697405	-5.870175	3.432359	0	
0.125	-4.563073	0	2.696553	-5.870816	3.431263	0	
0.126	-4.56358	0	2.695694	-5.871462	3.430158	0	
0.127	-4.564091	0	2.694829	-5.872113	3.429044	0	
0.128	-4.564607	0	2.693956	-5.872768	3.427922	0	
0.129	-4.565126	0	2.693076	-5.873429	3.42679	0	
0.13	-4.565649	0	2.69219	-5.874094	3.425649	0	
0.131	-4.566176	0	2.691296	-5.874765	3.424499	0	
0.132	-4.566707	0	2.690396	-5.87544	3.423341	0	
0.133	-4.567241	0	2.689488	-5.876121	3.422173	0	
0.134	-4.56778	0	2.688574	-5.876806	3.420996	0	
0.135	-4.568322	0	2.687652	-5.877496	3.419811	0	
