Time	BodyY	BodyZ	BodyX	
0.145	0.4161613	-0.11	-4.821552E-16	
0.146	0.414729	-0.11	-4.775256E-16	
0.147	0.4132869	-0.11	-4.919728E-16	
0.148	0.411835	-0.11	-4.937746E-16	
0.149	0.4103734	-0.11	-4.91224E-16	
0.15	0.4089018	-0.11	-4.870551E-16	
0.151	0.4074205	-0.11	-4.821681E-16	
0.152	0.4059294	-0.11	-4.96641E-16	
0.153	0.4044285	-0.11	-4.985665E-16	
0.154	0.4029178	-0.11	-4.961735E-16	
0.155	0.4013972	-0.11	-4.921813E-16	
0.156	0.3998669	-0.11	-4.87484E-16	
0.157	0.3983267	-0.11	-4.823751E-16	
0.158	0.3967767	-0.11	-4.967254E-16	
0.159	0.3952169	-0.11	-4.985116E-16	
0.16	0.3936473	-0.11	-4.959304E-16	
0.161	0.3920679	-0.11	-4.916999E-16	
0.162	0.3904787	-0.11	-4.867235E-16	
0.163	0.3888797	-0.11	-5.010802E-16	
0.164	0.3872708	-0.11	-5.028591E-16	
0.165	0.3856522	-0.11	-5.002849E-16	
0.166	0.3840238	-0.11	-4.960792E-16	
0.167	0.3823855	-0.11	-4.911489E-16	
0.168	0.3807374	-0.11	-4.858026E-16	
0.169	0.3790795	-0.11	-4.999238E-16	
0.17	0.3774118	-0.11	-5.015411E-16	
0.171	0.3757343	-0.11	-4.988601E-16	
0.172	0.374047	-0.11	-4.945977E-16	
0.173	0.3723499	-0.11	-4.896558E-16	
0.174	0.3706429	-0.11	-4.8434E-16	
0.175	0.3689262	-0.11	-4.787539E-16	
0.176	0.3671996	-0.11	-4.729365E-16	
0.177	0.3654632	-0.11	-4.86689E-16	
0.178	0.363717	-0.11	-4.880144E-16	
0.179	0.3619611	-0.11	-4.851103E-16	
0.18	0.3601953	-0.11	-4.80687E-16	
0.181	0.3584197	-0.11	-4.756471E-16	
0.182	0.3566343	-0.11	-4.70297E-16	
0.183	0.3548391	-0.11	-4.647466E-16	
0.184	0.353034	-0.11	-4.590408E-16	
0.185	0.3512191	-0.11	-4.532035E-16	
0.186	0.3493945	-0.11	-4.472512E-16	
0.187	0.34756	-0.11	-4.411982E-16	
0.188	0.3457157	-0.11	-4.548305E-16	
0.189	0.3438617	-0.11	-4.560973E-16	
0.19	0.3419977	-0.11	-4.531764E-16	
0.191	0.340124	-0.11	-4.487703E-16	
0.192	0.3382405	-0.11	-4.437775E-16	
0.193	0.3363472	-0.11	-4.385022E-16	
0.194	0.3344441	-0.11	-4.330532E-16	
0.195	0.3325311	-0.11	-4.472471E-16	
0.196	0.3306084	-0.11	-4.490403E-16	
0.197	0.3286758	-0.11	-4.466126E-16	
0.198	0.3267334	-0.11	-4.42668E-16	
0.199	0.3247812	-0.11	-4.381067E-16	
0.2	0.3228192	-0.11	-4.332348E-16	
0.201	0.3208474	-0.11	-4.281625E-16	
0.202	0.3188658	-0.11	-4.427081E-16	
0.203	0.3168744	-0.11	-4.448242E-16	
0.204	0.3148731	-0.11	-4.426903E-16	
0.205	0.3128621	-0.11	-4.390122E-16	
0.206	0.3108412	-0.11	-4.34693E-16	
0.207	0.3088106	-0.11	-4.300416E-16	
0.208	0.3067701	-0.11	-4.449432E-16	
0.209	0.3047198	-0.11	-4.473702E-16	
0.21	0.3026597	-0.11	-4.455102E-16	
0.211	0.3005898	-0.11	-4.420739E-16	
0.212	0.29851	-0.11	-4.379685E-16	
0.213	0.2964205	-0.11	-4.335064E-16	
0.214	0.2943212	-0.11	-4.288029E-16	
0.215	0.292212	-0.11	-4.436809E-16	
0.216	0.2900931	-0.11	-4.460892E-16	
0.217	0.2879643	-0.11	-4.442084E-16	
0.218	0.2858257	-0.11	-4.407486E-16	
0.219	0.2836773	-0.11	-4.366176E-16	
0.22	0.2815191	-0.11	-4.321292E-16	
0.221	0.2793511	-0.11	-4.274001E-16	
0.222	0.2771733	-0.11	-4.42254E-16	
0.223	0.2749857	-0.11	-4.446378E-16	
0.224	0.2727883	-0.11	-4.427308E-16	
0.225	0.270581	-0.11	-4.392434E-16	
0.226	0.2683639	-0.11	-4.350842E-16	
0.227	0.2661371	-0.11	-4.305675E-16	
0.228	0.2639004	-0.11	-4.455837E-16	
0.229	0.2616539	-0.11	-4.48101E-16	
0.23	0.2593976	-0.11	-4.463062E-16	
0.231	0.2571315	-0.11	-4.429132E-16	
0.232	0.2548555	-0.11	-4.388327E-16	
0.233	0.2525698	-0.11	-4.343813E-16	
0.234	0.2502743	-0.11	-4.296785E-16	
0.235	0.2479689	-0.11	-4.445506E-16	
0.236	0.2456538	-0.11	-4.469425E-16	
0.237	0.2433288	-0.11	-4.450334E-16	
0.238	0.240994	-0.11	-4.415342E-16	
0.239	0.2386494	-0.11	-4.373547E-16	
0.24	0.236295	-0.11	-4.328112E-16	
0.241	0.2339308	-0.11	-4.477958E-16	
0.242	0.2315568	-0.11	-4.50275E-16	
0.243	0.229173	-0.11	-4.484357E-16	
0.244	0.2267793	-0.11	-4.449921E-16	
0.245	0.2243759	-0.11	-4.408561E-16	
0.246	0.2219626	-0.11	-4.363452E-16	
0.247	0.2195395	-0.11	-4.513527E-16	
0.248	0.2171067	-0.11	-4.539107E-16	
0.249	0.214664	-0.11	-4.522255E-16	
0.25	0.2122115	-0.11	-4.490028E-16	
0.251	0.2097491	-0.11	-4.451448E-16	
0.252	0.207277	-0.11	-4.409445E-16	
0.253	0.2047951	-0.11	-4.36493E-16	
0.254	0.2023034	-0.11	-4.318145E-16	
0.255	0.1998018	-0.11	-4.466873E-16	
0.256	0.1972905	-0.11	-4.491038E-16	
0.257	0.1947693	-0.11	-4.472591E-16	
0.258	0.1922383	-0.11	-4.438528E-16	
0.259	0.1896975	-0.11	-4.397716E-16	
0.26	0.1871469	-0.11	-4.353069E-16	
0.261	0.1845865	-0.11	-4.503285E-16	
0.262	0.1820163	-0.11	-4.528538E-16	
0.263	0.1794363	-0.11	-4.510856E-16	
0.264	0.1768464	-0.11	-4.477271E-16	
0.265	0.1742467	-0.11	-4.436682E-16	
0.266	0.1716373	-0.11	-4.392033E-16	
0.267	0.169018	-0.11	-4.344495E-16	
0.268	0.1663889	-0.11	-4.492217E-16	
0.269	0.1637501	-0.11	-4.515185E-16	
0.27	0.1611014	-0.11	-4.495313E-16	
0.271	0.1584428	-0.11	-4.459699E-16	
0.272	0.1557745	-0.11	-4.417269E-16	
0.273	0.1530964	-0.11	-4.370976E-16	
0.274	0.1504084	-0.11	-4.321952E-16	
0.275	0.1477107	-0.11	-4.270723E-16	
0.276	0.1450031	-0.11	-4.415326E-16	
0.277	0.1422857	-0.11	-4.435417E-16	
0.278	0.1395586	-0.11	-4.412861E-16	
0.279	0.1368216	-0.11	-4.374779E-16	
0.28	0.1340748	-0.11	-4.330251E-16	
0.281	0.1313182	-0.11	-4.282399E-16	
0.282	0.1285518	-0.11	-4.232366E-16	
0.283	0.1257755	-0.11	-4.180635E-16	
0.284	0.1229895	-0.11	-4.32518E-16	
0.285	0.1201936	-0.11	-4.345616E-16	
0.286	0.117388	-0.11	-4.323774E-16	
0.287	0.1145725	-0.11	-4.286684E-16	
0.288	0.1117472	-0.11	-4.243307E-16	
0.289	0.1089121	-0.11	-4.196646E-16	
0.29	0.1060672	-0.11	-4.345465E-16	
0.291	0.1032125	-0.11	-4.369395E-16	
0.292	0.100348	-0.11	-4.350317E-16	
0.293	0.09747365	-0.11	-4.315269E-16	
0.294	0.09458951	-0.11	-4.470971E-16	
0.295	0.09169555	-0.11	-4.49967E-16	
0.296	0.0887918	-0.11	-4.484091E-16	
0.297	0.08587822	-0.11	-4.451685E-16	
0.298	0.08295485	-0.11	-4.411724E-16	
0.299	0.08002165	-0.11	-4.367492E-16	
0.3	0.07707865	-0.11	-4.320308E-16	
0.301	0.07412583	-0.11	-4.468434E-16	
0.302	0.07116321	-0.11	-4.491621E-16	
0.303	0.06819078	-0.11	-4.471789E-16	
0.304	0.06531845	-0.1100208	2.257375E-13	
0.305	0.0625506	-0.1100769	1.454068E-12	
0.306	0.05986896	-0.110173	3.048696E-12	
0.307	0.05725558	-0.1103061	5.017013E-12	
0.308	0.05469758	-0.1104695	7.388717E-12	
0.309	0.0521871	-0.1106547	9.927149E-12	
0.31	0.05066803	-0.1108878	1.329641E-10	
0.311	0.04979646	-0.1110857	5.375748E-10	
0.312	0.04934536	-0.1112388	1.341457E-09	
0.313	0.04916629	-0.1113542	2.584939E-09	
0.314	0.04916209	-0.111441	4.239172E-09	
0.315	0.04926889	-0.1115071	6.256124E-09	
0.316	0.04944461	-0.1115584	8.569431E-09	
0.317	0.04966196	-0.1115998	1.112189E-08	
0.318	0.04990315	-0.1116351	1.385863E-08	
0.319	0.0501566	-0.1116674	1.672493E-08	
0.32	0.05041754	-0.1116984	1.950942E-08	
0.321	0.0506851	-0.111729	2.212269E-08	
0.322	0.05095849	-0.1117593	2.452801E-08	
0.323	0.05123696	-0.1117897	2.671298E-08	
0.324	0.05151975	-0.1118203	2.867273E-08	
0.325	0.05180609	-0.1118511	3.040945E-08	
0.326	0.05209522	-0.1118823	3.19292E-08	
0.327	0.05238637	-0.1119139	3.323667E-08	
0.328	0.05267882	-0.111946	3.433595E-08	
0.329	0.05297184	-0.1119785	3.523561E-08	
0.33	0.05326471	-0.1120115	3.594272E-08	
0.331	0.05355677	-0.112045	3.646849E-08	
0.332	0.05384743	-0.1120787	3.682035E-08	
0.333	0.05413612	-0.1121125	3.700707E-08	
0.334	0.0544223	-0.1121464	3.703841E-08	
0.335	0.05470541	-0.1121805	3.692405E-08	
0.336	0.05498492	-0.1122149	3.667258E-08	
0.337	0.05526031	-0.1122496	3.629143E-08	
0.338	0.05553507	-0.1122978	3.589797E-08	
0.339	0.05581005	-0.1123574	3.548761E-08	
0.34	0.05608521	-0.1124268	3.505852E-08	
0.341	0.05636019	-0.1125045	3.460983E-08	
0.342	0.05663455	-0.1125892	3.414111E-08	
0.343	0.05690781	-0.1126799	3.365182E-08	
0.344	0.05717947	-0.1127756	3.314167E-08	
0.345	0.05744904	-0.1128753	3.261036E-08	
0.346	0.05771605	-0.1129784	3.205774E-08	
