Time	RootZ	RootX	RootY	
0	0	0	0.8	
0.0001	0	0	0.7999999	
0.0002	0	0	0.7999997	
0.0003	0	0	0.7999994	
0.0004	0	0	0.7999991	
0.0005	0	0	0.7999986	
0.0006	0	0	0.799998	
0.0007	0	0	0.7999973	
0.0008	0	0	0.7999966	
0.0009	0	0	0.7999957	
0.0009999999	0	0	0.7999946	
0.0011	0	0	0.7999936	
0.0012	0	0	0.7999924	
0.0013	0	0	0.7999911	
0.0014	0	0	0.7999897	
0.0015	0	0	0.7999882	
0.0016	0	0	0.7999867	
0.0017	0	0	0.799985	
0.0018	0	0	0.7999832	
0.0019	0	0	0.7999814	
0.002	0	0	0.7999794	
0.0021	0	0	0.7999774	
0.0022	0	0	0.7999752	
0.0023	0	0	0.799973	
0.0024	0	0	0.7999706	
0.0025	0	0	0.7999682	
0.0026	0	0	0.7999657	
0.0027	0	0	0.799963	
0.0028	0	0	0.7999603	
0.0029	0	0	0.7999574	
0.003	0	0	0.7999544	
0.0031	0	0	0.7999514	
0.0032	0	0	0.7999482	
0.0033	0	0	0.799945	
0.0034	0	0	0.7999417	
0.0035	0	0	0.7999382	
0.0036	0	0	0.7999347	
0.0037	0	0	0.799931	
0.0038	0	0	0.7999274	
0.0039	0	0	0.7999235	
0.004	0	0	0.7999196	
0.0041	0	0	0.7999156	
0.0042	0	0	0.7999115	
0.0043	0	0	0.7999073	
0.0044	0	0	0.799903	
0.0045	0	0	0.7998986	
0.0046	0	0	0.799894	
0.0047	0	0	0.7998894	
0.0048	0	0	0.7998847	
0.0049	0	0	0.7998798	
0.005	0	0	0.799875	
0.0051	0	0	0.79987	
0.0052	0	0	0.7998648	
0.0053	0	0	0.7998596	
0.0054	0	0	0.7998543	
0.0055	0	0	0.799849	
0.0056	0	0	0.7998435	
0.0057	0	0	0.7998379	
0.0058	0	0	0.7998322	
0.0059	0	0	0.7998264	
0.006	0	0	0.7998206	
0.0061	0	0	0.7998146	
0.0062	0	0	0.7998085	
0.0063	0	0	0.7998023	
0.0064	0	0	0.799796	
0.0065	0	0	0.7997896	
0.0066	0	0	0.7997832	
0.0067	0	0	0.7997766	
0.0068	0	0	0.7997699	
