Time	Vm	Vth	
0.0287	-0.06	-40	
0.0288	-0.06	-40	
0.0289	-0.06	-40	
0.029	-0.06	-40	
0.0291	-0.06	-40	
0.0292	-0.06	-40	
0.0293	-0.06	-40	
0.0294	-0.06	-40	
0.0295	-0.06	-40	
0.0296	-0.06	-40	
0.0297	-0.06	-40	
0.0298	-0.06	-40	
0.0299	-0.06	-40	
0.03	-0.06	-40	
0.0301	-0.06	-40	
0.0302	-0.06	-40	
0.0303	-0.06	-40	
0.0304	-0.06	-40	
0.0305	-0.06	-40	
0.0306	-0.06	-40	
0.0307	-0.06	-40	
0.0308	-0.06	-40	
0.0309	-0.06	-40	
0.031	-0.06	-40	
0.0311	-0.06	-40	
0.0312	-0.06	-40	
0.0313	-0.06	-40	
0.0314	-0.06	-40	
0.0315	-0.06	-40	
0.0316	-0.06	-40	
0.0317	-0.06	-40	
0.0318	-0.06	-40	
0.0319	-0.06	-40	
0.032	-0.06	-40	
0.0321	-0.06	-40	
0.0322	-0.06	-40	
0.0323	-0.06	-40	
0.0324	-0.06	-40	
0.0325	-0.06	-40	
0.0326	-0.06	-40	
0.0327	-0.06	-40	
0.0328	-0.06	-40	
0.0329	-0.06	-40	
0.033	-0.06	-40	
0.0331	-0.06	-40	
0.0332	-0.06	-40	
0.0333	-0.06	-40	
0.0334	-0.06	-40	
0.0335	-0.06	-40	
0.0336	-0.06	-40	
0.0337	-0.06	-40	
0.0338	-0.06	-40	
0.0339	-0.06	-40	
0.034	-0.06	-40	
0.0341	-0.06	-40	
0.0342	-0.06	-40	
0.0343	-0.06	-40	
0.0344	-0.06	-40	
0.0345	-0.06	-40	
0.0346	-0.06	-40	
0.0347	-0.06	-40	
0.0348	-0.06	-40	
0.0349	-0.06	-40	
0.035	-0.06	-40	
0.0351	-0.06	-40	
0.0352	-0.06	-40	
0.0353	-0.06	-40	
0.0354	-0.06	-40	
0.0355	-0.06	-40	
0.0356	-0.06	-40	
0.0357	-0.06	-40	
0.0358	-0.06	-40	
0.0359	-0.06	-40	
0.036	-0.06	-40	
0.0361	-0.06	-40	
0.0362	-0.06	-40	
0.0363	-0.06	-40	
0.0364	-0.06	-40	
0.0365	-0.06	-40	
0.0366	-0.06	-40	
0.0367	-0.06	-40	
0.0368	-0.06	-40	
0.0369	-0.06	-40	
0.037	-0.06	-40	
0.0371	-0.06	-40	
0.0372	-0.06	-40	
0.0373	-0.06	-40	
0.0374	-0.06	-40	
0.0375	-0.06	-40	
0.0376	-0.06	-40	
0.0377	-0.06	-40	
0.0378	-0.06	-40	
0.0379	-0.06	-40	
0.038	-0.06	-40	
0.0381	-0.06	-40	
0.0382	-0.06	-40	
0.0383	-0.06	-40	
0.0384	-0.06	-40	
0.0385	-0.06	-40	
0.0386	-0.06	-40	
0.0387	-0.06	-40	
0.0388	-0.06	-40	
0.0389	-0.06	-40	
0.039	-0.06	-40	
0.0391	-0.06	-40	
0.0392	-0.06	-40	
0.0393	-0.06	-40	
0.0394	-0.06	-40	
0.0395	-0.06	-40	
0.0396	-0.06	-40	
0.0397	-0.06	-40	
0.0398	-0.06	-40	
0.0399	-0.06	-40	
0.04	-0.06	-40	
0.0401	-0.06	-40	
0.0402	-0.06	-40	
0.0403	-0.06	-40	
0.0404	-0.06	-40	
0.0405	-0.06	-40	
0.0406	-0.06	-40	
0.0407	-0.06	-40	
0.0408	-0.06	-40	
0.0409	-0.06	-40	
0.041	-0.06	-40	
0.0411	-0.06	-40	
0.0412	-0.06	-40	
0.0413	-0.06	-40	
0.0414	-0.06	-40	
0.0415	-0.06	-40	
0.0416	-0.06	-40	
0.0417	-0.06	-40	
0.0418	-0.06	-40	
0.0419	-0.06	-40	
0.042	-0.06	-40	
0.0421	-0.06	-40	
0.0422	-0.06	-40	
0.0423	-0.06	-40	
0.0424	-0.06	-40	
0.0425	-0.06	-40	
0.0426	-0.06	-40	
0.0427	-0.06	-40	
0.0428	-0.06	-40	
0.0429	-0.06	-40	
0.043	-0.06	-40	
0.0431	-0.06	-40	
0.0432	-0.06	-40	
0.0433	-0.06	-40	
0.0434	-0.06	-40	
0.0435	-0.06	-40	
0.0436	-0.06	-40	
0.0437	-0.06	-40	
0.0438	-0.06	-40	
0.0439	-0.06	-40	
0.044	-0.06	-40	
0.0441	-0.06	-40	
0.0442	-0.06	-40	
0.0443	-0.06	-40	
0.0444	-0.06	-40	
0.0445	-0.06	-40	
0.0446	-0.06	-40	
0.0447	-0.06	-40	
0.0448	-0.06	-40	
0.0449	-0.06	-40	
0.045	-0.06	-40	
0.0451	-0.06	-40	
0.0452	-0.06	-40	
0.0453	-0.06	-40	
0.0454	-0.06	-40	
0.0455	-0.06	-40	
0.0456	-0.06	-40	
0.0457	-0.06	-40	
0.0458	-0.06	-40	
0.0459	-0.06	-40	
0.046	-0.06	-40	
0.0461	-0.06	-40	
0.0462	-0.06	-40	
0.0463	-0.06	-40	
0.0464	-0.06	-40	
0.0465	-0.06	-40	
0.0466	-0.06	-40	
0.0467	-0.06	-40	
0.0468	-0.06	-40	
0.0469	-0.06	-40	
0.047	-0.06	-40	
0.0471	-0.06	-40	
0.0472	-0.06	-40	
0.0473	-0.06	-40	
0.0474	-0.06	-40	
0.0475	-0.06	-40	
0.0476	-0.06	-40	
0.0477	-0.06	-40	
0.0478	-0.06	-40	
0.0479	-0.06	-40	
0.048	-0.06	-40	
0.0481	-0.06	-40	
0.0482	-0.06	-40	
0.0483	-0.06	-40	
0.0484	-0.06	-40	
0.0485	-0.06	-40	
0.0486	-0.06	-40	
0.0487	-0.06	-40	
0.0488	-0.06	-40	
0.0489	-0.06	-40	
0.049	-0.06	-40	
0.0491	-0.06	-40	
0.0492	-0.06	-40	
0.0493	-0.06	-40	
0.0494	-0.06	-40	
0.0495	-0.06	-40	
0.0496	-0.06	-40	
0.0497	-0.06	-40	
0.0498	-0.06	-40	
0.0499	-0.06	-40	
0.05	-0.05940596	-39.99823	
0.0501	-0.05882369	-39.99473	
0.0502	-0.05825294	-39.98957	
0.0503	-0.05769349	-39.98279	
0.0504	-0.05714513	-39.97444	
0.0505	-0.05660762	-39.96457	
0.0506	-0.05608075	-39.95322	
0.0507	-0.05556431	-39.94044	
0.0508	-0.05505811	-39.92628	
0.0509	-0.05456193	-39.91079	
0.051	-0.05407557	-39.89399	
0.0511	-0.05359884	-39.87594	
0.0512	-0.05313155	-39.85667	
0.0513	-0.05267352	-39.83623	
0.0514	-0.05222455	-39.81465	
0.0515	-0.05178448	-39.79197	
0.0516	-0.05135312	-39.76823	
0.0517	-0.0509303	-39.74346	
0.0518	-0.05051585	-39.7177	
0.0519	-0.0501096	-39.69099	
0.052	-0.04971141	-39.66335	
0.0521	-0.04932109	-39.63482	
0.0522	-0.04893851	-39.60544	
0.0523	-0.0485635	-39.57523	
0.0524	-0.04819592	-39.54422	
0.0525	-0.04783562	-39.51244	
0.0526	-0.04748245	-39.47993	
0.0527	-0.04713627	-39.4467	
0.0528	-0.04679695	-39.4128	
0.0529	-0.04646435	-39.37824	
0.053	-0.04613833	-39.34305	
0.0531	-0.04581877	-39.30725	
0.0532	-0.04550554	-39.27088	
0.0533	-0.04519851	-39.23395	
0.0534	-0.04489756	-39.19649	
0.0535	-0.04460257	-39.15852	
0.0536	-0.04431342	-39.12007	
0.0537	-0.04403	-39.08115	
0.0538	-0.04375218	-39.0418	
0.0539	-0.04347987	-39.00202	
0.054	-0.04321295	-38.96184	
0.0541	-0.04295132	-38.92128	
0.0542	-0.04269486	-38.88035	
0.0543	-0.04244349	-38.83908	
0.0544	-0.04219709	-38.79749	
0.0545	-0.04195558	-38.7556	
0.0546	-0.04171884	-38.71341	
0.0547	-0.04148679	-38.67095	
0.0548	-0.04125934	-38.62823	
0.0549	-0.04103639	-38.58527	
0.055	-0.04081786	-38.54209	
0.0551	-0.04060365	-38.4987	
0.0552	-0.04039368	-38.45511	
0.0553	-0.04018787	-38.41134	
0.0554	-0.03998613	-38.36741	
0.0555	-0.0397884	-38.32332	
0.0556	-0.03959458	-38.27909	
0.0557	-0.03940459	-38.23474	
0.0558	-0.03921836	-38.19027	
0.0559	-0.03903583	-38.1457	
0.056	-0.03885691	-38.10104	
0.0561	-0.03868153	-38.0563	
