Time	Fy	Fx	Fz	Vz	Vx	Vy	Pz	Px	Py	
0.07700001	-0.9364321	0	0	0	0	-0.06761069	0	0	1.497343	
0.078	-0.9352883	0	0	0	0	-0.06846095	0	0	1.497274	
0.079	-0.9341313	0	0	0	0	-0.06931016	0	0	1.497205	
0.08000001	-0.932961	0	0	0	0	-0.0701583	0	0	1.497135	
0.081	-0.9317782	0	0	0	0	-0.07100537	0	0	1.497064	
0.082	-0.930582	0	0	0	0	-0.07185137	0	0	1.496992	
0.083	-0.9293735	0	0	0	0	-0.07269625	0	0	1.496919	
0.08400001	-0.9281524	0	0	0	0	-0.07354002	0	0	1.496846	
0.085	-0.9269188	0	0	0	0	-0.07438268	0	0	1.496771	
0.086	-0.9256719	0	0	0	0	-0.0752242	0	0	1.496696	
0.087	-0.9244133	0	0	0	0	-0.07606458	0	0	1.49662	
0.08800001	-0.9231423	0	0	0	0	-0.0769038	0	0	1.496543	
0.089	-0.9218579	0	0	0	0	-0.07774185	0	0	1.496466	
0.09	-0.9205617	0	0	0	0	-0.07857873	0	0	1.496387	
0.09100001	-0.9192539	0	0	0	0	-0.07941441	0	0	1.496307	
0.09200001	-0.9179336	0	0	0	0	-0.0802489	0	0	1.496227	
0.093	-0.9166008	0	0	0	0	-0.08108217	0	0	1.496146	
0.094	-0.915257	0	0	0	0	-0.08191422	0	0	1.496064	
0.09500001	-0.9139009	0	0	0	0	-0.08274504	0	0	1.495982	
0.096	-0.9125329	0	0	0	0	-0.08357462	0	0	1.495898	
0.097	-0.9111532	0	0	0	0	-0.08440294	0	0	1.495814	
0.098	-0.9097618	0	0	0	0	-0.08522999	0	0	1.495728	
0.09900001	-0.9083586	0	0	0	0	-0.08605578	0	0	1.495642	
0.1	-0.9069439	0	0	0	0	-0.08688027	0	0	1.495555	
0.101	-0.9055181	0	0	0	0	-0.08770347	0	0	1.495468	
0.102	-0.9040813	0	0	0	0	-0.08852537	0	0	1.495379	
0.103	-0.9026328	0	0	0	0	-0.08934595	0	0	1.49529	
0.104	-0.9011727	0	0	0	0	-0.09016519	0	0	1.4952	
0.105	-0.8997024	0	0	0	0	-0.09098312	0	0	1.495109	
0.106	-0.8982212	0	0	0	0	-0.09179968	0	0	1.495017	
0.107	-0.8967282	0	0	0	0	-0.09261488	0	0	1.494924	
0.108	-0.8952251	0	0	0	0	-0.09342872	0	0	1.494831	
0.109	-0.893711	0	0	0	0	-0.09424119	0	0	1.494737	
0.11	-0.892186	0	0	0	0	-0.09505226	0	0	1.494642	
0.111	-0.8906509	0	0	0	0	-0.09586195	0	0	1.494546	
0.112	-0.8891047	0	0	0	0	-0.09667023	0	0	1.494449	
0.113	-0.8875485	0	0	0	0	-0.09747709	0	0	1.494352	
0.114	-0.8859821	0	0	0	0	-0.09828252	0	0	1.494253	
0.115	-0.8844055	0	0	0	0	-0.09908654	0	0	1.494154	
0.116	-0.8828188	0	0	0	0	-0.0998891	0	0	1.494054	
0.117	-0.8812219	0	0	0	0	-0.1006902	0	0	1.493954	
0.118	-0.8796149	0	0	0	0	-0.1014899	0	0	1.493852	
0.119	-0.8779985	0	0	0	0	-0.102288	0	0	1.49375	
0.12	-0.8763719	0	0	0	0	-0.1030847	0	0	1.493647	
0.121	-0.8747352	0	0	0	0	-0.10388	0	0	1.493543	
0.122	-0.8730899	0	0	0	0	-0.1046737	0	0	1.493438	
0.123	-0.8714345	0	0	0	0	-0.1054659	0	0	1.493333	
0.124	-0.8697696	0	0	0	0	-0.1062566	0	0	1.493226	
0.125	-0.8680954	0	0	0	0	-0.1070458	0	0	1.493119	
0.126	-0.8664118	0	0	0	0	-0.1078334	0	0	1.493011	
0.127	-0.8647196	0	0	0	0	-0.1086195	0	0	1.492903	
0.128	-0.863018	0	0	0	0	-0.1094041	0	0	1.492793	
0.129	-0.8613079	0	0	0	0	-0.1101871	0	0	1.492683	
0.13	-0.8595884	0	0	0	0	-0.1109685	0	0	1.492572	
0.131	-0.8578602	0	0	0	0	-0.1117484	0	0	1.492461	
0.132	-0.8561227	0	0	0	0	-0.1125267	0	0	1.492348	
