Time	Neural Step Time	Real Time	
0	4.041853E-05	0.0005613685	
0.0006	1.154815E-05	0.0006601693	
0.0012	1.090659E-05	0.0006980216	
0.0018	1.090659E-05	0.0007345908	
0.0024	1.090659E-05	0.0007698768	
0.003	1.090659E-05	0.0008058043	
0.0036	1.090659E-05	0.0008410904	
0.0042	1.090659E-05	0.000877018	
0.0048	1.090659E-05	0.000912304	
0.0054	1.090659E-05	0.00094759	
0.006	1.090659E-05	0.0009835176	
0.0066	1.090659E-05	0.001018804	
0.0072	1.026502E-05	0.00105409	
0.0078	1.026502E-05	0.001089376	
0.0084	1.090659E-05	0.001125303	
0.009	1.090659E-05	0.001160589	
0.0096	1.026502E-05	0.001196517	
0.0102	1.090659E-05	0.001232444	
0.0108	1.090659E-05	0.00126773	
0.0114	1.090659E-05	0.001303016	
0.012	1.347284E-05	0.001338303	
0.0126	1.090659E-05	0.001376796	
0.0132	1.026502E-05	0.001412082	
0.0138	7.698768E-06	0.001448651	
0.0144	7.698768E-06	0.001474314	
0.015	8.340332E-06	0.00150126	
0.0156	7.698768E-06	0.001526922	
0.0162	7.698768E-06	0.001552585	
0.0168	7.698768E-06	0.001578889	
0.0174	7.698768E-06	0.001604552	
0.018	7.698768E-06	0.001630214	
0.0186	7.698768E-06	0.001655877	
0.0192	7.698768E-06	0.001681539	
0.0198	7.698768E-06	0.001707843	
0.0204	7.698768E-06	0.001733506	
0.021	8.340332E-06	0.001759168	
0.0216	7.698768E-06	0.001784831	
0.0222	7.698768E-06	0.001811777	
0.0228	7.698768E-06	0.001836798	
0.0234	7.698768E-06	0.00186246	
0.024	7.698768E-06	0.001888123	
0.0246	7.698768E-06	0.001913785	
0.0252	7.698768E-06	0.001939448	
0.0258	7.698768E-06	0.00196511	
0.0264	7.698768E-06	0.001990773	
0.027	7.698768E-06	0.002016436	
0.0276	7.698768E-06	0.002042098	
0.0282	7.698768E-06	0.002067761	
0.0288	7.698768E-06	0.002093423	
0.0294	7.698768E-06	0.002119086	
