Time	Body_3X	Body_3Z	Body_3Y	Body_4X	Body_4Y	Body_4Z	
0.101	-2.818575	0	1.718319	-4.125965	2.453657	0	
0.102	-2.818959	0	1.717689	-4.126513	2.452735	0	
0.103	-2.819347	0	1.717053	-4.127067	2.451803	0	
0.104	-2.819738	0	1.716411	-4.127626	2.450863	0	
0.105	-2.820133	0	1.715762	-4.12819	2.449914	0	
0.106	-2.820531	0	1.715107	-4.128758	2.448955	0	
0.107	-2.820934	0	1.714446	-4.129333	2.447987	0	
0.108	-2.821339	0	1.713778	-4.129912	2.44701	0	
0.109	-2.821749	0	1.713104	-4.130497	2.446023	0	
0.11	-2.822162	0	1.712424	-4.131086	2.445027	0	
0.111	-2.822578	0	1.711737	-4.131681	2.444022	0	
0.112	-2.822998	0	1.711045	-4.132281	2.443008	0	
0.113	-2.823422	0	1.710345	-4.132886	2.441985	0	
0.114	-2.823849	0	1.70964	-4.133496	2.440952	0	
0.115	-2.824281	0	1.708928	-4.134111	2.43991	0	
0.116	-2.824715	0	1.70821	-4.134732	2.438859	0	
0.117	-2.825153	0	1.707485	-4.135357	2.437798	0	
0.118	-2.825595	0	1.706754	-4.135988	2.436728	0	
0.119	-2.826041	0	1.706017	-4.136624	2.435649	0	
0.12	-2.826489	0	1.705274	-4.137265	2.434561	0	
0.121	-2.826942	0	1.704524	-4.137911	2.433463	0	
0.122	-2.827398	0	1.703767	-4.138562	2.432356	0	
0.123	-2.827857	0	1.703005	-4.139218	2.43124	0	
0.124	-2.828321	0	1.702236	-4.139879	2.430115	0	
0.125	-2.828787	0	1.70146	-4.140545	2.428979	0	
0.126	-2.829257	0	1.700678	-4.141217	2.427835	0	
0.127	-2.829731	0	1.69989	-4.141893	2.426681	0	
0.128	-2.830208	0	1.699096	-4.142574	2.425518	0	
0.129	-2.830689	0	1.698295	-4.14326	2.424346	0	
0.13	-2.831173	0	1.697487	-4.143952	2.423164	0	
0.131	-2.831661	0	1.696674	-4.144649	2.421973	0	
0.132	-2.832153	0	1.695853	-4.14535	2.420773	0	
0.133	-2.832648	0	1.695027	-4.146057	2.419563	0	
0.134	-2.833146	0	1.694194	-4.146768	2.418344	0	
0.135	-2.833648	0	1.693355	-4.147484	2.417115	0	
0.136	-2.834153	0	1.692509	-4.148206	2.415877	0	
0.137	-2.834662	0	1.691657	-4.148932	2.41463	0	
0.138	-2.835174	0	1.690798	-4.149663	2.413373	0	
0.139	-2.83569	0	1.689933	-4.1504	2.412107	0	
0.14	-2.83621	0	1.689061	-4.151141	2.410831	0	
0.141	-2.836732	0	1.688183	-4.151887	2.409546	0	
0.142	-2.837259	0	1.687299	-4.152638	2.408252	0	
0.143	-2.837788	0	1.686408	-4.153395	2.406948	0	
0.144	-2.838321	0	1.685511	-4.154156	2.405635	0	
0.145	-2.838858	0	1.684607	-4.154922	2.404312	0	
0.146	-2.839398	0	1.683697	-4.155693	2.40298	0	
0.147	-2.839942	0	1.68278	-4.156468	2.401638	0	
0.148	-2.840489	0	1.681857	-4.157249	2.400287	0	
0.149	-2.841039	0	1.680927	-4.158034	2.398926	0	
0.15	-2.841593	0	1.679991	-4.158825	2.397557	0	
0.151	-2.84215	0	1.679049	-4.15962	2.396177	0	
0.152	-2.842711	0	1.678099	-4.16042	2.394788	0	
