Time	MeshX	MeshY	
0.175	-0.2648506	-0.06117086	
0.176	-0.2640682	-0.06263623	
0.177	-0.2632736	-0.06410477	
0.178	-0.2624668	-0.06557634	
0.179	-0.2616476	-0.06705081	
0.18	-0.260816	-0.06852803	
0.181	-0.2599719	-0.07000787	
0.182	-0.2591152	-0.07149017	
0.183	-0.2582457	-0.0729748	
0.184	-0.2573636	-0.07446161	
0.185	-0.2564685	-0.07595045	
0.186	-0.2555606	-0.07744117	
0.187	-0.2546396	-0.07893362	
0.188	-0.2537056	-0.08042764	
0.189	-0.2527584	-0.08192308	
0.19	-0.2517979	-0.08341978	
0.191	-0.2508242	-0.08491758	
0.192	-0.249837	-0.08641633	
0.193	-0.2488364	-0.08791586	
0.194	-0.2478222	-0.08941602	
0.195	-0.2467945	-0.09091663	
0.196	-0.2457531	-0.09241752	
0.197	-0.244698	-0.09391852	
0.198	-0.2436291	-0.09541949	
0.199	-0.2425464	-0.09692024	
0.2	-0.2414498	-0.09842058	
0.201	-0.2403392	-0.09992036	
0.202	-0.2392146	-0.1014194	
0.203	-0.238076	-0.1029175	
0.204	-0.2369232	-0.1044145	
0.205	-0.2357562	-0.1059103	
0.206	-0.234575	-0.1074046	
0.207	-0.2333796	-0.1088972	
0.208	-0.2321699	-0.110388	
0.209	-0.2309458	-0.1118768	
0.21	-0.2297073	-0.1133634	
0.211	-0.2284545	-0.1148476	
0.212	-0.2271872	-0.1163293	
0.213	-0.2259053	-0.1178081	
0.214	-0.224609	-0.119284	
0.215	-0.2232982	-0.1207568	
0.216	-0.2219727	-0.1222263	
0.217	-0.2206327	-0.1236921	
0.218	-0.2192781	-0.1251543	
0.219	-0.2179089	-0.1266125	
0.22	-0.216525	-0.1280666	
0.221	-0.2151265	-0.1295164	
0.222	-0.2137133	-0.1309617	
0.223	-0.2122855	-0.1324022	
0.224	-0.210843	-0.1338378	
0.225	-0.2093858	-0.1352683	
0.226	-0.2079139	-0.1366935	
0.227	-0.2064274	-0.1381131	
0.228	-0.2049262	-0.1395271	
0.229	-0.2034104	-0.140935	
0.23	-0.20188	-0.1423369	
0.231	-0.2003349	-0.1437324	
0.232	-0.1987752	-0.1451213	
0.233	-0.197201	-0.1465035	
0.234	-0.1956122	-0.1478788	
0.235	-0.1940089	-0.1492469	
0.236	-0.1923911	-0.1506076	
0.237	-0.1907588	-0.1519607	
0.238	-0.1891122	-0.1533061	
0.239	-0.1874511	-0.1546435	
0.24	-0.1857757	-0.1559726	
0.241	-0.184086	-0.1572934	
0.242	-0.1823821	-0.1586056	
0.243	-0.180664	-0.159909	
0.244	-0.1789317	-0.1612034	
0.245	-0.1771854	-0.1624886	
0.246	-0.1754251	-0.1637643	
0.247	-0.1736508	-0.1650305	
0.248	-0.1718627	-0.1662868	
0.249	-0.1700607	-0.1675331	
0.25	-0.1682451	-0.1687691	
0.251	-0.1664158	-0.1699948	
0.252	-0.1645729	-0.1712098	
0.253	-0.1627165	-0.172414	
0.254	-0.1608468	-0.1736072	
0.255	-0.1589637	-0.1747891	
0.256	-0.1570675	-0.1759597	
0.257	-0.1551581	-0.1771186	
0.258	-0.1532357	-0.1782658	
0.259	-0.1513005	-0.1794009	
0.26	-0.1493524	-0.1805239	
0.261	-0.1473917	-0.1816345	
0.262	-0.1454183	-0.1827326	
0.263	-0.1434326	-0.1838179	
0.264	-0.1414345	-0.1848903	
0.265	-0.1394242	-0.1859496	
0.266	-0.1374018	-0.1869956	
0.267	-0.1353675	-0.1880281	
0.268	-0.1333214	-0.189047	
0.269	-0.1312636	-0.1900521	
0.27	-0.1291942	-0.1910432	
0.271	-0.1271134	-0.1920201	
0.272	-0.1250214	-0.1929827	
0.273	-0.1229183	-0.1939308	
0.274	-0.1208043	-0.1948642	
0.275	-0.1186794	-0.1957828	
0.276	-0.1165439	-0.1966864	
0.277	-0.1143979	-0.1975749	
0.278	-0.1122416	-0.1984481	
0.279	-0.1100751	-0.1993058	
0.28	-0.1078986	-0.200148	
0.281	-0.1057124	-0.2009743	
0.282	-0.1035165	-0.2017848	
0.283	-0.1013111	-0.2025793	
0.284	-0.09909637	-0.2033576	
0.285	-0.09687258	-0.2041195	
0.286	-0.09463985	-0.2048651	
0.287	-0.09239838	-0.205594	
0.288	-0.09014836	-0.2063063	
0.289	-0.08788997	-0.2070017	
0.29	-0.08562341	-0.2076802	
0.291	-0.08334886	-0.2083416	
0.292	-0.08106654	-0.2089858	
0.293	-0.07877664	-0.2096128	
0.294	-0.07647935	-0.2102223	
0.295	-0.07417488	-0.2108143	
0.296	-0.07186344	-0.2113887	
0.297	-0.06954522	-0.2119454	
0.298	-0.06722045	-0.2124843	
0.299	-0.06488933	-0.2130053	
0.3	-0.06363716	-0.2133643	
0.301	-0.0636085	-0.2134151	
0.302	-0.06367656	-0.2134565	
0.303	-0.0637254	-0.2134115	
0.304	-0.06376942	-0.213356	
0.305	-0.06381189	-0.2133064	
0.306	-0.06385303	-0.2132646	
0.307	-0.06389255	-0.2132297	
0.308	-0.06393015	-0.2132006	
0.309	-0.06396561	-0.2131763	
0.31	-0.06399882	-0.2131559	
0.311	-0.06402972	-0.2131387	
0.312	-0.06405827	-0.2131242	
0.313	-0.06408449	-0.2131119	
0.314	-0.06410838	-0.2131015	
0.315	-0.06412996	-0.2130927	
0.316	-0.06414925	-0.2130852	
0.317	-0.06416627	-0.213079	
0.318	-0.06418105	-0.2130737	
0.319	-0.06419363	-0.2130693	
0.32	-0.064204	-0.2130658	
0.321	-0.0642122	-0.213063	
0.322	-0.06421825	-0.2130609	
0.323	-0.06422215	-0.2130595	
0.324	-0.06422393	-0.2130586	
0.325	-0.06422359	-0.2130583	
0.326	-0.06422119	-0.2130585	
0.327	-0.06421682	-0.2130593	
0.328	-0.0642105	-0.2130605	
0.329	-0.0642022	-0.2130621	
0.33	-0.06419192	-0.2130642	
0.331	-0.06417965	-0.2130668	
0.332	-0.06416539	-0.2130699	
0.333	-0.06414913	-0.2130734	
0.334	-0.06413085	-0.2130774	
0.335	-0.06411057	-0.2130817	
0.336	-0.06408827	-0.2130866	
0.337	-0.06406396	-0.2130919	
0.338	-0.06403763	-0.2130976	
0.339	-0.06400928	-0.2131038	
0.34	-0.06397892	-0.2131104	
0.341	-0.06394654	-0.2131174	
0.342	-0.06391213	-0.2131249	
0.343	-0.06387571	-0.2131328	
0.344	-0.06383726	-0.2131412	
0.345	-0.0637968	-0.2131499	
0.346	-0.06375431	-0.2131592	
0.347	-0.0637098	-0.2131688	
0.348	-0.06366328	-0.2131789	
0.349	-0.06361475	-0.2131894	
0.35	-0.06357133	-0.2131994	
0.351	-0.06356971	-0.2132032	
0.352	-0.06357249	-0.2132032	
0.353	-0.06357314	-0.213203	
0.354	-0.06357178	-0.2132026	
0.355	-0.06357069	-0.2132026	
0.356	-0.06356993	-0.213202	
0.357	-0.06356969	-0.2132017	
0.358	-0.06356931	-0.2132012	
0.359	-0.0635691	-0.2132009	
0.36	-0.06356891	-0.2132006	
0.361	-0.06356874	-0.2132004	
0.362	-0.06356867	-0.2132002	
0.363	-0.06356853	-0.2131999	
0.364	-0.06356858	-0.2131997	
0.365	-0.06356846	-0.2131995	
0.366	-0.06356859	-0.2131994	
0.367	-0.06356847	-0.2131991	
0.368	-0.06356862	-0.2131991	
0.369	-0.0635685	-0.2131989	
0.37	-0.06356873	-0.2131989	
0.371	-0.0635686	-0.2131986	
0.372	-0.06356884	-0.2131987	
0.373	-0.0635687	-0.2131985	
0.374	-0.06356893	-0.2131985	
0.375	-0.06356879	-0.2131983	
0.376	-0.06356905	-0.2131983	
0.377	-0.06356912	-0.2131981	
0.378	-0.06356921	-0.2131983	
0.379	-0.06356937	-0.2131982	
0.38	-0.06356942	-0.2131984	
0.381	-0.06356958	-0.2131983	
0.382	-0.06356961	-0.2131985	
0.383	-0.06356976	-0.2131983	
0.384	-0.06356978	-0.2131985	
0.385	-0.0635699	-0.2131984	
0.386	-0.0635699	-0.2131986	
0.387	-0.06357	-0.2131984	
0.388	-0.06356999	-0.2131986	
0.389	-0.06357007	-0.2131984	
0.39	-0.06357004	-0.2131986	
0.391	-0.0635701	-0.2131984	
0.392	-0.06357007	-0.2131986	
0.393	-0.06357012	-0.2131984	
0.394	-0.0635701	-0.2131986	
0.395	-0.06357013	-0.2131984	
0.396	-0.06357007	-0.2131982	
0.397	-0.06357007	-0.2131984	
0.398	-0.06356981	-0.2131985	
0.399	-0.06356976	-0.2131982	
0.4	-0.06356973	-0.2131981	
0.401	-0.06356975	-0.2131982	
0.402	-0.06356957	-0.2131985	
0.403	-0.06356956	-0.2131982	
0.404	-0.06356961	-0.2131984	
0.405	-0.06356972	-0.2131982	
0.406	-0.06356976	-0.2131985	
0.407	-0.06356987	-0.2131983	
0.408	-0.06356987	-0.2131985	
0.409	-0.06356996	-0.2131983	
0.41	-0.06356996	-0.2131986	
0.411	-0.06357002	-0.2131984	
0.412	-0.06357002	-0.2131986	
0.413	-0.06357008	-0.2131984	
0.414	-0.06357007	-0.2131986	
0.415	-0.06357012	-0.2131984	
0.416	-0.0635701	-0.2131986	
0.417	-0.06357013	-0.2131984	
0.418	-0.06357007	-0.2131983	
0.419	-0.06357008	-0.2131984	
0.42	-0.06356978	-0.2131985	
0.421	-0.06356984	-0.2131984	
0.422	-0.06356956	-0.2131984	
0.423	-0.06356977	-0.2131984	
0.424	-0.06356981	-0.2131981	
0.425	-0.06356976	-0.2131979	
0.426	-0.0635698	-0.2131981	
0.427	-0.06356981	-0.2131984	
0.428	-0.0635698	-0.2131983	
0.429	-0.06356978	-0.2131981	
0.43	-0.06356975	-0.213198	
0.431	-0.06356976	-0.2131982	
0.432	-0.0635696	-0.2131984	
0.433	-0.06356969	-0.2131982	
0.434	-0.06356969	-0.2131981	
0.435	-0.06356966	-0.213198	
0.436	-0.06356959	-0.2131979	
0.437	-0.06356963	-0.2131981	
0.438	-0.06356954	-0.2131984	
0.439	-0.0635696	-0.2131982	
0.44	-0.06356945	-0.2131984	
0.441	-0.06356962	-0.2131983	
0.442	-0.06356966	-0.2131985	
0.443	-0.06356982	-0.2131983	
0.444	-0.06356984	-0.2131985	
0.445	-0.06356996	-0.2131983	
0.446	-0.06356996	-0.2131985	
0.447	-0.06357006	-0.2131983	
0.448	-0.06357004	-0.2131985	
0.449	-0.0635701	-0.2131984	
0.45	-0.0635701	-0.2131986	
0.451	-0.06357014	-0.2131984	
0.452	-0.06357013	-0.2131986	
0.453	-0.06357017	-0.2131984	
0.454	-0.06357016	-0.2131986	
0.455	-0.06357019	-0.2131984	
0.456	-0.06357013	-0.2131983	
0.457	-0.06357013	-0.2131984	
0.458	-0.0635698	-0.2131985	
0.459	-0.06356985	-0.2131984	
0.46	-0.06356957	-0.2131983	
0.461	-0.06356976	-0.2131983	
0.462	-0.0635699	-0.2131982	
0.463	-0.06356964	-0.2131982	
0.464	-0.06356978	-0.2131982	
0.465	-0.06356951	-0.2131981	
0.466	-0.06356972	-0.2131982	
0.467	-0.06356979	-0.2131979	
0.468	-0.06356977	-0.2131978	
0.469	-0.06356972	-0.2131977	
