Time	10FF	11FF	12FF	13FF	14FF	15FF	16FF	17FF	18FF	19FF	1FF	20FF	21FF	22FF	23FF	24FF	25FF	2FF	3FF	4FF	5FF	6FF	7FF	8FF	9FF	
0.04	0.04226059	0.04212866	0.04248063	0.04217465	0.04266014	0.04237164	0.0423708	0.04249705	0.04246122	0.04239704	0.04224624	0.04211782	0.04204072	0.04246958	0.04213839	0.04214302	0.04217827	0.04224615	0.04252352	0.04231696	0.04250201	0.04227323	0.04228467	0.04205616	0.04187547	
0.042	0.04305029	0.04308235	0.04331556	0.0429818	0.04351841	0.04321042	0.04324454	0.04326871	0.04337268	0.0432838	0.04314067	0.042999	0.04298072	0.0432986	0.04305113	0.04299084	0.042946	0.04306421	0.04336946	0.04313093	0.04333522	0.04314504	0.0430937	0.04282828	0.04278313	
0.044	0.04390297	0.04385772	0.04407667	0.04372811	0.04436683	0.04406536	0.0440044	0.04396822	0.04406461	0.04406586	0.0439017	0.04385125	0.04369848	0.04411828	0.04382632	0.04371891	0.04379551	0.04390019	0.04419485	0.04395988	0.04416275	0.04395284	0.04381849	0.04352456	0.04357718	
0.046	0.0446578	0.04453469	0.04472373	0.04452372	0.04503587	0.0448691	0.04465263	0.04468464	0.04487279	0.04477461	0.04468551	0.04458091	0.04452582	0.0448491	0.04453965	0.04440244	0.04457809	0.04455797	0.04495586	0.04467876	0.0449046	0.04459949	0.04453726	0.04435601	0.04427758	
0.048	0.04534673	0.04520634	0.04529783	0.04526324	0.04563314	0.0455873	0.04526946	0.0452872	0.0455264	0.04548636	0.04535282	0.04527896	0.04526033	0.04542752	0.04512503	0.04518256	0.04529341	0.04526088	0.04562422	0.04535266	0.04554745	0.04523786	0.04519217	0.04503637	0.04502541	
0.05	0.04600405	0.04582579	0.04594968	0.04597381	0.0463243	0.04629953	0.0459366	0.04587618	0.04618989	0.04615897	0.04603792	0.04581131	0.04584689	0.04612879	0.04583892	0.04577414	0.04585343	0.04584329	0.04620384	0.04591165	0.04614727	0.0458359	0.04582227	0.04562847	0.0456909	
0.052	0.04660118	0.04634387	0.04645827	0.04657775	0.04681587	0.04693149	0.04655847	0.04652429	0.04676871	0.04671787	0.04655071	0.04631452	0.04633529	0.04664894	0.04642084	0.04631911	0.04641577	0.04647962	0.04686455	0.0464306	0.04681512	0.0464536	0.04630901	0.0462329	0.0462224	
0.054	0.04719202	0.0468285	0.04695287	0.04719634	0.04728495	0.04740275	0.04716881	0.04701388	0.04725514	0.04733682	0.04712214	0.0468	0.04687266	0.04724965	0.04693867	0.0468174	0.04691964	0.04697357	0.0473488	0.04695814	0.04739985	0.04707897	0.04679914	0.04683574	0.04676332	
0.056	0.04759698	0.04729597	0.04735764	0.04763688	0.04768064	0.04797853	0.04767136	0.04760329	0.04773068	0.04779863	0.04755593	0.04732724	0.047458	0.04776881	0.04746569	0.04722569	0.04741695	0.04746541	0.04788182	0.04737533	0.04784375	0.04752143	0.04721202	0.04730422	0.04729963	
0.058	0.04795882	0.04784293	0.0478759	0.04808514	0.04822235	0.04849184	0.04820706	0.04801102	0.04822787	0.04829865	0.04811391	0.0478185	0.04787503	0.04815144	0.04783198	0.04768144	0.04780695	0.0479326	0.04836701	0.04774297	0.04833055	0.04800689	0.04767349	0.04777525	0.04770454	
0.06	0.04840514	0.0482535	0.04833096	0.04846269	0.04873659	0.0489063	0.04867782	0.04847019	0.04855514	0.04875049	0.04853636	0.04827925	0.04828133	0.04849195	0.04825599	0.04804317	0.04826211	0.0484067	0.04887902	0.04810499	0.04882099	0.04840793	0.04807102	0.04813937	0.04806508	
0.062	0.04889408	0.04858642	0.04873621	0.04890038	0.04922937	0.04927102	0.04898624	0.04895601	0.04891679	0.04917856	0.04891221	0.04876936	0.04868833	0.04897604	0.04870409	0.04847495	0.0487021	0.04873363	0.0493097	0.04847136	0.0491972	0.0488977	0.0484624	0.04859828	0.04838567	
0.064	0.04925117	0.04894111	0.04903451	0.04921678	0.0496229	0.04969301	0.04938082	0.0492518	0.04932553	0.04955001	0.04921391	0.04920062	0.04896447	0.04936797	0.04910675	0.04887123	0.04903054	0.04903875	0.04973297	0.04881316	0.04956779	0.04931891	0.04891787	0.04888897	0.04883219	
0.066	0.04950457	0.04929595	0.04943459	0.04955979	0.05000611	0.04996832	0.04978539	0.04967786	0.04964799	0.04984686	0.049467	0.04961497	0.0492215	0.0496952	0.04951325	0.04925469	0.0493169	0.04932107	0.05006888	0.04922766	0.04996473	0.04959384	0.04931822	0.04916424	0.04920388	
0.068	0.04978954	0.0496503	0.04983494	0.0498208	0.05038252	0.05026483	0.05004453	0.05007582	0.04993066	0.05019217	0.04984897	0.04998744	0.04948372	0.04995788	0.04991634	0.04957543	0.0497026	0.04954353	0.05029239	0.0496088	0.05020646	0.04986592	0.0496791	0.04955807	0.04961573	
0.07	0.05006079	0.04997562	0.05016287	0.05014552	0.05057172	0.05059231	0.05037586	0.05042951	0.05015212	0.05038377	0.05006157	0.05030854	0.04977653	0.05027459	0.05016558	0.04989539	0.05006809	0.04982518	0.05062601	0.04994066	0.05054092	0.05007847	0.0499725	0.0498617	0.04983407	
0.072	0.05028363	0.05033562	0.05033573	0.05050168	0.05087098	0.05077589	0.05063122	0.05064112	0.05036461	0.05070139	0.05042382	0.05061064	0.04997466	0.05062274	0.05045058	0.05007266	0.05025819	0.0501867	0.05084731	0.0502721	0.05076579	0.05033098	0.0502615	0.05004197	0.05012731	
0.074	0.05052156	0.05050552	0.0505185	0.05073337	0.05108667	0.05093148	0.05079089	0.05086703	0.05068418	0.0508748	0.05063385	0.05082111	0.05022246	0.05091119	0.05071462	0.05041435	0.05053025	0.05042961	0.05109674	0.05044665	0.05109368	0.05060008	0.05041992	0.0503078	0.05027569	
0.07600001	0.05070528	0.05068845	0.05065792	0.05106001	0.05131085	0.05111831	0.05100724	0.05112797	0.05094942	0.05109235	0.05090441	0.05106602	0.05044306	0.05118132	0.05094628	0.05067684	0.05080178	0.05073168	0.05140626	0.05058622	0.05128172	0.05082718	0.05073633	0.05063329	0.05047477	
0.078	0.05092477	0.05083978	0.0509521	0.051347	0.05144568	0.05123845	0.0512569	0.05135699	0.05116623	0.05129209	0.05116144	0.0513634	0.05060073	0.05141928	0.05112564	0.05082985	0.05106481	0.05094636	0.05158245	0.05071479	0.05152777	0.05101042	0.05100786	0.05082137	0.05077903	
