Time	CylinderSensor	BoxSensor	BoxSensorX	CylinderSensorX	CylinderSensorY	BoxSensorY	BoxContact	CylinderContact	
0	0	0	-0.05	0.05	-0.35	-0.55	-0.07	-0.07	
0.0004	0	0	-0.05	0.05	-0.3500015	-0.5500014	-0.07	-0.07	
0.0008	0	0	-0.04999854	0.05000066	-0.350004	-0.5500044	-0.07	-0.07	
0.0012	0	0	-0.04999556	0.05000204	-0.3500077	-0.5500089	-0.07	-0.07	
0.0016	0	0	-0.04999102	0.05000418	-0.3500122	-0.5500146	-0.07	-0.07	
0.002	0	0	-0.04998485	0.05000716	-0.3500176	-0.5500216	-0.07	-0.07	
0.0024	0	0	-0.049977	0.050011	-0.3500238	-0.5500298	-0.07	-0.07	
0.0028	0	0	-0.04996745	0.05001575	-0.3500306	-0.550039	-0.07	-0.07	
0.0032	0	0	-0.04995615	0.05002146	-0.350038	-0.5500492	-0.07	-0.07	
0.0036	0	0	-0.04994304	0.05002816	-0.350046	-0.5500604	-0.07	-0.07	
0.004	0	0	-0.04992811	0.05003589	-0.3500544	-0.5500724	-0.07	-0.07	
0.0044	0	0	-0.04991131	0.0500447	-0.3500632	-0.5500852	-0.07	-0.07	
0.0048	0	0	-0.0498926	0.0500546	-0.3500722	-0.5500987	-0.07	-0.07	
0.0052	0	0	-0.04987197	0.05006563	-0.3500817	-0.5501128	-0.07	-0.07	
0.0056	0	0	-0.04984938	0.05007782	-0.3500912	-0.5501276	-0.07	-0.07	
0.006	0	0	-0.0498248	0.0500912	-0.350101	-0.5501429	-0.07	-0.07	
0.0064	0	0	-0.04979821	0.05010579	-0.3501109	-0.5501589	-0.07	-0.07	
0.0068	0	0	-0.04976959	0.05012162	-0.3501208	-0.5501752	-0.07	-0.07	
0.0072	0	0	-0.0497389	0.0501387	-0.3501309	-0.550192	-0.07	-0.07	
0.0076	0	0	-0.04970614	0.05015707	-0.3501409	-0.5502092	-0.07	-0.07	
0.007999999	0	0	-0.04967129	0.05017672	-0.3501508	-0.5502268	-0.07	-0.07	
0.0084	0	0	-0.04963432	0.05019769	-0.3501607	-0.5502447	-0.07	-0.07	
0.0088	0	0	-0.04959521	0.05021999	-0.3501705	-0.5502629	-0.07	-0.07	
0.0092	0	0	-0.04955396	0.05024365	-0.3501802	-0.5502813	-0.07	-0.07	
