Time	CylinderSensor	BoxSensor	BoxSensorX	CylinderSensorX	CylinderSensorY	BoxSensorY	BoxContact	CylinderContact	
0.0232	0	0	-0.04669508	0.05330276	-0.3502987	-0.3507668	-0.07	-0.07	
0.0236	0	0	-0.04657225	0.05342544	-0.3503737	-0.3508582	-0.07	-0.07	
0.024	0	0	-0.04644712	0.0535504	-0.3504489	-0.3509502	-0.07	-0.07	
0.0244	0	0	-0.04631971	0.05367766	-0.3505244	-0.3510426	-0.07	-0.07	
0.0248	0	0	-0.04619001	0.05380718	-0.3506	-0.3511355	-0.07	-0.07	
0.0252	0	0	-0.04605802	0.05393897	-0.3506758	-0.3512288	-0.07	-0.07	
0.0256	0	0	-0.04592374	0.05407304	-0.3507517	-0.3513226	-0.07	-0.07	
0.026	0	0	-0.04578719	0.05420939	-0.3508278	-0.3514167	-0.07	-0.07	
0.0264	0	0	-0.04564836	0.05434802	-0.3509038	-0.3515112	-0.07	-0.07	
0.0268	0	0	-0.04550724	0.0544889	-0.3509799	-0.351606	-0.07	-0.07	
0.0272	0	0	-0.04536384	0.05463206	-0.351056	-0.3517011	-0.07	-0.07	
0.0276	0	0	-0.04521818	0.05477748	-0.3511322	-0.3517964	-0.07	-0.07	
0.028	0	0	-0.04507024	0.05492517	-0.3512082	-0.3518921	-0.07	-0.07	
0.0284	0	0	-0.04492002	0.05507512	-0.3512841	-0.3519878	-0.07	-0.07	
0.0288	0	0	-0.04476754	0.05522732	-0.3513601	-0.3520838	-0.07	-0.07	
0.0292	0	0	-0.04461278	0.05538178	-0.3514357	-0.3521798	-0.07	-0.07	
0.0296	0	0	-0.04445577	0.0555385	-0.3515113	-0.3522761	-0.07	-0.07	
0.03	0	0	-0.04429648	0.05569747	-0.3515866	-0.3523723	-0.07	-0.07	
0.0304	0	0	-0.04413493	0.05585868	-0.3516617	-0.3524686	-0.07	-0.07	
0.0308	0	0	-0.04397112	0.05602214	-0.3517365	-0.352565	-0.07	-0.07	
0.0312	0	0	-0.04380506	0.05618785	-0.3518111	-0.3526613	-0.07	-0.07	
0.0316	0	0	-0.04363674	0.05635579	-0.3518854	-0.3527577	-0.07	-0.07	
0.032	0	0	-0.04346616	0.05652598	-0.3519593	-0.3528539	-0.07	-0.07	
0.0324	0	0	-0.04329333	0.05669841	-0.3520329	-0.3529502	-0.07	-0.07	
0.0328	0	0	-0.04311825	0.05687307	-0.352106	-0.3530462	-0.07	-0.07	
0.0332	0	0	-0.04294093	0.05704996	-0.3521788	-0.3531422	-0.07	-0.07	
0.0336	0	0	-0.04276136	0.05722909	-0.3522511	-0.3532379	-0.07	-0.07	
0.034	0	0	-0.04257954	0.05741044	-0.3523229	-0.3533335	-0.07	-0.07	
0.0344	0	0	-0.04239548	0.05759401	-0.3523943	-0.3534289	-0.07	-0.07	
0.0348	0	0	-0.04220919	0.05777982	-0.3524651	-0.3535239	-0.07	-0.07	
0.0352	0	0	-0.04202065	0.05796783	-0.3525353	-0.3536188	-0.07	-0.07	
0.0356	0	0	-0.04182987	0.05815807	-0.352605	-0.3537133	-0.07	-0.07	
0.036	0	0	-0.04163687	0.05835051	-0.352674	-0.3538075	-0.07	-0.07	
0.0364	0	0	-0.04144163	0.05854517	-0.3527424	-0.3539014	-0.07	-0.07	
0.0368	0	0	-0.04124416	0.05874205	-0.3528102	-0.3539948	-0.07	-0.07	
0.0372	0	0	-0.04104446	0.05894113	-0.3528773	-0.3540879	-0.07	-0.07	
0.0376	0	0	-0.04084254	0.05914242	-0.3529437	-0.3541805	-0.07	-0.07	
0.038	0	0	-0.04063839	0.05934591	-0.3530093	-0.3542728	-0.07	-0.07	
0.0384	0	0	-0.04043202	0.0595516	-0.3530743	-0.3543645	-0.07	-0.07	
0.0388	0	0	-0.04022343	0.0597595	-0.3531384	-0.3544558	-0.07	-0.07	
0.0392	0	0	-0.04001262	0.05996959	-0.3532017	-0.3545465	-0.07	-0.07	
0.0396	0	0	-0.0397996	0.06018187	-0.3532643	-0.3546367	-0.07	-0.07	
0.04	0	0	-0.03958436	0.06039634	-0.3533259	-0.3547262	-0.07	-0.07	
0.0404	0	0	-0.03936691	0.060613	-0.3533867	-0.3548152	-0.07	-0.07	
0.0408	0	0	-0.03914725	0.06083184	-0.3534466	-0.3549036	-0.07	-0.07	
0.0412	0	0	-0.03892538	0.06105288	-0.3535056	-0.3549914	-0.07	-0.07	
0.0416	0	0	-0.0387013	0.0612761	-0.3535636	-0.3550785	-0.07	-0.07	
0.042	0	0	-0.03847501	0.06150149	-0.3536208	-0.355165	-0.07	-0.07	
0.0424	0	0	-0.03824653	0.06172907	-0.3536769	-0.3552507	-0.07	-0.07	
0.0428	0	0	-0.03801584	0.06195883	-0.3537321	-0.3553358	-0.07	-0.07	
0.0432	0	0	-0.03778296	0.06219075	-0.3537862	-0.3554201	-0.07	-0.07	
0.0436	0	0	-0.03754788	0.06242485	-0.3538392	-0.3555036	-0.07	-0.07	
0.044	0	0	-0.0373106	0.06266111	-0.3538913	-0.3555863	-0.07	-0.07	
0.0444	0	0	-0.03707111	0.06289953	-0.3539422	-0.3556682	-0.07	-0.07	
0.0448	0	0	-0.03682945	0.06314013	-0.3539921	-0.3557493	-0.07	-0.07	
0.0452	0	0	-0.03658559	0.06338289	-0.3540409	-0.3558297	-0.07	-0.07	
0.0456	0	0	-0.03633954	0.0636278	-0.3540885	-0.3559091	-0.07	-0.07	
0.046	0	0	-0.03609131	0.06387489	-0.354135	-0.3559877	-0.07	-0.07	
0.0464	0	0	-0.03584088	0.06412411	-0.3541803	-0.3560653	-0.07	-0.07	
0.0468	0	0	-0.03558827	0.06437548	-0.3542244	-0.3561421	-0.07	-0.07	
0.0472	0	0	-0.03533348	0.06462901	-0.3542673	-0.3562179	-0.07	-0.07	
0.0476	0	0	-0.03507651	0.06488469	-0.354309	-0.3562928	-0.07	-0.07	
0.048	0	0	-0.03481735	0.06514251	-0.3543495	-0.3563667	-0.07	-0.07	
0.0484	0	0	-0.03455602	0.06540248	-0.3543887	-0.3564397	-0.07	-0.07	
0.0488	0	0	-0.0342925	0.06566458	-0.3544266	-0.3565116	-0.07	-0.07	
0.0492	0	0	-0.03402683	0.06592883	-0.3544633	-0.3565826	-0.07	-0.07	
0.0496	0	0	-0.03375897	0.06619521	-0.3544986	-0.3566525	-0.07	-0.07	
0.05	0	0	-0.03348894	0.06646373	-0.3545327	-0.3567214	-0.07	-0.07	
0.0504	0	0	-0.03321674	0.06673439	-0.3545654	-0.3567892	-0.07	-0.07	
0.0508	0	0	-0.03294237	0.06700718	-0.3545968	-0.356856	-0.07	-0.07	
0.0512	0	0	-0.03266584	0.06728209	-0.3546269	-0.3569218	-0.07	-0.07	
0.0516	0	0	-0.03238714	0.06755912	-0.3546556	-0.3569864	-0.07	-0.07	
0.052	1	0	-0.03210628	0.0678383	-0.3546829	-0.3570499	-0.07	-0.07	
0.0524	1	0	-0.03182326	0.06811958	-0.3547089	-0.3571124	-0.07	-0.07	
0.0528	1	0	-0.03153807	0.068403	-0.3547334	-0.3571737	-0.07	-0.07	
0.0532	1	0	-0.03125073	0.06868852	-0.3547566	-0.3572338	-0.07	-0.07	
0.0536	1	0	-0.03096123	0.06897616	-0.3547783	-0.3572929	-0.07	-0.07	
0.054	1	0	-0.03066958	0.06926592	-0.3547986	-0.3573507	-0.07	-0.07	
0.0544	1	0	-0.03037577	0.06955779	-0.3548175	-0.3574074	-0.07	-0.07	
0.0548	1	0	-0.03007981	0.06985178	-0.3548349	-0.357463	-0.07	-0.07	
0.0552	1	0	-0.02978169	0.07014786	-0.3548509	-0.3575173	-0.07	-0.07	
0.0556	1	0	-0.02948143	0.07044605	-0.3548654	-0.3575705	-0.07	-0.05	
0.056	1	0	-0.02917903	0.07074635	-0.3548785	-0.3576224	-0.07	-0.05	
0.0564	1	0	-0.02887447	0.07104875	-0.35489	-0.3576732	-0.07	-0.05	
0.0568	1	0	-0.02856776	0.07135325	-0.3549001	-0.3577227	-0.07	-0.05	
0.0572	1	0	-0.02825892	0.07165985	-0.3549087	-0.357771	-0.07	-0.05	
0.0576	1	0	-0.02794793	0.07196853	-0.3549158	-0.3578181	-0.07	-0.034	
0.058	1	0	-0.0276348	0.07227932	-0.3549213	-0.357864	-0.07	-0.034	
0.0584	1	0	-0.02731953	0.07259219	-0.3549254	-0.3579085	-0.07	-0.034	
0.0588	1	0	-0.02700213	0.07290716	-0.3549279	-0.3579519	-0.07	-0.034	
0.0592	1	0	-0.02668259	0.07322421	-0.354929	-0.357994	-0.07	-0.034	
0.0596	1	0	-0.02636091	0.07354333	-0.3549285	-0.3580348	-0.07	-0.0212	
0.06	1	0	-0.02603711	0.07386456	-0.3549264	-0.3580744	-0.07	-0.0212	
0.0604	1	0	-0.02571117	0.07418785	-0.3549228	-0.3581127	-0.07	-0.0212	
0.0608	1	0	-0.02538309	0.07451322	-0.3549177	-0.3581497	-0.07	-0.0212	
0.0612	1	0	-0.02505289	0.07484067	-0.354911	-0.3581855	-0.07	-0.0212	
0.0616	1	0	-0.02472057	0.0751702	-0.3549028	-0.35822	-0.07	-0.01096	
0.062	1	0	-0.02438612	0.07550179	-0.3548931	-0.3582532	-0.07	-0.01096	
0.0624	1	0	-0.02404954	0.07583546	-0.3548818	-0.358285	-0.07	-0.01096	
0.0628	1	0	-0.02371085	0.07617118	-0.3548689	-0.3583156	-0.07	-0.01096	
0.0632	1	0	-0.02337003	0.07650898	-0.3548545	-0.358345	-0.07	-0.01096	
0.0636	1	0	-0.02302709	0.07684883	-0.3548385	-0.358373	-0.07	-0.002768002	
0.064	1	0	-0.02268204	0.07719075	-0.354821	-0.3583998	-0.07	-0.002768002	
0.06439999	1	0	-0.02233487	0.07753473	-0.3548019	-0.3584252	-0.07	-0.002768002	
0.0648	1	0	-0.02198558	0.07788076	-0.3547812	-0.3584494	-0.07	-0.002768002	
0.0652	1	0	-0.02163419	0.07822884	-0.3547591	-0.3584723	-0.07	-0.002768002	
0.0656	1	0	-0.02128067	0.07857897	-0.3547353	-0.3584939	-0.07	0.003785595	
0.066	1	0	-0.02092505	0.07893115	-0.35471	-0.3585142	-0.07	0.003785595	
0.0664	1	0	-0.02056733	0.07928538	-0.3546831	-0.3585332	-0.07	0.003785595	
0.0668	1	0	-0.02020749	0.07964166	-0.3546547	-0.3585509	-0.07	0.003785595	
0.0672	1	0	-0.01984555	0.07999998	-0.3546247	-0.3585673	-0.07	0.003785595	
0.0676	1	0	-0.0194815	0.08036032	-0.3545932	-0.3585825	-0.07	0.009028472	
0.068	1	0	-0.01911536	0.08072271	-0.3545602	-0.3585964	-0.07	0.009028472	
0.0684	1	0	-0.01874711	0.08108713	-0.3545255	-0.3586089	-0.07	0.009028472	
0.06879999	1	0	-0.01837677	0.0814536	-0.3544894	-0.3586202	-0.07	0.009028472	
0.0692	1	0	-0.01800432	0.08182209	-0.3544517	-0.3586303	-0.07	0.009028472	
0.0696	1	0	-0.01762979	0.08219261	-0.3544125	-0.3586391	-0.07	0.01322278	
0.07	1	0	-0.01725315	0.08256515	-0.3543718	-0.3586465	-0.07	0.01322278	
0.0704	1	0	-0.01687444	0.08293972	-0.3543296	-0.3586528	-0.07	0.01322278	
0.0708	1	0	-0.01649362	0.08331629	-0.3542858	-0.3586577	-0.07	0.01322278	
0.0712	1	0	-0.01611071	0.0836949	-0.3542404	-0.3586615	-0.07	0.01322278	
0.0716	1	0	-0.01572573	0.08407553	-0.3541937	-0.358664	-0.07	0.01657822	
0.072	1	0	-0.01533865	0.08445816	-0.3541454	-0.3586652	-0.07	0.01657822	
0.0724	1	0	-0.01494949	0.0848428	-0.3540956	-0.3586653	-0.07	0.01657822	
0.0728	1	0	-0.01455826	0.08522946	-0.3540443	-0.358664	-0.07	0.01657822	
0.07319999	1	0	-0.01416493	0.08561812	-0.3539916	-0.3586617	-0.07	0.01657822	
0.0736	1	0	-0.01376954	0.08600878	-0.3539374	-0.358658	-0.07	0.01926257	
0.074	1	0	-0.01337206	0.08640144	-0.3538817	-0.3586531	-0.07	0.01926257	
0.0744	1	0	-0.01297251	0.0867961	-0.3538245	-0.358647	-0.07	0.01926257	
0.0748	1	0	-0.01257089	0.08719275	-0.3537659	-0.3586398	-0.07	0.01926257	
0.0752	1	0	-0.0121672	0.08759139	-0.3537059	-0.3586313	-0.07	0.01926257	
0.0756	1	0	-0.01176144	0.08799203	-0.3536443	-0.3586217	-0.07	0.02141006	
0.076	1	0	-0.0113536	0.08839466	-0.3535814	-0.3586109	-0.07	0.02141006	
0.0764	1	0	-0.0109437	0.08879926	-0.353517	-0.3585989	-0.07	0.02141006	
0.0768	1	0	-0.01053174	0.08920585	-0.3534513	-0.3585858	-0.07	0.02141006	
0.0772	1	0	-0.01011772	0.08961443	-0.3533841	-0.3585716	-0.07	0.02141006	
0.07759999	1	0	-0.009701634	0.09002497	-0.3533156	-0.3585562	-0.07	0.02312805	
0.078	1	0	-0.009283492	0.09043749	-0.3532456	-0.3585396	-0.07	0.02312805	
0.0784	1	0	-0.008863294	0.09085199	-0.3531743	-0.358522	-0.07	0.02312805	
0.0788	1	0	-0.008441043	0.09126846	-0.3531016	-0.3585032	-0.07	0.02312805	
0.0792	1	0	-0.008016738	0.09168688	-0.3530276	-0.3584834	-0.07	0.02312805	
0.0796	1	0	-0.007590377	0.09210727	-0.3529522	-0.3584624	-0.07	0.02450244	
0.08	1	0	-0.007161966	0.09252962	-0.3528755	-0.3584404	-0.07	0.02450244	
0.0804	1	0	-0.006731516	0.09295394	-0.3527975	-0.3584173	-0.07	0.02450244	
