Time	CylinderSensor	BoxSensor	BoxSensorX	CylinderSensorX	CylinderSensorY	BoxSensorY	BoxContact	CylinderContact	
0	0	0	-0.05	0.05	-0.55	-0.55	-0.07	-0.07	
0.0004	0	0	-0.05	0.05	-0.5500014	-0.5500014	-0.07	-0.07	
0.0008	0	0	-0.04999854	0.05000146	-0.5500041	-0.5500044	-0.07	-0.07	
0.0012	0	0	-0.04999556	0.05000444	-0.5500077	-0.5500089	-0.07	-0.07	
0.0016	0	0	-0.04999102	0.05000899	-0.5500122	-0.5500146	-0.07	-0.07	
0.002	0	0	-0.04998485	0.05001516	-0.5500177	-0.5500216	-0.07	-0.07	
0.0024	0	0	-0.049977	0.050023	-0.5500237	-0.5500298	-0.07	-0.07	
0.0028	0	0	-0.04996745	0.05003254	-0.5500306	-0.550039	-0.07	-0.07	
0.0032	0	0	-0.04995615	0.05004385	-0.550038	-0.5500492	-0.07	-0.07	
0.0036	0	0	-0.04994304	0.05005696	-0.550046	-0.5500604	-0.07	-0.07	
0.004	0	0	-0.04992811	0.05007189	-0.5500544	-0.5500724	-0.07	-0.07	
0.0044	0	0	-0.04991131	0.05008869	-0.5500631	-0.5500852	-0.07	-0.07	
0.0048	0	0	-0.0498926	0.0501074	-0.5500723	-0.5500987	-0.07	-0.07	
0.0052	0	0	-0.04987197	0.05012803	-0.5500817	-0.5501128	-0.07	-0.07	
0.0056	0	0	-0.04984938	0.05015061	-0.5500912	-0.5501276	-0.07	-0.07	
0.006	0	0	-0.0498248	0.0501752	-0.550101	-0.5501429	-0.07	-0.07	
0.0064	0	0	-0.04979821	0.05020178	-0.5501109	-0.5501589	-0.07	-0.07	
0.0068	0	0	-0.04976959	0.05023041	-0.5501208	-0.5501752	-0.07	-0.07	
0.0072	0	0	-0.0497389	0.05026109	-0.5501308	-0.550192	-0.07	-0.07	
0.0076	0	0	-0.04970614	0.05029384	-0.5501409	-0.5502092	-0.07	-0.07	
0.007999999	0	0	-0.04967129	0.0503287	-0.5501508	-0.5502268	-0.07	-0.07	
0.0084	0	0	-0.04963432	0.05036567	-0.5501607	-0.5502447	-0.07	-0.07	
0.0088	0	0	-0.04959521	0.05040476	-0.5501705	-0.5502629	-0.07	-0.07	
0.0092	0	0	-0.04955396	0.05044601	-0.5501801	-0.5502813	-0.07	-0.07	
0.0096	0	0	-0.04951055	0.05048941	-0.5501897	-0.5503001	-0.07	-0.07	
0.01	0	0	-0.04946497	0.05053499	-0.550199	-0.5503189	-0.07	-0.07	
0.0104	0	0	-0.04941719	0.05058276	-0.550208	-0.550338	-0.07	-0.07	
0.0108	0	0	-0.04936722	0.05063271	-0.5502169	-0.5503573	-0.07	-0.07	
0.0112	0	0	-0.04931503	0.05068488	-0.5502255	-0.5503767	-0.07	-0.07	
