Time	MeshX	MeshY	
0.167	-0.2742362	-0.1216771	
0.168	-0.2736281	-0.123039	
0.169	-0.2730099	-0.1244055	
0.17	-0.2723813	-0.1257764	
0.171	-0.2717423	-0.1271516	
0.172	-0.2710929	-0.1285309	
0.173	-0.2704329	-0.1299144	
0.174	-0.2697622	-0.1313018	
0.175	-0.2690809	-0.1326931	
0.176	-0.2683887	-0.1340882	
0.177	-0.2676857	-0.1354869	
0.178	-0.2669716	-0.1368891	
0.179	-0.2662465	-0.1382948	
0.18	-0.2655102	-0.1397038	
0.181	-0.2647627	-0.1411159	
0.182	-0.2640038	-0.1425311	
0.183	-0.2632336	-0.1439492	
0.184	-0.2624519	-0.1453702	
0.185	-0.2616586	-0.1467938	
0.186	-0.2608537	-0.14822	
0.187	-0.2600372	-0.1496487	
0.188	-0.2592087	-0.1510796	
0.189	-0.2583685	-0.1525127	
0.19	-0.2575162	-0.1539479	
0.191	-0.256652	-0.155385	
0.192	-0.2557757	-0.1568239	
0.193	-0.2548873	-0.1582644	
0.194	-0.2539866	-0.1597064	
0.195	-0.2530737	-0.1611497	
0.196	-0.2521484	-0.1625943	
0.197	-0.2512107	-0.16404	
0.198	-0.2502604	-0.1654866	
0.199	-0.2492977	-0.1669341	
0.2	-0.2483223	-0.1683821	
0.201	-0.2473343	-0.1698307	
0.202	-0.2463335	-0.1712796	
0.203	-0.24532	-0.1727288	
0.204	-0.2442936	-0.1741779	
0.205	-0.2432543	-0.175627	
0.206	-0.2422021	-0.1770758	
0.207	-0.2411369	-0.1785243	
0.208	-0.2400586	-0.1799721	
0.209	-0.2389673	-0.1814193	
0.21	-0.2378628	-0.1828655	
0.211	-0.2367452	-0.1843107	
0.212	-0.2356143	-0.1857548	
0.213	-0.2344702	-0.1871974	
0.214	-0.2333127	-0.1886386	
0.215	-0.232142	-0.190078	
0.216	-0.2309578	-0.1915156	
0.217	-0.2297603	-0.1929512	
0.218	-0.2285493	-0.1943845	
0.219	-0.2273249	-0.1958155	
0.22	-0.226087	-0.197244	
0.221	-0.2248355	-0.1986699	
0.222	-0.2235705	-0.2000928	
0.223	-0.222292	-0.2015127	
