Time	MeshX	MeshY	
0.167	-0.2735351	-0.1234209	
0.168	-0.2729141	-0.1247908	
0.169	-0.2722828	-0.126165	
0.17	-0.2716411	-0.1275436	
0.171	-0.2709888	-0.1289263	
0.172	-0.270326	-0.1303131	
0.173	-0.2696524	-0.1317039	
0.174	-0.2689681	-0.1330985	
0.175	-0.2682729	-0.1344968	
0.176	-0.2675667	-0.1358988	
0.177	-0.2668495	-0.1373043	
0.178	-0.2661213	-0.1387132	
0.179	-0.2653818	-0.1401253	
0.18	-0.264631	-0.1415406	
0.181	-0.2638688	-0.1429589	
0.182	-0.2630952	-0.1443801	
0.183	-0.2623101	-0.1458042	
0.184	-0.2615134	-0.1472308	
0.185	-0.260705	-0.1486601	
0.186	-0.2598848	-0.1500917	
0.187	-0.2590529	-0.1515256	
0.188	-0.258209	-0.1529616	
0.189	-0.2573531	-0.1543997	
0.19	-0.2564852	-0.1558396	
0.191	-0.2556051	-0.1572813	
0.192	-0.2547128	-0.1587246	
0.193	-0.2538083	-0.1601693	
0.194	-0.2528915	-0.1616154	
0.195	-0.2519622	-0.1630626	
0.196	-0.2510205	-0.1645109	
0.197	-0.2500662	-0.1659601	
0.198	-0.2490994	-0.1674101	
0.199	-0.2481199	-0.1688606	
0.2	-0.2471277	-0.1703116	
0.201	-0.2461227	-0.1717629	
0.202	-0.2451049	-0.1732144	
0.203	-0.2440742	-0.1746659	
0.204	-0.2430307	-0.1761172	
0.205	-0.241974	-0.1775683	
0.206	-0.2409044	-0.1790188	
0.207	-0.2398217	-0.1804688	
0.208	-0.2387259	-0.181918	
0.209	-0.2376169	-0.1833663	
0.21	-0.2364947	-0.1848134	
0.211	-0.2353593	-0.1862594	
0.212	-0.2342105	-0.1877038	
0.213	-0.2330484	-0.1891468	
0.214	-0.231873	-0.190588	
0.215	-0.2306841	-0.1920272	
0.216	-0.2294818	-0.1934644	
0.217	-0.2282661	-0.1948993	
0.218	-0.2270368	-0.1963319	
0.219	-0.2257941	-0.1977618	
0.22	-0.2245378	-0.199189	
0.221	-0.2232679	-0.2006132	
0.222	-0.2219845	-0.2020344	
0.223	-0.2206875	-0.2034523	
0.224	-0.2193768	-0.2048667	
0.225	-0.2180525	-0.2062775	
0.226	-0.2167146	-0.2076845	
0.227	-0.2153631	-0.2090875	
0.228	-0.2139978	-0.2104864	
0.229	-0.212619	-0.2118809	
0.23	-0.2112265	-0.2132709	
0.231	-0.2098203	-0.2146563	
0.232	-0.2084005	-0.2160368	
0.233	-0.206967	-0.2174122	
0.234	-0.2055198	-0.2187824	
0.235	-0.2040591	-0.2201472	
0.236	-0.2025848	-0.2215064	
0.237	-0.2010968	-0.2228598	
0.238	-0.1995953	-0.2242073	
0.239	-0.1980802	-0.2255487	
0.24	-0.1965515	-0.2268837	
0.241	-0.1950094	-0.2282122	
0.242	-0.1934537	-0.229534	
0.243	-0.1918846	-0.230849	
0.244	-0.1903021	-0.2321569	
0.245	-0.1887062	-0.2334575	
0.246	-0.1870969	-0.2347507	
0.247	-0.1854744	-0.2360363	
0.248	-0.1838385	-0.2373142	
0.249	-0.1821895	-0.2385841	
0.25	-0.1805273	-0.2398458	
0.251	-0.1788519	-0.2410992	
0.252	-0.1771635	-0.2423441	
0.253	-0.1754621	-0.2435802	
0.254	-0.1737477	-0.2448075	
0.255	-0.1720205	-0.2460257	
0.256	-0.1702804	-0.2472347	
0.257	-0.1685276	-0.2484342	
0.258	-0.1667621	-0.2496241	
0.259	-0.164984	-0.2508043	
0.26	-0.1631934	-0.2519745	
0.261	-0.1613903	-0.2531345	
0.262	-0.1595749	-0.2542842	
0.263	-0.1577471	-0.2554235	
0.264	-0.1559071	-0.256552	
0.265	-0.1540551	-0.2576697	
0.266	-0.152191	-0.2587764	
0.267	-0.150315	-0.2598719	
0.268	-0.1484271	-0.260956	
0.269	-0.1465276	-0.2620286	
0.27	-0.1446164	-0.2630895	
0.271	-0.1426937	-0.2641385	
0.272	-0.1407595	-0.2651755	
0.273	-0.1388141	-0.2662002	
0.274	-0.1368575	-0.2672126	
0.275	-0.1348898	-0.2682124	
0.276	-0.1329112	-0.2691996	
0.277	-0.1309218	-0.2701738	
0.278	-0.1289216	-0.2711351	
0.279	-0.1269109	-0.2720832	
0.28	-0.1248897	-0.273018	
0.281	-0.1228582	-0.2739392	
0.282	-0.1208165	-0.2748468	
0.283	-0.1187647	-0.2757407	
0.284	-0.1167031	-0.2766206	
0.285	-0.1146317	-0.2774864	
0.286	-0.1125506	-0.278338	
0.287	-0.1104601	-0.2791753	
0.288	-0.1083603	-0.279998	
0.289	-0.1062513	-0.2808061	
0.29	-0.1041332	-0.2815994	
0.291	-0.1020063	-0.2823777	
0.292	-0.0998707	-0.283141	
0.293	-0.09772652	-0.2838891	
0.294	-0.09557397	-0.284622	
0.295	-0.09341317	-0.2853393	
0.296	-0.09124433	-0.2860411	
0.297	-0.08906761	-0.2867273	
0.298	-0.08688315	-0.2873976	
0.299	-0.08469116	-0.288052	
0.3	-0.08249179	-0.2886904	
0.301	-0.08028521	-0.2893126	
0.302	-0.07807163	-0.2899186	
0.303	-0.07585119	-0.2905082	
0.304	-0.07362412	-0.2910813	
0.305	-0.07139056	-0.291638	
0.306	-0.06915071	-0.2921779	
0.307	-0.06690476	-0.292701	
0.308	-0.0646529	-0.2932074	
0.309	-0.06239532	-0.2936968	
0.31	-0.0601322	-0.2941692	
0.311	-0.05786375	-0.2946244	
0.312	-0.05559015	-0.2950625	
0.313	-0.0533116	-0.2954833	
0.314	-0.05102831	-0.2958868	
0.315	-0.04874045	-0.2962728	
0.316	-0.04644825	-0.2966415	
0.317	-0.04415189	-0.2969925	
0.318	-0.04185158	-0.2973259	
0.319	-0.03954753	-0.2976417	
0.32	-0.03723992	-0.2979397	
0.321	-0.03492898	-0.29822	
0.322	-0.03261491	-0.2984825	
0.323	-0.03029791	-0.298727	
0.324	-0.02797818	-0.2989537	
0.325	-0.02565595	-0.2991624	
0.326	-0.02333141	-0.2993531	
0.327	-0.02100478	-0.2995258	
0.328	-0.01867626	-0.2996804	
0.329	-0.01634607	-0.299817	
0.33	-0.01401442	-0.2999354	
0.331	-0.01168152	-0.3000357	
0.332	-0.009347577	-0.3001178	
0.333	-0.007012806	-0.3001817	
0.334	-0.00467742	-0.3002275	
0.335	-0.00234163	-0.3002551	
0.336	-5.648846E-06	-0.3002646	
0.337	0.00233031	-0.3002558	
0.338	0.004666035	-0.3002289	
0.339	0.007001314	-0.3001837	
0.34	0.009335934	-0.3001204	
0.341	0.01166968	-0.300039	
0.342	0.01400235	-0.2999393	
0.343	0.01633373	-0.2998216	
0.344	0.01866359	-0.2996858	
0.345	0.02099175	-0.2995319	
0.346	0.02331798	-0.2993599	
0.347	0.02564207	-0.2991699	
0.348	0.02796381	-0.2989619	
0.349	0.030283	-0.298736	
0.35	0.03259943	-0.2984922	
0.351	0.0349129	-0.2982305	
0.352	0.03722319	-0.2979511	
0.353	0.0395301	-0.2976538	
0.354	0.04183342	-0.2973388	
0.355	0.04413296	-0.2970062	
0.356	0.0464285	-0.296656	
0.357	0.04871985	-0.2962883	
0.358	0.05100682	-0.2959031	
0.359	0.05328919	-0.2955006	
0.36	0.05556677	-0.2950807	
0.361	0.05783937	-0.2946436	
0.362	0.06010678	-0.2941893	
0.363	0.06236882	-0.2937179	
0.364	0.06462529	-0.2932296	
0.365	0.06687601	-0.2927243	
0.366	0.06912077	-0.2922022	
0.367	0.0713594	-0.2916634	
0.368	0.07359172	-0.2911079	
0.369	0.07581752	-0.290536	
0.37	0.07803664	-0.2899475	
0.371	0.08024888	-0.2893429	
0.372	0.08245407	-0.2887219	
0.373	0.08465204	-0.2880848	
0.374	0.0868426	-0.2874317	
0.375	0.08902559	-0.2867628	
0.376	0.09120083	-0.2860781	
0.377	0.09336816	-0.2853777	
0.378	0.0955274	-0.2846619	
0.379	0.09767839	-0.2839306	
0.38	0.09982096	-0.283184	
0.381	0.101955	-0.2824223	
0.382	0.1040802	-0.2816456	
0.383	0.1061966	-0.280854	
0.384	0.1083039	-0.2800476	
0.385	0.110402	-0.2792266	
0.386	0.1124908	-0.2783912	
0.387	0.1145701	-0.2775414	
0.388	0.1166397	-0.2766775	
0.389	0.1186996	-0.2757995	
0.39	0.1207495	-0.2749076	
0.391	0.1227894	-0.274002	
0.392	0.124819	-0.2730828	
0.393	0.1268384	-0.2721501	
0.394	0.1288472	-0.2712041	
0.395	0.1308455	-0.2702451	
0.396	0.132833	-0.269273	
0.397	0.1348098	-0.2682881	
0.398	0.1367755	-0.2672907	
0.399	0.1387302	-0.2662807	
0.4	0.1406737	-0.2652583	
0.401	0.1426058	-0.2642238	
0.402	0.1445266	-0.2631774	
0.403	0.1464358	-0.262119	
0.404	0.1483334	-0.261049	
0.405	0.1502192	-0.2599676	
0.406	0.1520933	-0.2588748	
0.407	0.1539554	-0.2577709	
0.408	0.1558055	-0.256656	
0.409	0.1576434	-0.2555303	
0.41	0.1594692	-0.2543939	
0.411	0.1612826	-0.2532471	
0.412	0.1630838	-0.2520901	
0.413	0.1648724	-0.2509229	
0.414	0.1666485	-0.2497459	
0.415	0.168412	-0.2485591	
0.416	0.1701629	-0.2473627	
0.417	0.171901	-0.246157	
0.418	0.1736262	-0.2449421	
0.419	0.1753386	-0.2437181	
0.42	0.1770381	-0.2424853	
0.421	0.1787245	-0.2412439	
0.422	0.1803979	-0.239994	
0.423	0.1820582	-0.2387358	
0.424	0.1837054	-0.2374695	
0.425	0.1853393	-0.2361952	
0.426	0.18696	-0.2349133	
0.427	0.1885673	-0.2336237	
0.428	0.1901614	-0.2323269	
0.429	0.191742	-0.2310228	
0.43	0.1933093	-0.2297117	
0.431	0.1948631	-0.2283937	
0.432	0.1964035	-0.2270692	
0.433	0.1979304	-0.2257382	
0.434	0.1994437	-0.2244009	
0.435	0.2009435	-0.2230574	
0.436	0.2024297	-0.2217081	
