Time	Tension	Length	Ia	II	
2.123	31.50835	0.3344155	65.04237	26.93731	
2.124	31.52266	0.3344148	65.05667	26.93581	
2.125	31.5464	0.3344141	65.08042	26.93337	
2.126	31.57133	0.3344133	65.10535	26.9308	
2.127	31.5916	0.3344126	65.12563	26.9287	
2.128	31.6034	0.3344119	65.13742	26.92745	
2.129	31.60428	0.3344112	65.1383	26.92729	
2.13	31.59282	0.3344104	65.12684	26.92836	
2.131	31.56846	0.3344097	65.10249	26.93072	
2.132	31.53105	0.334409	65.06507	26.93439	
2.133	31.49176	0.3344083	65.02578	26.93825	
2.134	31.48625	0.3344075	65.02027	26.93873	
2.135	31.50108	0.3344068	65.0351	26.93717	
2.136	31.52528	0.3344061	65.0593	26.93468	
2.137	31.55072	0.3344054	65.08474	26.93207	
2.138	31.5715	0.3344047	65.10551	26.92991	
2.139	31.58373	0.3344039	65.11774	26.92862	
2.14	31.58504	0.3344032	65.11906	26.92842	
2.141	31.57404	0.3344025	65.10806	26.92944	
2.142	31.55009	0.3344018	65.08411	26.93177	
2.143	31.51307	0.3344011	65.0471	26.9354	
2.144	31.4742	0.3344004	65.00822	26.93921	
2.145	31.46912	0.3343997	65.00314	26.93966	
2.146	31.48436	0.334399	65.01839	26.93806	
2.147	31.50904	0.3343983	65.04306	26.93552	
2.148	31.53486	0.3343976	65.06889	26.93287	
2.149	31.5561	0.3343969	65.09012	26.93068	
2.15	31.56875	0.3343962	65.10277	26.92934	
2.151	31.57044	0.3343955	65.10446	26.9291	
2.152	31.5598	0.3343948	65.09383	26.93009	
2.153	31.53623	0.3343941	65.07025	26.93238	
2.154	31.49957	0.3343934	65.03358	26.93598	
2.155	31.46102	0.3343927	64.99503	26.93976	
2.156	31.45631	0.334392	64.99033	26.94017	
2.157	31.47193	0.3343913	65.00595	26.93854	
2.158	31.49693	0.3343906	65.03094	26.93596	
2.159	31.52316	0.33439	65.05717	26.93328	
2.16	31.5447	0.3343893	65.07872	26.93105	
