Time	FF	Vm	Ii	
0	0	-0.07	0	
0.002	0.02	-0.068	1E-08	
0.004	0.0396	-0.06604	1E-08	
0.006	0.05880801	-0.0641192	1E-08	
0.008	0.07763185	-0.06223682	1E-08	
0.01	0.09607922	-0.06039208	1E-08	
0.012	0.1141576	-0.05858424	1E-08	
0.014	0.1318745	-0.05681255	1E-08	
0.016	0.149237	-0.0550763	1E-08	
0.018	0.1662522	-0.05337477	1E-08	
0.02	0.1829272	-0.05170728	1E-08	
0.022	0.1992686	-0.05007314	1E-08	
0.024	0.2152833	-0.04847167	1E-08	
0.026	0.2309776	-0.04690224	1E-08	
0.028	0.2463581	-0.04536419	1E-08	
0.03	0.2614309	-0.04385691	1E-08	
0.032	0.2762023	-0.04237977	1E-08	
0.034	0.2906783	-0.04093217	1E-08	
0.036	0.3048647	-0.03951353	1E-08	
0.038	0.3187674	-0.03812326	1E-08	
0.04	0.332392	-0.0367608	1E-08	
0.042	0.3457442	-0.03542558	1E-08	
0.044	0.3588293	-0.03411707	1E-08	
0.046	0.3716527	-0.03283473	1E-08	
0.048	0.3842196	-0.03157803	1E-08	
0.05	0.3965353	-0.03034647	1E-08	
0.052	0.4086046	-0.02913954	1E-08	
0.054	0.4204325	-0.02795675	1E-08	
0.056	0.4320239	-0.02679761	1E-08	
0.058	0.4433834	-0.02566166	1E-08	
0.06	0.4545157	-0.02454843	1E-08	
0.062	0.4654254	-0.02345746	1E-08	
0.064	0.4761169	-0.02238831	1E-08	
0.066	0.4865946	-0.02134054	1E-08	
0.068	0.4968627	-0.02031373	1E-08	
0.07	0.5069255	-0.01930746	1E-08	
0.072	0.5167869	-0.01832131	1E-08	
0.074	0.5264512	-0.01735488	1E-08	
0.07600001	0.5359222	-0.01640778	1E-08	
0.078	0.5452037	-0.01547963	1E-08	
0.08000001	0.5542997	-0.01457004	1E-08	
0.082	0.5632137	-0.01367863	1E-08	
0.08400001	0.5719494	-0.01280506	1E-08	
0.086	0.5805104	-0.01194896	1E-08	
0.08800001	0.5889002	-0.01110998	1E-08	
0.09	0.5971223	-0.01028778	1E-08	
0.09200001	0.6051798	-0.009482022	1E-08	
0.094	0.6130762	-0.00869238	1E-08	
0.096	0.6208147	-0.007918533	1E-08	
0.098	0.6283984	-0.007160164	1E-08	
0.1	0.6358304	-0.006416962	1E-08	
0.102	0.6431138	-0.005688623	1E-08	
0.104	0.6502515	-0.00497485	1E-08	
0.106	0.6572465	-0.004275352	1E-08	
0.108	0.6641015	-0.003589846	1E-08	
0.11	0.6708195	-0.00291805	1E-08	
0.112	0.6774032	-0.002259687	1E-08	
0.114	0.6838551	-0.001614496	1E-08	
0.116	0.690178	-0.0009822026	1E-08	
0.118	0.6963744	-0.0003625602	1E-08	
0.12	0.7024469	0.000244692	1E-08	
0.122	0.708398	0.0008397996	1E-08	
0.124	0.71423	0.001423001	1E-08	
0.126	0.7199454	0.001994543	1E-08	
0.128	0.7255465	0.002554655	1E-08	
0.13	0.7310356	0.003103562	1E-08	
0.132	0.7364149	0.003641494	1E-08	
0.134	0.7416867	0.004168667	1E-08	
0.136	0.7468529	0.00468529	1E-08	
0.138	0.7519159	0.005191587	1E-08	
0.14	0.7568776	0.005687758	1E-08	
0.142	0.7617401	0.006174006	1E-08	
0.144	0.7665052	0.006650522	1E-08	
0.146	0.7711751	0.00711751	1E-08	
0.148	0.7757516	0.007575162	1E-08	
0.15	0.7802366	0.008023657	1E-08	
0.152	0.7846318	0.008463182	1E-08	
0.154	0.7889391	0.008893915	1E-08	
0.156	0.7931603	0.009316035	1E-08	
0.158	0.7972971	0.009729713	1E-08	
0.16	0.8013512	0.01013512	1E-08	
0.162	0.8053242	0.01053242	1E-08	
0.164	0.8092177	0.01092177	1E-08	
0.166	0.8130333	0.01130334	1E-08	
0.168	0.8167726	0.01167727	1E-08	
0.17	0.8204372	0.01204372	1E-08	
0.172	0.8240285	0.01240285	1E-08	
0.174	0.8275479	0.01275479	1E-08	
0.176	0.8309969	0.01309969	1E-08	
0.178	0.8343769	0.0134377	1E-08	
0.18	0.8376894	0.01376894	1E-08	
0.182	0.8409356	0.01409356	1E-08	
0.184	0.8441169	0.0144117	1E-08	
0.186	0.8472347	0.01472346	1E-08	
