Time	Body_X	Body_Y	Body_Z	Joint_1	
0.081	-6.475771E-06	-0.03178438	-1.50002	-0.03178439	
0.082	-6.637665E-06	-0.03257899	-1.50002	-0.032579	
0.083	-6.801557E-06	-0.03338341	-1.500021	-0.03338342	
0.08400001	-6.967449E-06	-0.03419764	-1.500021	-0.03419765	
0.085	-7.135339E-06	-0.03502168	-1.500021	-0.03502169	
0.086	-7.305227E-06	-0.03585553	-1.500022	-0.03585554	
0.087	-7.477115E-06	-0.03669919	-1.500022	-0.03669919	
0.08800001	-7.651001E-06	-0.03755265	-1.500023	-0.03755266	
0.089	-7.826887E-06	-0.03841593	-1.500023	-0.03841594	
0.09	-8.00477E-06	-0.03928902	-1.500024	-0.03928903	
0.09100001	-8.184653E-06	-0.04017192	-1.500025	-0.04017193	
0.09200001	-8.366534E-06	-0.04106463	-1.500025	-0.04106464	
0.093	-8.550413E-06	-0.04196715	-1.500026	-0.04196716	
0.094	-8.736291E-06	-0.04287948	-1.500026	-0.04287949	
0.09500001	-8.924168E-06	-0.04380162	-1.500027	-0.04380163	
0.096	-9.114045E-06	-0.04473357	-1.500028	-0.04473358	
0.097	-9.305919E-06	-0.04567532	-1.500028	-0.04567533	
0.098	-9.499792E-06	-0.04662689	-1.500029	-0.0466269	
0.09900001	-9.695664E-06	-0.04758827	-1.500029	-0.04758828	
0.1	-9.893534E-06	-0.04855946	-1.50003	-0.04855947	
0.101	-1.00934E-05	-0.04954046	-1.500031	-0.04954047	
0.102	-1.029527E-05	-0.05053126	-1.500031	-0.05053128	
0.103	-1.049914E-05	-0.05153188	-1.500032	-0.05153189	
0.104	-1.0705E-05	-0.05254231	-1.500032	-0.05254232	
0.105	-1.091287E-05	-0.05356255	-1.500033	-0.05356256	
0.106	-1.112273E-05	-0.0545926	-1.500033	-0.05459261	
0.107	-1.133459E-05	-0.05563246	-1.500034	-0.05563247	
0.108	-1.154845E-05	-0.05668212	-1.500035	-0.05668214	
0.109	-1.176431E-05	-0.0577416	-1.500035	-0.05774162	
0.11	-1.198217E-05	-0.05881089	-1.500036	-0.05881091	
0.111	-1.220202E-05	-0.05988999	-1.500037	-0.05989001	
0.112	-1.242388E-05	-0.0609789	-1.500037	-0.06097892	
0.113	-1.264773E-05	-0.06207762	-1.500038	-0.06207763	
0.114	-1.287358E-05	-0.06318615	-1.500039	-0.06318616	
0.115	-1.310144E-05	-0.06430449	-1.500039	-0.0643045	
0.116	-1.333129E-05	-0.06543263	-1.50004	-0.06543265	
0.117	-1.356313E-05	-0.06657059	-1.500041	-0.0665706	
0.118	-1.379698E-05	-0.06771836	-1.500042	-0.06771837	
0.119	-1.403283E-05	-0.06887594	-1.500042	-0.06887595	
0.12	-1.427067E-05	-0.07004333	-1.500043	-0.07004334	
0.121	-1.451051E-05	-0.07122052	-1.500044	-0.07122054	
0.122	-1.475236E-05	-0.07240754	-1.500044	-0.07240755	
0.123	-1.49962E-05	-0.07360435	-1.500045	-0.07360437	
0.124	-1.524204E-05	-0.07481098	-1.500046	-0.074811	
0.125	-1.548987E-05	-0.07602742	-1.500047	-0.07602744	
0.126	-1.573971E-05	-0.07725367	-1.500047	-0.07725368	
0.127	-1.599155E-05	-0.07848973	-1.500048	-0.07848974	
0.128	-1.624538E-05	-0.0797356	-1.500049	-0.07973562	
