Time	Y	
0.281	-0.06931376	
0.282	-0.07037401	
0.283	-0.07143635	
0.284	-0.07250078	
0.285	-0.07356727	
0.286	-0.07463583	
0.287	-0.07570644	
0.288	-0.07677908	
0.289	-0.07785376	
0.29	-0.07893045	
0.291	-0.08000915	
0.292	-0.08108985	
0.293	-0.08217254	
0.294	-0.08325719	
0.295	-0.08434381	
0.296	-0.08543237	
0.297	-0.08652289	
0.298	-0.08761533	
0.299	-0.0887097	
0.3	-0.08980598	
0.301	-0.09090417	
0.302	-0.09200423	
0.303	-0.09310618	
0.304	-0.09421	
0.305	-0.09531568	
0.306	-0.0964232	
0.307	-0.09753256	
0.308	-0.09864376	
0.309	-0.09975677	
0.31	-0.1008716	
0.311	-0.1019882	
0.312	-0.1031066	
0.313	-0.1042268	
0.314	-0.1053488	
0.315	-0.1064725	
0.316	-0.1075979	
0.317	-0.1087251	
0.318	-0.109854	
0.319	-0.1109847	
0.32	-0.112117	
0.321	-0.1132511	
0.322	-0.1143868	
0.323	-0.1155243	
0.324	-0.1166634	
0.325	-0.1178041	
0.326	-0.1189465	
0.327	-0.1200906	
0.328	-0.1212362	
0.329	-0.1223835	
0.33	-0.1235325	
0.331	-0.124683	
0.332	-0.1258351	
0.333	-0.1269888	
0.334	-0.1281441	
0.335	-0.129301	
0.336	-0.1304594	
0.337	-0.1316193	
0.338	-0.1327808	
0.339	-0.1339439	
0.34	-0.1351084	
0.341	-0.1362745	
0.342	-0.1374421	
0.343	-0.1386111	
0.344	-0.1397817	
0.345	-0.1409537	
0.346	-0.1421272	
0.347	-0.1433022	
0.348	-0.1444786	
0.349	-0.1456565	
0.35	-0.1468358	
0.351	-0.1480166	
0.352	-0.1491987	
0.353	-0.1503823	
0.354	-0.1515673	
0.355	-0.1527536	
0.356	-0.1539414	
0.357	-0.1551305	
0.358	-0.156321	
0.359	-0.1575129	
0.36	-0.1587061	
0.361	-0.1599007	
0.362	-0.1610966	
0.363	-0.1622938	
0.364	-0.1634924	
0.365	-0.1646922	
0.366	-0.1658934	
0.367	-0.1670958	
0.368	-0.1682996	
0.369	-0.1695046	
0.37	-0.170711	
0.371	-0.1719185	
0.372	-0.1731274	
0.373	-0.1743375	
0.374	-0.1755488	
0.375	-0.1767614	
0.376	-0.1779752	
0.377	-0.1791902	
0.378	-0.1804065	
0.379	-0.1816239	
0.38	-0.1828425	
0.381	-0.1840624	
0.382	-0.1852834	
0.383	-0.1865056	
0.384	-0.187729	
0.385	-0.1889535	
0.386	-0.1901792	
0.387	-0.191406	
0.388	-0.192634	
0.389	-0.1938631	
0.39	-0.1950934	
0.391	-0.1963248	
0.392	-0.1975572	
0.393	-0.1987908	
0.394	-0.2000255	
0.395	-0.2012613	
0.396	-0.2024982	
0.397	-0.2037361	
0.398	-0.2049751	
0.399	-0.2062152	
0.4	-0.2074564	
0.401	-0.2086986	
0.402	-0.2099418	
0.403	-0.2111861	
0.404	-0.2124314	
0.405	-0.2136778	
0.406	-0.2149252	
0.407	-0.2161736	
0.408	-0.217423	
0.409	-0.2186734	
0.41	-0.2199248	
0.411	-0.2211772	
0.412	-0.2224305	
0.413	-0.2236849	
0.414	-0.2249402	
0.415	-0.2261965	
0.416	-0.2274538	
0.417	-0.228712	
0.418	-0.2299711	
0.419	-0.2312312	
0.42	-0.2324922	
0.421	-0.2337542	
0.422	-0.235017	
0.423	-0.2362808	
0.424	-0.2375455	
0.425	-0.2388112	
0.426	-0.2400777	
0.427	-0.2413451	
0.428	-0.2426134	
0.429	-0.2438825	
0.43	-0.2451526	
0.431	-0.2464235	
0.432	-0.2476953	
0.433	-0.248968	
0.434	-0.2502415	
0.435	-0.2515159	
0.436	-0.2527911	
0.437	-0.2540671	
0.438	-0.255344	
0.439	-0.2566217	
0.44	-0.2579002	
0.441	-0.2591796	
0.442	-0.2604598	
0.443	-0.2617407	
0.444	-0.2630225	
0.445	-0.2643051	
0.446	-0.2655885	
0.447	-0.2668726	
0.448	-0.2681575	
0.449	-0.2694432	
0.45	-0.2707298	
0.451	-0.272017	
0.452	-0.273305	
0.453	-0.2745938	
0.454	-0.2758833	
0.455	-0.2771736	
0.456	-0.2784646	
0.457	-0.2797563	
0.458	-0.2810488	
0.459	-0.282342	
0.46	-0.283636	
0.461	-0.2849307	
0.462	-0.286226	
0.463	-0.2875221	
0.464	-0.2888189	
0.465	-0.2901164	
0.466	-0.2914146	
0.467	-0.2927135	
0.468	-0.2940131	
0.469	-0.2953133	
0.47	-0.2966143	
0.471	-0.2979158	
0.472	-0.2992181	
0.473	-0.300521	
0.474	-0.3018247	
0.475	-0.3031289	
0.476	-0.3044338	
0.477	-0.3057394	
0.478	-0.3070455	
0.479	-0.3083524	
0.48	-0.3096599	
0.481	-0.310968	
0.482	-0.3122767	
0.483	-0.3135861	
0.484	-0.314896	
0.485	-0.3162066	
0.486	-0.3175178	
0.487	-0.3188296	
0.488	-0.3201421	
0.489	-0.3214551	
0.49	-0.3227687	
0.491	-0.3240829	
0.492	-0.3253977	
0.493	-0.326713	
0.494	-0.328029	
0.495	-0.3293455	
0.496	-0.3306626	
0.497	-0.3319803	
0.498	-0.3332985	
0.499	-0.3346173	
0.5	-0.3359366	
0.501	-0.3372565	
0.502	-0.338577	
0.503	-0.339898	
0.504	-0.3412195	
0.505	-0.3425415	
0.506	-0.3438642	
0.507	-0.3451873	
0.508	-0.346511	
0.509	-0.3478352	
0.5100001	-0.3491599	
0.511	-0.3504851	
0.512	-0.3518109	
0.513	-0.3531371	
0.514	-0.3544639	
0.515	-0.3557912	
0.516	-0.357119	
0.517	-0.3584473	
0.518	-0.359776	
0.5190001	-0.3611053	
0.52	-0.362435	
0.521	-0.3637652	
0.522	-0.3650959	
0.523	-0.3664271	
0.524	-0.3677588	
0.525	-0.3690909	
0.526	-0.3704235	
0.527	-0.3717566	
0.528	-0.3730901	
0.529	-0.3744241	
0.53	-0.3757586	
0.531	-0.3770935	
0.532	-0.3784288	
0.5330001	-0.3797646	
0.534	-0.3811009	
0.535	-0.3824375	
0.536	-0.3837746	
0.537	-0.3851122	
0.538	-0.3864502	
0.539	-0.3877886	
0.54	-0.3891274	
0.541	-0.3904667	
0.5420001	-0.3918064	
0.543	-0.3931465	
0.544	-0.394487	
0.545	-0.3958279	
