Time	Root2_Y	Root_Y	
1.79	0.4414054	0	
1.7905	0.4414005	0	
1.791	0.4413955	0	
1.7915	0.4413906	0	
1.792	0.4413857	0	
1.7925	0.4413807	0	
1.793	0.4413758	0	
1.7935	0.4413709	0	
1.794	0.441366	0	
1.7945	0.441361	0	
1.795	0.441356	0	
1.7955	0.4413511	0	
1.796	0.4413462	0	
1.7965	0.4413412	0	
1.797	0.4413363	0	
1.7975	0.4413314	0	
1.798	0.4413264	0	
1.7985	0.4413214	0	
1.799	0.4413165	0	
1.7995	0.4413116	0	
1.8	0.4413066	0	
1.8005	0.4413016	0	
1.801	0.4412967	0	
1.8015	0.4412917	0	
1.802	0.4412868	0	
1.8025	0.4412818	0	
1.803	0.4412768	0	
1.8035	0.4412719	0	
1.804	0.4412669	0	
1.8045	0.4412619	0	
1.805	0.441257	0	
1.8055	0.441252	0	
1.806	0.441247	0	
1.8065	0.441242	0	
1.807	0.4412371	0	
1.8075	0.4412321	0	
1.808	0.4412271	0	
1.8085	0.4412222	0	
1.809	0.4412172	0	
1.8095	0.4412122	0	
1.81	0.4412072	0	
1.8105	0.4412022	0	
1.811	0.4411972	0	
1.8115	0.4411922	0	
1.812	0.4411873	0	
1.8125	0.4411823	0	
1.813	0.4411773	0	
1.8135	0.4411723	0	
1.814	0.4411673	0	
1.8145	0.4411623	0	
1.815	0.4411573	0	
1.8155	0.4411523	0	
1.816	0.4411473	0	
1.8165	0.4411423	0	
1.817	0.4411373	0	
1.8175	0.4411323	0	
1.818	0.4411273	0	
1.8185	0.4411223	0	
1.819	0.4411173	0	
1.8195	0.4411123	0	
1.82	0.4411073	0	
1.8205	0.4411023	0	
1.821	0.4410973	0	
1.8215	0.4410923	0	
1.822	0.4410872	0	
1.8225	0.4410822	0	
1.823	0.4410772	0	
1.8235	0.4410722	0	
1.824	0.4410672	0	
1.8245	0.4410622	0	
1.825	0.4410571	0	
1.8255	0.4410521	0	
1.826	0.4410471	0	
1.8265	0.441042	0	
1.827	0.441037	0	
1.8275	0.441032	0	
1.828	0.441027	0	
1.8285	0.4410219	0	
1.829	0.4410169	0	
1.8295	0.4410119	0	
1.83	0.4410069	0	
1.8305	0.4410018	0	
1.831	0.4409967	0	
1.8315	0.4409917	0	
1.832	0.4409867	0	
1.8325	0.4409816	0	
1.833	0.4409766	0	
1.8335	0.4409716	0	
1.834	0.4409665	0	
1.8345	0.4409615	0	
1.835	0.4409564	0	
1.8355	0.4409513	0	
1.836	0.4409463	0	
1.8365	0.4409412	0	
1.837	0.4409362	0	
1.8375	0.4409311	0	
1.838	0.4409261	0	
1.8385	0.440921	0	
1.839	0.440916	0	
1.8395	0.4409109	0	
1.84	0.4409059	0	
1.8405	0.4409008	0	
1.841	0.4408957	0	
1.8415	0.4408906	0	
1.842	0.4408856	0	
1.8425	0.4408805	0	
1.843	0.4408754	0	
1.8435	0.4408704	0	
1.844	0.4408653	0	
1.8445	0.4408602	0	
1.845	0.4408551	0	
1.8455	0.4408501	0	
1.846	0.440845	0	
1.8465	0.4408399	0	
1.847	0.4408348	0	
1.8475	0.4408297	0	
1.848	0.4408247	0	
1.8485	0.4408196	0	
1.849	0.4408145	0	
1.8495	0.4408094	0	
1.85	0.4408043	0	
1.8505	0.4407992	0	
1.851	0.4407941	0	
1.8515	0.440789	0	
1.852	0.4407839	0	
1.8525	0.4407788	0	
1.853	0.4407737	0	
1.8535	0.4407686	0	
1.854	0.4407635	0	
1.8545	0.4407584	0	
1.855	0.4407533	0	
1.8555	0.4407482	0	
1.856	0.4407431	0	
1.8565	0.440738	0	
1.857	0.4407329	0	
1.8575	0.4407278	0	
1.858	0.4407227	0	
1.8585	0.4407175	0	
1.859	0.4407125	0	
1.8595	0.4407073	0	
1.86	0.4407022	0	
1.8605	0.4406971	0	
1.861	0.4406919	0	
1.8615	0.4406869	0	
1.862	0.4406818	0	
1.8625	0.4406766	0	
1.863	0.4406715	0	
1.8635	0.4406663	0	
1.864	0.4406612	0	
1.8645	0.4406561	0	
1.865	0.4406509	0	
1.8655	0.4406458	0	
1.866	0.4406407	0	
1.8665	0.4406355	0	
1.867	0.4406304	0	
1.8675	0.4406253	0	
1.868	0.4406202	0	
1.8685	0.440615	0	
1.869	0.4406098	0	
1.8695	0.4406047	0	
1.87	0.4405996	0	
1.8705	0.4405944	0	
1.871	0.4405893	0	
1.8715	0.4405842	0	
1.872	0.440579	0	
1.8725	0.4405738	0	
1.873	0.4405687	0	
1.8735	0.4405635	0	
1.874	0.4405584	0	
1.8745	0.4405532	0	
1.875	0.440548	0	
1.8755	0.4405429	0	
1.876	0.4405378	0	
1.8765	0.4405326	0	
1.877	0.4405274	0	
1.8775	0.4405223	0	
1.878	0.4405171	0	
1.8785	0.4405119	0	
1.879	0.4405068	0	
1.8795	0.4405015	0	
1.88	0.4404964	0	
1.8805	0.4404912	0	
1.881	0.440486	0	
1.8815	0.4404809	0	
1.882	0.4404757	0	
1.8825	0.4404705	0	
1.883	0.4404654	0	
1.8835	0.4404602	0	
1.884	0.440455	0	
1.8845	0.4404498	0	
1.885	0.4404446	0	
1.8855	0.4404394	0	
1.886	0.4404342	0	
1.8865	0.440429	0	
1.887	0.4404239	0	
1.8875	0.4404187	0	
1.888	0.4404135	0	
1.8885	0.4404106	0	
1.889	0.4404077	0	
1.8895	0.4404049	0	
1.89	0.4404019	0	
1.8905	0.4403991	0	
1.891	0.4403962	0	
1.8915	0.4403933	0	
1.892	0.4403904	0	
1.8925	0.4403876	0	
1.893	0.4403847	0	
1.8935	0.4403818	0	
1.894	0.4403789	0	
1.8945	0.440376	0	
1.895	0.4403732	0	
1.8955	0.4403703	0	
1.896	0.4403674	0	
1.8965	0.4403645	0	
1.897	0.4403616	0	
1.8975	0.4403587	0	
1.898	0.4403558	0	
1.8985	0.440353	0	
1.899	0.4403501	0	
1.8995	0.4403472	0	
1.9	0.4403443	0	
1.9005	0.4403414	0	
1.901	0.4403385	0	
1.9015	0.4403356	0	
1.902	0.4403327	0	
1.9025	0.4403298	0	
1.903	0.4403269	0	
1.9035	0.440324	0	
1.904	0.4403211	0	
1.9045	0.4403182	0	
1.905	0.4403153	0	
1.9055	0.4403124	0	
1.906	0.4403095	0	
1.9065	0.4403066	0	
1.907	0.4403037	0	
1.9075	0.4403009	0	
1.908	0.4402979	0	
1.9085	0.440295	0	
1.909	0.4402921	0	
1.9095	0.4402892	0	
1.91	0.4402863	0	
1.9105	0.4402834	0	
1.911	0.4402805	0	
1.9115	0.4402776	0	
1.912	0.4402747	0	
1.9125	0.4402718	0	
1.913	0.4402694	0	
1.9135	0.4402665	0	
1.914	0.440261	0	
1.9145	0.4402567	0	
1.915	0.4402516	0	
1.9155	0.4402459	0	
1.916	0.4402395	0	
1.9165	0.4402306	0	
1.917	0.4402228	0	
1.9175	0.4402147	0	
1.918	0.4402065	0	
1.9185	0.4401984	0	
1.919	0.4401903	0	
1.9195	0.4401822	0	
1.92	0.440174	0	
1.9205	0.4401659	0	
1.921	0.4401577	0	
1.9215	0.4401496	0	
1.922	0.4401414	0	
1.9225	0.4401333	0	
1.923	0.4401251	0	
1.9235	0.4401169	0	
1.924	0.4401088	0	
1.9245	0.4401006	0	
1.925	0.4400924	0	
1.9255	0.4400842	0	
1.926	0.4400761	0	
1.9265	0.4400679	0	
1.927	0.4400597	0	
1.9275	0.4400515	0	
1.928	0.4400433	0	
1.9285	0.4400351	0	
1.929	0.4400268	0	
1.9295	0.4400187	0	
1.93	0.4400105	0	
1.9305	0.4400022	0	
1.931	0.439994	0	
1.9315	0.4399858	0	
1.932	0.4399776	0	
1.9325	0.4399693	0	
1.933	0.439961	0	
1.9335	0.4399528	0	
1.934	0.4399446	0	
1.9345	0.4399363	0	
1.935	0.4399281	0	
1.9355	0.4399198	0	
1.936	0.4399116	0	
1.9365	0.4399033	0	
1.937	0.439895	0	
1.9375	0.4398874	0	
1.938	0.4398791	0	
1.9385	0.4398708	0	
1.939	0.4398625	0	
1.9395	0.4398542	0	
1.94	0.4398459	0	
1.9405	0.4398377	0	
1.941	0.4398293	0	
1.9415	0.439821	0	
1.942	0.4398127	0	
1.9425	0.4398044	0	
1.943	0.4397961	0	
1.9435	0.4397878	0	
1.944	0.4397794	0	
1.9445	0.4397711	0	
1.945	0.4397628	0	
1.9455	0.4397545	0	
1.946	0.4397461	0	
1.9465	0.4397378	0	
1.947	0.4397294	0	
1.9475	0.4397211	0	
1.948	0.4397127	0	
1.9485	0.4397043	0	
1.949	0.439696	0	
1.9495	0.4396876	0	
1.95	0.4396792	0	
1.9505	0.4396709	0	
1.951	0.4396625	0	
1.9515	0.4396541	0	
1.952	0.4396457	0	
1.9525	0.4396374	0	
1.953	0.439629	0	
1.9535	0.4396206	0	
1.954	0.4396122	0	
1.9545	0.4396038	0	
1.955	0.4395954	0	
1.9555	0.439587	0	
1.956	0.4395785	0	
1.9565	0.4395702	0	
1.957	0.4395617	0	
1.9575	0.4395533	0	
1.958	0.4395449	0	
1.9585	0.4395364	0	
1.959	0.439528	0	
1.9595	0.4395196	0	
1.96	0.4395111	0	
1.9605	0.4395027	0	
1.961	0.4394942	0	
1.9615	0.4394858	0	
1.962	0.4394774	0	
1.9625	0.4394689	0	
1.963	0.4394604	0	
1.9635	0.4394519	0	
1.964	0.4394435	0	
1.9645	0.439435	0	
1.965	0.4394266	0	
1.9655	0.4394181	0	
1.966	0.4394096	0	
1.9665	0.4394011	0	
1.967	0.4393926	0	
1.9675	0.4393841	0	
1.968	0.4393756	0	
1.9685	0.4393671	0	
1.969	0.4393586	0	
1.9695	0.4393501	0	
1.97	0.4393416	0	
1.9705	0.4393331	0	
1.971	0.4393246	0	
1.9715	0.439316	0	
1.972	0.4393075	0	
1.9725	0.439299	0	
1.973	0.4392905	0	
1.9735	0.4392819	0	
1.974	0.4392734	0	
1.9745	0.4392649	0	
1.975	0.4392563	0	
1.9755	0.4392478	0	
1.976	0.4392392	0	
1.9765	0.4392307	0	
1.977	0.4392221	0	
1.9775	0.4392136	0	
1.978	0.439205	0	
1.9785	0.4391964	0	
1.979	0.4391878	0	
1.9795	0.4391793	0	
1.98	0.4391707	0	
1.9805	0.4391621	0	
1.981	0.4391535	0	
1.9815	0.4391449	0	
1.982	0.4391363	0	
1.9825	0.4391277	0	
1.983	0.4391192	0	
1.9835	0.4391105	0	
1.984	0.4391019	0	
1.9845	0.4390933	0	
1.985	0.4390847	0	
1.9855	0.4390761	0	
1.986	0.4390675	0	
1.9865	0.4390588	0	
1.987	0.4390502	0	
1.9875	0.4390416	0	
1.988	0.4390329	0	
1.9885	0.4390243	0	
1.989	0.4390157	0	
