Time	Child_Y	Joint_Y	Root2_Y	Root_Y	
2.224	0.4247012	0.4999796	0.4790093	0	
2.2245	0.4247012	0.4999796	0.4790177	0	
2.225	0.4247012	0.4999796	0.4790261	0	
2.2255	0.4247012	0.4999796	0.4790345	0	
2.226	0.4247012	0.4999796	0.479043	0	
2.2265	0.4247012	0.4999796	0.4790514	0	
2.227	0.4247012	0.4999796	0.4790598	0	
2.2275	0.4247012	0.4999796	0.4790681	0	
2.228	0.4247012	0.4999796	0.4790765	0	
2.2285	0.4247012	0.4999796	0.479085	0	
2.229	0.4247012	0.4999796	0.4790934	0	
2.2295	0.4247012	0.4999796	0.4791017	0	
2.23	0.4247012	0.4999796	0.4791102	0	
2.2305	0.4247012	0.4999796	0.4791186	0	
2.231	0.4247012	0.4999796	0.4791269	0	
2.2315	0.4247012	0.4999796	0.4791353	0	
2.232	0.4247012	0.4999796	0.4791437	0	
2.2325	0.4247012	0.4999796	0.4791521	0	
2.233	0.4247012	0.4999796	0.4791605	0	
2.2335	0.4247012	0.4999796	0.4791689	0	
2.234	0.4247012	0.4999796	0.4791772	0	
2.2345	0.4247012	0.4999796	0.4791856	0	
2.235	0.4247012	0.4999796	0.479194	0	
2.2355	0.4247012	0.4999796	0.4792024	0	
2.236	0.4247012	0.4999796	0.4792107	0	
2.2365	0.4247012	0.4999796	0.4792191	0	
2.237	0.4247012	0.4999796	0.4792275	0	
2.2375	0.4247012	0.4999796	0.4792359	0	
2.238	0.4247012	0.4999796	0.4792442	0	
2.2385	0.4247012	0.4999796	0.4792526	0	
2.239	0.4247012	0.4999796	0.479261	0	
2.2395	0.4247012	0.4999796	0.4792693	0	
2.24	0.4247012	0.4999796	0.4792777	0	
2.2405	0.4247012	0.4999796	0.479286	0	
2.241	0.4247012	0.4999796	0.4792944	0	
2.2415	0.4247012	0.4999796	0.4793027	0	
2.242	0.4247012	0.4999796	0.4793111	0	
2.2425	0.4247012	0.4999796	0.4793195	0	
2.243	0.4247012	0.4999796	0.4793278	0	
2.2435	0.4247012	0.4999796	0.4793362	0	
2.244	0.4247012	0.4999796	0.4793445	0	
2.2445	0.4247012	0.4999796	0.4793529	0	
2.245	0.4247012	0.4999796	0.4793613	0	
2.2455	0.4247012	0.4999796	0.4793696	0	
2.246	0.4247012	0.4999796	0.479378	0	
2.2465	0.4247012	0.4999796	0.4793863	0	
2.247	0.4247012	0.4999796	0.4793946	0	
2.2475	0.4247012	0.4999796	0.4794029	0	
2.248	0.4247012	0.4999796	0.4794113	0	
2.2485	0.4247012	0.4999796	0.4794196	0	
2.249	0.4247012	0.4999796	0.479428	0	
2.2495	0.4247012	0.4999796	0.4794363	0	
2.25	0.4247012	0.4999796	0.4794447	0	
2.2505	0.4247012	0.4999796	0.4794529	0	
2.251	0.4247012	0.4999796	0.4794613	0	
2.2515	0.4247012	0.4999796	0.4794696	0	
2.252	0.4247012	0.4999796	0.4794779	0	
