Time	A1	A2	A3	A4	A5	A6	
38.01	0	0	0	0	0.07161683	1.165471E-05	
38.012	0	0	0	0	0.0715214	1.163918E-05	
38.014	0	0	0	0	0.07142609	1.162368E-05	
38.016	0	0	0	0	0.07133096	1.16082E-05	
38.018	0	0	0	0	0.0712359	1.159274E-05	
38.02	0	0	0	0	0.07114094	1.157731E-05	
38.022	0	0	0	0	0.07104617	1.156189E-05	
38.024	0	0	0	0	0.07095152	1.154648E-05	
38.026	0	0	0	0	0.07085699	1.15311E-05	
38.028	0	0	0	0	0.07076257	1.151573E-05	
38.03	0	0	0	0	0.07066822	1.150039E-05	
38.032	0	0	0	0	0.07057405	1.148507E-05	
38.034	0	0	0	0	0.07048005	1.146976E-05	
38.036	0	0	0	0	0.07038617	1.145448E-05	
38.038	0	0	0	0	0.07029235	1.143922E-05	
38.04	0	0	0	0	0.07019871	1.142397E-05	
38.042	0	0	0	0	0.0701052	1.140876E-05	
38.044	0	0	0	0	0.07001179	1.139357E-05	
38.046	0	0	0	0	0.06991845	1.137839E-05	
38.048	0	0	0	0	0.06982535	1.136325E-05	
38.05	0	0	0	0	0.06973231	1.134812E-05	
38.052	0	0	0	0	0.06963938	1.1333E-05	
38.054	0	0	0	0	0.06954664	1.131791E-05	
38.056	0	0	0	0	0.06945395	1.130284E-05	
38.058	0	0	0	0	0.06936139	1.128778E-05	
38.06	0	0	0	0	0.069269	1.127275E-05	
38.062	0	0	0	0	0.06917673	1.125775E-05	
38.064	0	0	0	0	0.06908453	1.124276E-05	
38.066	0	0	0	0	0.06899244	1.122781E-05	
38.068	0	0	0	0	0.06890053	1.121285E-05	
38.07	0	0	0	0	0.06880873	1.11979E-05	
38.072	0	0	0	0	0.068717	1.118299E-05	
38.074	0	0	0	0	0.06862545	1.116811E-05	
38.076	0	0	0	0	0.06853402	1.115322E-05	
38.078	0	0	0	0	0.06844264	1.113838E-05	
38.08	0	0	0	0	0.06835145	1.112353E-05	
38.082	0	0	0	0	0.06826043	1.110872E-05	
38.084	0	0	0	0	0.06816947	1.109394E-05	
38.086	0	0	0	0	0.06807864	1.107918E-05	
38.088	0	0	0	0	0.06798786	1.106444E-05	
38.09	0	0	0	0	0.06789726	1.10497E-05	
38.092	0	0	0	0	0.06780684	1.103499E-05	
38.094	0	0	0	0	0.06771648	1.102028E-05	
38.096	0	0	0	0	0.06762624	1.10056E-05	
38.098	0	0	0	0	0.06753618	1.099093E-05	
