Time	II	Ia	Length	
0.168	160.9207	58.29782	0.5	
0.169	160.9056	58.34413	0.5	
0.17	160.8903	58.39073	0.5	
0.171	160.875	58.43762	0.5	
0.172	160.8595	58.48479	0.5	
0.173	160.844	58.53223	0.5	
0.174	160.8284	58.57996	0.5	
0.175	160.8127	58.62796	0.5	
0.176	160.7969	58.67623	0.5	
0.177	160.781	58.72477	0.5	
0.178	160.765	58.77358	0.5	
0.179	160.7489	58.82265	0.5	
0.18	160.7328	58.87199	0.5	
0.181	160.7166	58.92158	0.5	
0.182	160.7003	58.97143	0.5	
0.183	160.6839	59.02153	0.5	
0.184	160.6674	59.07188	0.5	
0.185	160.6508	59.12247	0.5	
0.186	160.6342	59.17331	0.5	
0.187	160.6175	59.22439	0.5	
0.188	160.6007	59.27571	0.5	
0.189	160.5838	59.32727	0.5	
0.19	160.5669	59.37906	0.5	
0.191	160.5498	59.43107	0.5	
0.192	160.5327	59.48331	0.5	
0.193	160.5156	59.53578	0.5	
0.194	160.4983	59.58847	0.5	
0.195	160.481	59.64137	0.5	
0.196	160.4636	59.69449	0.5	
0.197	160.4462	59.74782	0.5	
0.198	160.4286	59.80136	0.5	
0.199	160.4111	59.85511	0.5	
0.2	160.3934	59.90905	0.5	
0.201	160.3757	59.9632	0.5	
0.202	160.3579	60.01754	0.5	
0.203	160.3401	60.07208	0.5	
0.204	160.3221	60.12681	0.5	
0.205	160.3042	60.18172	0.5	
0.206	160.2861	60.23682	0.5	
0.207	160.268	60.29211	0.5	
0.208	160.2499	60.34757	0.5	
0.209	160.2317	60.40321	0.5	
0.21	160.2134	60.45902	0.5	
0.211	160.1951	60.515	0.5	
0.212	160.1767	60.57115	0.5	
0.213	160.1583	60.62746	0.5	
0.214	160.1398	60.68393	0.5	
0.215	160.1213	60.74057	0.5	
0.216	160.1027	60.79736	0.5	
0.217	160.084	60.85429	0.5	
0.218	160.0654	60.91138	0.5	
0.219	160.0466	60.96862	0.5	
0.22	160.0278	61.026	0.5	
0.221	160.009	61.08352	0.5	
0.222	159.9902	61.14118	0.5	
0.223	159.9713	61.19897	0.5	
0.224	159.9523	61.2569	0.5	
0.225	159.9333	61.31495	0.5	
0.226	159.9142	61.37313	0.5	
0.227	159.8952	61.43144	0.5	
0.228	159.876	61.48986	0.5	
0.229	159.8569	61.54841	0.5	
0.23	159.8377	61.60707	0.5	
0.231	159.8185	61.66584	0.5	
0.232	159.7992	61.72472	0.5	
0.233	159.7799	61.78371	0.5	
0.234	159.7605	61.84281	0.5	
0.235	159.7412	61.902	0.5	
0.236	159.7218	61.9613	0.5	
0.237	159.7023	62.02068	0.5	
0.238	159.6829	62.08017	0.5	
0.239	159.6634	62.13974	0.5	
0.24	159.6438	62.19941	0.5	
0.241	159.6243	62.25915	0.5	
0.242	159.6047	62.31898	0.5	
0.243	159.5851	62.37889	0.5	
0.244	159.5654	62.43889	0.5	
0.245	159.5458	62.49895	0.5	
0.246	159.5261	62.55909	0.5	
0.247	159.5064	62.61929	0.5	
0.248	159.4867	62.67957	0.5	
0.249	159.4669	62.73991	0.5	
0.25	159.4472	62.80031	0.5	
0.251	159.4274	62.86077	0.5	
0.252	159.4076	62.92129	0.5	
0.253	159.3878	62.98186	0.5	
0.254	159.3679	63.04249	0.5	
0.255	159.3481	63.10317	0.5	
0.256	159.3282	63.1639	0.5	
0.257	159.3083	63.22467	0.5	
0.258	159.2884	63.28548	0.5	
0.259	159.2685	63.34634	0.5	
0.26	159.2485	63.40723	0.5	
0.261	159.2286	63.46817	0.5	
0.262	159.2086	63.52913	0.5	
0.263	159.1887	63.59013	0.5	
0.264	159.1687	63.65115	0.5	
0.265	159.1487	63.7122	0.5	
0.266	159.1287	63.77328	0.5	
0.267	159.1087	63.83438	0.5	
0.268	159.0887	63.89551	0.5	
0.269	159.0687	63.95665	0.5	
0.27	159.0487	64.0178	0.5	
0.271	159.0287	64.07897	0.5	
0.272	159.0087	64.14015	0.5	
0.273	158.9886	64.20135	0.5	
0.274	158.9686	64.26255	0.5	
0.275	158.9486	64.32375	0.5	
0.276	158.9286	64.38496	0.5	
0.277	158.9085	64.44618	0.5	
0.278	158.8885	64.50739	0.5	
0.279	158.8685	64.5686	0.5	
0.28	158.8484	64.62981	0.5	
0.281	158.8284	64.69101	0.5	
0.282	158.8084	64.7522	0.5	
0.283	158.7883	64.81339	0.5	
0.284	158.7683	64.87456	0.5	
0.285	158.7483	64.93572	0.5	
0.286	158.7283	64.99686	0.5	
0.287	158.7083	65.05799	0.5	
0.288	158.6883	65.11909	0.5	
0.289	158.6683	65.18018	0.5	
0.29	158.6483	65.24125	0.5	
0.291	158.6283	65.30229	0.5	
0.292	158.6084	65.3633	0.5	
0.293	158.5884	65.42429	0.5	
0.294	158.5685	65.48525	0.5	
0.295	158.5485	65.54617	0.5	
0.296	158.5286	65.60707	0.5	
0.297	158.5087	65.66793	0.5	
0.298	158.4888	65.72875	0.5	
0.299	158.4689	65.78954	0.5	
0.3	158.449	65.85029	0.5	
0.301	158.4291	65.91099	0.5	
0.302	158.4093	65.97166	0.5	
0.303	158.3894	66.03227	0.5	
0.304	158.3696	66.09285	0.5	
0.305	158.3498	66.15337	0.5	
0.306	158.33	66.21385	0.5	
0.307	158.3102	66.27428	0.5	
0.308	158.2905	66.33466	0.5	
0.309	158.2707	66.39499	0.5	
0.31	158.251	66.45526	0.5	
0.311	158.2313	66.51548	0.5	
0.312	158.2116	66.57564	0.5	
0.313	158.1919	66.63574	0.5	
0.314	158.1723	66.69579	0.5	
0.315	158.1526	66.75576	0.5	
0.316	158.133	66.81568	0.5	
0.317	158.1135	66.87554	0.5	
0.318	158.0939	66.93533	0.5	
0.319	158.0743	66.99505	0.5	
0.32	158.0548	67.05471	0.5	
0.321	158.0353	67.1143	0.5	
0.322	158.0158	67.17382	0.5	
0.323	157.9964	67.23327	0.5	
0.324	157.9769	67.29264	0.5	
0.325	157.9575	67.35194	0.5	
0.326	157.9382	67.41117	0.5	
0.327	157.9188	67.47032	0.5	
0.328	157.8995	67.5294	0.5	
0.329	157.8802	67.5884	0.5	
0.33	157.8609	67.64732	0.5	
0.331	157.8416	67.70616	0.5	
0.332	157.8224	67.76492	0.5	
0.333	157.8032	67.82359	0.5	
0.334	157.784	67.88219	0.5	
0.335	157.7649	67.9407	0.5	
0.336	157.7457	67.99911	0.5	
0.337	157.7267	68.05746	0.5	
0.338	157.7076	68.1157	0.5	
0.339	157.6886	68.17387	0.5	
0.34	157.6695	68.23193	0.5	
0.341	157.6506	68.28992	0.5	
0.342	157.6316	68.34782	0.5	
0.343	157.6127	68.40562	0.5	
0.344	157.5938	68.46332	0.5	
0.345	157.575	68.52094	0.5	
0.346	157.5561	68.57846	0.5	
0.347	157.5374	68.63588	0.5	
0.348	157.5186	68.69321	0.5	
0.349	157.4999	68.75043	0.5	
0.35	157.4812	68.80757	0.5	
0.351	157.4625	68.86461	0.5	
0.352	157.4439	68.92154	0.5	
0.353	157.4253	68.97837	0.5	
0.354	157.4067	69.03511	0.5	
0.355	157.3882	69.09174	0.5	
0.356	157.3697	69.14828	0.5	
0.357	157.3512	69.2047	0.5	
0.358	157.3328	69.26102	0.5	
0.359	157.3144	69.31725	0.5	
0.36	157.296	69.37335	0.5	
0.361	157.2777	69.42936	0.5	
0.362	157.2594	69.48526	0.5	
0.363	157.2411	69.54106	0.5	
0.364	157.2229	69.59674	0.5	
0.365	157.2047	69.65231	0.5	
0.366	157.1866	69.70779	0.5	
0.367	157.1684	69.76315	0.5	
0.368	157.1503	69.81839	0.5	
0.369	157.1323	69.87354	0.5	
0.37	157.1143	69.92856	0.5	
0.371	157.0963	69.98347	0.5	
0.372	157.0784	70.03826	0.5	
0.373	157.0605	70.09296	0.5	
0.374	157.0426	70.14753	0.5	
0.375	157.0248	70.20199	0.5	
0.376	157.007	70.25633	0.5	
0.377	156.9893	70.31056	0.5	
0.378	156.9716	70.36468	0.5	
0.379	156.9539	70.41867	0.5	
0.38	156.9362	70.47256	0.5	
0.381	156.9187	70.52632	0.5	
0.382	156.9011	70.57996	0.5	
0.383	156.8836	70.6335	0.5	
0.384	156.8661	70.6869	0.5	
0.385	156.8487	70.7402	0.5	
0.386	156.8313	70.79337	0.5	
0.387	156.8139	70.84642	0.5	
0.388	156.7966	70.89935	0.5	
0.389	156.7793	70.95216	0.5	
0.39	156.7621	71.00485	0.5	
0.391	156.7448	71.05743	0.5	
0.392	156.7277	71.10987	0.5	
0.393	156.7106	71.1622	0.5	
0.394	156.6935	71.2144	0.5	
0.395	156.6764	71.26649	0.5	
0.396	156.6594	71.31845	0.5	
0.397	156.6425	71.37028	0.5	
0.398	156.6255	71.42199	0.5	
0.399	156.6086	71.47358	0.5	
0.4	156.5918	71.52504	0.5	
0.401	156.575	71.57638	0.5	
0.402	156.5582	71.62759	0.5	
0.403	156.5415	71.67869	0.5	
0.404	156.5248	71.72965	0.5	
0.405	156.5082	71.78049	0.5	
0.406	156.4916	71.83121	0.5	
0.407	156.4751	71.88179	0.5	
0.408	156.4585	71.93225	0.5	
0.409	156.4421	71.98259	0.5	
0.41	156.4256	72.0328	0.5	
0.411	156.4092	72.08288	0.5	
0.412	156.3929	72.13284	0.5	
0.413	156.3766	72.18266	0.5	
0.414	156.3603	72.23236	0.5	
0.415	156.3441	72.28194	0.5	
0.416	156.3279	72.33138	0.5	
0.417	156.3118	72.3807	0.5	
0.418	156.2957	72.42989	0.5	
0.419	156.2796	72.47895	0.5	
0.42	156.2636	72.52789	0.5	
0.421	156.2476	72.57669	0.5	
0.422	156.2317	72.62537	0.5	
0.423	156.2158	72.67392	0.5	
0.424	156.2	72.72233	0.5	
0.425	156.1842	72.77062	0.5	
0.426	156.1684	72.81878	0.5	
0.427	156.1527	72.86681	0.5	
0.428	156.137	72.91471	0.5	
0.429	156.1214	72.96249	0.5	
0.43	156.1058	73.01013	0.5	
0.431	156.0902	73.05765	0.5	
0.432	156.0747	73.10503	0.5	
0.433	156.0592	73.15229	0.5	
0.434	156.0438	73.19941	0.5	
0.435	156.0285	73.24641	0.5	
0.436	156.0131	73.29327	0.5	
0.437	155.9978	73.34001	0.5	
0.438	155.9826	73.38662	0.5	
0.439	155.9673	73.4331	0.5	
0.44	155.9522	73.47944	0.5	
0.441	155.9371	73.52567	0.5	
0.442	155.922	73.57175	0.5	
0.443	155.9069	73.61771	0.5	
0.444	155.8919	73.66354	0.5	
0.445	155.877	73.70924	0.5	
0.446	155.8621	73.75481	0.5	
0.447	155.8472	73.80024	0.5	
0.448	155.8324	73.84555	0.5	
0.449	155.8176	73.89073	0.5	
0.45	155.8028	73.93578	0.5	
0.451	155.7881	73.9807	0.5	
0.452	155.7735	74.02548	0.5	
0.453	155.7589	74.07014	0.5	
0.454	155.7443	74.11468	0.5	
0.455	155.7298	74.15907	0.5	
0.456	155.7153	74.20335	0.5	
0.457	155.7008	74.24749	0.5	
0.458	155.6864	74.2915	0.5	
0.459	155.6721	74.33538	0.5	
0.46	155.6577	74.37914	0.5	
0.461	155.6435	74.42275	0.5	
0.462	155.6292	74.46625	0.5	
0.463	155.615	74.50961	0.5	
0.464	155.6009	74.55285	0.5	
0.465	155.5868	74.59595	0.5	
0.466	155.5727	74.63894	0.5	
0.467	155.5587	74.68179	0.5	
0.468	155.5447	74.7245	0.5	
0.469	155.5308	74.7671	0.5	
0.47	155.5169	74.80956	0.5	
0.471	155.503	74.8519	0.5	
0.472	155.4892	74.8941	0.5	
0.473	155.4754	74.93618	0.5	
0.474	155.4617	74.97813	0.5	
0.475	155.448	75.01996	0.5	
0.476	155.4344	75.06165	0.5	
0.477	155.4208	75.10322	0.5	
0.478	155.4072	75.14466	0.5	
0.479	155.3937	75.18597	0.5	
0.48	155.3802	75.22716	0.5	
0.481	155.3668	75.26822	0.5	
0.482	155.3534	75.30915	0.5	
0.483	155.34	75.34995	0.5	
0.484	155.3267	75.39063	0.5	
0.485	155.3134	75.43118	0.5	
0.486	155.3002	75.47161	0.5	
0.487	155.287	75.51191	0.5	
0.488	155.2739	75.55208	0.5	
0.489	155.2608	75.59213	0.5	
0.49	155.2477	75.63205	0.5	
0.491	155.2347	75.67184	0.5	
0.492	155.2217	75.71152	0.5	
0.493	155.2088	75.75106	0.5	
0.494	155.1958	75.79048	0.5	
0.495	155.183	75.82978	0.5	
0.496	155.1702	75.86894	0.5	
0.497	155.1574	75.90799	0.5	
0.498	155.1446	75.94691	0.5	
0.499	155.132	75.98571	0.5	
0.5	155.1193	76.02438	0.5	
0.501	155.1067	76.06293	0.5	
0.502	155.0941	76.10136	0.5	
0.503	155.0816	76.13966	0.5	
0.504	155.0691	76.17785	0.5	
