Time	Angle	
1.292	0.9470849	
1.293	0.9474655	
1.294	0.9478444	
1.295	0.9482218	
1.296	0.9485976	
1.297	0.9489716	
1.298	0.9493441	
1.299	0.9497148	
1.3	0.9500841	
1.301	0.9504516	
1.302	0.9508175	
1.303	0.9511817	
1.304	0.9515444	
1.305	0.9519055	
1.306	0.952265	
1.307	0.9526229	
1.308	0.9529791	
1.309	0.9533338	
1.31	0.9536867	
1.311	0.9540379	
1.312	0.9543875	
1.313	0.9547356	
1.314	0.9550819	
1.315	0.9554267	
1.316	0.9557698	
1.317	0.9561114	
1.318	0.9564514	
1.319	0.9567898	
1.32	0.9571266	
1.321	0.9574618	
1.322	0.9577953	
1.323	0.9581271	
1.324	0.9584575	
1.325	0.9587864	
1.326	0.9591136	
1.327	0.9594392	
1.328	0.959763	
1.329	0.9600854	
1.33	0.9604061	
1.331	0.9607253	
1.332	0.9610428	
1.333	0.9613587	
1.334	0.961673	
1.335	0.9619858	
1.336	0.962297	
1.337	0.9626066	
1.338	0.9629145	
1.339	0.9632209	
1.34	0.9635258	
1.341	0.9638289	
1.342	0.9641304	
1.343	0.9644305	
1.344	0.9647289	
1.345	0.9650258	
1.346	0.9653211	
1.347	0.9656148	
1.348	0.9659068	
1.349	0.9661973	
1.35	0.9664861	
1.351	0.9667735	
1.352	0.9670591	
1.353	0.9673432	
1.354	0.9676257	
1.355	0.9679065	
1.356	0.9681858	
1.357	0.9684635	
1.358	0.9687394	
1.359	0.9690139	
1.36	0.9692866	
1.361	0.9695578	
1.362	0.9698275	
1.363	0.9700955	
1.364	0.9703618	
1.365	0.9706267	
1.366	0.9708899	
1.367	0.9711515	
1.368	0.9714115	
1.369	0.9716699	
1.37	0.9719266	
1.371	0.9721816	
1.372	0.9724351	
1.373	0.9726871	
1.374	0.9729373	
1.375	0.9731859	
1.376	0.9734328	
1.377	0.9736782	
1.378	0.9739218	
1.379	0.9741639	
1.38	0.9744043	
1.381	0.9746432	
1.382	0.9748803	
1.383	0.9751158	
1.384	0.9753498	
1.385	0.9755821	
1.386	0.9758128	
1.387	0.9760418	
1.388	0.9762691	
1.389	0.976495	
1.39	0.9767191	
1.391	0.9769416	
1.392	0.9771625	
1.393	0.9773818	
1.394	0.9775994	
1.395	0.9778154	
1.396	0.9780298	
1.397	0.9782425	
1.398	0.9784536	
1.399	0.978663	
1.4	0.978871	
1.401	0.9790772	
1.402	0.9792818	
1.403	0.9794848	
1.404	0.9796862	
1.405	0.9798859	
1.406	0.980084	
1.407	0.9802803	
1.408	0.980475	
1.409	0.9806682	
1.41	0.9808598	
1.411	0.9810497	
1.412	0.9812379	
1.413	0.9814247	
1.414	0.9816096	
1.415	0.981793	
1.416	0.9819749	
1.417	0.982155	
1.418	0.9823337	
1.419	0.9825107	
1.42	0.982686	
1.421	0.9828597	
1.422	0.9830318	
1.423	0.9832022	
1.424	0.983371	
1.425	0.9835382	
1.426	0.9837037	
1.427	0.9838675	
1.428	0.9840297	
1.429	0.9841903	
1.43	0.9843495	
1.431	0.9845069	
1.432	0.9846628	
1.433	0.9848169	
1.434	0.9849694	
1.435	0.9851202	
1.436	0.9852694	
1.437	0.985417	
1.438	0.985563	
1.439	0.9857073	
1.44	0.9858502	
1.441	0.9859914	
1.442	0.986131	
1.443	0.9862689	
1.444	0.9864051	
1.445	0.9865397	
1.446	0.9866726	
1.447	0.9868039	
1.448	0.9869338	
1.449	0.9870619	
1.45	0.9871883	
1.451	0.9873131	
1.452	0.9874362	
1.453	0.9875579	
