Time	Angle	
1.278	1.206903	
1.279	1.207415	
1.28	1.207925	
1.281	1.208433	
1.282	1.20894	
1.283	1.209445	
1.284	1.209947	
1.285	1.210448	
1.286	1.210948	
1.287	1.211445	
1.288	1.211941	
1.289	1.212434	
1.29	1.212926	
1.291	1.213416	
1.292	1.213904	
1.293	1.214391	
1.294	1.214875	
1.295	1.215358	
1.296	1.215839	
1.297	1.216318	
1.298	1.216795	
1.299	1.21727	
1.3	1.217744	
1.301	1.218216	
1.302	1.218685	
1.303	1.219153	
1.304	1.21962	
1.305	1.220084	
1.306	1.220546	
1.307	1.221007	
1.308	1.221466	
1.309	1.221923	
1.31	1.222378	
1.311	1.222831	
1.312	1.223282	
1.313	1.223732	
1.314	1.22418	
1.315	1.224625	
1.316	1.225069	
1.317	1.225512	
1.318	1.225952	
1.319	1.22639	
1.32	1.226827	
1.321	1.227262	
1.322	1.227695	
1.323	1.228126	
1.324	1.228555	
1.325	1.228982	
1.326	1.229408	
1.327	1.229832	
1.328	1.230254	
1.329	1.230674	
1.33	1.231092	
1.331	1.231508	
1.332	1.231923	
1.333	1.232335	
1.334	1.232746	
1.335	1.233155	
1.336	1.233562	
1.337	1.233967	
1.338	1.23437	
1.339	1.234772	
1.34	1.235172	
1.341	1.235569	
1.342	1.235965	
1.343	1.23636	
1.344	1.236752	
1.345	1.237142	
1.346	1.237531	
1.347	1.237917	
1.348	1.238302	
1.349	1.238685	
1.35	1.239066	
1.351	1.239445	
1.352	1.239823	
1.353	1.240198	
1.354	1.240572	
1.355	1.240944	
1.356	1.241314	
1.357	1.241682	
1.358	1.242048	
1.359	1.242413	
1.36	1.242775	
1.361	1.243136	
1.362	1.243495	
1.363	1.243852	
1.364	1.244207	
1.365	1.24456	
1.366	1.244912	
1.367	1.245262	
1.368	1.245609	
1.369	1.245955	
1.37	1.246299	
1.371	1.246641	
1.372	1.246982	
1.373	1.24732	
1.374	1.247657	
1.375	1.247991	
1.376	1.248324	
1.377	1.248655	
1.378	1.248984	
1.379	1.249312	
1.38	1.249637	
1.381	1.249961	
1.382	1.250282	
1.383	1.250602	
1.384	1.25092	
1.385	1.251236	
1.386	1.251551	
1.387	1.251863	
1.388	1.252174	
1.389	1.252482	
1.39	1.252789	
1.391	1.253094	
1.392	1.253397	
1.393	1.253698	
1.394	1.253998	
1.395	1.254295	
1.396	1.254591	
1.397	1.254884	
1.398	1.255176	
1.399	1.255466	
1.4	1.255755	
1.401	1.256041	
1.402	1.256325	
1.403	1.256608	
1.404	1.256889	
1.405	1.257167	
1.406	1.257445	
1.407	1.25772	
1.408	1.257993	
1.409	1.258264	
1.41	1.258534	
1.411	1.258801	
1.412	1.259067	
1.413	1.259331	
1.414	1.259593	
1.415	1.259853	
1.416	1.260112	
1.417	1.260368	
