Time	3External	3Synaptic	4Synaptic	4External	3Vm	4Vm	3FF	4FF	
0	0	0	0	0	0	0	0	0	
0.002	0	0	0	0	0	0.01	0	0.1	
0.004	0	0	0	0	0	0.018	0	0.18	
0.006	0	0	0	0	0	0.0244	0	0.244	
0.008	0	0	0	0	0	0.02952	0	0.2952	
0.01	0	0	0	0	0	0.033616	0	0.33616	
0.012	0	0	0	0	0	0.0368928	0	0.368928	
0.014	0	0	0	0	0	0.03951424	0	0.3951424	
0.016	0	0	0	0	0	0.04161139	0	0.4161139	
0.018	0	0	0	0	0	0.04328911	0	0.4328911	
0.02	0	0	0	0	0	0.04463129	0	0.4463129	
0.022	0	0	0	0	0	0.04570503	0	0.4570503	
0.024	0	0	0	0	0	0.04656402	0	0.4656402	
0.026	0	0	0	0	0	0.04725122	0	0.4725122	
0.028	0	0	0	0	0	0.04780098	0	0.4780098	
0.03	0	0	0	0	0	0.04824078	0	0.4824078	
0.032	0	0	0	0	0	0.04859262	0	0.4859262	
0.034	0	0	0	0	0	0.0488741	0	0.488741	
0.036	0	0	0	0	0	0.04909928	0	0.4909928	
0.038	0	0	0	0	0	0.04927942	0	0.4927942	
0.04	0	0	0	0	0	0.04942354	0	0.4942354	
0.042	0	0	0	0	0	0.04953883	0	0.4953883	
0.044	0	0	0	0	0	0.04963106	0	0.4963106	
0.046	0	0	0	0	0	0.04970485	0	0.4970485	
0.048	0	0	0	0	0	0.04976388	0	0.4976388	
0.05	0	0	0	0	0	0.0498111	0	0.498111	
0.052	0	0	0	0	0	0.04984888	0	0.4984888	
0.054	0	0	0	0	0	0.0498791	0	0.498791	
0.056	0	0	0	0	0	0.04990328	0	0.4990328	
0.058	0	0	0	0	0	0.04992263	0	0.4992263	
0.06	0	0	0	0	0	0.0499381	0	0.499381	
0.062	0	0	0	0	0	0.04995048	0	0.4995048	
0.064	0	0	0	0	0	0.04996039	0	0.4996039	
0.066	0	0	0	0	0	0.04996831	0	0.4996831	
0.068	0	0	0	0	0	0.04997465	0	0.4997465	
0.07	0	0	0	0	0	0.04997972	0	0.4997972	
0.072	0	0	0	0	0	0.04998377	0	0.4998377	
0.074	0	0	0	0	0	0.04998702	0	0.4998702	
0.07600001	0	0	0	0	0	0.04998961	0	0.4998961	
0.078	0	0	0	0	0	0.04999169	0	0.4999169	
0.08000001	0	0	0	0	0	0.04999335	0	0.4999335	
0.082	0	0	0	0	0	0.04999468	0	0.4999468	
0.08400001	0	0	0	0	0	0.04999575	0	0.4999575	
0.086	0	0	0	0	0	0.0499966	0	0.499966	
0.08800001	0	0	0	0	0	0.04999728	0	0.4999728	
0.09	0	0	0	0	0	0.04999782	0	0.4999782	
0.09200001	0	0	0	0	0	0.04999826	0	0.4999826	
0.094	0	0	0	0	0	0.0499986	0	0.4999861	
0.096	0	0	0	0	0	0.04999888	0	0.4999888	
0.098	0	0	0	0	0	0.04999911	0	0.4999911	
0.1	-2E-09	0	0	0	0	0.04999929	0	0.4999928	
0.102	-2E-09	0	0	0	-0.004	0.04999943	0	0.4999943	
0.104	-2E-09	0	0	0	-0.0072	0.04999954	0	0.4999954	
0.106	-2E-09	0	0	0	-0.00976	0.04999964	0	0.4999964	
0.108	-2E-09	0	0	0	-0.011808	0.04999971	0	0.4999971	
0.11	-2E-09	0	0	0	-0.0134464	0.04999977	0	0.4999977	
0.112	-2E-09	0	0	0	-0.01475712	0.04999981	0	0.4999981	
0.114	-2E-09	0	0	0	-0.0158057	0.04999985	0	0.4999985	
0.116	-2E-09	0	0	0	-0.01664456	0.04999988	0	0.4999988	
0.118	-2E-09	0	0	0	-0.01731564	0.0499999	0	0.499999	
0.12	-2E-09	0	0	0	-0.01785251	0.04999992	0	0.4999992	
0.122	-2E-09	0	0	0	-0.01828201	0.04999993	0	0.4999993	
0.124	-2E-09	0	0	0	-0.01862561	0.04999995	0	0.4999995	
0.126	-2E-09	0	0	0	-0.01890049	0.04999996	0	0.4999996	
0.128	-2E-09	0	0	0	-0.01912039	0.04999997	0	0.4999997	
0.13	-2E-09	0	0	0	-0.01929631	0.04999997	0	0.4999998	
0.132	-2E-09	0	0	0	-0.01943705	0.04999998	0	0.4999998	
0.134	-2E-09	0	0	0	-0.01954964	0.04999998	0	0.4999998	
0.136	-2E-09	0	0	0	-0.01963971	0.04999999	0	0.4999999	
0.138	-2E-09	0	0	0	-0.01971177	0.04999999	0	0.4999999	
0.14	-2E-09	0	0	0	-0.01976942	0.04999999	0	0.4999999	
0.142	-2E-09	0	0	0	-0.01981553	0.04999999	0	0.4999999	
0.144	-2E-09	0	0	0	-0.01985243	0.04999999	0	0.4999999	
0.146	-2E-09	0	0	0	-0.01988194	0.04999999	0	0.4999999	
0.148	-2E-09	0	0	0	-0.01990555	0.04999999	0	0.4999999	
0.15	-2E-09	0	0	0	-0.01992444	0.04999999	0	0.4999999	
0.152	-2E-09	0	0	0	-0.01993955	0.04999999	0	0.4999999	
0.154	-2E-09	0	0	0	-0.01995164	0.04999999	0	0.4999999	
0.156	-2E-09	0	0	0	-0.01996131	0.04999999	0	0.4999999	
0.158	-2E-09	0	0	0	-0.01996905	0.04999999	0	0.4999999	
0.16	-2E-09	0	0	0	-0.01997524	0.04999999	0	0.4999999	
0.162	-2E-09	0	0	0	-0.01998019	0.04999999	0	0.4999999	
0.164	-2E-09	0	0	0	-0.01998415	0.04999999	0	0.4999999	
0.166	-2E-09	0	0	0	-0.01998732	0.04999999	0	0.4999999	
0.168	-2E-09	0	0	0	-0.01998986	0.04999999	0	0.4999999	
0.17	-2E-09	0	0	0	-0.01999189	0.04999999	0	0.4999999	
0.172	-2E-09	0	0	0	-0.01999351	0.04999999	0	0.4999999	
0.174	-2E-09	0	0	0	-0.01999481	0.04999999	0	0.4999999	
0.176	-2E-09	0	0	0	-0.01999585	0.04999999	0	0.4999999	
0.178	-2E-09	0	0	0	-0.01999668	0.04999999	0	0.4999999	
0.18	-2E-09	0	0	0	-0.01999734	0.04999999	0	0.4999999	
0.182	-2E-09	0	0	0	-0.01999787	0.04999999	0	0.4999999	
0.184	-2E-09	0	0	0	-0.0199983	0.04999999	0	0.4999999	
0.186	-2E-09	0	0	0	-0.01999864	0.04999999	0	0.4999999	
0.188	-2E-09	0	0	0	-0.01999891	0.04999999	0	0.4999999	
0.19	-2E-09	0	0	0	-0.01999913	0.04999999	0	0.4999999	
0.192	-2E-09	0	0	0	-0.0199993	0.04999999	0	0.4999999	
0.194	-2E-09	0	0	0	-0.01999944	0.04999999	0	0.4999999	
0.196	-2E-09	0	0	0	-0.01999955	0.04999999	0	0.4999999	
0.198	-2E-09	0	0	0	-0.01999964	0.04999999	0	0.4999999	
0.2	0	0	0	0	-0.01999971	0.04999999	0	0.4999999	
0.202	0	0	0	0	-0.01599977	0.04999999	0	0.4999999	
0.204	0	0	0	0	-0.01279982	0.04999999	0	0.4999999	
0.206	0	0	0	0	-0.01023985	0.04999999	0	0.4999999	
0.208	0	0	0	0	-0.008191882	0.04999999	0	0.4999999	
0.21	0	0	0	0	-0.006553506	0.04999999	0	0.4999999	
0.212	0	0	0	0	-0.005242805	0.04999999	0	0.4999999	
0.214	0	0	0	0	-0.004194244	0.04999999	0	0.4999999	
0.216	0	0	0	0	-0.003355395	0.04999999	0	0.4999999	
0.218	0	0	0	0	-0.002684316	0.04999999	0	0.4999999	
0.22	0	0	0	0	-0.002147453	0.04999999	0	0.4999999	
0.222	0	0	0	0	-0.001717962	0.04999999	0	0.4999999	
0.224	0	0	0	0	-0.00137437	0.04999999	0	0.4999999	
0.226	0	0	0	0	-0.001099496	0.04999999	0	0.4999999	
0.228	0	0	0	0	-0.0008795966	0.04999999	0	0.4999999	
0.23	0	0	0	0	-0.0007036772	0.04999999	0	0.4999999	
0.232	0	0	0	0	-0.0005629418	0.04999999	0	0.4999999	
0.234	0	0	0	0	-0.0004503534	0.04999999	0	0.4999999	
0.236	0	0	0	0	-0.0003602827	0.04999999	0	0.4999999	
0.238	0	0	0	0	-0.0002882262	0.04999999	0	0.4999999	
0.24	0	0	0	0	-0.0002305809	0.04999999	0	0.4999999	
0.242	0	0	0	0	-0.0001844647	0.04999999	0	0.4999999	
0.244	0	0	0	0	-0.0001475718	0.04999999	0	0.4999999	
0.246	0	0	0	0	-0.0001180574	0.04999999	0	0.4999999	
0.248	0	0	0	0	-9.444595E-05	0.04999999	0	0.4999999	
0.25	0	0	0	0	-7.555676E-05	0.04999999	0	0.4999999	
0.252	0	0	0	0	-6.044541E-05	0.04999999	0	0.4999999	
0.254	0	0	0	0	-4.835633E-05	0.04999999	0	0.4999999	
0.256	0	0	0	0	-3.868506E-05	0.04999999	0	0.4999999	
0.258	0	0	0	0	-3.094805E-05	0.04999999	0	0.4999999	
0.26	0	0	0	0	-2.475844E-05	0.04999999	0	0.4999999	
0.262	0	0	0	0	-1.980675E-05	0.04999999	0	0.4999999	
0.264	0	0	0	0	-1.58454E-05	0.04999999	0	0.4999999	
0.266	0	0	0	0	-1.267632E-05	0.04999999	0	0.4999999	
0.268	0	0	0	0	-1.014106E-05	0.04999999	0	0.4999999	
0.27	0	0	0	0	-8.112844E-06	0.04999999	0	0.4999999	
0.272	0	0	0	0	-6.490275E-06	0.04999999	0	0.4999999	
0.274	0	0	0	0	-5.19222E-06	0.04999999	0	0.4999999	
0.276	0	0	0	0	-4.153776E-06	0.04999999	0	0.4999999	
0.278	0	0	0	0	-3.323021E-06	0.04999999	0	0.4999999	
0.28	0	0	0	0	-2.658417E-06	0.04999999	0	0.4999999	
0.282	0	0	0	0	-2.126733E-06	0.04999999	0	0.4999999	
0.284	0	0	0	0	-1.701387E-06	0.04999999	0	0.4999999	
0.286	0	0	0	0	-1.361109E-06	0.04999999	0	0.4999999	
0.288	0	0	0	0	-1.088887E-06	0.04999999	0	0.4999999	
0.29	0	0	0	0	-8.711099E-07	0.04999999	0	0.4999999	
0.292	0	0	0	0	-6.968879E-07	0.04999999	0	0.4999999	
0.294	0	0	0	0	-5.575103E-07	0.04999999	0	0.4999999	
0.296	0	0	0	0	-4.460082E-07	0.04999999	0	0.4999999	
0.298	0	0	0	0	-3.568066E-07	0.04999999	0	0.4999999	
0.3	2E-09	0	0	0	-2.854453E-07	0.04999999	0	0.4999999	
0.302	2E-09	0	0	0	0.003999772	0.04999999	0.03999772	0.4999999	
0.304	2E-09	0	-1.999886E-10	0	0.007199817	0.04960001	0.07199817	0.4960001	
0.306	2E-09	0	-3.599908E-10	0	0.009759854	0.04896003	0.09759854	0.4896003	
0.308	2E-09	0	-4.879927E-10	0	0.01180788	0.04819204	0.1180788	0.4819204	
0.31	2E-09	0	-5.903941E-10	0	0.01344631	0.04737284	0.1344631	0.4737284	
0.312	2E-09	0	-6.723154E-10	0	0.01475705	0.04655365	0.1475705	0.4655364	
0.314	2E-09	0	-7.378523E-10	0	0.01580564	0.04576721	0.1580563	0.4576721	
0.316	2E-09	0	-7.902817E-10	0	0.01664451	0.04503321	0.1664451	0.450332	
0.318	2E-09	0	-8.322254E-10	0	0.01731561	0.04436211	0.1731561	0.4436211	
0.32	2E-09	0	-8.657803E-10	0	0.01785249	0.04375813	0.1785249	0.4375813	
0.322	2E-09	0	-8.926243E-10	0	0.01828199	0.04322125	0.1828199	0.4322125	
0.324	2E-09	0	-9.140994E-10	0	0.01862559	0.04274881	0.1862559	0.4274881	
0.326	2E-09	0	-9.312795E-10	0	0.01890047	0.04233649	0.1890047	0.4233649	
0.328	2E-09	0	-9.450236E-10	0	0.01912038	0.04197914	0.1912038	0.4197914	
0.33	2E-09	0	-9.560189E-10	0	0.0192963	0.04167128	0.192963	0.4167128	
0.332	2E-09	0	-9.648151E-10	0	0.01943704	0.04140739	0.1943704	0.4140739	
0.334	2E-09	0	-9.718522E-10	0	0.01954963	0.04118221	0.1954964	0.4118221	
0.336	2E-09	0	-9.774818E-10	0	0.01963971	0.0409908	0.1963971	0.409908	
0.338	2E-09	0	-9.819853E-10	0	0.01971176	0.04082867	0.1971176	0.4082867	
0.34	2E-09	0	-9.855882E-10	0	0.01976941	0.04069176	0.1976941	0.4069176	
0.342	2E-09	0	-9.884706E-10	0	0.01981553	0.04057647	0.1981553	0.4057646	
0.344	2E-09	0	-9.907765E-10	0	0.01985242	0.04047962	0.1985242	0.4047962	
0.346	2E-09	0	-9.926211E-10	0	0.01988194	0.04039845	0.1988194	0.4039845	
0.348	2E-09	0	-9.940968E-10	0	0.01990555	0.04033057	0.1990555	0.4033056	
0.35	2E-09	0	-9.952775E-10	0	0.01992444	0.0402739	0.1992444	0.402739	
0.352	2E-09	0	-9.96222E-10	0	0.01993955	0.04022667	0.1993955	0.4022667	
0.354	2E-09	0	-9.969775E-10	0	0.01995164	0.04018738	0.1995164	0.4018738	
0.356	2E-09	0	-9.97582E-10	0	0.01996131	0.04015474	0.1996131	0.4015474	
0.358	2E-09	0	-9.980656E-10	0	0.01996905	0.04012766	0.1996905	0.4012766	
0.36	2E-09	0	-9.984524E-10	0	0.01997524	0.04010522	0.1997524	0.4010522	
