Time	FF	Vm	Ie	
0.348	0.3349521	-0.05405351	2E-09	
0.35	0.3356324	-0.05378328	2E-09	
0.352	0.3360385	-0.05353106	2E-09	
0.354	0.3361908	-0.05329565	2E-09	
0.356	0.3361085	-0.05307594	2E-09	
0.358	0.3358095	-0.05287088	2E-09	
0.36	0.3353104	-0.05267949	2E-09	
0.362	0.3346269	-0.05250086	2E-09	
0.364	0.3337733	-0.05233413	2E-09	
0.366	0.332763	-0.05217852	2E-09	
0.368	0.3316089	-0.05203329	2E-09	
0.37	0.3303224	-0.05189773	2E-09	
0.372	0.3289145	-0.05177122	2E-09	
0.374	0.3273953	-0.05165314	2E-09	
0.376	0.3257743	-0.05154293	2E-09	
0.378	0.3240604	-0.05144007	2E-09	
0.38	0.3222617	-0.05134406	2E-09	
0.382	0.3203858	-0.05125446	2E-09	
0.384	0.3184399	-0.05117083	2E-09	
0.386	0.3164306	-0.05109277	2E-09	
0.388	0.3143639	-0.05101992	2E-09	
0.39	0.3122457	-0.05095193	2E-09	
0.392	0.3100813	-0.05088846	2E-09	
0.394	0.3078755	-0.05082924	2E-09	
0.396	0.3056331	-0.05077396	2E-09	
0.398	0.3033583	-0.05072236	2E-09	
0.4	0.301055	-0.0506742	0	
0.402	0.2789259	-0.05196258	0	
0.404	0.2582926	-0.05316508	0	
0.406	0.2390552	-0.05428741	0	
0.408	0.2211203	-0.05533491	0	
0.41	0.2044009	-0.05631259	0	
0.412	0.1888159	-0.05722508	0	
0.414	0.1742893	-0.05807674	0	
0.416	0.1607505	-0.05887163	0	
0.418	0.1481334	-0.05961352	0	
0.42	0.1363763	-0.06030595	0	
0.422	0.1254217	-0.06095222	0	
0.424	0.115216	-0.0615554	0	
0.426	0.105709	-0.06211838	0	
0.428	0.096854	-0.06264382	0	
0.43	0.0886073	-0.06313423	0	
0.432	0.08092819	-0.06359195	0	
0.434	0.07377864	-0.06401915	0	
0.436	0.0671232	-0.06441788	0	
0.438	0.06092873	-0.06479002	0	
0.44	0.05516434	-0.06513735	0	
0.442	0.04980118	-0.06546152	0	
0.444	0.04481234	-0.06576409	0	
0.446	0.04017269	-0.06604648	0	
0.448	0.03585878	-0.06631006	0	
0.45	0.03184875	-0.06655605	0	
0.452	0.02812217	-0.06678565	0	
0.454	0.02465998	-0.06699993	0	
0.456	0.02144439	-0.06719994	0	
0.458	0.01845882	-0.06738661	0	
0.46	0.01568776	-0.06756084	0	
0.462	0.01311678	-0.06772345	0	
0.464	0.01073236	-0.06787522	0	
0.466	0.008521931	-0.06801687	0	
0.468	0.006473739	-0.06814908	0	
0.47	0.004576819	-0.06827247	0	
0.472	0.002820943	-0.06838764	0	
0.474	0.00119656	-0.06849513	0	
0.476	0	-0.06859545	0	
0.478	0	-0.06868909	0	
0.48	0	-0.06877649	0	
0.482	0	-0.06885806	0	
0.484	0	-0.06893419	0	
0.486	0	-0.06900524	0	
0.488	0	-0.06907155	0	
0.49	0	-0.06913345	0	
