Time	Child_Y	Joint_Y	Root2_Y	Root_Y	
1.561	0.133901	0.2248413	0	0.01803789	
1.5615	0.1322237	0.2231255	0	0.01804735	
1.562	0.1305439	0.2214067	0	0.01805682	
1.5625	0.1288616	0.2196851	0	0.01806629	
1.563	0.127177	0.2179604	0	0.01807578	
1.5635	0.1254899	0.2162329	0	0.01808528	
1.564	0.1238004	0.2145024	0	0.01809479	
1.5645	0.1221085	0.2127689	0	0.01810431	
1.565	0.1204141	0.2110326	0	0.01811384	
1.5655	0.1187173	0.2092932	0	0.01812338	
1.566	0.117018	0.2075509	0	0.01813293	
1.5665	0.1153164	0.2058056	0	0.0181425	
1.567	0.1136123	0.2040574	0	0.01815207	
1.5675	0.1119058	0.2023062	0	0.01816165	
1.568	0.1101968	0.200552	0	0.01817124	
1.5685	0.1084854	0.1987948	0	0.01818085	
1.569	0.1067716	0.1970346	0	0.01819046	
1.5695	0.1050554	0.1952715	0	0.01820008	
1.57	0.1033367	0.1935053	0	0.01820972	
1.5705	0.1016156	0.1917361	0	0.01821936	
1.571	0.09989204	0.1899639	0	0.01822902	
1.5715	0.09816607	0.1881887	0	0.01823868	
1.572	0.09643767	0.1864105	0	0.01824836	
1.5725	0.09470684	0.1846292	0	0.01825805	
1.573	0.09297358	0.1828449	0	0.01826774	
1.5735	0.09123789	0.1810576	0	0.01827745	
1.574	0.0894999	0.1792674	0	0.01830145	
1.5745	0.08775946	0.1774742	0	0.01832312	
1.575	0.08601657	0.1756783	0	0.01834287	
1.5755	0.08427124	0.1738793	0	0.01836101	
1.576	0.08252346	0.1720772	0	0.01837782	
1.5765	0.08077324	0.1702721	0	0.01839352	
1.577	0.07902058	0.1684645	0	0.01840827	
1.5775	0.07726549	0.1666544	0	0.01842224	
1.578	0.07550796	0.1648418	0	0.01843556	
1.5785	0.07374799	0.1630253	0	0.01844857	
1.579	0.07198559	0.1612047	0	0.01846106	
1.5795	0.07022075	0.1593811	0	0.0184732	
1.58	0.06845348	0.1575544	0	0.01848505	
1.5805	0.06668378	0.1557245	0	0.01849665	
1.581	0.06491164	0.1538915	0	0.01850807	
1.5815	0.06313708	0.1520555	0	0.01851932	
1.582	0.06136007	0.1502163	0	0.01853045	
1.5825	0.05958064	0.1483739	0	0.01854146	
1.583	0.05779878	0.1465285	0	0.0185524	
1.5835	0.05601449	0.1446798	0	0.01856326	
1.584	0.05422776	0.1428281	0	0.01857407	
1.5845	0.0524386	0.1409732	0	0.01858484	
1.585	0.05064701	0.1391151	0	0.01859557	
1.5855	0.04885299	0.1372538	0	0.01860628	
1.586	0.04705653	0.1353894	0	0.01861697	
1.5865	0.04525765	0.1335218	0	0.01862765	
1.587	0.04345633	0.131651	0	0.01863831	
1.5875	0.04165259	0.129777	0	0.01864897	
1.588	0.03984641	0.1278998	0	0.01865963	
1.5885	0.0380378	0.1260193	0	0.01867029	
1.589	0.03622676	0.1241357	0	0.01868095	
1.5895	0.0344133	0.1222489	0	0.01869162	
1.59	0.0325974	0.1203588	0	0.01870229	
1.5905	0.03077906	0.1184654	0	0.01871297	
1.591	0.0289583	0.1165689	0	0.01872366	
1.5915	0.02713511	0.114669	0	0.01873435	
1.592	0.02530949	0.1127659	0	0.01874506	
1.5925	0.02348143	0.1108596	0	0.01875577	
1.593	0.02165094	0.1089499	0	0.0187665	
1.5935	0.01981803	0.107037	0	0.01877723	
1.594	0.01798268	0.1051208	0	0.01878798	
1.5945	0.0161449	0.1032013	0	0.01879874	
1.595	0.01682	0.1060467	0	0.01898717	
1.5955	0.01749276	0.1087001	0	0.01917313	
1.596	0.01816316	0.1111567	0	0.01935661	
1.5965	0.01883122	0.1134124	0	0.01953762	
1.597	0.01949694	0.1154637	0	0.01971616	
1.5975	0.02016032	0.1173074	0	0.01989224	
1.598	0.02082269	0.1188904	0	0.02020839	
1.5985	0.02148272	0.1202855	0	0.02052209	
1.599	0.02214041	0.1214913	0	0.02083334	
1.5995	0.02279576	0.1225068	0	0.02114213	
1.6	0.02345018	0.1233232	0	0.02161399	
1.6005	0.02410224	0.123991	0	0.0220834	
