Time	Rotation	PendulumY	PendulumX	PendulumZ	
0.101	-0.03547991	-0.7005595	0.02534764	0	
0.102	-0.03618085	-0.7005423	0.02584318	0	
0.103	-0.03688838	-0.7005246	0.02634332	0	
0.104	-0.0376025	-0.7005063	0.02684806	0	
0.105	-0.03832319	-0.7004876	0.02735739	0	
0.106	-0.03905046	-0.7004682	0.02787129	0	
0.107	-0.03978428	-0.7004483	0.02838977	0	
0.108	-0.04052465	-0.7004279	0.02891281	0	
0.109	-0.04127154	-0.7004068	0.02944041	0	
0.11	-0.04202497	-0.7003853	0.02997255	0	
0.111	-0.04278492	-0.700363	0.03050924	0	
0.112	-0.04355136	-0.7003402	0.03105045	0	
0.113	-0.0443243	-0.7003168	0.03159619	0	
0.114	-0.04510372	-0.7002928	0.03214644	0	
0.115	-0.0458896	-0.7002681	0.03270119	0	
0.116	-0.04668195	-0.7002428	0.03326044	0	
0.117	-0.04748074	-0.7002168	0.03382418	0	
0.118	-0.04828597	-0.7001901	0.0343924	0	
0.119	-0.04909762	-0.7001628	0.03496508	0	
0.12	-0.04991569	-0.7001348	0.03554223	0	
0.121	-0.05074016	-0.7001061	0.03612383	0	
0.122	-0.05157103	-0.7000766	0.03670987	0	
0.123	-0.05240826	-0.7000465	0.03730034	0	
0.124	-0.05325186	-0.7000156	0.03789523	0	
0.125	-0.05410181	-0.699984	0.03849454	0	
0.126	-0.05495811	-0.6999516	0.03909825	0	
0.127	-0.05582073	-0.6999184	0.03970636	0	
0.128	-0.05668968	-0.6998846	0.04031885	0	
0.129	-0.05756492	-0.6998498	0.04093571	0	
0.13	-0.05844646	-0.6998144	0.04155694	0	
0.131	-0.05933427	-0.6997781	0.04218253	0	
0.132	-0.06022836	-0.6997409	0.04281245	0	
0.133	-0.06112869	-0.699703	0.04344672	0	
0.134	-0.06203526	-0.6996642	0.0440853	0	
0.135	-0.06294806	-0.6996245	0.0447282	0	
0.136	-0.06386708	-0.6995839	0.0453754	0	
0.137	-0.0647923	-0.6995426	0.04602689	0	
0.138	-0.06572369	-0.6995003	0.04668266	0	
0.139	-0.06666128	-0.6994571	0.0473427	0	
0.14	-0.06760502	-0.699413	0.04800701	0	
0.141	-0.06855489	-0.6993679	0.04867556	0	
0.142	-0.06951091	-0.699322	0.04934834	0	
0.143	-0.07047305	-0.6992751	0.05002536	0	
0.144	-0.07144129	-0.6992272	0.05070658	0	
0.145	-0.07241563	-0.6991784	0.05139202	0	
0.146	-0.07339603	-0.6991286	0.05208164	0	
0.147	-0.07438251	-0.6990777	0.05277544	0	
0.148	-0.07537504	-0.6990259	0.05347342	0	
0.149	-0.07637359	-0.6989731	0.05417555	0	
0.15	-0.07737818	-0.6989192	0.05488182	0	
0.151	-0.07838876	-0.6988643	0.05559224	0	
0.152	-0.07940533	-0.6988084	0.05630676	0	
0.153	-0.08042788	-0.6987514	0.0570254	0	
0.154	-0.08145639	-0.6986933	0.05774814	0	
0.155	-0.08249084	-0.6986341	0.05847496	0	
0.156	-0.08353122	-0.6985738	0.05920586	0	
0.157	-0.08457752	-0.6985124	0.05994081	0	
0.158	-0.08562972	-0.6984499	0.06067981	0	
0.159	-0.08668781	-0.6983863	0.06142285	0	
0.16	-0.08775177	-0.6983215	0.06216991	0	
0.161	-0.08882158	-0.6982555	0.06292098	0	
0.162	-0.08989724	-0.6981884	0.06367604	0	
0.163	-0.09097872	-0.6981201	0.06443509	0	
0.164	-0.092066	-0.6980505	0.06519811	0	
0.165	-0.09315906	-0.6979798	0.06596508	0	
0.166	-0.09425791	-0.6979079	0.066736	0	
0.167	-0.09536252	-0.6978347	0.06751084	0	
0.168	-0.09647287	-0.6977602	0.06828961	0	
0.169	-0.09758895	-0.6976845	0.06907227	0	
0.17	-0.09871075	-0.6976076	0.06985883	0	
0.171	-0.09983823	-0.6975293	0.07064926	0	
0.172	-0.1009714	-0.6974498	0.07144355	0	
0.173	-0.1021102	-0.6973689	0.07224169	0	
0.174	-0.1032547	-0.6972868	0.07304365	0	
0.175	-0.1044048	-0.6972033	0.07384944	0	
0.176	-0.1055605	-0.6971185	0.07465903	0	
0.177	-0.1067218	-0.6970322	0.07547241	0	
0.178	-0.1078886	-0.6969447	0.07628958	0	
0.179	-0.1090611	-0.6968557	0.0771105	0	
0.18	-0.1102391	-0.6967653	0.07793517	0	
0.181	-0.1114226	-0.6966736	0.07876357	0	
0.182	-0.1126116	-0.6965804	0.07959568	0	
