Time	A2	A3	A4	A5	A1	
0.168	0.002104651	1.164053E-06	1.17156E-06	0.002118222	0.0256399	
0.17	0.002111702	1.167953E-06	1.175485E-06	0.002125319	0.0257258	
0.172	0.002118547	1.171739E-06	1.179295E-06	0.002132207	0.02580919	
0.174	0.002125189	1.175412E-06	1.182993E-06	0.002138893	0.02589011	
0.176	0.002131632	1.178976E-06	1.186579E-06	0.002145377	0.0259686	
0.178	0.002137879	1.182431E-06	1.190057E-06	0.002151665	0.02604471	
0.18	0.002143934	1.18578E-06	1.193427E-06	0.002157758	0.02611847	
0.182	0.0021498	1.189024E-06	1.196692E-06	0.002163662	0.02618993	
0.184	0.00215548	1.192166E-06	1.199854E-06	0.002169379	0.02625913	
0.186	0.002160979	1.195207E-06	1.202915E-06	0.002174913	0.02632612	
0.188	0.002166299	1.19815E-06	1.205877E-06	0.002180268	0.02639094	
0.19	0.002171445	1.200996E-06	1.208741E-06	0.002185446	0.02645363	
0.192	0.00217642	1.203747E-06	1.21151E-06	0.002190453	0.02651423	
0.194	0.002181227	1.206406E-06	1.214186E-06	0.002195291	0.0265728	
0.196	0.00218587	1.208974E-06	1.216771E-06	0.002199964	0.02662936	
0.198	0.002190353	1.211453E-06	1.219266E-06	0.002204475	0.02668397	
0.2	0.002194678	1.213846E-06	1.221674E-06	0.002208829	0.02673667	
0.202	0.00219885	1.216153E-06	1.223996E-06	0.002213027	0.02678749	
0.204	0.002202872	1.218378E-06	1.226235E-06	0.002217075	0.02683648	
0.206	0.002206746	1.220521E-06	1.228391E-06	0.002220974	0.02688368	
0.208	0.002210477	1.222584E-06	1.230468E-06	0.002224729	0.02692913	
0.21	0.002214067	1.22457E-06	1.232466E-06	0.002228342	0.02697287	
0.212	0.00221752	1.226479E-06	1.234388E-06	0.002231816	0.02701493	
0.214	0.002220838	1.228314E-06	1.236235E-06	0.002235156	0.02705535	
0.216	0.002224025	1.230077E-06	1.238009E-06	0.002238362	0.02709418	
0.218	0.002227082	1.231768E-06	1.239711E-06	0.00224144	0.02713143	
0.22	0.002230015	1.23339E-06	1.241343E-06	0.002244391	0.02716715	
0.222	0.002232824	1.234944E-06	1.242906E-06	0.002247218	0.02720138	
0.224	0.002235513	1.236431E-06	1.244403E-06	0.002249924	0.02723414	
0.226	0.002238085	1.237854E-06	1.245834E-06	0.002252511	0.02726546	
0.228	0.002240541	1.239212E-06	1.247202E-06	0.002254983	0.02729539	
0.23	0.002242885	1.240509E-06	1.248506E-06	0.002257342	0.02732394	
0.232	0.002245119	1.241744E-06	1.249749E-06	0.00225959	0.02735115	
0.234	0.002247245	1.24292E-06	1.250933E-06	0.002261729	0.02737706	
0.236	0.002249266	1.244038E-06	1.252058E-06	0.002263763	0.02740167	
0.238	0.002251184	1.245098E-06	1.253125E-06	0.002265693	0.02742504	
0.24	0.002253001	1.246103E-06	1.254136E-06	0.002267521	0.02744717	
0.242	0.002254719	1.247054E-06	1.255092E-06	0.00226925	0.02746811	
0.244	0.002256341	1.247951E-06	1.255995E-06	0.002270882	0.02748786	
0.246	0.002257868	1.248796E-06	1.256845E-06	0.002272419	0.02750647	
0.248	0.002259302	1.249589E-06	1.257643E-06	0.002273863	0.02752394	
0.25	0.002260647	1.250332E-06	1.258391E-06	0.002275215	0.02754032	
0.252	0.002261902	1.251027E-06	1.25909E-06	0.002276479	0.02755561	
0.254	0.002263071	1.251673E-06	1.25974E-06	0.002277655	0.02756985	
0.256	0.002264154	1.252272E-06	1.260343E-06	0.002278745	0.02758305	
0.258	0.002265155	1.252826E-06	1.2609E-06	0.002279752	0.02759524	
0.26	0.002266074	1.253334E-06	1.261412E-06	0.002280677	0.02760644	
0.262	0.002266914	1.253798E-06	1.261879E-06	0.002281521	0.02761666	
0.264	0.002267675	1.25422E-06	1.262303E-06	0.002282287	0.02762594	
0.266	0.00226836	1.254598E-06	1.262684E-06	0.002282977	0.02763428	
0.268	0.00226897	1.254936E-06	1.263023E-06	0.00228359	0.02764171	
0.27	0.002269507	1.255233E-06	1.263322E-06	0.002284131	0.02764825	
0.272	0.002269972	1.25549E-06	1.263581E-06	0.002284598	0.02765392	
0.274	0.002270367	1.255708E-06	1.2638E-06	0.002284995	0.02765873	
0.276	0.002270693	1.255889E-06	1.263982E-06	0.002285323	0.0276627	
0.278	0.002270952	1.256032E-06	1.264125E-06	0.002285584	0.02766585	
0.28	0.002271145	1.256138E-06	1.264233E-06	0.002285778	0.0276682	
0.282	0.002271273	1.25621E-06	1.264304E-06	0.002285907	0.02766977	
0.284	0.002271339	1.256246E-06	1.26434E-06	0.002285972	0.02767056	
0.286	0.002271342	1.256248E-06	1.264342E-06	0.002285975	0.0276706	
0.288	0.002271285	1.256216E-06	1.26431E-06	0.002285918	0.02766991	
0.29	0.002271169	1.256152E-06	1.264245E-06	0.002285801	0.02766849	
0.292	0.002270995	1.256055E-06	1.264149E-06	0.002285625	0.02766637	
0.294	0.002270764	1.255928E-06	1.26402E-06	0.002285392	0.02766356	
0.296	0.002270477	1.255769E-06	1.26386E-06	0.002285104	0.02766006	
0.298	0.002270136	1.255581E-06	1.26367E-06	0.002284761	0.02765591	
0.3	0.002269742	1.255363E-06	1.263451E-06	0.002284363	0.02765111	
0.302	0.002269296	1.255116E-06	1.263202E-06	0.002283914	0.02764566	
0.304	0.002268798	1.25484E-06	1.262925E-06	0.002283413	0.02763961	
0.306	0.002268251	1.254538E-06	1.26262E-06	0.002282862	0.02763294	
0.308	0.002267655	1.254208E-06	1.262288E-06	0.002282262	0.02762568	
0.31	0.002267011	1.253852E-06	1.26193E-06	0.002281614	0.02761783	
0.312	0.00226632	1.25347E-06	1.261545E-06	0.002280919	0.02760942	
0.314	0.002265584	1.253063E-06	1.261135E-06	0.002280178	0.02760045	
0.316	0.002264803	1.25263E-06	1.260701E-06	0.002279392	0.02759093	
0.318	0.002263978	1.252174E-06	1.260241E-06	0.002278562	0.02758089	
0.32	0.002263111	1.251695E-06	1.259758E-06	0.002277689	0.02757032	
0.322	0.002262201	1.251192E-06	1.259252E-06	0.002276773	0.02755924	
0.324	0.002261251	1.250666E-06	1.258723E-06	0.002275817	0.02754766	
0.326	0.002260261	1.250118E-06	1.258172E-06	0.00227482	0.0275356	
0.328	0.002259231	1.249549E-06	1.257599E-06	0.002273784	0.02752306	
0.33	0.002258164	1.248959E-06	1.257004E-06	0.00227271	0.02751005	
0.332	0.002257058	1.248348E-06	1.256389E-06	0.002271598	0.02749659	
0.334	0.002255917	1.247716E-06	1.255753E-06	0.002270448	0.02748268	
0.336	0.002254739	1.247065E-06	1.255098E-06	0.002269263	0.02746833	
0.338	0.002253527	1.246394E-06	1.254423E-06	0.002268042	0.02745356	
0.34	0.00225228	1.245705E-06	1.253729E-06	0.002266787	0.02743837	
0.342	0.002251	1.244997E-06	1.253016E-06	0.002265499	0.02742278	
0.344	0.002249687	1.24427E-06	1.252285E-06	0.002264178	0.02740679	
0.346	0.002248342	1.243527E-06	1.251536E-06	0.002262824	0.0273904	
0.348	0.002246966	1.242766E-06	1.25077E-06	0.002261439	0.02737363	
0.35	0.002245559	1.241987E-06	1.249987E-06	0.002260023	0.0273565	
0.352	0.002244123	1.241193E-06	1.249187E-06	0.002258577	0.027339	
0.354	0.002242657	1.240382E-06	1.248372E-06	0.002257102	0.02732114	
0.356	0.002241163	1.239556E-06	1.24754E-06	0.002255598	0.02730293	
0.358	0.002239641	1.238714E-06	1.246692E-06	0.002254066	0.02728439	
0.36	0.002238091	1.237857E-06	1.24583E-06	0.002252506	0.02726551	
0.362	0.002236515	1.236985E-06	1.244952E-06	0.00225092	0.02724631	
