Time	AVm	BVm	BIa	Arm	JointPos	
1.7134	0.09992822	-0.05	6.588065E-17	-0.0004904997	6.588066E-10	
1.7136	0.09992822	-0.05	6.588065E-17	-0.0004904997	6.588066E-10	
1.7138	0.09992822	-0.05	6.588065E-17	-0.0004904997	6.588066E-10	
1.714	0.09992822	-0.05	6.592827E-17	-0.0004904997	6.592826E-10	
1.7142	0.09992822	-0.05	6.592827E-17	-0.0004904997	6.592826E-10	
1.7144	0.09992822	-0.05	6.592827E-17	-0.0004904997	6.592826E-10	
1.7146	0.09992822	-0.05	6.592827E-17	-0.0004904997	6.592826E-10	
1.7148	0.09992822	-0.05	6.592827E-17	-0.0004904997	6.592826E-10	
1.715	0.09992822	-0.05	6.597587E-17	-0.0004904997	6.597587E-10	
1.7152	0.09992822	-0.05	6.597587E-17	-0.0004904997	6.597587E-10	
1.7154	0.09992822	-0.05	6.597587E-17	-0.0004904997	6.597587E-10	
1.7156	0.09992822	-0.05	6.597587E-17	-0.0004904997	6.597587E-10	
1.7158	0.09992994	-0.05	6.597587E-17	-0.0004904997	6.597587E-10	
1.716	0.09992994	-0.05	6.602348E-17	-0.0004904997	6.602348E-10	
1.7162	0.09992994	-0.05	6.602348E-17	-0.0004904997	6.602348E-10	
1.7164	0.09992994	-0.05	6.602348E-17	-0.0004904997	6.602348E-10	
1.7166	0.09992994	-0.05	6.602348E-17	-0.0004904997	6.602348E-10	
1.7168	0.09992994	-0.05	6.602348E-17	-0.0004904997	6.602348E-10	
1.717	0.09992994	-0.05	6.607108E-17	-0.0004904997	6.607108E-10	
1.7172	0.09992994	-0.05	6.607108E-17	-0.0004904997	6.607108E-10	
1.7174	0.09992994	-0.05	6.607108E-17	-0.0004904997	6.607108E-10	
1.7176	0.09992994	-0.05	6.607108E-17	-0.0004904997	6.607108E-10	
1.7178	0.09992994	-0.05	6.607108E-17	-0.0004904997	6.607108E-10	
1.718	0.09992994	-0.05	6.611869E-17	-0.0004904997	6.611869E-10	
1.7182	0.09993162	-0.05	6.611869E-17	-0.0004904997	6.611869E-10	
1.7184	0.09993162	-0.05	6.611869E-17	-0.0004904997	6.611869E-10	
1.7186	0.09993162	-0.05	6.611869E-17	-0.0004904997	6.611869E-10	
1.7188	0.09993162	-0.05	6.611869E-17	-0.0004904997	6.611869E-10	
1.719	0.09993162	-0.05	6.61663E-17	-0.0004904997	6.616629E-10	
1.7192	0.09993162	-0.05	6.61663E-17	-0.0004904997	6.616629E-10	
1.7194	0.09993162	-0.05	6.61663E-17	-0.0004904997	6.616629E-10	
1.7196	0.09993162	-0.05	6.61663E-17	-0.0004904997	6.616629E-10	
1.7198	0.09993162	-0.05	6.61663E-17	-0.0004904997	6.616629E-10	
1.72	0.09993162	-0.05	6.62139E-17	-0.0004904997	6.62139E-10	
1.7202	0.09993162	-0.05	6.62139E-17	-0.0004904997	6.62139E-10	
1.7204	0.09993162	-0.05	6.62139E-17	-0.0004904997	6.62139E-10	
1.7206	0.09993326	-0.05	6.62139E-17	-0.0004904997	6.62139E-10	
1.7208	0.09993326	-0.05	6.62139E-17	-0.0004904997	6.62139E-10	
1.721	0.09993326	-0.05	6.626151E-17	-0.0004904997	6.626151E-10	
1.7212	0.09993326	-0.05	6.626151E-17	-0.0004904997	6.626151E-10	
1.7214	0.09993326	-0.05	6.626151E-17	-0.0004904997	6.626151E-10	
1.7216	0.09993326	-0.05	6.626151E-17	-0.0004904997	6.626151E-10	
1.7218	0.09993326	-0.05	6.626151E-17	-0.0004904997	6.626151E-10	
1.722	0.09993326	-0.05	6.630911E-17	-0.0004904997	6.630911E-10	
1.7222	0.09993326	-0.05	6.630911E-17	-0.0004904997	6.630911E-10	
1.7224	0.09993326	-0.05	6.630911E-17	-0.0004904997	6.630911E-10	
1.7226	0.09993326	-0.05	6.630911E-17	-0.0004904997	6.630911E-10	
1.7228	0.09993326	-0.05	6.630911E-17	-0.0004904997	6.630911E-10	
1.723	0.09993486	-0.05	6.635672E-17	-0.0004904997	6.635672E-10	
1.7232	0.09993486	-0.05	6.635672E-17	-0.0004904997	6.635672E-10	
1.7234	0.09993486	-0.05	6.635672E-17	-0.0004904997	6.635672E-10	
1.7236	0.09993486	-0.05	6.635672E-17	-0.0004904997	6.635672E-10	
1.7238	0.09993486	-0.05	6.635672E-17	-0.0004904997	6.635672E-10	
1.724	0.09993486	-0.05	6.640433E-17	-0.0004904997	6.640433E-10	
1.7242	0.09993486	-0.05	6.640433E-17	-0.0004904997	6.640433E-10	
1.7244	0.09993486	-0.05	6.640433E-17	-0.0004904997	6.640433E-10	
1.7246	0.09993486	-0.05	6.640433E-17	-0.0004904997	6.640433E-10	
1.7248	0.09993486	-0.05	6.640433E-17	-0.0004904997	6.640433E-10	
1.725	0.09993486	-0.05	6.645193E-17	-0.0004904997	6.645193E-10	
1.7252	0.09993486	-0.05	6.645193E-17	-0.0004904997	6.645193E-10	
1.7254	0.09993643	-0.05	6.645193E-17	-0.0004904997	6.645193E-10	
1.7256	0.09993643	-0.05	6.645193E-17	-0.0004904997	6.645193E-10	
