Time	Body_2 Y	Body_2 X	Body_2 Z	Joint_1 Pos	
0.043	-0.00928026	-7.623283E-10	0.2	-0.00885843	
0.044	-0.0097119	-8.110903E-10	0.2	-0.009280259	
0.045	-0.01015335	-8.618664E-10	0.2	-0.009711901	
0.046	-0.01060461	-9.146978E-10	0.2	-0.01015335	
0.047	-0.01106568	-9.696254E-10	0.2	-0.01060461	
0.048	-0.01153656	-1.02669E-09	0.2	-0.01106568	
0.049	-0.01201725	-1.085934E-09	0.2	-0.01153656	
0.05	-0.01250775	-1.147397E-09	0.2	-0.01201725	
0.051	-0.01300806	-1.21112E-09	0.2	-0.01250775	
0.052	-0.01351818	-1.277146E-09	0.2	-0.01300806	
0.053	-0.01403811	-1.345515E-09	0.2	-0.01351818	
0.054	-0.01456785	-1.416268E-09	0.2	-0.01403811	
0.055	-0.0151074	-1.489447E-09	0.2	-0.01456785	
0.056	-0.01565676	-1.565093E-09	0.2	-0.0151074	
0.057	-0.01621593	-1.626133E-09	0.2	-0.01565676	
0.058	-0.01678491	-1.679231E-09	0.2	-0.01621593	
0.059	-0.0173637	-1.728001E-09	0.2	-0.01678491	
0.06	-0.0179523	-1.774476E-09	0.2	-0.0173637	
0.061	-0.01855071	-1.819851E-09	0.2	-0.0179523	
0.062	-0.01915893	-1.864855E-09	0.2	-0.01855071	
0.063	-0.01977696	-1.909958E-09	0.2	-0.01915893	
0.064	-0.0204048	-1.95548E-09	0.2	-0.01977696	
0.06500001	-0.02104245	-2.001649E-09	0.2	-0.0204048	
0.066	-0.02168991	-2.04864E-09	0.2	-0.02104245	
0.067	-0.02234718	-2.096596E-09	0.2	-0.02168991	
0.068	-0.02301426	-2.145636E-09	0.2	-0.02234718	
0.06900001	-0.02369115	-2.195867E-09	0.2	-0.02301426	
0.07	-0.02437785	-2.247387E-09	0.2	-0.02369115	
0.071	-0.02507436	-2.300289E-09	0.2	-0.02437785	
0.072	-0.02578068	-2.354661E-09	0.2	-0.02507436	
0.07300001	-0.02649681	-2.410587E-09	0.2	-0.02578068	
0.074	-0.02722275	-2.46815E-09	0.2	-0.02649681	
0.075	-0.0279585	-2.527432E-09	0.2	-0.02722275	
0.07600001	-0.02870407	-2.588512E-09	0.2	-0.0279585	
0.07700001	-0.02945944	-2.651468E-09	0.2	-0.02870407	
0.078	-0.03022462	-2.716377E-09	0.2	-0.02945944	
0.079	-0.03099961	-2.783316E-09	0.2	-0.03022462	
0.08000001	-0.03178441	-2.852358E-09	0.2	-0.03099961	
0.081	-0.03257902	-2.92358E-09	0.2	-0.03178441	
0.082	-0.03338344	-2.997053E-09	0.2	-0.03257902	
0.083	-0.03419767	-3.072849E-09	0.2	-0.03338344	
0.08400001	-0.03502171	-3.151042E-09	0.2	-0.03419767	
0.085	-0.03585556	-3.2317E-09	0.2	-0.03502171	
0.086	-0.03669922	-3.314895E-09	0.2	-0.03585556	
0.087	-0.03755269	-3.400696E-09	0.2	-0.03669922	
0.08800001	-0.03841597	-3.489171E-09	0.2	-0.03755269	
0.089	-0.03928906	-3.580387E-09	0.2	-0.03841597	
0.09	-0.04017196	-3.674413E-09	0.2	-0.03928906	
0.09100001	-0.04106467	-3.771313E-09	0.2	-0.04017196	
0.09200001	-0.04196719	-3.871156E-09	0.2	-0.04106467	
0.093	-0.04287952	-3.974005E-09	0.2	-0.04196719	
0.094	-0.04380166	-4.079924E-09	0.2	-0.04287952	
0.09500001	-0.04473361	-4.188978E-09	0.2	-0.04380166	
0.096	-0.04567537	-4.301231E-09	0.2	-0.04473361	
0.097	-0.04662694	-4.416746E-09	0.2	-0.04567537	
0.098	-0.04758832	-4.535583E-09	0.2	-0.04662694	
0.09900001	-0.04855951	-4.640691E-09	0.2	-0.04758832	
0.1	-0.04954051	-4.738753E-09	0.2	-0.04855951	
0.101	-0.05053132	-4.833404E-09	0.2	-0.04954051	
0.102	-0.05153194	-4.926695E-09	0.2	-0.05053132	
0.103	-0.05254237	-5.019838E-09	0.2	-0.05153194	
0.104	-0.05356261	-5.113581E-09	0.2	-0.05254237	
0.105	-0.05459266	-5.208412E-09	0.2	-0.05356261	
0.106	-0.05563251	-5.304666E-09	0.2	-0.05459266	
0.107	-0.05668218	-5.40259E-09	0.2	-0.05563251	
0.108	-0.05774166	-5.502374E-09	0.2	-0.05668218	
0.109	-0.05881095	-5.604175E-09	0.2	-0.05774166	
0.11	-0.05989005	-5.70813E-09	0.2	-0.05881095	
0.111	-0.06097896	-5.814358E-09	0.2	-0.05989005	
0.112	-0.06207768	-5.922974E-09	0.2	-0.06097896	
0.113	-0.06318621	-6.034083E-09	0.2	-0.06207768	
0.114	-0.06430455	-6.147788E-09	0.2	-0.06318621	
0.115	-0.06543269	-6.264186E-09	0.2	-0.06430455	
0.116	-0.06657065	-6.383374E-09	0.2	-0.06543269	
0.117	-0.06771842	-6.505445E-09	0.2	-0.06657065	
0.118	-0.06887601	-6.634637E-09	0.2	-0.06771842	
0.119	-0.07004339	-6.772838E-09	0.2	-0.068876	
0.12	-0.07122059	-6.920882E-09	0.2	-0.07004339	
0.121	-0.0724076	-7.079128E-09	0.2	-0.07122058	
0.122	-0.07360442	-7.247724E-09	0.2	-0.0724076	
0.123	-0.07481105	-7.426726E-09	0.2	-0.07360441	
0.124	-0.07602749	-7.616145E-09	0.2	-0.07481104	
0.125	-0.07725374	-7.798858E-09	0.2	-0.07602748	
0.126	-0.0784898	-8.012758E-09	0.2	-0.07725373	
0.127	-0.07973566	-8.247592E-09	0.2	-0.07848979	
0.128	-0.08099134	-8.498392E-09	0.2	-0.07973566	
0.129	-0.08225683	-8.76265E-09	0.2	-0.08099134	
0.13	-0.08353213	-9.039022E-09	0.2	-0.08225682	
0.131	-0.08481724	-9.326723E-09	0.2	-0.08353212	
0.132	-0.08611216	-9.625249E-09	0.2	-0.08481723	
0.133	-0.08741688	-9.934239E-09	0.2	-0.08611215	
0.134	-0.08873142	-1.025341E-08	0.2	-0.08741688	
0.135	-0.09005577	-1.058253E-08	0.2	-0.08873142	
0.136	-0.09138993	-1.090427E-08	0.2	-0.09005576	
0.137	-0.0927339	-1.122507E-08	0.2	-0.09138992	
0.138	-0.09408768	-1.151704E-08	0.2	-0.09273389	
0.139	-0.09545126	-1.179582E-08	0.2	-0.09408767	
0.14	-0.09682466	-1.206934E-08	0.2	-0.09545126	
0.141	-0.09820787	-1.237307E-08	0.2	-0.09682465	
0.142	-0.09960089	-1.269552E-08	0.2	-0.09820786	
0.143	-0.1010037	-1.303108E-08	0.2	-0.09960088	
0.144	-0.1024164	-1.337695E-08	0.2	-0.1010037	
0.145	-0.1038388	-1.370036E-08	0.2	-0.1024164	
0.146	-0.1052711	-1.399722E-08	0.2	-0.1038388	
0.147	-0.1067131	-1.431189E-08	0.2	-0.1052711	
0.148	-0.108165	-1.46375E-08	0.2	-0.1067131	
0.149	-0.1096267	-1.497091E-08	0.2	-0.108165	
0.15	-0.1110982	-1.531068E-08	0.2	-0.1096267	
0.151	-0.1125795	-1.562488E-08	0.2	-0.1110982	
0.152	-0.1140706	-1.592697E-08	0.2	-0.1125795	
0.153	-0.1155715	-1.625502E-08	0.2	-0.1140706	
0.154	-0.1170823	-1.65988E-08	0.2	-0.1155715	
0.155	-0.1186028	-1.693619E-08	0.2	-0.1170823	
0.156	-0.1201332	-1.727136E-08	0.2	-0.1186028	
0.157	-0.1216734	-1.764378E-08	0.2	-0.1201332	
0.158	-0.1232233	-1.800371E-08	0.2	-0.1216734	
0.159	-0.1247831	-1.83944E-08	0.2	-0.1232233	
0.16	-0.1263527	-1.880694E-08	0.2	-0.1247831	
0.161	-0.1279321	-1.923637E-08	0.2	-0.1263527	
0.162	-0.1295213	-1.967983E-08	0.2	-0.1279321	
0.163	-0.1311204	-2.011858E-08	0.2	-0.1295213	
0.164	-0.1327292	-2.055828E-08	0.2	-0.1311204	
0.165	-0.1343478	-2.100194E-08	0.2	-0.1327292	
0.166	-0.1359763	-2.145124E-08	0.2	-0.1343478	
0.167	-0.1376146	-2.190715E-08	0.2	-0.1359763	
0.168	-0.1392626	-2.237027E-08	0.2	-0.1376146	
0.169	-0.1409205	-2.282389E-08	0.2	-0.1392626	
0.17	-0.1425882	-2.32749E-08	0.2	-0.1409205	
0.171	-0.1442658	-2.372708E-08	0.2	-0.1425882	
0.172	-0.1459531	-2.418257E-08	0.2	-0.1442658	
0.173	-0.1476502	-2.464268E-08	0.2	-0.1459531	
0.174	-0.1493571	-2.510819E-08	0.2	-0.1476502	
0.175	-0.1510739	-2.557966E-08	0.2	-0.1493571	
0.176	-0.1528004	-2.604033E-08	0.2	-0.1510739	
0.177	-0.1545368	-2.647972E-08	0.2	-0.1528004	
0.178	-0.156283	-2.689361E-08	0.2	-0.1545368	
0.179	-0.158039	-2.728057E-08	0.2	-0.156283	
0.18	-0.1598047	-2.76404E-08	0.2	-0.158039	
0.181	-0.1615804	-2.797344E-08	0.2	-0.1598047	
0.182	-0.1633658	-2.828029E-08	0.2	-0.1615804	
0.183	-0.165161	-2.850811E-08	0.2	-0.1633658	
0.184	-0.1669661	-2.86529E-08	0.2	-0.165161	
0.185	-0.1687809	-2.875581E-08	0.2	-0.1669661	
0.186	-0.1706056	-2.883281E-08	0.2	-0.1687809	
0.187	-0.17244	-2.888963E-08	0.2	-0.1706055	
0.188	-0.1742843	-2.892804E-08	0.2	-0.17244	
0.189	-0.1761384	-2.894843E-08	0.2	-0.1742843	
0.19	-0.1780023	-2.895085E-08	0.2	-0.1761384	
0.191	-0.179876	-2.893534E-08	0.2	-0.1780023	
0.192	-0.1817595	-2.890204E-08	0.2	-0.179876	
0.193	-0.1836528	-2.885118E-08	0.2	-0.1817595	
0.194	-0.185556	-2.87831E-08	0.2	-0.1836528	
0.195	-0.1874689	-2.872953E-08	0.2	-0.185556	
0.196	-0.1893917	-2.864456E-08	0.2	-0.1874689	
0.197	-0.1913243	-2.853546E-08	0.2	-0.1893917	
0.198	-0.1932666	-2.840629E-08	0.2	-0.1913243	
0.199	-0.1952188	-2.825948E-08	0.2	-0.1932666	
0.2	-0.1971808	-2.811369E-08	0.2	-0.1952188	
0.201	-0.1991526	-2.796339E-08	0.2	-0.1971808	
0.202	-0.2011342	-2.780583E-08	0.2	-0.1991526	
0.203	-0.2031257	-2.761753E-08	0.2	-0.2011342	
0.204	-0.2051269	-2.741747E-08	0.2	-0.2031257	
0.205	-0.2071379	-2.718945E-08	0.2	-0.2051269	
0.206	-0.2091588	-2.695412E-08	0.2	-0.2071379	
0.207	-0.2111895	-2.671717E-08	0.2	-0.2091588	
0.208	-0.2132299	-2.647896E-08	0.2	-0.2111895	
0.209	-0.2152802	-2.623831E-08	0.2	-0.2132299	
0.21	-0.2173403	-2.599395E-08	0.2	-0.2152802	
0.211	-0.2194102	-2.574487E-08	0.2	-0.2173403	
0.212	-0.22149	-2.550196E-08	0.2	-0.2194102	
0.213	-0.2235795	-2.527059E-08	0.2	-0.22149	
0.214	-0.2256788	-2.507054E-08	0.2	-0.2235795	
0.215	-0.227788	-2.489648E-08	0.2	-0.2256788	
0.216	-0.2299069	-2.474544E-08	0.2	-0.227788	
0.217	-0.2320357	-2.461568E-08	0.2	-0.2299069	
0.218	-0.2341743	-2.450609E-08	0.2	-0.2320357	
0.219	-0.2363227	-2.442166E-08	0.2	-0.2341743	
0.22	-0.2384809	-2.436532E-08	0.2	-0.2363227	
0.221	-0.2406489	-2.433862E-08	0.2	-0.2384809	
0.222	-0.2428267	-2.434233E-08	0.2	-0.2406489	
0.223	-0.2450143	-2.437666E-08	0.2	-0.2428267	
0.224	-0.2472118	-2.440611E-08	0.2	-0.2450143	
0.225	-0.249419	-2.444078E-08	0.2	-0.2472118	
0.226	-0.2516361	-2.448482E-08	0.2	-0.249419	
0.227	-0.2538629	-2.453987E-08	0.2	-0.2516361	
0.228	-0.2560996	-2.460654E-08	0.2	-0.2538629	
0.229	-0.2583461	-2.468508E-08	0.2	-0.2560996	
0.23	-0.2606024	-2.477558E-08	0.2	-0.2583461	
0.231	-0.2628686	-2.487812E-08	0.2	-0.2606024	
0.232	-0.2651445	-2.502407E-08	0.2	-0.2628686	
0.233	-0.2674302	-2.519969E-08	0.2	-0.2651445	
0.234	-0.2697257	-2.536686E-08	0.2	-0.2674302	
0.235	-0.2720311	-2.551871E-08	0.2	-0.2697257	
0.236	-0.2743462	-2.569819E-08	0.2	-0.2720311	
0.237	-0.2766712	-2.58976E-08	0.2	-0.2743462	
0.238	-0.279006	-2.611336E-08	0.2	-0.2766712	
0.239	-0.2813506	-2.631243E-08	0.2	-0.279006	
0.24	-0.283705	-2.650778E-08	0.2	-0.2813506	
0.241	-0.2860692	-2.670588E-08	0.2	-0.283705	
0.242	-0.2884432	-2.694138E-08	0.2	-0.2860692	
0.243	-0.290827	-2.720231E-08	0.2	-0.2884432	
0.244	-0.2932207	-2.745151E-08	0.2	-0.290827	
0.245	-0.2956241	-2.769982E-08	0.2	-0.2932207	
0.246	-0.2980374	-2.798388E-08	0.2	-0.2956241	
0.247	-0.3004605	-2.829266E-08	0.2	-0.2980374	
0.248	-0.3028933	-2.858944E-08	0.2	-0.3004605	
0.249	-0.305336	-2.886814E-08	0.2	-0.3028933	
0.25	-0.3077885	-2.917214E-08	0.2	-0.305336	
0.251	-0.3102508	-2.949402E-08	0.2	-0.3077885	
0.252	-0.312723	-2.983037E-08	0.2	-0.3102508	
0.253	-0.3152049	-3.014829E-08	0.2	-0.312723	
0.254	-0.3176966	-3.04921E-08	0.2	-0.3152049	
0.255	-0.3201982	-3.082326E-08	0.2	-0.3176966	
0.256	-0.3227095	-3.118335E-08	0.2	-0.3201982	
0.257	-0.3252307	-3.153249E-08	0.2	-0.3227095	
0.258	-0.3277617	-3.19316E-08	0.2	-0.3252307	
0.259	-0.3303025	-3.236567E-08	0.2	-0.3277617	
0.26	-0.3328531	-3.282651E-08	0.2	-0.3303025	
0.261	-0.3354135	-3.330956E-08	0.2	-0.3328531	
0.262	-0.3379837	-3.377504E-08	0.2	-0.3354135	
0.263	-0.3405637	-3.423413E-08	0.2	-0.3379837	
0.264	-0.3431536	-3.473048E-08	0.2	-0.3405637	
0.265	-0.3457532	-3.523808E-08	0.2	-0.3431536	
0.266	-0.3483627	-3.572131E-08	0.2	-0.3457532	
0.267	-0.350982	-3.623067E-08	0.2	-0.3483627	
0.268	-0.3536111	-3.676108E-08	0.2	-0.350982	
0.269	-0.3562499	-3.730962E-08	0.2	-0.3536111	
0.27	-0.3588986	-3.782034E-08	0.2	-0.3562499	
0.271	-0.3615572	-3.834877E-08	0.2	-0.3588986	
0.272	-0.3642255	-3.889258E-08	0.2	-0.3615572	
0.273	-0.3669036	-3.945042E-08	0.2	-0.3642255	
0.274	-0.3695916	-4.002157E-08	0.2	-0.3669036	
0.275	-0.3722893	-4.056843E-08	0.2	-0.3695916	
0.276	-0.3749969	-4.112355E-08	0.2	-0.3722893	
0.277	-0.3777142	-4.168812E-08	0.2	-0.3749969	
0.278	-0.3804414	-4.226272E-08	0.2	-0.3777142	
0.279	-0.3831784	-4.284763E-08	0.2	-0.3804414	
0.28	-0.3859252	-4.344303E-08	0.2	-0.3831784	
0.281	-0.3886818	-4.403358E-08	0.2	-0.3859252	
0.282	-0.3914482	-4.46277E-08	0.2	-0.3886818	
0.283	-0.3942245	-4.519158E-08	0.2	-0.3914482	
0.284	-0.3970105	-4.575902E-08	0.2	-0.3942245	
0.285	-0.3998064	-4.631717E-08	0.2	-0.3970105	
0.286	-0.402612	-4.681113E-08	0.2	-0.3998064	
0.287	-0.4047477	0.0001310177	0.2001311	-0.402612	
0.288	-0.4063504	0.0004503507	0.2004504	-0.4032488	
0.289	-0.4076302	0.0009509936	0.200951	-0.4026124	
0.29	-0.4087578	0.001589373	0.2015894	-0.4016158	
0.291	-0.4098301	0.002313337	0.2023133	-0.4007967	
0.292	-0.4108798	0.003079945	0.20308	-0.4003273	
0.293	-0.4119008	0.003861362	0.2038614	-0.4001655	
0.294	-0.4128719	0.004642915	0.2046429	-0.4001918	
0.295	-0.4137733	0.005418149	0.2054182	-0.4002906	
0.296	-0.4145934	0.006184148	0.2061842	-0.4003848	
0.297	-0.4153302	0.00693845	0.2069385	-0.4004389	
0.298	-0.4159884	0.007677703	0.2076777	-0.4004486	
0.299	-0.4165761	0.008397541	0.2083976	-0.4004257	
0.3	-0.4171022	0.009093064	0.2090931	-0.4003862	
0.301	-0.417574	0.009759454	0.2097595	-0.400344	
0.302	-0.4179972	0.01039245	0.2103925	-0.4003077	
0.303	-0.4183752	0.01098861	0.2109886	-0.4002809	
0.304	-0.4187102	0.01154533	0.2115453	-0.4002633	
0.305	-0.4190033	0.01206074	0.2120607	-0.4002531	
0.306	-0.4192551	0.01253357	0.2125336	-0.4002474	
0.307	-0.4194663	0.01296298	0.212963	-0.400244	
0.308	-0.4196374	0.01334841	0.2133484	-0.400241	
0.309	-0.4197693	0.01368951	0.2136895	-0.4002376	
0.31	-0.419863	0.0139861	0.2139861	-0.4002336	
0.311	-0.4199195	0.01423812	0.2142382	-0.4002291	
0.312	-0.4199396	0.01444568	0.2144457	-0.4002242	
0.313	-0.4199243	0.01460903	0.2146091	-0.4002195	
0.314	-0.4198745	0.01472857	0.2147286	-0.4002151	
0.315	-0.4197908	0.01480486	0.2148049	-0.4002113	
0.316	-0.419674	0.01483862	0.2148387	-0.400208	
0.317	-0.4195244	0.01483072	0.2148308	-0.4002052	
0.318	-0.4193426	0.01478216	0.2147822	-0.4002027	
0.319	-0.4191292	0.01469407	0.2146941	-0.4002003	
0.32	-0.4188846	0.01456767	0.2145677	-0.4001981	
0.321	-0.4186093	0.01440432	0.2144043	-0.4001959	
0.322	-0.4183038	0.01420544	0.2142055	-0.4001938	
0.323	-0.4179688	0.01397254	0.2139726	-0.4001915	
0.324	-0.4176046	0.01370723	0.2137073	-0.4001891	
0.325	-0.417212	0.01341116	0.2134112	-0.4001865	
0.326	-0.4167916	0.01308605	0.2130861	-0.4001839	
0.327	-0.4163442	0.0127337	0.2127337	-0.400181	
0.328	-0.4158703	0.01235592	0.212356	-0.4001779	
0.329	-0.4153709	0.01195458	0.2119546	-0.4001746	
0.33	-0.4148469	0.01153158	0.2115316	-0.4001709	
0.331	-0.414299	0.01108885	0.2110889	-0.400167	
0.332	-0.4137284	0.01062831	0.2106283	-0.4001627	
0.333	-0.4131362	0.01015192	0.210152	-0.4001581	
0.334	-0.4125234	0.009661608	0.2096616	-0.4001531	
0.335	-0.4118913	0.009159309	0.2091594	-0.4001477	
0.336	-0.4112412	0.008646936	0.208647	-0.4001419	
0.337	-0.4105745	0.00812638	0.2081264	-0.4001357	
0.338	-0.4098928	0.007599497	0.2075995	-0.4001292	
0.339	-0.4091973	0.00706811	0.2070681	-0.4001223	
0.34	-0.4084899	0.006533997	0.206534	-0.4001151	
0.341	-0.4077721	0.005998883	0.2059989	-0.4001075	
0.342	-0.4070457	0.005464439	0.2054645	-0.4000996	
0.343	-0.4063124	0.004932275	0.2049323	-0.4000915	
0.344	-0.405574	0.004403931	0.204404	-0.400083	
0.345	-0.4048324	0.003880877	0.2038809	-0.4000743	
0.346	-0.4040894	0.00336451	0.2033645	-0.4000654	
0.347	-0.403347	0.002856145	0.2028562	-0.4000563	
0.348	-0.4026072	0.00235702	0.2023571	-0.4000471	
0.349	-0.4018717	0.001868287	0.2018683	-0.4000378	
0.35	-0.4011427	0.001391017	0.2013911	-0.4000284	
0.351	-0.400422	0.0009261921	0.2009262	-0.400019	
0.352	-0.3997111	0.000474794	0.2004748	-0.4000097	
0.353	-0.39901	3.804863E-05	0.2000381	-0.3999991	
0.354	-0.3983188	-0.0003827117	0.1996173	-0.3999812	
0.355	-0.3976373	-0.0007861415	0.1992139	-0.399951	
0.356	-0.3969657	-0.001170942	0.1988291	-0.3999041	
0.357	-0.3963039	-0.001535904	0.1984641	-0.3998364	
0.358	-0.3956518	-0.001879931	0.1981201	-0.3997445	
0.359	-0.3950096	-0.002202063	0.197798	-0.3996253	
0.36	-0.3943772	-0.00250148	0.1974985	-0.3994759	
0.361	-0.3937546	-0.002777512	0.1972225	-0.3992942	
0.362	-0.3931418	-0.003029643	0.1969704	-0.3990781	
0.363	-0.3925388	-0.003257505	0.1967425	-0.3988262	
0.364	-0.3919457	-0.003460879	0.1965391	-0.3985375	
0.365	-0.3913623	-0.00363969	0.1963603	-0.3982112	
0.366	-0.3907888	-0.003793998	0.196206	-0.3978472	
0.367	-0.390225	-0.003923996	0.196076	-0.3974458	
0.368	-0.3896711	-0.004029998	0.19597	-0.3970076	
0.369	-0.389127	-0.004112432	0.1958876	-0.3965336	
0.37	-0.3885927	-0.004171834	0.1958282	-0.3960252	
0.371	-0.3880682	-0.004208838	0.1957912	-0.3954842	
0.372	-0.3875535	-0.004224164	0.1957759	-0.3949125	
0.373	-0.3870486	-0.004218617	0.1957814	-0.3943124	
0.374	-0.3865535	-0.004193074	0.195807	-0.3936863	
0.375	-0.3860683	-0.004148473	0.1958515	-0.393037	
0.376	-0.3855928	-0.004085813	0.1959142	-0.3923672	
0.377	-0.3851272	-0.00400614	0.1959939	-0.3916796	
0.378	-0.3846714	-0.003910541	0.1960895	-0.3909774	
0.379	-0.3842253	-0.003800138	0.1961999	-0.3902631	
0.38	-0.3837892	-0.003676077	0.1963239	-0.3895399	
0.381	-0.3833627	-0.003539527	0.1964605	-0.3888104	
0.382	-0.3829462	-0.003391666	0.1966083	-0.3880773	
0.383	-0.3825394	-0.003233678	0.1967663	-0.3873435	
0.384	-0.3821424	-0.003066749	0.1969333	-0.3866112	
0.385	-0.3817553	-0.002892054	0.1971079	-0.3858828	
0.386	-0.3813779	-0.002710759	0.1972892	-0.3851607	
0.387	-0.3810104	-0.002524008	0.197476	-0.3844469	
0.388	-0.3806527	-0.002332922	0.1976671	-0.3837433	
0.389	-0.3803048	-0.002138595	0.1978614	-0.3830517	
0.39	-0.3799666	-0.001942088	0.1980579	-0.3823738	
0.391	-0.3796383	-0.001744426	0.1982556	-0.381711	
0.392	-0.3793199	-0.00154659	0.1984534	-0.3810646	
0.393	-0.3790112	-0.001349524	0.1986505	-0.3804359	
0.394	-0.3787123	-0.001154122	0.1988458	-0.3798259	
0.395	-0.3784233	-0.0009612312	0.1990387	-0.3792357	
0.396	-0.378144	-0.0007716509	0.1992283	-0.378666	
0.397	-0.3778746	-0.0005861279	0.1994139	-0.3781175	
0.398	-0.3776149	-0.0004053577	0.1995946	-0.377591	
0.399	-0.3773651	-0.0002299831	0.19977	-0.3770868	
0.4	-0.3771251	-6.059388E-05	0.1999394	-0.3766056	
0.401	-0.3768949	0.0001022731	0.2001022	-0.3761476	
0.402	-0.3766745	0.000258134	0.2002581	-0.3757131	
0.403	-0.376464	0.0004065578	0.2004065	-0.3753023	
0.404	-0.3762632	0.0005471652	0.2005471	-0.3749154	
0.405	-0.3760723	0.0006796282	0.2006796	-0.3745525	
0.406	-0.3758911	0.0008036693	0.2008036	-0.3742136	
0.407	-0.3757198	0.0009190603	0.200919	-0.3738987	
0.408	-0.3755582	0.001025621	0.2010256	-0.3736076	
0.409	-0.3754065	0.001123217	0.2011231	-0.3733404	
0.41	-0.3752646	0.001211762	0.2012117	-0.3730968	
0.411	-0.3751325	0.00129121	0.2012911	-0.3728766	
0.412	-0.3750102	0.001361559	0.2013615	-0.3726795	
0.413	-0.3748977	0.001422847	0.2014228	-0.3725054	
0.414	-0.3747951	0.001475151	0.2014751	-0.3723539	
0.415	-0.3747022	0.001518583	0.2015185	-0.3722247	
0.416	-0.3746192	0.001553294	0.2015533	-0.3721174	
0.417	-0.3745459	0.001579462	0.2015794	-0.3720315	
0.418	-0.3744825	0.001597302	0.2015973	-0.3719668	
0.419	-0.3744289	0.001607054	0.201607	-0.3719228	
0.42	-0.3743851	0.001608985	0.2016089	-0.3718989	
0.421	-0.3743511	0.00160339	0.2016033	-0.3718947	
0.422	-0.3743269	0.001590582	0.2015905	-0.3719097	
0.423	-0.3743125	0.001570897	0.2015709	-0.3719433	
0.424	-0.374308	0.001544691	0.2015446	-0.3719951	
0.425	-0.3743132	0.001512333	0.2015123	-0.3720644	
0.426	-0.3743283	0.001474207	0.2014742	-0.3721508	
0.427	-0.3743531	0.001430709	0.2014307	-0.3722535	
0.428	-0.3743878	0.001382247	0.2013822	-0.3723721	
0.429	-0.3744323	0.001329232	0.2013292	-0.3725059	
0.43	-0.3744866	0.001272085	0.201272	-0.3726543	
0.431	-0.3745507	0.001211228	0.2012112	-0.3728168	
0.432	-0.3746246	0.001147086	0.2011471	-0.3729927	
0.433	-0.3747083	0.001080081	0.2010801	-0.3731813	
0.434	-0.3748018	0.001010636	0.2010106	-0.3733822	
0.435	-0.3749052	0.0009391683	0.2009391	-0.3735947	
0.436	-0.3750184	0.0008660886	0.2008661	-0.3738181	
0.437	-0.3751413	0.0007918007	0.2007918	-0.374052	
0.438	-0.3752741	0.0007166992	0.2007167	-0.3742958	
