Time	Body_2 Y	Body_2 X	Body_2 Z	Joint_1 Pos	
0	0	0	0.2	0	
0.001	-9.810003E-06	-1.28506E-13	0.2	0	
0.002	-2.943001E-05	-4.830341E-13	0.2	-9.810925E-06	
0.003	-5.886002E-05	-1.139859E-12	0.2	-2.942979E-05	
0.004	-9.810003E-05	-2.161137E-12	0.2	-5.885959E-05	
0.005	-0.00014715	-3.599841E-12	0.2	-9.81003E-05	
0.006	-0.0002060101	-5.503061E-12	0.2	-0.000147149	
0.007	-0.0002746801	-7.914185E-12	0.2	-0.0002060115	
0.008	-0.0003531601	-1.08743E-11	0.2	-0.0002746791	
0.009000001	-0.0004414501	-1.44231E-11	0.2	-0.0003531605	
0.01	-0.0005395501	-1.859947E-11	0.2	-0.0004414499	
0.011	-0.0006474601	-2.344185E-11	0.2	-0.0005395502	
0.012	-0.0007651802	-2.898846E-11	0.2	-0.0006474614	
0.013	-0.0008927101	-3.527743E-11	0.2	-0.0007651806	
0.014	-0.00103005	-4.234692E-11	0.2	-0.0008927107	
0.015	-0.0011772	-5.023515E-11	0.2	-0.001030049	
0.016	-0.00133416	-5.898043E-11	0.2	-0.001177201	
0.017	-0.00150093	-6.862122E-11	0.2	-0.001334161	
0.018	-0.00167751	-7.919607E-11	0.2	-0.001500931	
0.019	-0.0018639	-9.074368E-11	0.2	-0.00167751	
0.02	-0.0020601	-1.033029E-10	0.2	-0.0018639	
0.021	-0.002266111	-1.169126E-10	0.2	-0.0020601	
0.022	-0.002481931	-1.316119E-10	0.2	-0.002266109	
0.023	-0.002707561	-1.4744E-10	0.2	-0.002481932	
0.024	-0.002943001	-1.644363E-10	0.2	-0.002707562	
0.025	-0.003188251	-1.826401E-10	0.2	-0.002943	
0.026	-0.003443311	-2.02091E-10	0.2	-0.003188249	
0.027	-0.003708181	-2.228287E-10	0.2	-0.00344331	
0.028	-0.003982861	-2.448928E-10	0.2	-0.003708181	
0.029	-0.004267351	-2.683233E-10	0.2	-0.00398286	
0.03	-0.004561651	-2.931601E-10	0.2	-0.00426735	
0.031	-0.004865761	-3.194431E-10	0.2	-0.004561651	
0.032	-0.005179681	-3.472126E-10	0.2	-0.00486576	
0.033	-0.005503411	-3.765087E-10	0.2	-0.005179679	
0.034	-0.005836951	-4.073716E-10	0.2	-0.00550341	
0.035	-0.006180301	-4.398418E-10	0.2	-0.005836952	
0.036	-0.006533461	-4.739597E-10	0.2	-0.006180301	
0.037	-0.006896431	-5.097657E-10	0.2	-0.006533462	
0.038	-0.007269211	-5.473004E-10	0.2	-0.00689643	
0.039	-0.007651801	-5.866045E-10	0.2	-0.00726921	
0.04	-0.008044201	-6.277185E-10	0.2	-0.0076518	
0.041	-0.00844641	-6.706833E-10	0.2	-0.008044201	
0.042	-0.00885843	-7.155396E-10	0.2	-0.00844641	
