Time	Iext	
0	0	
0.002	0	
0.004	0	
0.006	0	
0.008	0	
0.01	0	
0.012	9.999833E-20	
0.014	1.999867E-19	
0.016	2.99955E-19	
0.018	3.998933E-19	
0.02	4.997917E-19	
0.022	5.996401E-19	
0.024	6.994285E-19	
0.026	7.991469E-19	
0.028	8.987855E-19	
0.03	9.983342E-19	
0.032	1.097783E-18	
0.034	1.197122E-18	
0.036	1.296341E-18	
0.038	1.395431E-18	
0.04	1.494381E-18	
0.042	1.593182E-18	
0.044	1.691823E-18	
0.046	1.790296E-18	
0.048	1.888589E-18	
0.05	1.986693E-18	
0.052	2.084599E-18	
0.054	2.182296E-18	
0.056	2.279775E-18	
0.058	2.377026E-18	
0.06	2.47404E-18	
0.062	2.570805E-18	
0.064	2.667314E-18	
0.066	2.763556E-18	
0.068	2.859522E-18	
0.07	2.955202E-18	
0.072	3.050586E-18	
0.074	3.145666E-18	
0.07600001	3.24043E-18	
0.078	3.334871E-18	
0.08000001	3.428978E-18	
0.082	3.522743E-18	
0.08400001	3.616154E-18	
0.086	3.709205E-18	
0.08800001	3.801884E-18	
0.09	3.894184E-18	
0.09200001	3.986093E-18	
0.094	4.077605E-18	
0.096	4.168708E-18	
0.098	4.259395E-18	
0.1	4.349655E-18	
0.102	4.439481E-18	
0.104	4.528863E-18	
0.106	4.617792E-18	
0.108	4.706259E-18	
0.11	4.794255E-18	
0.112	4.881772E-18	
0.114	4.968802E-18	
0.116	5.055333E-18	
0.118	5.14136E-18	
0.12	5.226872E-18	
0.122	5.311862E-18	
0.124	5.39632E-18	
0.126	5.480239E-18	
0.128	5.56361E-18	
0.13	5.646425E-18	
0.132	5.728675E-18	
0.134	5.810352E-18	
0.136	5.891448E-18	
0.138	5.971955E-18	
0.14	6.051864E-18	
0.142	6.131169E-18	
0.144	6.20986E-18	
0.146	6.28793E-18	
0.148	6.365372E-18	
0.15	6.442176E-18	
0.152	6.518337E-18	
0.154	6.593847E-18	
0.156	6.668697E-18	
0.158	6.742879E-18	
0.16	6.816388E-18	
0.162	6.889215E-18	
0.164	6.961353E-18	
0.166	7.032794E-18	
0.168	7.103533E-18	
0.17	7.173561E-18	
0.172	7.242872E-18	
0.174	7.311458E-18	
0.176	7.379314E-18	
0.178	7.446431E-18	
0.18	7.512804E-18	
0.182	7.578426E-18	
0.184	7.643289E-18	
0.186	7.707389E-18	
0.188	7.770717E-18	
0.19	7.833269E-18	
0.192	7.895038E-18	
0.194	7.956017E-18	
0.196	8.016199E-18	
0.198	8.075581E-18	
0.2	8.134155E-18	
0.202	8.191915E-18	
0.204	8.248858E-18	
0.206	8.304974E-18	
0.208	8.36026E-18	
0.21	8.41471E-18	
0.212	8.468319E-18	
0.214	8.521079E-18	
0.216	8.572989E-18	
0.218	8.624042E-18	
0.22	8.674232E-18	
0.222	8.723554E-18	
0.224	8.772006E-18	
0.226	8.819578E-18	
0.228	8.866269E-18	
0.23	8.912074E-18	
