Time	Iext	
0.636	1E-09	
0.638	1E-09	
0.64	1E-09	
0.642	1E-09	
0.6440001	1E-09	
0.646	1E-09	
0.648	1E-09	
0.65	1E-09	
0.652	1E-09	
0.654	1E-09	
0.656	1E-09	
0.6580001	1E-09	
0.66	1E-09	
0.6620001	1E-09	
0.664	1E-09	
0.666	1E-09	
0.668	1E-09	
0.67	1E-09	
0.6720001	1E-09	
0.674	1E-09	
0.6760001	1E-09	
0.678	1E-09	
0.68	1E-09	
0.682	1E-09	
0.684	1E-09	
0.686	1E-09	
0.688	1E-09	
0.6900001	1E-09	
0.692	1E-09	
0.694	1E-09	
0.696	1E-09	
0.698	1E-09	
0.7	1E-09	
0.702	1E-09	
0.7040001	1E-09	
0.706	1E-09	
0.708	1E-09	
0.71	1E-09	
0.712	1E-09	
0.714	1E-09	
0.716	1E-09	
0.7180001	1E-09	
0.72	1E-09	
0.7220001	1E-09	
0.724	1E-09	
0.726	1E-09	
0.728	1E-09	
0.73	1E-09	
0.7320001	1E-09	
0.734	1E-09	
0.7360001	1E-09	
0.738	1E-09	
0.74	1E-09	
0.742	1E-09	
0.744	1E-09	
0.7460001	1E-09	
0.748	1E-09	
0.7500001	1E-09	
0.752	1E-09	
0.754	1E-09	
0.756	1E-09	
0.758	1E-09	
0.7600001	1E-09	
0.762	1E-09	
0.7640001	1E-09	
0.766	1E-09	
0.768	1E-09	
0.77	1E-09	
0.772	1E-09	
0.774	1E-09	
0.776	1E-09	
0.7780001	1E-09	
0.78	1E-09	
0.7820001	1E-09	
0.784	1E-09	
0.786	1E-09	
0.788	1E-09	
0.79	1E-09	
0.7920001	1E-09	
0.794	1E-09	
0.7960001	1E-09	
0.798	1E-09	
0.8	1E-09	
0.802	1E-09	
0.804	1E-09	
0.8060001	1E-09	
0.808	1E-09	
0.8100001	1E-09	
0.812	1E-09	
0.814	1E-09	
0.816	1E-09	
0.818	1E-09	
0.8200001	1E-09	
0.822	1E-09	
0.8240001	1E-09	
0.826	1E-09	
0.8280001	1E-09	
0.83	1E-09	
0.832	1E-09	
0.8340001	1E-09	
0.836	1E-09	
0.8380001	1E-09	
0.84	1E-09	
0.8420001	1E-09	
0.844	1E-09	
0.846	1E-09	
0.848	1E-09	
0.85	1E-09	
0.8520001	1E-09	
0.854	1E-09	
0.8560001	1E-09	
0.858	1E-09	
0.86	1E-09	
0.862	1E-09	
0.864	1E-09	
0.8660001	1E-09	
0.868	1E-09	
0.8700001	1E-09	
0.872	1E-09	
0.874	1E-09	
0.876	1E-09	
0.878	1E-09	
0.8800001	1E-09	
0.882	1E-09	
0.8840001	1E-09	
0.886	1E-09	
0.8880001	1E-09	
0.89	1E-09	
0.892	1E-09	
0.8940001	1E-09	
0.896	1E-09	
0.8980001	1E-09	
0.9	0	
0.9020001	0	
0.904	0	
0.906	0	
0.9080001	0	
0.91	0	
0.9120001	0	
0.914	0	
0.9160001	0	
0.918	0	
0.92	0	
0.9220001	0	
0.924	0	
0.9260001	0	
0.928	0	
0.9300001	0	
0.932	0	
0.934	0	
0.936	0	
0.938	0	
0.9400001	0	
0.942	0	
