Time	Iext	
0	0	
0.002	0	
0.004	0	
0.006	0	
0.008	0	
0.01	0	
0.012	1.999867E-19	
0.014	3.998933E-19	
0.016	5.996401E-19	
0.018	7.991469E-19	
0.02	9.983342E-19	
0.022	1.197122E-18	
0.024	1.395431E-18	
0.026	1.593182E-18	
0.028	1.790296E-18	
0.03	1.986693E-18	
0.032	2.182296E-18	
0.034	2.377026E-18	
0.036	2.570805E-18	
0.038	2.763556E-18	
0.04	2.955202E-18	
0.042	3.145666E-18	
0.044	3.334871E-18	
0.046	3.522743E-18	
0.048	3.709205E-18	
0.05	3.894184E-18	
0.052	4.077605E-18	
0.054	4.259395E-18	
0.056	4.439481E-18	
0.058	4.617792E-18	
0.06	4.794255E-18	
0.062	4.968802E-18	
0.064	5.14136E-18	
0.066	5.311862E-18	
0.068	5.480239E-18	
0.07	5.646425E-18	
0.072	5.810352E-18	
0.074	5.971955E-18	
0.07600001	6.131169E-18	
0.078	6.28793E-18	
0.08000001	6.442176E-18	
0.082	6.593847E-18	
0.08400001	6.742879E-18	
0.086	6.889215E-18	
0.08800001	7.032794E-18	
0.09	7.173561E-18	
0.09200001	7.311458E-18	
0.094	7.446431E-18	
0.096	7.578426E-18	
0.098	7.707389E-18	
0.1	7.833269E-18	
0.102	7.956017E-18	
0.104	8.075581E-18	
0.106	8.191915E-18	
0.108	8.304974E-18	
0.11	8.41471E-18	
0.112	8.521079E-18	
0.114	8.624042E-18	
0.116	8.723554E-18	
0.118	8.819578E-18	
0.12	8.912074E-18	
0.122	9.001005E-18	
0.124	9.086335E-18	
0.126	9.168031E-18	
0.128	9.24606E-18	
0.13	9.320391E-18	
0.132	9.390994E-18	
0.134	9.45784E-18	
0.136	9.520903E-18	
0.138	9.580159E-18	
0.14	9.635582E-18	
0.142	9.687152E-18	
0.144	9.734845E-18	
0.146	9.778646E-18	
0.148	9.818535E-18	
0.15	9.854498E-18	
0.152	9.886517E-18	
0.154	9.914584E-18	
0.156	9.938683E-18	
0.158	9.958809E-18	
0.16	9.97495E-18	
0.162	9.987102E-18	
0.164	9.995258E-18	
0.166	9.999418E-18	
0.168	9.999576E-18	
0.17	9.995736E-18	
0.172	9.987897E-18	
0.174	9.976064E-18	
0.176	9.96024E-18	
0.178	9.940432E-18	
0.18	9.916648E-18	
0.182	9.888898E-18	
0.184	9.857191E-18	
0.186	9.821544E-18	
0.188	9.781967E-18	
0.19	9.738477E-18	
0.192	9.691092E-18	
0.194	9.639831E-18	
0.196	9.584713E-18	
0.198	9.525762E-18	
0.2	9.463001E-18	
0.202	9.396455E-18	
0.204	9.32615E-18	
0.206	9.252114E-18	
0.208	9.174379E-18	
0.21	9.092974E-18	
0.212	9.007932E-18	
0.214	8.919287E-18	
0.216	8.827074E-18	
0.218	8.731331E-18	
0.22	8.632094E-18	
0.222	8.529406E-18	
0.224	8.423303E-18	
0.226	8.313834E-18	
0.228	8.201039E-18	
0.23	8.084964E-18	
