Time	Iext	
0.324	-1E-08	
0.326	-1E-08	
0.328	-1E-08	
0.33	-1E-08	
0.332	-1E-08	
0.334	-1E-08	
0.336	-1E-08	
0.338	-1E-08	
0.34	-1E-08	
0.342	-1E-08	
0.344	-1E-08	
0.346	-1E-08	
0.348	-1E-08	
0.35	-1E-08	
0.352	-1E-08	
0.354	-1E-08	
0.356	-1E-08	
0.358	-1E-08	
0.36	-1E-08	
0.362	-1E-08	
0.364	-1E-08	
0.366	-1E-08	
0.368	-1E-08	
0.37	-1E-08	
0.372	-1E-08	
0.374	-1E-08	
0.376	-1E-08	
0.378	-1E-08	
0.38	-1E-08	
0.382	-1E-08	
0.384	-1E-08	
0.386	-1E-08	
0.388	-1E-08	
0.39	-1E-08	
0.392	-1E-08	
0.394	-1E-08	
0.396	-1E-08	
0.398	-1E-08	
0.4	1E-08	
0.402	1E-08	
0.404	1E-08	
0.406	1E-08	
0.408	1E-08	
0.41	1E-08	
0.412	1E-08	
0.414	1E-08	
0.416	1E-08	
0.418	1E-08	
0.42	1E-08	
0.422	1E-08	
0.424	1E-08	
0.426	1E-08	
0.428	1E-08	
0.43	1E-08	
0.432	1E-08	
0.434	1E-08	
0.436	1E-08	
0.438	1E-08	
0.44	1E-08	
0.442	1E-08	
0.444	1E-08	
0.446	1E-08	
0.448	1E-08	
0.45	1E-08	
0.452	1E-08	
0.454	1E-08	
0.456	1E-08	
0.458	1E-08	
0.46	1E-08	
0.462	1E-08	
0.464	1E-08	
0.466	1E-08	
0.468	1E-08	
0.47	1E-08	
0.472	1E-08	
0.474	1E-08	
0.476	1E-08	
0.478	1E-08	
0.48	1E-08	
0.482	1E-08	
0.484	1E-08	
0.486	1E-08	
0.488	1E-08	
0.49	1E-08	
0.492	1E-08	
0.494	1E-08	
0.496	1E-08	
0.498	1E-08	
0.5	1E-08	
0.502	1E-08	
0.504	1E-08	
0.506	1E-08	
0.508	1E-08	
0.5100001	1E-08	
0.512	1E-08	
0.514	1E-08	
0.516	1E-08	
0.518	1E-08	
0.52	1E-08	
0.522	1E-08	
0.524	1E-08	
0.526	1E-08	
0.528	1E-08	
0.53	1E-08	
0.532	1E-08	
0.534	1E-08	
0.536	1E-08	
0.538	1E-08	
0.54	1E-08	
0.5420001	1E-08	
0.544	1E-08	
0.546	1E-08	
0.548	1E-08	
0.55	1E-08	
0.552	1E-08	
0.554	1E-08	
0.5560001	1E-08	
0.558	1E-08	
0.56	1E-08	
0.562	1E-08	
0.564	1E-08	
0.566	1E-08	
0.568	1E-08	
0.5700001	1E-08	
0.572	1E-08	
0.574	1E-08	
0.576	1E-08	
0.578	1E-08	
0.58	1E-08	
0.582	1E-08	
0.5840001	1E-08	
0.586	1E-08	
0.588	1E-08	
0.59	1E-08	
0.592	1E-08	
0.594	1E-08	
0.596	1E-08	
0.598	1E-08	
0.6	-1E-08	
0.6020001	-1E-08	
0.604	-1E-08	
0.606	-1E-08	
0.608	-1E-08	
0.61	-1E-08	
0.612	-1E-08	
0.614	-1E-08	
0.6160001	-1E-08	
0.618	-1E-08	
0.62	-1E-08	
0.622	-1E-08	
0.624	-1E-08	
0.626	-1E-08	
0.628	-1E-08	
0.6300001	-1E-08	
0.632	-1E-08	
0.634	-1E-08	
0.636	-1E-08	
0.638	-1E-08	
0.64	-1E-08	
0.642	-1E-08	
0.6440001	-1E-08	
0.646	-1E-08	
0.648	-1E-08	
0.65	-1E-08	
0.652	-1E-08	
0.654	-1E-08	
0.656	-1E-08	
0.6580001	-1E-08	
0.66	-1E-08	
0.6620001	-1E-08	
0.664	-1E-08	
0.666	-1E-08	
0.668	-1E-08	
0.67	-1E-08	
0.6720001	-1E-08	
0.674	-1E-08	
0.6760001	-1E-08	
0.678	-1E-08	
0.68	-1E-08	
0.682	-1E-08	
0.684	-1E-08	
0.686	-1E-08	
0.688	-1E-08	
0.6900001	-1E-08	
0.692	-1E-08	
0.694	-1E-08	
0.696	-1E-08	
0.698	-1E-08	
0.7	1E-08	
0.702	1E-08	
0.7040001	1E-08	
0.706	1E-08	
0.708	1E-08	
0.71	1E-08	
0.712	1E-08	
0.714	1E-08	
0.716	1E-08	
0.7180001	1E-08	
0.72	1E-08	
0.7220001	1E-08	
0.724	1E-08	
0.726	1E-08	
0.728	1E-08	
0.73	1E-08	
0.7320001	1E-08	
0.734	1E-08	
0.7360001	1E-08	
0.738	1E-08	
0.74	1E-08	
0.742	1E-08	
0.744	1E-08	
0.7460001	1E-08	
0.748	1E-08	
0.7500001	1E-08	
0.752	1E-08	
0.754	1E-08	
0.756	1E-08	
0.758	1E-08	
0.7600001	1E-08	
0.762	1E-08	
0.7640001	1E-08	
0.766	1E-08	
0.768	1E-08	
0.77	1E-08	
0.772	1E-08	
0.774	1E-08	
0.776	1E-08	
0.7780001	1E-08	
0.78	1E-08	
0.7820001	1E-08	
0.784	1E-08	
0.786	1E-08	
0.788	1E-08	
0.79	1E-08	
0.7920001	1E-08	
0.794	1E-08	
0.7960001	1E-08	
0.798	1E-08	
0.8	1E-08	
0.802	1E-08	
0.804	1E-08	
0.8060001	1E-08	
0.808	1E-08	
0.8100001	1E-08	
0.812	1E-08	
0.814	1E-08	
0.816	1E-08	
0.818	1E-08	
0.8200001	1E-08	
0.822	1E-08	
0.8240001	1E-08	
0.826	1E-08	
0.8280001	1E-08	
0.83	1E-08	
0.832	1E-08	
0.8340001	1E-08	
0.836	1E-08	
0.8380001	1E-08	
