Time	Block_X	Block_Y	Block_Z	Rotation	
0.0435	1.288928	-0.008404856	2.714319E-09	0.06496184	
0.044	1.28857	-0.00857349	2.892051E-09	0.06595661	
0.0445	1.288206	-0.008743009	3.078664E-09	0.06695135	
0.045	1.287836	-0.008913377	3.274467E-09	0.06794603	
0.0455	1.28746	-0.009084566	3.479774E-09	0.06894068	
0.046	1.287077	-0.009256546	3.694904E-09	0.06993527	
0.0465	1.286688	-0.009429285	3.920186E-09	0.07092983	
0.047	1.286293	-0.009602752	4.155951E-09	0.07192433	
0.0475	1.285892	-0.009776915	4.402538E-09	0.07291879	
0.048	1.285485	-0.009951743	4.660293E-09	0.07391321	
0.0485	1.285071	-0.0101272	4.929568E-09	0.07490757	
0.049	1.284651	-0.01030327	5.210719E-09	0.0759019	
0.0495	1.284225	-0.0104799	5.504111E-09	0.07689618	
0.05	1.283792	-0.01065707	5.810115E-09	0.0778904	
0.0505	1.283353	-0.01083474	6.129106E-09	0.07888458	
0.051	1.282908	-0.01101289	6.461467E-09	0.07987872	
0.0515	1.282457	-0.01119147	6.807588E-09	0.0808728	
0.052	1.281999	-0.01137046	7.167865E-09	0.08186685	
0.0525	1.281535	-0.01154983	7.542699E-09	0.08286083	
0.053	1.281064	-0.01172953	7.932501E-09	0.08385478	
0.0535	1.280587	-0.01190954	8.337683E-09	0.08484867	
0.054	1.280104	-0.01208983	8.758668E-09	0.08584252	
0.0545	1.279614	-0.01227035	9.195885E-09	0.08683632	
0.055	1.279117	-0.01245108	9.649766E-09	0.08783007	
0.0555	1.278615	-0.01263198	1.012075E-08	0.08882377	
0.056	1.278105	-0.01281302	1.06093E-08	0.08981742	
0.0565	1.27759	-0.01299416	1.111585E-08	0.09081103	
0.057	1.277068	-0.01317537	1.164087E-08	0.09180458	
0.0575	1.276539	-0.01335661	1.218483E-08	0.09279808	
0.058	1.276004	-0.01353786	1.27482E-08	0.09379154	
0.0585	1.275462	-0.01371906	1.333146E-08	0.09478494	
0.059	1.274914	-0.0139002	1.393509E-08	0.09577829	
0.0595	1.274359	-0.01408123	1.455961E-08	0.0967716	
0.06	1.273798	-0.01426212	1.520549E-08	0.09776485	
0.0605	1.27323	-0.01444283	1.587325E-08	0.09875806	
0.061	1.272656	-0.01462333	1.656341E-08	0.0997512	
0.0615	1.272075	-0.01480358	1.727649E-08	0.1007443	
0.062	1.271488	-0.01498355	1.8013E-08	0.1017374	
0.0625	1.270894	-0.0151632	1.87735E-08	0.1027304	
0.063	1.270293	-0.01534249	1.955851E-08	0.1037233	
0.0635	1.269686	-0.01552139	2.036858E-08	0.1047162	
0.064	1.269072	-0.01569986	2.120427E-08	0.1057091	
0.0645	1.268452	-0.01587786	2.206615E-08	0.1067018	
0.06500001	1.267825	-0.01605537	2.295477E-08	0.1076946	
0.06550001	1.267191	-0.01623233	2.387071E-08	0.1086873	
0.066	1.266551	-0.01640872	2.481455E-08	0.1096799	
0.0665	1.265904	-0.0165845	2.578688E-08	0.1106725	
0.067	1.26525	-0.01675963	2.67883E-08	0.111665	
0.0675	1.26459	-0.01693408	2.78194E-08	0.1126575	
0.068	1.263923	-0.0171078	2.88808E-08	0.11365	
0.0685	1.26325	-0.01728076	2.99731E-08	0.1146423	
0.06900001	1.262569	-0.01745292	3.109694E-08	0.1156347	
0.06950001	1.261883	-0.01762425	3.225293E-08	0.1166269	
0.07	1.261189	-0.0177947	3.344172E-08	0.1176192	
0.0705	1.260489	-0.01796425	3.466393E-08	0.1186113	
0.071	1.259782	-0.01813284	3.592023E-08	0.1196034	
0.0715	1.259069	-0.01830045	3.721127E-08	0.1205955	
0.072	1.258348	-0.01846704	3.85377E-08	0.1215875	
