Time	Block_X	Block_Y	Block_Z	Rotation	
0.0455	1.299832	-0.0102639	8.014287E-10	0.090998	
0.046	1.299825	-0.01048937	8.543848E-10	0.091998	
0.0465	1.299817	-0.01071729	9.101729E-10	0.09299801	
0.047	1.299809	-0.01094766	9.68909E-10	0.09399801	
0.0475	1.2998	-0.01118046	1.030712E-09	0.094998	
0.048	1.299792	-0.01141571	1.095705E-09	0.095998	
0.0485	1.299783	-0.0116534	1.164014E-09	0.09699801	
0.049	1.299774	-0.01189353	1.235769E-09	0.09799801	
0.0495	1.299764	-0.01213611	1.311101E-09	0.098998	
0.05	1.299755	-0.01238112	1.390148E-09	0.099998	
0.0505	1.299744	-0.01262857	1.47305E-09	0.100998	
0.051	1.299734	-0.01287847	1.55995E-09	0.101998	
0.0515	1.299724	-0.0131308	1.650997E-09	0.102998	
0.052	1.299713	-0.01338557	1.746339E-09	0.103998	
0.0525	1.299701	-0.01364279	1.846134E-09	0.104998	
0.053	1.29969	-0.01390244	1.950539E-09	0.105998	
0.0535	1.299678	-0.01416452	2.059717E-09	0.106998	
0.054	1.299665	-0.01442904	2.173834E-09	0.107998	
0.0545	1.299653	-0.014696	2.293062E-09	0.108998	
0.055	1.29964	-0.01496539	2.417574E-09	0.109998	
0.0555	1.299626	-0.01523722	2.547549E-09	0.110998	
0.056	1.299613	-0.01551148	2.68317E-09	0.111998	
0.0565	1.299599	-0.01578818	2.824624E-09	0.112998	
0.057	1.299584	-0.01606731	2.972101E-09	0.113998	
0.0575	1.299569	-0.01634887	3.125798E-09	0.114998	
0.058	1.299554	-0.01663286	3.285914E-09	0.115998	
0.0585	1.299538	-0.01691928	3.452652E-09	0.116998	
0.059	1.299522	-0.01720813	3.626222E-09	0.117998	
0.0595	1.299506	-0.01749941	3.806837E-09	0.118998	
0.06	1.299489	-0.01779312	3.994713E-09	0.119998	
0.0605	1.299471	-0.01808926	4.190073E-09	0.120998	
0.061	1.299454	-0.01838782	4.393143E-09	0.121998	
0.0615	1.299435	-0.01868881	4.604155E-09	0.122998	
0.062	1.299417	-0.01899222	4.823344E-09	0.123998	
0.0625	1.299397	-0.01929805	5.050951E-09	0.124998	
0.063	1.299378	-0.01960631	5.287221E-09	0.125998	
