Time	Block_X	Block_Y	Block_Z	Rotation	
0.0435	0.2924922	0.9906664	-0.0005928566	0.06735336	
0.044	0.2922668	0.9904532	-0.0006191023	0.06835266	
0.0445	0.2920381	0.9902374	-0.0006461161	0.06935196	
0.045	0.291806	0.9900194	-0.0006739091	0.07035124	
0.0455	0.2915705	0.989799	-0.0007024928	0.07135052	
0.046	0.2913318	0.9895763	-0.0007318784	0.07234979	
0.0465	0.2910898	0.9893511	-0.000762077	0.07334904	
0.047	0.2908445	0.9891235	-0.0007930999	0.07434829	
0.0475	0.2905959	0.9888937	-0.0008249584	0.07534752	
0.048	0.2903439	0.9886615	-0.0008576636	0.07634675	
0.0485	0.2900887	0.9884269	-0.000891227	0.07734596	
0.049	0.2898301	0.98819	-0.0009256597	0.07834516	
0.0495	0.2895683	0.9879507	-0.0009609728	0.07934435	
0.05	0.2893031	0.987709	-0.0009971778	0.08034354	
0.0505	0.2890347	0.9874651	-0.001034286	0.08134271	
0.051	0.2887629	0.9872188	-0.001072308	0.08234188	
0.0515	0.2884879	0.9869701	-0.001111256	0.08334103	
0.052	0.2882096	0.9867191	-0.00115114	0.08434017	
0.0525	0.287928	0.9864656	-0.001191973	0.08533931	
0.053	0.2876431	0.98621	-0.001233764	0.08633843	
0.0535	0.2873549	0.9859519	-0.001276526	0.08733754	
0.054	0.2870634	0.9856915	-0.00132027	0.08833665	
0.0545	0.2867687	0.9854288	-0.001365006	0.08933574	
0.055	0.2864707	0.9851638	-0.001410746	0.09033482	
0.0555	0.2861694	0.9848965	-0.001457502	0.0913339	
0.056	0.2858649	0.9846268	-0.001505284	0.09233296	
0.0565	0.285557	0.9843548	-0.001554104	0.09333201	
0.057	0.2852459	0.9840804	-0.001603973	0.09433105	
0.0575	0.2849315	0.9838037	-0.001654902	0.09533008	
0.058	0.2846139	0.9835248	-0.001706903	0.09632911	
0.0585	0.284293	0.9832435	-0.001759986	0.09732812	
0.059	0.2839689	0.9829599	-0.001814163	0.09832712	
0.0595	0.2836415	0.9826739	-0.001869444	0.09932611	
0.06	0.2833108	0.9823858	-0.001925842	0.1003251	
0.0605	0.2829769	0.9820952	-0.001983368	0.1013241	
0.061	0.2826397	0.9818023	-0.002042031	0.102323	
0.0615	0.2822993	0.9815071	-0.002101845	0.103322	
0.062	0.2819557	0.9812097	-0.002162819	0.1043209	
0.0625	0.2816088	0.9809099	-0.002224966	0.1053199	
0.063	0.2812587	0.9806079	-0.002288296	0.1063188	
0.0635	0.2809053	0.9803036	-0.00235282	0.1073177	
0.064	0.2805487	0.979997	-0.002418549	0.1083166	
0.0645	0.2801889	0.979688	-0.002485496	0.1093155	
0.06500001	0.2798258	0.9793768	-0.002553671	0.1103144	
0.06550001	0.2794595	0.9790633	-0.002623085	0.1113133	
0.066	0.27909	0.9787475	-0.002693749	0.1123121	
0.0665	0.2787173	0.9784295	-0.002765674	0.113311	
0.067	0.2783414	0.9781092	-0.002838873	0.1143098	
0.0675	0.2779622	0.9777865	-0.002913355	0.1153087	
0.068	0.2775799	0.9774618	-0.002989131	0.1163075	
0.0685	0.2771943	0.9771345	-0.003066214	0.1173063	
0.06900001	0.2768055	0.9768052	-0.003144614	0.1183051	
0.06950001	0.2764136	0.9764735	-0.003224342	0.1193039	
0.07	0.2760184	0.9761395	-0.00330541	0.1203027	
0.0705	0.27562	0.9758033	-0.003387829	0.1213015	
0.071	0.2752185	0.9754648	-0.003471609	0.1223002	
0.0715	0.2748137	0.9751242	-0.003556762	0.123299	
0.072	0.2744058	0.9747812	-0.003643299	0.1242978	
0.07250001	0.2739947	0.974436	-0.00373123	0.1252965	
0.07300001	0.2735804	0.9740885	-0.003820568	0.1262952	
0.0735	0.273163	0.9737388	-0.003911323	0.1272939	
0.074	0.2727424	0.9733869	-0.004003508	0.1282926	
0.0745	0.2723186	0.9730327	-0.00409713	0.1292914	
0.075	0.2718916	0.9726763	-0.004192204	0.13029	
0.0755	0.2714615	0.9723176	-0.004288739	0.1312887	
0.07600001	0.2710282	0.9719567	-0.004386747	0.1322874	
0.07650001	0.2705918	0.9715937	-0.004486239	0.1332861	
0.07700001	0.2701522	0.9712283	-0.004587225	0.1342847	
0.0775	0.2697095	0.9708608	-0.004689717	0.1352834	
0.078	0.2692636	0.9704909	-0.004793727	0.136282	
0.0785	0.2688146	0.970119	-0.004899264	0.1372806	
0.079	0.2683625	0.9697448	-0.005006341	0.1382793	
0.0795	0.2679072	0.9693684	-0.005114967	0.1392779	
0.08000001	0.2674488	0.9689898	-0.005225155	0.1402765	
0.08050001	0.2669873	0.968609	-0.005336915	0.141275	
0.081	0.2665226	0.9682259	-0.005450258	0.1422736	
0.0815	0.2660548	0.9678407	-0.005565195	0.1432722	
0.082	0.265584	0.9674533	-0.005681737	0.1442708	
0.0825	0.26511	0.9670636	-0.005799896	0.1452693	
0.083	0.2646329	0.9666719	-0.005919682	0.1462679	
0.08350001	0.2641527	0.9662779	-0.006041106	0.1472664	
0.08400001	0.2636694	0.9658816	-0.00616418	0.1482649	
0.08450001	0.2631831	0.9654833	-0.006288913	0.1492634	
0.085	0.2626936	0.9650828	-0.006415318	0.150262	
0.0855	0.262201	0.9646801	-0.006543405	0.1512605	
