Time	Tension	Length	Ia	II	
2	31.96899	0.3361527	65.50301	27.06497	
2.001	31.93962	0.3361534	65.47365	27.06797	
2.002	31.94132	0.336154	65.47534	27.06786	
2.003	31.96108	0.3361546	65.49509	27.06595	
2.004	31.98839	0.3361553	65.52241	27.06329	
2.005	32.01553	0.336156	65.54955	27.06064	
2.006	32.03696	0.3361566	65.57098	27.05856	
2.007	32.04926	0.3361573	65.58328	27.0574	
2.008	32.05009	0.3361579	65.58411	27.05738	
2.009	32.03834	0.3361585	65.57236	27.05862	
2.01	32.01345	0.3361592	65.54747	27.06117	
2.011	31.97533	0.3361598	65.50935	27.06504	
2.012	31.94596	0.3361605	65.47998	27.06805	
2.013	31.94762	0.3361611	65.48165	27.06795	
2.014	31.96735	0.3361618	65.50137	27.06604	
2.015	31.9946	0.3361624	65.52862	27.06338	
2.016	32.02165	0.336163	65.55568	27.06074	
2.017	32.04311	0.3361637	65.57713	27.05865	
2.018	32.05532	0.3361643	65.58934	27.0575	
2.019	32.05615	0.336165	65.59017	27.05748	
2.02	32.04433	0.3361656	65.57835	27.05872	
2.021	32.01938	0.3361662	65.55341	27.06128	
2.022	31.98129	0.3361669	65.51531	27.06516	
2.023	31.95182	0.3361675	65.48583	27.06816	
2.024	31.95346	0.3361681	65.48747	27.06806	
2.025	31.97312	0.3361687	65.50714	27.06616	
2.026	32.00032	0.3361693	65.53434	27.0635	
2.027	32.02734	0.33617	65.56136	27.06086	
2.028	32.04873	0.3361706	65.58275	27.05878	
2.029	32.06092	0.3361712	65.59494	27.05763	
2.03	32.06169	0.3361718	65.59571	27.05761	
2.031	32.04984	0.3361725	65.58386	27.05886	
2.032	32.02486	0.3361731	65.55888	27.06142	
2.033	31.98668	0.3361737	65.52071	27.0653	
2.034	31.95718	0.3361743	65.4912	27.06831	
2.035	31.95877	0.3361749	65.49279	27.06821	
2.036	31.97837	0.3361755	65.51239	27.06631	
2.037	32.00554	0.3361761	65.53955	27.06366	
2.038	32.03254	0.3361767	65.56655	27.06102	
2.039	32.05387	0.3361773	65.58789	27.05894	
2.04	32.06603	0.3361779	65.60005	27.05779	
2.041	32.06678	0.3361786	65.6008	27.05778	
2.042	32.05487	0.3361792	65.58889	27.05903	
2.043	32.02984	0.3361798	65.56386	27.06159	
2.044	31.99166	0.3361804	65.52568	27.06547	
2.045	31.9621	0.336181	65.49612	27.06849	
2.046	31.96366	0.3361816	65.49768	27.06839	
2.047	31.98327	0.3361822	65.51729	27.06649	
2.048	32.01041	0.3361828	65.54443	27.06384	
2.049	32.03739	0.3361834	65.57141	27.0612	
2.05	32.0587	0.336184	65.59272	27.05913	
2.051	32.07086	0.3361847	65.60488	27.05798	
2.052	32.07155	0.3361853	65.60558	27.05797	
2.053	32.05965	0.3361859	65.59367	27.05922	
2.054	32.03459	0.3361865	65.56861	27.06179	
2.055	31.99635	0.3361871	65.53037	27.06567	
2.056	31.96678	0.3361877	65.50079	27.06869	
2.057	31.96837	0.3361883	65.50239	27.0686	
2.058	31.98796	0.336189	65.52198	27.0667	
2.059	32.01511	0.3361896	65.54913	27.06405	
2.06	32.04206	0.3361902	65.57608	27.06141	
2.061	32.06341	0.3361909	65.59743	27.05935	
2.062	32.07549	0.3361915	65.60951	27.0582	
2.063	32.07619	0.3361921	65.61021	27.05819	
2.064	32.06424	0.3361927	65.59827	27.05944	
2.065	32.03922	0.3361934	65.57323	27.06201	
2.066	32.00098	0.336194	65.535	27.0659	
2.067	31.97141	0.3361946	65.50543	27.06892	
2.068	31.97301	0.3361953	65.50703	27.06883	
2.069	31.99257	0.3361959	65.52659	27.06693	
2.07	32.01973	0.3361966	65.55376	27.06428	
2.071	32.04663	0.3361972	65.58065	27.06165	
2.072	32.06796	0.3361978	65.60197	27.05959	
2.073	32.08004	0.3361984	65.61406	27.05844	
2.074	32.08077	0.3361991	65.61479	27.05843	
2.075	32.06886	0.3361998	65.60287	27.05969	
2.076	32.0438	0.3362004	65.57782	27.06226	
2.077	32.0056	0.3362011	65.53963	27.06615	
2.078	31.97601	0.3362018	65.51003	27.06917	
2.079	31.97755	0.3362024	65.51157	27.06909	
2.08	31.99712	0.3362031	65.53114	27.06719	
2.081	32.02428	0.3362038	65.5583	27.06454	
2.082	32.05121	0.3362044	65.58524	27.06192	
2.083	32.07254	0.3362051	65.60657	27.05985	
2.084	32.08464	0.3362058	65.61866	27.05871	
2.085	32.08534	0.3362064	65.61936	27.05871	
2.086	32.07343	0.3362071	65.60745	27.05997	
2.087	32.04835	0.3362078	65.58237	27.06254	
