Time	External_1b	External_3	Synaptic_2	External_6b	FF_3	FF_2	FF_1b	FF_6b	External_1a	Synaptic_4	External_5	FF_4	FF_5	FF_1a	
0.09200001	0	0	5.971222E-10	1E-08	0	0.05613147	0	0.6051798	0	5.971222E-10	0	0.05613147	0	0	
0.094	0	0	6.051798E-10	1E-08	0	0.05700877	0	0.6130762	0	6.051798E-10	0	0.05700877	0	0	
0.096	0	0	6.130762E-10	1E-08	0	0.05786854	0	0.6208147	0	6.130762E-10	0	0.05786854	0	0	
0.098	0	0	6.208147E-10	1E-08	0	0.05871113	0	0.6283984	0	6.208147E-10	0	0.05871113	0	0	
0.1	-4E-09	0	6.283983E-10	1E-08	0	0.05953687	0	0.6358304	-4E-09	6.283983E-10	0	0.05953687	0	0	
0.102	-4E-09	0	6.358304E-10	1E-08	0	0.0603461	0	0.6431138	-4E-09	6.358304E-10	0	0.0603461	0	0	
0.104	-4E-09	0	6.431138E-10	1E-08	0	0.06113916	0	0.6502515	-4E-09	6.431138E-10	0	0.06113916	0	0	
0.106	-4E-09	0	6.502515E-10	1E-08	0	0.06191636	0	0.6572465	-4E-09	6.502515E-10	0	0.06191636	0	0	
0.108	-4E-09	0	6.572465E-10	1E-08	0	0.06267802	0	0.6641015	-4E-09	6.572465E-10	0	0.06267802	0	0	
0.11	-4E-09	0	6.641015E-10	1E-08	0	0.06342444	0	0.6708195	-4E-09	6.641015E-10	0	0.06342444	0	0	
0.112	-4E-09	0	6.708195E-10	1E-08	0	0.06415594	0	0.6774032	-4E-09	6.708195E-10	0	0.06415594	0	0	
0.114	-4E-09	0	6.774031E-10	1E-08	0	0.06487282	0	0.6838551	-4E-09	6.774031E-10	0	0.06487282	0	0	
0.116	-4E-09	0	6.83855E-10	1E-08	0	0.06557536	0	0.690178	-4E-09	6.83855E-10	0	0.06557536	0	0	
0.118	-4E-09	0	6.90178E-10	1E-08	0	0.06626384	0	0.6963744	-4E-09	6.90178E-10	0	0.06626384	0	0	
0.12	-4E-09	0	6.963744E-10	1E-08	0	0.06693856	0	0.7024469	-4E-09	6.963744E-10	0	0.06693856	0	0	
0.122	-4E-09	0	7.024469E-10	1E-08	0	0.06759979	0	0.708398	-4E-09	7.024469E-10	0	0.06759979	0	0	
0.124	-4E-09	0	7.08398E-10	1E-08	0	0.06824779	0	0.71423	-4E-09	7.08398E-10	0	0.06824779	0	0	
0.126	-4E-09	0	7.1423E-10	1E-08	0	0.06888283	0	0.7199454	-4E-09	7.1423E-10	0	0.06888283	0	0	
