Time	External_1b	External_3	Synaptic_2	External_6b	FF_3	FF_2	FF_1b	FF_6b	External_1a	Synaptic_4	External_5	FF_4	FF_5	FF_1a	
0.627	0	5E-09	3.875685E-10	0	0.9997004	0.1386388	0.02325927	0	0	4.308229E-11	5E-09	0.01564842	0.9997004	0.02325927	
0.628	0	5E-09	3.488194E-10	0	0.9997303	0.1282631	0.02093335	0	0	3.877321E-11	5E-09	0.01447131	0.9997303	0.02093335	
0.629	0	5E-09	3.139438E-10	0	0.9997573	0.1185762	0.01884001	0	0	3.489518E-11	5E-09	0.01337313	0.9997573	0.01884001	
0.6300001	0	5E-09	2.825545E-10	0	0.9997815	0.1095441	0.01695601	0	0	3.14051E-11	5E-09	0.01234987	0.9997815	0.01695601	
0.631	0	5E-09	2.543031E-10	0	0.9998034	0.1011328	0.01526041	0	0	2.826413E-11	5E-09	0.01139752	0.9998034	0.01526041	
0.632	0	5E-09	2.288761E-10	0	0.9998231	0.09330824	0.01373437	0	0	2.543735E-11	5E-09	0.01051214	0.9998231	0.01373437	
0.633	0	5E-09	2.059912E-10	0	0.9998407	0.08603733	0.01236093	0	0	2.289332E-11	5E-09	0.009689862	0.9998407	0.01236093	
0.634	0	5E-09	1.853943E-10	0	0.9998567	0.07928754	0.01112484	0	0	2.060374E-11	5E-09	0.008926913	0.9998567	0.01112484	
0.6350001	0	5E-09	1.668567E-10	0	0.999871	0.07302736	0.01001236	0	0	1.854317E-11	5E-09	0.008219654	0.999871	0.01001236	
0.636	0	5E-09	1.501724E-10	0	0.9998839	0.06722634	0.00901112	0	0	1.66887E-11	5E-09	0.007564575	0.9998839	0.00901112	
0.637	0	5E-09	1.351563E-10	0	0.9998955	0.06185527	0.008110007	0	0	1.50197E-11	5E-09	0.006958314	0.9998955	0.008110007	
0.638	0	5E-09	1.216416E-10	0	0.9999059	0.05688616	0.007299007	0	0	1.351762E-11	5E-09	0.006397659	0.9999059	0.007299007	
0.6390001	0	5E-09	1.094782E-10	0	0.9999153	0.05229233	0.006569106	0	0	1.216577E-11	5E-09	0.005879551	0.9999153	0.006569106	
0.64	0	5E-09	9.853104E-11	0	0.9999238	0.0480484	0.005912195	0	0	1.094913E-11	5E-09	0.005401087	0.9999238	0.005912195	
0.641	0	5E-09	8.867842E-11	0	0.9999314	0.04413035	0.005320976	0	0	9.854159E-12	5E-09	0.00495952	0.9999314	0.005320976	
0.642	0	5E-09	7.981098E-11	0	0.9999382	0.04051542	0.004788878	0	0	8.868699E-12	5E-09	0.004552254	0.9999382	0.004788878	
0.643	0	5E-09	7.183022E-11	0	0.9999444	0.03718218	0.00430999	0	0	7.981792E-12	5E-09	0.004176847	0.9999444	0.00430999	
0.6440001	0	5E-09	6.464746E-11	0	0.9999501	0.03411044	0.003878991	0	0	7.183584E-12	5E-09	0.003830998	0.9999501	0.003878991	
0.645	0	5E-09	5.818293E-11	0	0.999955	0.03128123	0.003491092	0	0	6.465201E-12	5E-09	0.00351255	0.999955	0.003491092	
0.646	0	5E-09	5.236481E-11	0	0.9999595	0.02867675	0.003141983	0	0	5.818662E-12	5E-09	0.003219482	0.9999595	0.003141983	
0.647	0	5E-09	4.712847E-11	0	0.9999635	0.02628036	0.002827785	0	0	5.23678E-12	5E-09	0.002949902	0.9999635	0.002827785	
0.648	0	5E-09	4.241574E-11	0	0.9999672	0.02407648	0.002545006	0	0	4.713089E-12	5E-09	0.002702042	0.9999672	0.002545006	
0.649	0	5E-09	3.817425E-11	0	0.9999704	0.02205057	0.002290505	0	0	4.24177E-12	5E-09	0.002474256	0.9999704	0.002290505	
0.65	0	5E-09	3.435691E-11	0	0.9999734	0.02018909	0.002061455	0	0	3.817584E-12	5E-09	0.002265006	0.9999734	0.002061455	
0.651	0	5E-09	3.092128E-11	0	0.9999761	0.01847939	0.001855309	0	0	3.435819E-12	5E-09	0.002072864	0.9999761	0.001855309	
0.652	0	5E-09	2.78292E-11	0	0.9999785	0.01690974	0.001669778	0	0	3.092231E-12	5E-09	0.001896499	0.9999785	0.001669778	
0.6530001	0	5E-09	2.504632E-11	0	0.9999806	0.01546923	0.001502801	0	0	2.783004E-12	5E-09	0.00173468	0.9999806	0.001502801	
0.654	0	5E-09	2.254172E-11	0	0.9999826	0.01414773	0.00135252	0	0	2.5047E-12	5E-09	0.001586259	0.9999826	0.00135252	
0.655	0	5E-09	2.028757E-11	0	0.9999843	0.01293583	0.001217268	0	0	2.254227E-12	5E-09	0.001450175	0.9999843	0.001217268	
0.656	0	5E-09	1.825883E-11	0	0.9999859	0.01182483	0.001095542	0	0	2.028802E-12	5E-09	0.001325445	0.9999859	0.001095542	
0.657	0	5E-09	1.643297E-11	0	0.9999872	0.01080668	0.0009859875	0	0	1.82592E-12	5E-09	0.00121116	0.9999872	0.0009859875	
0.6580001	0	5E-09	1.478969E-11	0	0.9999886	0.00987391	0.0008873887	0	0	1.643327E-12	5E-09	0.001106477	0.9999886	0.0008873887	
0.659	0	5E-09	1.331073E-11	0	0.9999896	0.009019626	0.0007986498	0	0	1.478992E-12	5E-09	0.00101062	0.9999896	0.0007986498	
0.66	0	5E-09	1.197966E-11	0	0.9999907	0.008237461	0.0007187848	0	0	1.331092E-12	5E-09	0.0009228685	0.9999907	0.0007187848	
0.661	0	5E-09	1.078171E-11	0	0.9999916	0.007521531	0.0006469063	0	0	1.197982E-12	5E-09	0.0008425614	0.9999916	0.0006469063	
0.6620001	0	5E-09	9.703541E-12	0	0.9999924	0.006866413	0.0005822157	0	0	1.078183E-12	5E-09	0.0007690871	0.9999924	0.0005822157	
0.663	0	5E-09	8.73319E-12	0	0.9999931	0.006267103	0.0005239942	0	0	9.703644E-13	5E-09	0.0007018821	0.9999931	0.0005239942	
0.664	0	5E-09	7.859876E-12	0	0.9999938	0.005718992	0.0004715947	0	0	8.733276E-13	5E-09	0.0006404272	0.9999938	0.0004715947	
0.665	0	5E-09	7.073892E-12	0	0.9999944	0.005217832	0.0004244352	0	0	7.859945E-13	5E-09	0.0005842444	0.9999944	0.0004244352	
0.666	0	5E-09	6.366505E-12	0	0.999995	0.004759713	0.0003819917	0	0	7.073946E-13	5E-09	0.0005328939	0.999995	0.0003819917	
0.6670001	0	5E-09	5.729856E-12	0	0.9999955	0.00434104	0.0003437925	0	0	6.36655E-13	5E-09	0.0004859711	0.9999955	0.0003437925	
0.668	0	5E-09	5.156872E-12	0	0.999996	0.003958505	0.0003094133	0	0	5.729892E-13	5E-09	0.0004431038	0.999996	0.0003094133	
0.669	0	5E-09	4.641186E-12	0	0.9999964	0.003609066	0.0002784719	0	0	5.156901E-13	5E-09	0.0004039504	0.9999964	0.0002784719	
0.67	0	5E-09	4.177069E-12	0	0.9999967	0.003289931	0.0002506247	0	0	4.641209E-13	5E-09	0.0003681965	0.9999967	0.0002506247	
0.671	0	5E-09	3.759362E-12	0	0.999997	0.002998531	0.0002255623	0	0	4.177088E-13	5E-09	0.000335554	0.999997	0.0002255623	
0.6720001	0	5E-09	3.383427E-12	0	0.9999973	0.002732512	0.000203006	0	0	3.759378E-13	5E-09	0.0003057579	0.9999973	0.000203006	
0.673	0	5E-09	3.045085E-12	0	0.9999976	0.002489712	0.0001827054	0	0	3.38344E-13	5E-09	0.0002785656	0.9999976	0.0001827054	
0.674	0	5E-09	2.740577E-12	0	0.9999979	0.002268146	0.0001644349	0	0	3.045095E-13	5E-09	0.0002537541	0.9999979	0.0001644349	
0.675	0	5E-09	2.466519E-12	0	0.9999981	0.002065997	0.0001479914	0	0	2.740585E-13	5E-09	0.0002311193	0.9999981	0.0001479914	
0.6760001	0	5E-09	2.219868E-12	0	0.9999983	0.001881596	0.0001331922	0	0	2.466526E-13	5E-09	0.0002104739	0.9999983	0.0001331922	
0.677	0	5E-09	1.997881E-12	0	0.9999985	0.001713415	0.000119873	0	0	2.219873E-13	5E-09	0.0001916463	0.9999985	0.000119873	
0.678	0	5E-09	1.798093E-12	0	0.9999986	0.001560054	0.0001078857	0	0	1.997886E-13	5E-09	0.0001744796	0.9999986	0.0001078857	
0.679	0	5E-09	1.618284E-12	0	0.9999987	0.001420232	9.709715E-05	0	0	1.798097E-13	5E-09	0.0001588297	0.9999987	9.709715E-05	
