Time	Fy	Fx	Fz	Vz	Vx	Vy	Pz	Px	Py	
0	0	0	0	0	0	0	0	0	0.1	
0.001	0.1962	0	0	0	0	0.0002002041	0	0	0.1000002	
0.002	0.1961992	0	0	0	0	0.0004004073	0	0	0.1000006	
0.003	0.1961984	0	0	0	0	0.0006006099	0	0	0.1000012	
0.004	0.1961961	0	0	0	0	0.0008008099	0	0	0.100002	
0.005	0.1961938	0	0	0	0	0.001001008	0	0	0.100003	
0.006	0.1961899	0	0	0	0	0.001201201	0	0	0.1000042	
0.007	0.1961859	0	0	0	0	0.001401391	0	0	0.1000056	
0.008	0.1961805	0	0	0	0	0.001601575	0	0	0.1000072	
0.009000001	0.1961742	0	0	0	0	0.001801753	0	0	0.100009	
0.01	0.1961672	0	0	0	0	0.002001924	0	0	0.100011	
0.011	0.1961602	0	0	0	0	0.002202087	0	0	0.1000132	
0.012	0.1961516	0	0	0	0	0.002402242	0	0	0.1000156	
0.013	0.1961422	0	0	0	0	0.002602387	0	0	0.1000182	
0.014	0.196132	0	0	0	0	0.002802522	0	0	0.100021	
0.015	0.1961211	0	0	0	0	0.003002645	0	0	0.100024	
0.016	0.1961102	0	0	0	0	0.003202758	0	0	0.1000272	
0.017	0.1960977	0	0	0	0	0.003402858	0	0	0.1000306	
0.018	0.1960844	0	0	0	0	0.003602944	0	0	0.1000342	
0.019	0.1960703	0	0	0	0	0.003803015	0	0	0.100038	
0.02	0.1960555	0	0	0	0	0.004003072	0	0	0.100042	
0.021	0.1960399	0	0	0	0	0.004203113	0	0	0.1000463	
0.022	0.1960234	0	0	0	0	0.004403137	0	0	0.1000507	
0.023	0.1960063	0	0	0	0	0.004603143	0	0	0.1000553	
0.024	0.1959883	0	0	0	0	0.004803132	0	0	0.1000601	
0.025	0.1959695	0	0	0	0	0.005003101	0	0	0.1000651	
0.026	0.19595	0	0	0	0	0.00520305	0	0	0.1000703	
0.027	0.1959289	0	0	0	0	0.005402978	0	0	0.1000757	
0.028	0.1959078	0	0	0	0	0.005602883	0	0	0.1000813	
0.029	0.195886	0	0	0	0	0.005802767	0	0	0.1000871	
0.03	0.1958633	0	0	0	0	0.006002627	0	0	0.1000931	
0.031	0.1958399	0	0	0	0	0.006202464	0	0	0.1000993	
0.032	0.1958156	0	0	0	0	0.006402276	0	0	0.1001057	
0.033	0.1957898	0	0	0	0	0.006602061	0	0	0.1001123	
0.034	0.1957641	0	0	0	0	0.006801821	0	0	0.1001191	
0.035	0.1957375	0	0	0	0	0.007001554	0	0	0.1001261	
0.036	0.1957102	0	0	0	0	0.007201258	0	0	0.1001333	
0.037	0.1956813	0	0	0	0	0.007400932	0	0	0.1001407	
0.038	0.1956524	0	0	0	0	0.007600577	0	0	0.1001483	
0.039	0.1956227	0	0	0	0	0.007800193	0	0	0.1001561	
0.04	0.1955914	0	0	0	0	0.007999777	0	0	0.1001641	
0.041	0.1955602	0	0	0	0	0.008199328	0	0	0.1001723	
0.042	0.1955274	0	0	0	0	0.008398846	0	0	0.1001807	
0.043	0.1954945	0	0	0	0	0.00859833	0	0	0.1001893	
0.044	0.1954609	0	0	0	0	0.008797781	0	0	0.1001981	
0.045	0.1954258	0	0	0	0	0.008997194	0	0	0.1002071	
0.046	0.1953906	0	0	0	0	0.009196573	0	0	0.1002163	
0.047	0.1953539	0	0	0	0	0.009395914	0	0	0.1002257	
0.048	0.1953172	0	0	0	0	0.009595218	0	0	0.1002353	
0.049	0.1952797	0	0	0	0	0.009794483	0	0	0.1002451	
0.05	0.1952406	0	0	0	0	0.009993709	0	0	0.1002551	
0.051	0.1952016	0	0	0	0	0.01019289	0	0	0.1002653	
0.052	0.1951609	0	0	0	0	0.01039204	0	0	0.1002757	
0.053	0.1951203	0	0	0	0	0.01059114	0	0	0.1002862	
0.054	0.1950781	0	0	0	0	0.0107902	0	0	0.100297	
0.055	0.1950359	0	0	0	0	0.01098922	0	0	0.100308	
0.056	0.1949922	0	0	0	0	0.01118819	0	0	0.1003192	
0.057	0.1949484	0	0	0	0	0.01138712	0	0	0.1003306	
0.058	0.1949031	0	0	0	0	0.011586	0	0	0.1003422	
0.059	0.1948578	0	0	0	0	0.01178483	0	0	0.100354	
0.06	0.194811	0	0	0	0	0.01198362	0	0	0.100366	
0.061	0.1947641	0	0	0	0	0.01218236	0	0	0.1003781	
0.062	0.1947156	0	0	0	0	0.01238105	0	0	0.1003905	
0.063	0.1946672	0	0	0	0	0.01257969	0	0	0.1004031	
0.064	0.1946172	0	0	0	0	0.01277827	0	0	0.1004159	
0.06500001	0.1945672	0	0	0	0	0.01297681	0	0	0.1004289	
0.066	0.1945164	0	0	0	0	0.0131753	0	0	0.100442	
0.067	0.1944641	0	0	0	0	0.01337373	0	0	0.1004554	
0.068	0.1944117	0	0	0	0	0.01357211	0	0	0.100469	
0.06900001	0.1943578	0	0	0	0	0.01377044	0	0	0.1004828	
0.07	0.1943039	0	0	0	0	0.01396871	0	0	0.1004967	
0.071	0.1942485	0	0	0	0	0.01416692	0	0	0.1005109	
0.072	0.194193	0	0	0	0	0.01436507	0	0	0.1005253	
0.07300001	0.1941367	0	0	0	0	0.01456317	0	0	0.1005398	
0.074	0.1940789	0	0	0	0	0.01476121	0	0	0.1005546	
0.075	0.1940211	0	0	0	0	0.0149592	0	0	0.1005695	
0.07600001	0.1939625	0	0	0	0	0.01515712	0	0	0.1005847	
0.07700001	0.1939024	0	0	0	0	0.01535498	0	0	0.1006	
0.078	0.1938422	0	0	0	0	0.01555278	0	0	0.1006156	
0.079	0.1937813	0	0	0	0	0.01575051	0	0	0.1006313	
0.08000001	0.1937195	0	0	0	0	0.01594818	0	0	0.1006473	
0.081	0.1936563	0	0	0	0	0.01614579	0	0	0.1006634	
0.082	0.193593	0	0	0	0	0.01634334	0	0	0.1006798	
0.083	0.1935289	0	0	0	0	0.01654082	0	0	0.1006963	
0.08400001	0.1934641	0	0	0	0	0.01673823	0	0	0.1007131	
0.085	0.1933984	0	0	0	0	0.01693557	0	0	0.10073	
0.086	0.193332	0	0	0	0	0.01713285	0	0	0.1007471	
0.087	0.1932649	0	0	0	0	0.01733006	0	0	0.1007645	
0.08800001	0.1931969	0	0	0	0	0.0175272	0	0	0.100782	
0.089	0.1931281	0	0	0	0	0.01772427	0	0	0.1007997	
0.09	0.1930586	0	0	0	0	0.01792127	0	0	0.1008176	
0.09100001	0.1929883	0	0	0	0	0.0181182	0	0	0.1008358	
0.09200001	0.1929172	0	0	0	0	0.01831505	0	0	0.1008541	
0.093	0.1928453	0	0	0	0	0.01851183	0	0	0.1008726	
0.094	0.1927734	0	0	0	0	0.01870854	0	0	0.1008913	
0.09500001	0.1927	0	0	0	0	0.01890517	0	0	0.1009102	
0.096	0.1926258	0	0	0	0	0.01910173	0	0	0.1009293	
0.097	0.1925516	0	0	0	0	0.01929821	0	0	0.1009486	
0.098	0.1924758	0	0	0	0	0.01949461	0	0	0.1009681	
0.09900001	0.1923992	0	0	0	0	0.01969094	0	0	0.1009878	
0.1	0.1923227	0	0	0	0	0.01988719	0	0	0.1010077	
0.101	0.1922453	0	0	0	0	0.02008336	0	0	0.1010277	
0.102	0.1921664	0	0	0	0	0.02027945	0	0	0.101048	
0.103	0.1920875	0	0	0	0	0.02047545	0	0	0.1010685	
0.104	0.1920078	0	0	0	0	0.02067138	0	0	0.1010892	
0.105	0.1919266	0	0	0	0	0.02086722	0	0	0.10111	
0.106	0.1918453	0	0	0	0	0.02106299	0	0	0.1011311	
0.107	0.1917633	0	0	0	0	0.02125866	0	0	0.1011524	
0.108	0.1916805	0	0	0	0	0.02145425	0	0	0.1011738	
0.109	0.1915969	0	0	0	0	0.02164976	0	0	0.1011955	
0.11	0.1915125	0	0	0	0	0.02184518	0	0	0.1012173	
