Time	2	Acceleration	Damping	Length	Tension	Velocity	
0.058	0	9.83882	4.983515	4.983515	4.983515	0.5767983	
0.059	0	9.833097	4.982938	4.982938	4.982938	0.5866314	
0.06	0	9.827375	4.982352	4.982352	4.982352	0.5964588	
0.061	0	9.821474	4.981755	4.981755	4.981755	0.6062803	
0.062	0	9.815514	4.981149	4.981149	4.981149	0.6160958	
0.063	0	9.809434	4.980533	4.980533	4.980533	0.6259052	
0.064	0	9.803295	4.979907	4.979907	4.979907	0.6357085	
0.06500001	0	9.797036	4.979271	4.979271	4.979271	0.6455055	
0.066	0	9.790659	4.978626	4.978626	4.978626	0.6552962	
0.067	0	9.784222	4.97797	4.97797	4.97797	0.6650804	
0.068	0	9.777665	4.977305	4.977305	4.977305	0.6748581	
0.06900001	0	9.771049	4.97663	4.97663	4.97663	0.6846291	
0.07	0	9.764254	4.975946	4.975946	4.975946	0.6943934	
0.071	0	9.757459	4.975251	4.975251	4.975251	0.7041509	
0.072	0	9.750485	4.974547	4.974547	4.974547	0.7139013	
0.07300001	0	9.743452	4.973833	4.973833	4.973833	0.7236448	
0.074	0	9.7363	4.97311	4.97311	4.97311	0.7333811	
0.075	0	9.729087	4.972376	4.972376	4.972376	0.7431102	
0.07600001	0	9.721756	4.971633	4.971633	4.971633	0.7528319	
0.07700001	0	9.714305	4.970881	4.970881	4.970881	0.7625462	
0.078	0	9.706795	4.970118	4.970118	4.970118	0.772253	
0.079	0	9.699165	4.969346	4.969346	4.969346	0.7819522	
0.08000001	0	9.691417	4.968564	4.968564	4.968564	0.7916436	
0.081	0	9.683609	4.967772	4.967772	4.967772	0.8013272	
0.082	0	9.675681	4.96697	4.96697	4.96697	0.8110029	
0.083	0	9.667694	4.96616	4.96616	4.96616	0.8206706	
0.08400001	0	9.659588	4.965339	4.965339	4.965339	0.8303302	
0.085	0	9.651362	4.964509	4.964509	4.964509	0.8399816	
0.086	0	9.643078	4.963669	4.963669	4.963669	0.8496246	
0.087	0	9.634673	4.962819	4.962819	4.962819	0.8592593	
0.08800001	0	9.62615	4.96196	4.96196	4.96196	0.8688855	
0.089	0	9.617567	4.961091	4.961091	4.961091	0.878503	
0.09	0	9.608865	4.960212	4.960212	4.960212	0.8881119	
0.09100001	0	9.600102	4.959324	4.959324	4.959324	0.897712	
0.09200001	0	9.591222	4.958426	4.958426	4.958426	0.9073032	
0.093	0	9.582221	4.957519	4.957519	4.957519	0.9168854	
0.094	0	9.573161	4.956602	4.956602	4.956602	0.9264586	
0.09500001	0	9.563982	4.955676	4.955676	4.955676	0.9360226	
0.096	0	9.554744	4.95474	4.95474	4.95474	0.9455773	
0.097	0	9.545385	4.953794	4.953794	4.953794	0.9551227	
0.098	0	9.535909	4.952839	4.952839	4.952839	0.9646586	
0.09900001	0	9.526372	4.951874	4.951874	4.951874	0.974185	
0.1	0	9.516716	4.9509	4.9509	4.9509	0.9837017	
0.101	0	9.507	4.949917	4.949917	4.949917	0.9932087	
0.102	0	9.497106	4.948924	4.948924	4.948924	1.002706	
0.103	0	9.487152	4.947921	4.947921	4.947921	1.012193	
0.104	0	9.477139	4.946908	4.946908	4.946908	1.02167	
0.105	0	9.467006	4.945887	4.945887	4.945887	1.031137	
0.106	0	9.456873	4.944856	4.944856	4.944856	1.040594	
0.107	0	9.446502	4.943815	4.943815	4.943815	1.05004	
0.108	0	9.436131	4.942765	4.942765	4.942765	1.059477	
0.109	0	9.42564	4.941706	4.941706	4.941706	1.068902	
0.11	0	9.41503	4.940637	4.940637	4.940637	1.078317	
0.111	0	9.404302	4.939559	4.939559	4.939559	1.087722	
0.112	0	9.393573	4.938471	4.938471	4.938471	1.097115	
0.113	0	9.382725	4.937374	4.937374	4.937374	1.106498	
0.114	0	9.371758	4.936267	4.936267	4.936267	1.11587	
0.115	0	9.360671	4.935151	4.935151	4.935151	1.12523	
0.116	0	9.349465	4.934026	4.934026	4.934026	1.13458	
0.117	0	9.33826	4.932891	4.932891	4.932891	1.143918	
0.118	0	9.326935	4.931747	4.931747	4.931747	1.153245	
0.119	0	9.315491	4.930594	4.930594	4.930594	1.16256	
0.12	0	9.303927	4.929431	4.929431	4.929431	1.171864	
0.121	0	9.292245	4.92826	4.92826	4.92826	1.181157	
0.122	0	9.280562	4.927079	4.927079	4.927079	1.190437	
0.123	0	9.268761	4.925888	4.925888	4.925888	1.199706	
0.124	0	9.25684	4.924688	4.924688	4.924688	1.208963	
0.125	0	9.2448	4.92348	4.92348	4.92348	1.218208	
0.126	0	9.232759	4.922261	4.922261	4.922261	1.22744	
0.127	0	9.2206	4.921034	4.921034	4.921034	1.236661	
0.128	0	9.208322	4.919797	4.919797	4.919797	1.245869	
0.129	0	9.195924	4.918551	4.918551	4.918551	1.255065	
0.13	0	9.183526	4.917296	4.917296	4.917296	1.264249	
0.131	0	9.17089	4.916032	4.916032	4.916032	1.27342	
0.132	0	9.158254	4.914759	4.914759	4.914759	1.282578	
0.133	0	9.145617	4.913476	4.913476	4.913476	1.291723	
0.134	0	9.132743	4.912184	4.912184	4.912184	1.300856	
0.135	0	9.119868	4.910883	4.910883	4.910883	1.309976	
0.136	0	9.106755	4.909574	4.909574	4.909574	1.319083	
0.137	0	9.093761	4.908254	4.908254	4.908254	1.328177	
0.138	0	9.080529	4.906926	4.906926	4.906926	1.337257	
0.139	0	9.067178	4.905589	4.905589	4.905589	1.346324	
0.14	0	9.053826	4.904243	4.904243	4.904243	1.355378	
0.141	0	9.040356	4.902887	4.902887	4.902887	1.364419	
0.142	0	9.026885	4.901523	4.901523	4.901523	1.373445	
0.143	0	9.013176	4.900149	4.900149	4.900149	1.382459	
0.144	0	8.999467	4.898767	4.898767	4.898767	1.391458	
0.145	0	8.985639	4.897376	4.897376	4.897376	1.400444	
0.146	0	8.971691	4.895975	4.895975	4.895975	1.409415	
0.147	0	8.957744	4.894566	4.894566	4.894566	1.418373	
0.148	0	8.943677	4.893147	4.893147	4.893147	1.427317	
0.149	0	8.929491	4.89172	4.89172	4.89172	1.436246	
0.15	0	8.915186	4.890284	4.890284	4.890284	1.445161	
0.151	0	8.900762	4.888838	4.888838	4.888838	1.454062	
0.152	0	8.886337	4.887384	4.887384	4.887384	1.462949	
0.153	0	8.871794	4.885921	4.885921	4.885921	1.47182	
0.154	0	8.857131	4.884449	4.884449	4.884449	1.480677	
0.155	0	8.842468	4.882969	4.882969	4.882969	1.48952	
0.156	0	8.827686	4.881479	4.881479	4.881479	1.498348	
0.157	0	8.812785	4.879981	4.879981	4.879981	1.50716	
0.158	0	8.797765	4.878474	4.878474	4.878474	1.515958	
0.159	0	8.782744	4.876958	4.876958	4.876958	1.524741	
0.16	0	8.767605	4.875433	4.875433	4.875433	1.533509	
0.161	0	8.752346	4.8739	4.8739	4.8739	1.542261	
0.162	0	8.736968	4.872357	4.872357	4.872357	1.550998	
0.163	0	8.72159	4.870807	4.870807	4.870807	1.559719	
0.164	0	8.706093	4.869247	4.869247	4.869247	1.568426	
0.165	0	8.690476	4.867678	4.867678	4.867678	1.577116	
0.166	0	8.674741	4.866101	4.866101	4.866101	1.585791	
0.167	0	8.659005	4.864515	4.864515	4.864515	1.59445	
0.168	0	8.64315	4.862921	4.862921	4.862921	1.603093	
0.169	0	8.627176	4.861318	4.861318	4.861318	1.61172	
0.17	0	8.611202	4.859706	4.859706	4.859706	1.620331	
0.171	0	8.59499	4.858086	4.858086	4.858086	1.628926	
0.172	0	8.578777	4.856457	4.856457	4.856457	1.637505	
0.173	0	8.562565	4.854819	4.854819	4.854819	1.646068	
0.174	0	8.546114	4.853173	4.853173	4.853173	1.654614	
0.175	0	8.529663	4.851519	4.851519	4.851519	1.663143	
0.176	0	8.513212	4.849855	4.849855	4.849855	1.671657	
0.177	0	8.496523	4.848184	4.848184	4.848184	1.680153	
0.178	0	8.479834	4.846504	4.846504	4.846504	1.688633	
0.179	0	8.463025	4.844815	4.844815	4.844815	1.697096	
0.18	0	8.446097	4.843118	4.843118	4.843118	1.705542	
0.181	0	8.42917	4.841413	4.841413	4.841413	1.713971	
0.182	0	8.412123	4.839698	4.839698	4.839698	1.722383	
0.183	0	8.394957	4.837976	4.837976	4.837976	1.730778	
0.184	0	8.37779	4.836246	4.836246	4.836246	1.739156	
0.185	0	8.360386	4.834506	4.834506	4.834506	1.747517	
0.186	0	8.342981	4.832759	4.832759	4.832759	1.755859	
0.187	0	8.325577	4.831003	4.831003	4.831003	1.764185	
0.188	0	8.308053	4.829238	4.829238	4.829238	1.772493	
0.189	0	8.29041	4.827466	4.827466	4.827466	1.780784	
0.19	0	8.272648	4.825686	4.825686	4.825686	1.789056	
0.191	0	8.254886	4.823896	4.823896	4.823896	1.797311	
0.192	0	8.236885	4.822099	4.822099	4.822099	1.805548	
