TimeSlice	Time	FB	P	Input	Analog	D	A	Analog_Ie	Analog_Vm
85	0.02125	0.147049	0	0	0	0	-0.0599127	0	-0.07
86	0.0215	0.147049	0	0	0	0	-0.0599111	0	-0.07
87	0.02175	0.147049	0	0	0	0	-0.0599096	0	-0.07
88	0.022	0.147049	0	0	0	0	-0.0599081	0	-0.07
89	0.02225	0.16356	0	0	0	0	-0.0599068	0	-0.07
90	0.0225	0.16356	0	0	0	0	-0.0599055	0	-0.07
91	0.02275	0.16356	0	0	0	0	-0.0599042	0	-0.07
92	0.023	0.16356	0	0	0	0	-0.059903	0	-0.07
93	0.02325	0.16356	0	0	0	0	-0.0599019	0	-0.07
94	0.0235	0.16356	0	0	0	0	-0.0599009	0	-0.07
95	0.02375	0.16356	0	0	0	0	-0.0598998	0	-0.07
96	0.024	0.16356	0	0	0	0	-0.0598989	0	-0.07
97	0.02425	0.16356	0	0	0	0	-0.0598979	0	-0.07
98	0.0245	0.16356	0	0	0	0	-0.0598971	0	-0.07
99	0.02475	0.179659	0	0	0	0	-0.0598962	0	-0.07
100	0.025	0.179659	0	0	0	0	-0.0598954	0	-0.07
101	0.02525	0.179659	0	0	0	0	-0.0598947	0	-0.07
102	0.0255	0.179659	0	0	0	0	-0.059894	0	-0.07
103	0.02575	0.179659	0	0	0	0	-0.0598933	0	-0.07
104	0.026	0.179659	0	0	0	0	-0.0598926	0	-0.07
105	0.02625	0.179659	0	0	0	0	-0.059892	0	-0.07
106	0.0265	0.179659	0	0	0	0	-0.0598914	0	-0.07
107	0.02675	0.179659	0	0	0	0	-0.0598909	0	-0.07
108	0.027	0.179659	0	0	0	0	-0.0598904	0	-0.07
109	0.02725	0.195355	0	0	0	0	-0.0598898	0	-0.07
110	0.0275	0.195355	0	0	0	0	-0.0598894	0	-0.07
111	0.02775	0.195355	0	0	0	0	-0.0598889	0	-0.07
112	0.028	0.195355	0	0	0	0	-0.0598885	0	-0.07
113	0.02825	0.195355	0	0	0	0	-0.0598881	0	-0.07
114	0.0285	0.195355	0	0	0	0	-0.0598877	0	-0.07
115	0.02875	0.195355	0	0	0	0	-0.0598873	0	-0.07
116	0.029	0.195355	0	0	0	0	-0.0598869	0	-0.07
117	0.02925	0.195355	0	0	0	0	-0.0598866	0	-0.07
118	0.0295	0.195355	0	0	0	0	-0.0598863	0	-0.07
119	0.02975	0.210658	0	0	0	0	-0.059886	0	-0.07
120	0.03	0.210658	0	0	0	0	-0.0598798	0	-0.07
121	0.03025	0.210658	0	0	0	0	-0.059874	0	-0.07
122	0.0305	0.210658	0	0	0	0	-0.0598684	0	-0.07
123	0.03075	0.210658	0	0	0	0	-0.0598631	0	-0.07
124	0.031	0.210658	0	0	0	0	-0.0598581	0	-0.07
125	0.03125	0.210658	0	0	0	0	-0.0598533	0	-0.07
126	0.0315	0.210658	0	0	0	0	-0.0598488	0	-0.07
127	0.03175	0.210658	0	0	0	0	-0.0598444	0	-0.07
128	0.032	0.210658	0	0	0	0	-0.0598403	0	-0.07
129	0.03225	0.225767	0	0	0	0	-0.0598364	0	-0.07
130	0.0325	0.225767	0	0	0	0	-0.0598327	0	-0.07
131	0.03275	0.225767	0	0	0	0	-0.0598291	0	-0.07
132	0.033	0.225767	0	0	0	0	-0.0598258	0	-0.07
133	0.03325	0.225767	0	0	0	0	-0.0598226	0	-0.07
134	0.0335	0.225767	0	0	0	0	-0.0598195	0	-0.07
135	0.03375	0.225767	0	0	0	0	-0.0598166	0	-0.07
136	0.034	0.225767	0	0	0	0	-0.0598138	0	-0.07
137	0.03425	0.225767	0	0	0	0	-0.0598112	0	-0.07
138	0.0345	0.225767	0	0	0	0	-0.0598087	0	-0.07
139	0.03475	0.240498	0	0	0	0	-0.0598063	0	-0.07
140	0.035	0.240498	0	0	0	0	-0.0598041	0	-0.07
141	0.03525	0.240498	0	0	0	0	-0.0598019	0	-0.07
142	0.0355	0.240498	0	0	0	0	-0.0597999	0	-0.07
143	0.03575	0.240498	0	0	0	0	-0.0597979	0	-0.07
144	0.036	0.240498	0	0	0	0	-0.0597961	0	-0.07
145	0.03625	0.240498	0	0	0	0	-0.0597943	0	-0.07
146	0.0365	0.240498	0	0	0	0	-0.0597927	0	-0.07
147	0.03675	0.240498	0	0	0	0	-0.0597911	0	-0.07
148	0.037	0.240498	0	0	0	0	-0.0597895	0	-0.07
149	0.03725	0.25486	0	0	0	0	-0.0597881	0	-0.07
150	0.0375	0.25486	0	0	0	0	-0.0597867	0	-0.07
151	0.03775	0.25486	0	0	0	0	-0.0597854	0	-0.07
152	0.038	0.25486	0	0	0	0	-0.0597842	0	-0.07
153	0.03825	0.25486	0	0	0	0	-0.059783	0	-0.07
154	0.0385	0.25486	0	0	0	0	-0.0597819	0	-0.07
155	0.03875	0.25486	0	0	0	0	-0.0597808	0	-0.07
156	0.039	0.25486	0	0	0	0	-0.0597798	0	-0.07
157	0.03925	0.25486	0	0	0	0	-0.0597788	0	-0.07
158	0.0395	0.25486	0	0	0	0	-0.0597779	0	-0.07
159	0.03975	0.268864	0	0	0	0	-0.059777	0	-0.07
160	0.04	0.268864	0	0	0	0	-0.0597762	0	-0.07
161	0.04025	0.268864	0	0	0	0	-0.0597754	0	-0.07
162	0.0405	0.268864	0	0	0	0	-0.0597747	0	-0.07
163	0.04075	0.268864	0	0	0	0	-0.059774	0	-0.07
164	0.041	0.268864	0	0	0	0	-0.0597733	0	-0.07
165	0.04125	0.268864	0	0	0	0	-0.0597726	0	-0.07
166	0.0415	0.268864	0	0	0	0	-0.059772	0	-0.07
167	0.04175	0.268864	0	0	0	0	-0.0597714	0	-0.07
168	0.042	0.268864	0	0	0	0	-0.0597709	0	-0.07
169	0.04225	0.282517	0	0	0	0	-0.0597703	0	-0.07
170	0.0425	0.282517	0	0	0	0	-0.0597698	0	-0.07
171	0.04275	0.282517	0	0	0	0	-0.0597694	0	-0.07
172	0.043	0.282517	0	0	0	0	-0.0597689	0	-0.07
173	0.04325	0.282517	0	0	0	0	-0.0597685	0	-0.07
174	0.0435	0.282517	0	0	0	0	-0.0597681	0	-0.07
175	0.04375	0.282517	0	0	0	0	-0.0597677	0	-0.07
176	0.044	0.282517	0	0	0	0	-0.0597673	0	-0.07
177	0.04425	0.282517	0	0	0	0	-0.0597669	0	-0.07
178	0.0445	0.282517	0	0	0	0	-0.0597666	0	-0.07
179	0.04475	0.295829	0	0	0	0	-0.0597663	0	-0.07
180	0.045	0.295829	0	0	0	0	-0.0597601	0	-0.07
181	0.04525	0.295829	0	0	0	0	-0.0597543	0	-0.07
182	0.0455	0.295829	0	0	0	0	-0.0597487	0	-0.07
183	0.04575	0.295829	0	0	0	0	-0.0597434	0	-0.07
184	0.046	0.295829	0	0	0	0	-0.0597383	0	-0.07
185	0.04625	0.295829	0	0	0	0	-0.0597335	0	-0.07
186	0.0465	0.295829	0	0	0	0	-0.059729	0	-0.07
187	0.04675	0.295829	0	0	0	0	-0.0597246	0	-0.07
188	0.047	0.295829	0	0	0	0	-0.0597205	0	-0.07
189	0.04725	0.308996	0	0	0	0	-0.0597166	0	-0.07
190	0.0475	0.308996	0	0	0	0	-0.0597129	0	-0.07
191	0.04775	0.308996	0	0	0	0	-0.0597093	0	-0.07
192	0.048	0.308996	0	0	0	0	-0.0597059	0	-0.07
