Time	Body_2 X	Body_2 Y	Body_2 Z
0	0	0	-0.2
0.001	0	-9.79E-06	-0.2
0.002	3.29E-11	-2.94E-05	-0.2
0.003	2.09E-10	-5.88E-05	-0.2
0.004	7.51E-10	-9.79E-05	-0.2
0.005	2.03E-09	-0.000146906	-0.2
0.006	4.58E-09	-0.000205668	-0.2
0.007	9.12E-09	-0.000274224	-0.2
0.008	1.66E-08	-0.000352573	-0.2
0.009000001	2.90E-08	-0.000440717	-0.2
0.01	4.74E-08	-0.000538653	-0.2
0.011	7.35E-08	-0.000646384	-0.2
0.012	1.08E-07	-0.000763908	-0.2
0.013	1.54E-07	-0.000891226	-0.2
0.014	2.13E-07	-0.001028338	-0.2
0.015	2.89E-07	-0.001175243	-0.2
0.016	3.87E-07	-0.001331942	-0.2
0.017	5.09E-07	-0.001498434	-0.2
0.018	6.60E-07	-0.00167472	-0.2
0.019	8.45E-07	-0.0018608	-0.2
0.02	1.07E-06	-0.002056673	-0.2
0.021	1.33E-06	-0.00226234	-0.2
0.022	1.64E-06	-0.0024778	-0.2
0.023	2.01E-06	-0.002703055	-0.2
0.024	2.44E-06	-0.002938102	-0.2
0.025	2.93E-06	-0.003182943	-0.2
0.026	3.49E-06	-0.003437578	-0.2
0.027	4.13E-06	-0.003702005	-0.2
0.028	4.86E-06	-0.003976227	-0.2
0.029	5.67E-06	-0.004260242	-0.2
0.03	6.59E-06	-0.004554049	-0.2
0.031	7.62E-06	-0.00485765	-0.2
0.032	8.77E-06	-0.005171044	-0.2
0.033	1.00E-05	-0.005494231	-0.2
0.034	1.15E-05	-0.005827211	-0.2
0.035	1.30E-05	-0.006169984	-0.2
0.036	1.47E-05	-0.00652255	-0.2
0.037	1.66E-05	-0.006884908	-0.2
0.038	1.86E-05	-0.007257059	-0.2
0.039	2.09E-05	-0.007639002	-0.2
0.04	2.33E-05	-0.008030737	-0.2
0.041	2.59E-05	-0.008432264	-0.2
0.042	2.88E-05	-0.008843583	-0.2
0.043	3.19E-05	-0.009264694	-0.2
0.044	3.52E-05	-0.009695596	-0.2
0.045	3.88E-05	-0.01013629	-0.2
0.046	4.26E-05	-0.01058677	-0.2
