Time	Fy	Fx	Fz	Vz	Vx	Vy	Pz	Px	Py	
0	0	0	0	0	0	0	0	0	0.1	
0.001	0.009810157	0	0	0	0	9.819977E-06	0	0	0.1	
0.002	0.009810157	0	0	0	0	1.963995E-05	0	0	0.1	
0.003	0.009810157	0	0	0	0	2.945993E-05	0	0	0.1000001	
0.004	0.009810157	0	0	0	0	3.927991E-05	0	0	0.1000001	
0.005	0.009810157	0	0	0	0	4.909989E-05	0	0	0.1000001	
0.006	0.009810157	0	0	0	0	5.891986E-05	0	0	0.1000002	
0.007	0.009810157	0	0	0	0	6.873984E-05	0	0	0.1000003	
0.008	0.009810157	0	0	0	0	7.855982E-05	0	0	0.1000004	
0.009000001	0.009810157	0	0	0	0	8.837979E-05	0	0	0.1000004	
0.01	0.009810157	0	0	0	0	9.819976E-05	0	0	0.1000005	
0.011	0.009810157	0	0	0	0	0.0001080197	0	0	0.1000006	
0.012	0.009810157	0	0	0	0	0.0001178397	0	0	0.1000008	
0.013	0.009810157	0	0	0	0	0.0001276597	0	0	0.1000009	
0.014	0.009810157	0	0	0	0	0.0001374797	0	0	0.100001	
0.015	0.009810157	0	0	0	0	0.0001472997	0	0	0.1000012	
0.016	0.009810157	0	0	0	0	0.0001571196	0	0	0.1000013	
0.017	0.009810157	0	0	0	0	0.0001669396	0	0	0.1000015	
0.018	0.009810157	0	0	0	0	0.0001767596	0	0	0.1000017	
0.019	0.009810157	0	0	0	0	0.0001865796	0	0	0.1000019	
0.02	0.009810157	0	0	0	0	0.0001963996	0	0	0.1000021	
0.021	0.009810157	0	0	0	0	0.0002062195	0	0	0.1000023	
0.022	0.009810157	0	0	0	0	0.0002160395	0	0	0.1000025	
0.023	0.009810157	0	0	0	0	0.0002258595	0	0	0.1000027	
0.024	0.009810157	0	0	0	0	0.0002356795	0	0	0.1000029	
0.025	0.009810157	0	0	0	0	0.0002454995	0	0	0.1000032	
0.026	0.009810157	0	0	0	0	0.0002553195	0	0	0.1000034	
0.027	0.009810157	0	0	0	0	0.0002651394	0	0	0.1000037	
0.028	0.009810157	0	0	0	0	0.0002749594	0	0	0.100004	
0.029	0.009810157	0	0	0	0	0.0002847794	0	0	0.1000043	
0.03	0.009810157	0	0	0	0	0.0002945994	0	0	0.1000046	
0.031	0.009810157	0	0	0	0	0.0003044194	0	0	0.1000049	
0.032	0.009810157	0	0	0	0	0.0003142394	0	0	0.1000052	
0.033	0.009810157	0	0	0	0	0.0003240593	0	0	0.1000055	
0.034	0.009810157	0	0	0	0	0.0003338793	0	0	0.1000058	
0.035	0.009810157	0	0	0	0	0.0003436993	0	0	0.1000062	
0.036	0.009810157	0	0	0	0	0.0003535193	0	0	0.1000065	
0.037	0.009810157	0	0	0	0	0.0003633393	0	0	0.1000069	
0.038	0.009810157	0	0	0	0	0.0003731592	0	0	0.1000073	
0.039	0.009810157	0	0	0	0	0.0003829792	0	0	0.1000077	
0.04	0.009810157	0	0	0	0	0.0003927992	0	0	0.100008	
0.041	0.009810157	0	0	0	0	0.0004026191	0	0	0.1000085	
0.042	0.009810157	0	0	0	0	0.0004124391	0	0	0.1000089	
0.043	0.009810157	0	0	0	0	0.0004222591	0	0	0.1000093	
0.044	0.009810157	0	0	0	0	0.000432079	0	0	0.1000097	
0.045	0.009810157	0	0	0	0	0.000441899	0	0	0.1000102	
