Time	Fy	Fx	Fz	Vz	Vx	Vy	Pz	Px	Py	
0.07700001	0.009804688	0	0	0	0	0.0007559955	0	0	0.1000295	
0.078	0.009804688	0	0	0	0	0.00076581	0	0	0.1000302	
0.079	0.009803907	0	0	0	0	0.0007756237	0	0	0.100031	
0.08000001	0.009803907	0	0	0	0	0.0007854374	0	0	0.1000318	
0.081	0.009803907	0	0	0	0	0.0007952512	0	0	0.1000326	
0.082	0.009803907	0	0	0	0	0.0008050649	0	0	0.1000334	
0.083	0.009803907	0	0	0	0	0.0008148786	0	0	0.1000342	
0.08400001	0.009803907	0	0	0	0	0.0008246922	0	0	0.100035	
0.085	0.009803126	0	0	0	0	0.0008345052	0	0	0.1000359	
0.086	0.009803126	0	0	0	0	0.0008443181	0	0	0.1000367	
0.087	0.009803126	0	0	0	0	0.000854131	0	0	0.1000376	
0.08800001	0.009803126	0	0	0	0	0.000863944	0	0	0.1000384	
0.089	0.009802345	0	0	0	0	0.0008737561	0	0	0.1000393	
0.09	0.009802345	0	0	0	0	0.0008835683	0	0	0.1000402	
0.09100001	0.009802345	0	0	0	0	0.0008933804	0	0	0.1000411	
0.09200001	0.009802345	0	0	0	0	0.0009031926	0	0	0.100042	
0.093	0.009802345	0	0	0	0	0.0009130046	0	0	0.1000429	
0.094	0.009801563	0	0	0	0	0.000922816	0	0	0.1000438	
0.09500001	0.009801563	0	0	0	0	0.0009326274	0	0	0.1000448	
0.096	0.009801563	0	0	0	0	0.0009424388	0	0	0.1000457	
0.097	0.009801563	0	0	0	0	0.0009522501	0	0	0.1000467	
0.098	0.009800781	0	0	0	0	0.0009620607	0	0	0.1000476	
0.09900001	0.009800781	0	0	0	0	0.0009718713	0	0	0.1000486	
0.1	0.009800781	0	0	0	0	0.0009816819	0	0	0.1000496	
0.101	0.009800781	0	0	0	0	0.0009914924	0	0	0.1000506	
0.102	0.009800001	0	0	0	0	0.001001302	0	0	0.1000516	
0.103	0.009800001	0	0	0	0	0.001011112	0	0	0.1000526	
0.104	0.009800001	0	0	0	0	0.001020922	0	0	0.1000536	
0.105	0.009800001	0	0	0	0	0.001030731	0	0	0.1000546	
0.106	0.00979922	0	0	0	0	0.001040541	0	0	0.1000557	
0.107	0.00979922	0	0	0	0	0.00105035	0	0	0.1000567	
0.108	0.00979922	0	0	0	0	0.001060159	0	0	0.1000578	
0.109	0.00979922	0	0	0	0	0.001069968	0	0	0.1000589	
0.11	0.009798438	0	0	0	0	0.001079776	0	0	0.1000599	
0.111	0.009798438	0	0	0	0	0.001089584	0	0	0.100061	
0.112	0.009798438	0	0	0	0	0.001099392	0	0	0.1000621	
0.113	0.009798438	0	0	0	0	0.001109201	0	0	0.1000632	
0.114	0.009797657	0	0	0	0	0.001119008	0	0	0.1000644	
0.115	0.009797657	0	0	0	0	0.001128815	0	0	0.1000655	
0.116	0.009797657	0	0	0	0	0.001138623	0	0	0.1000666	
0.117	0.009796876	0	0	0	0	0.00114843	0	0	0.1000678	
0.118	0.009796876	0	0	0	0	0.001158236	0	0	0.1000689	
0.119	0.009796876	0	0	0	0	0.001168043	0	0	0.1000701	
0.12	0.009796876	0	0	0	0	0.001177849	0	0	0.1000713	
0.121	0.009796094	0	0	0	0	0.001187655	0	0	0.1000725	
0.122	0.009796094	0	0	0	0	0.001197461	0	0	0.1000737	
0.123	0.009796094	0	0	0	0	0.001207267	0	0	0.1000749	
0.124	0.009795314	0	0	0	0	0.001217072	0	0	0.1000761	
0.125	0.009795314	0	0	0	0	0.001226877	0	0	0.1000773	
0.126	0.009795314	0	0	0	0	0.001236683	0	0	0.1000785	
0.127	0.009794532	0	0	0	0	0.001246487	0	0	0.1000798	
0.128	0.009794532	0	0	0	0	0.001256291	0	0	0.100081	
0.129	0.009794532	0	0	0	0	0.001266095	0	0	0.1000823	
0.13	0.00979375	0	0	0	0	0.001275899	0	0	0.1000836	
0.131	0.00979375	0	0	0	0	0.001285703	0	0	0.1000849	
0.132	0.00979375	0	0	0	0	0.001295506	0	0	0.1000862	
0.133	0.00979375	0	0	0	0	0.00130531	0	0	0.1000875	
0.134	0.00979297	0	0	0	0	0.001315112	0	0	0.1000888	
0.135	0.00979297	0	0	0	0	0.001324915	0	0	0.1000901	
0.136	0.00979297	0	0	0	0	0.001334718	0	0	0.1000914	
0.137	0.009792188	0	0	0	0	0.00134452	0	0	0.1000928	
0.138	0.009792188	0	0	0	0	0.001354322	0	0	0.1000942	
0.139	0.009792188	0	0	0	0	0.001364124	0	0	0.1000955	
0.14	0.009791407	0	0	0	0	0.001373925	0	0	0.1000969	
0.141	0.009791407	0	0	0	0	0.001383726	0	0	0.1000983	
0.142	0.009790626	0	0	0	0	0.001393527	0	0	0.1000997	
0.143	0.009790626	0	0	0	0	0.001403327	0	0	0.1001011	
0.144	0.009790626	0	0	0	0	0.001413127	0	0	0.1001025	
0.145	0.009789844	0	0	0	0	0.001422927	0	0	0.1001039	
0.146	0.009789844	0	0	0	0	0.001432726	0	0	0.1001053	
0.147	0.009789844	0	0	0	0	0.001442526	0	0	0.1001068	
0.148	0.009789063	0	0	0	0	0.001452325	0	0	0.1001082	
0.149	0.009789063	0	0	0	0	0.001462123	0	0	0.1001097	
0.15	0.009789063	0	0	0	0	0.001471922	0	0	0.1001112	
0.151	0.009788282	0	0	0	0	0.00148172	0	0	0.1001126	
0.152	0.009788282	0	0	0	0	0.001491518	0	0	0.1001141	
0.153	0.009788282	0	0	0	0	0.001501316	0	0	0.1001156	
0.154	0.009787501	0	0	0	0	0.001511114	0	0	0.1001171	
0.155	0.009787501	0	0	0	0	0.001520911	0	0	0.1001187	
0.156	0.009786719	0	0	0	0	0.001530707	0	0	0.1001202	
0.157	0.009786719	0	0	0	0	0.001540504	0	0	0.1001217	
0.158	0.009786719	0	0	0	0	0.0015503	0	0	0.1001233	
0.159	0.009785938	0	0	0	0	0.001560096	0	0	0.1001249	
0.16	0.009785938	0	0	0	0	0.001569892	0	0	0.1001264	
0.161	0.009785157	0	0	0	0	0.001579687	0	0	0.100128	
0.162	0.009785157	0	0	0	0	0.001589482	0	0	0.1001296	
0.163	0.009785157	0	0	0	0	0.001599276	0	0	0.1001312	
0.164	0.009784375	0	0	0	0	0.001609071	0	0	0.1001328	
0.165	0.009784375	0	0	0	0	0.001618865	0	0	0.1001344	
0.166	0.009783595	0	0	0	0	0.001628658	0	0	0.1001361	
0.167	0.009783595	0	0	0	0	0.001638452	0	0	0.1001377	
0.168	0.009783595	0	0	0	0	0.001648245	0	0	0.1001393	
0.169	0.009782813	0	0	0	0	0.001658038	0	0	0.100141	
0.17	0.009782813	0	0	0	0	0.00166783	0	0	0.1001427	
0.171	0.009782031	0	0	0	0	0.001677622	0	0	0.1001443	
0.172	0.009782031	0	0	0	0	0.001687414	0	0	0.100146	
0.173	0.009782031	0	0	0	0	0.001697206	0	0	0.1001477	
0.174	0.009781251	0	0	0	0	0.001706997	0	0	0.1001494	
0.175	0.009781251	0	0	0	0	0.001716788	0	0	0.1001511	
0.176	0.009780469	0	0	0	0	0.001726578	0	0	0.1001529	
0.177	0.009780469	0	0	0	0	0.001736368	0	0	0.1001546	
0.178	0.009779688	0	0	0	0	0.001746158	0	0	0.1001564	
0.179	0.009779688	0	0	0	0	0.001755947	0	0	0.1001581	
0.18	0.009779688	0	0	0	0	0.001765737	0	0	0.1001599	
0.181	0.009778908	0	0	0	0	0.001775525	0	0	0.1001616	
0.182	0.009778908	0	0	0	0	0.001785314	0	0	0.1001634	
0.183	0.009778125	0	0	0	0	0.001795101	0	0	0.1001652	
0.184	0.009778125	0	0	0	0	0.001804889	0	0	0.100167	
0.185	0.009777344	0	0	0	0	0.001814676	0	0	0.1001688	
0.186	0.009777344	0	0	0	0	0.001824463	0	0	0.1001707	
0.187	0.009776563	0	0	0	0	0.001834249	0	0	0.1001725	
0.188	0.009776563	0	0	0	0	0.001844036	0	0	0.1001744	
0.189	0.009775782	0	0	0	0	0.001853821	0	0	0.1001762	
0.19	0.009775782	0	0	0	0	0.001863607	0	0	0.1001781	
0.191	0.009775782	0	0	0	0	0.001873393	0	0	0.1001799	
0.192	0.009775001	0	0	0	0	0.001883177	0	0	0.1001818	
0.193	0.009775001	0	0	0	0	0.001892962	0	0	0.1001837	
0.194	0.009774219	0	0	0	0	0.001902746	0	0	0.1001856	
0.195	0.009774219	0	0	0	0	0.00191253	0	0	0.1001875	
0.196	0.009773438	0	0	0	0	0.001922313	0	0	0.1001895	
0.197	0.009773438	0	0	0	0	0.001932097	0	0	0.1001914	
0.198	0.009772656	0	0	0	0	0.001941879	0	0	0.1001933	
0.199	0.009772656	0	0	0	0	0.001951661	0	0	0.1001953	
0.2	0.009771876	0	0	0	0	0.001961443	0	0	0.1001973	
0.201	0.009771876	0	0	0	0	0.001971225	0	0	0.1001992	
0.202	0.009771095	0	0	0	0	0.001981006	0	0	0.1002012	
0.203	0.009771095	0	0	0	0	0.001990787	0	0	0.1002032	
0.204	0.009770312	0	0	0	0	0.002000567	0	0	0.1002052	
0.205	0.009770312	0	0	0	0	0.002010347	0	0	0.1002072	
0.206	0.009769532	0	0	0	0	0.002020126	0	0	0.1002092	
0.207	0.009769532	0	0	0	0	0.002029905	0	0	0.1002113	
0.208	0.009768751	0	0	0	0	0.002039684	0	0	0.1002133	
0.209	0.009768751	0	0	0	0	0.002049462	0	0	0.1002153	
0.21	0.009767969	0	0	0	0	0.00205924	0	0	0.1002174	
0.211	0.009767969	0	0	0	0	0.002069018	0	0	0.1002195	
0.212	0.009767189	0	0	0	0	0.002078795	0	0	0.1002216	
0.213	0.009767189	0	0	0	0	0.002088572	0	0	0.1002236	
0.214	0.009766406	0	0	0	0	0.002098348	0	0	0.1002257	
0.215	0.009766406	0	0	0	0	0.002108124	0	0	0.1002278	
0.216	0.009765625	0	0	0	0	0.002117899	0	0	0.10023	
0.217	0.009765625	0	0	0	0	0.002127674	0	0	0.1002321	
0.218	0.009764845	0	0	0	0	0.002137449	0	0	0.1002342	
0.219	0.009764845	0	0	0	0	0.002147224	0	0	0.1002364	
0.22	0.009764063	0	0	0	0	0.002156997	0	0	0.1002385	
0.221	0.009763283	0	0	0	0	0.00216677	0	0	0.1002407	
0.222	0.009763283	0	0	0	0	0.002176543	0	0	0.1002429	
0.223	0.0097625	0	0	0	0	0.002186316	0	0	0.1002451	
0.224	0.0097625	0	0	0	0	0.002196088	0	0	0.1002473	
0.225	0.009761719	0	0	0	0	0.002205859	0	0	0.1002495	
0.226	0.009761719	0	0	0	0	0.002215631	0	0	0.1002517	
0.227	0.009760939	0	0	0	0	0.002225401	0	0	0.1002539	
0.228	0.009760939	0	0	0	0	0.002235172	0	0	0.1002561	
0.229	0.009760157	0	0	0	0	0.002244942	0	0	0.1002584	
0.23	0.009759376	0	0	0	0	0.002254711	0	0	0.1002606	
0.231	0.009759376	0	0	0	0	0.00226448	0	0	0.1002629	
0.232	0.009758594	0	0	0	0	0.002274249	0	0	0.1002652	
0.233	0.009758594	0	0	0	0	0.002284017	0	0	0.1002675	
0.234	0.009757813	0	0	0	0	0.002293784	0	0	0.1002697	
0.235	0.009757813	0	0	0	0	0.002303552	0	0	0.1002721	
0.236	0.009757032	0	0	0	0	0.002313318	0	0	0.1002744	
0.237	0.009757032	0	0	0	0	0.002323085	0	0	0.1002767	
0.238	0.009756251	0	0	0	0	0.002332851	0	0	0.100279	
0.239	0.00975547	0	0	0	0	0.002342617	0	0	0.1002814	
0.24	0.00975547	0	0	0	0	0.002352382	0	0	0.1002837	
0.241	0.009754688	0	0	0	0	0.002362147	0	0	0.1002861	
0.242	0.009754688	0	0	0	0	0.002371911	0	0	0.1002885	
0.243	0.009753907	0	0	0	0	0.002381675	0	0	0.1002908	
0.244	0.009753126	0	0	0	0	0.002391438	0	0	0.1002932	
0.245	0.009753126	0	0	0	0	0.0024012	0	0	0.1002956	
0.246	0.009752344	0	0	0	0	0.002410962	0	0	0.100298	
0.247	0.009752344	0	0	0	0	0.002420724	0	0	0.1003005	
0.248	0.009751564	0	0	0	0	0.002430486	0	0	0.1003029	
0.249	0.009750782	0	0	0	0	0.002440246	0	0	0.1003053	
