Time	A	D	ElbowActualVel	ElbowPos	ElbowSetVel	FB	P	PhysicsStep	RealVsSim	
0.01625	-0.06	0	1.000171	0.01548719	1	0.1131384	0	0.000237	0.018173	
0.0165	-0.06	0	1.000171	0.01548719	1	0.1131384	0	0.000237	0.018677	
0.01675	-0.06	0	1.00017	0.01598728	1	0.1131384	0	0.000237	0.018677	
0.017	-0.06	0	1.00017	0.01598728	1	0.1131384	0	0.000238	0.01918	
0.01725	-0.06	0	1.00017	0.01648736	1	0.1304848	0	0.000238	0.01918	
0.0175	-0.06	0	1.00017	0.01648736	1	0.1304848	0	0.000238	0.019684	
0.01775	-0.06	0	1.00017	0.01698745	1	0.1304848	0	0.000238	0.019684	
0.018	-0.06	0	1.00017	0.01698745	1	0.1304848	0	0.000346	0.020188	
0.01825	-0.06	0	1.000166	0.01748753	1	0.1304848	0	0.000346	0.020188	
0.0185	-0.06	0	1.000166	0.01748753	1	0.1304848	0	0.000246	0.020693	
0.01875	-0.06	0	1.00017	0.01798762	1	0.1304848	0	0.000246	0.020693	
0.019	-0.06	0	1.00017	0.01798762	1	0.1304848	0	0.000327	0.021229	
0.01925	-0.06	0	1.00017	0.0184877	1	0.1304848	0	0.000327	0.021229	
0.0195	-0.06	0	1.00017	0.0184877	1	0.1304848	0	0.000252	0.021735	
0.01975	-0.06	0	1.000166	0.01898778	1	0.1474288	0	0.000252	0.021735	
0.02	-0.06	0	1.000166	0.01898778	1	0.1474288	0	0.000274	0.022239	
0.02025	-0.06	0	1.00017	0.01948787	1	0.1474288	0	0.000274	0.022239	
0.0205	-0.06	0	1.00017	0.01948787	1	0.1474288	0	0.000242	0.022742	
0.02075	-0.06	0	1.000166	0.01998795	1	0.1474288	0	0.000242	0.022742	
0.021	-0.06	0	1.000166	0.01998795	1	0.1474288	0	0.000236	0.023246	
0.02125	-0.06	0	1.00017	0.02048804	1	0.1474288	0	0.000236	0.023246	
0.0215	-0.06	0	1.00017	0.02048804	1	0.1474288	0	0.000241	0.02375	
0.02175	-0.06	0	1.000166	0.02098812	1	0.1474288	0	0.000241	0.02375	
0.022	-0.06	0	1.000166	0.02098812	1	0.1474288	0	0.000237	0.024254	
0.02225	-0.06	0	1.00017	0.0214882	1	0.1639804	0	0.000237	0.024254	
0.0225	-0.06	0	1.00017	0.0214882	1	0.1639804	0	0.000361	0.024917	
0.02275	-0.06	0	1.000166	0.02198829	1	0.1639804	0	0.000361	0.024917	
0.023	-0.06	0	1.000166	0.02198829	1	0.1639804	0	0.000341	0.025472	
0.02325	-0.06	0	1.00017	0.02248837	1	0.1639804	0	0.000341	0.025472	
0.0235	-0.06	0	1.00017	0.02248837	1	0.1639804	0	0.000243	0.025975	
0.02375	-0.06	0	1.000166	0.02298846	1	0.1639804	0	0.000243	0.025975	
0.024	-0.06	0	1.000166	0.02298846	1	0.1639804	0	0.000237	0.026479	
0.02425	-0.06	0	1.00017	0.02348854	1	0.1639804	0	0.000237	0.026479	
0.0245	-0.06	0	1.00017	0.02348854	1	0.1639804	0	0.00026	0.026983	
0.02475	-0.06	0	1.000166	0.02398862	1	0.1801495	0	0.00026	0.026983	
0.025	-0.06	0	1.000166	0.02398862	1	0.1801495	0	0.000237	0.027486	
0.02525	-0.06	0	1.00017	0.02448871	1	0.1801495	0	0.000237	0.027486	
0.0255	-0.06	0	1.00017	0.02448871	1	0.1801495	0	0.00024	0.027991	
0.02575	-0.06	0	1.000166	0.02498879	1	0.1801495	0	0.00024	0.027991	
0.026	-0.06	0	1.000166	0.02498879	1	0.1801495	0	0.000238	0.028495	
0.02625	-0.06	0	1.00017	0.02548888	1	0.1801495	0	0.000238	0.028495	
0.0265	-0.06	0	1.00017	0.02548888	1	0.1801495	0	0.000241	0.028999	
0.02675	-0.06	0	1.000166	0.02598896	1	0.1801495	0	0.000241	0.028999	
