Time	Body_X	Body_Y	Body_Z	Joint_1	
0.085	-6.856657E-06	-0.03260333	-1.999647	-1.245453	
0.086	-7.024999E-06	-0.03337945	-1.99963	-1.275106	
0.087	-7.195558E-06	-0.03416469	-1.999612	-1.305108	
0.08800001	-7.368347E-06	-0.03495905	-1.999594	-1.335458	
0.089	-7.543375E-06	-0.03576252	-1.999575	-1.366157	
0.09	-7.720649E-06	-0.03657512	-1.999555	-1.397205	
0.09100001	-7.900177E-06	-0.03739683	-1.999535	-1.428601	
0.09200001	-8.08197E-06	-0.03822765	-1.999514	-1.460346	
0.093	-8.266035E-06	-0.0390676	-1.999492	-1.49244	
0.094	-8.452383E-06	-0.03991665	-1.99947	-1.524884	
0.09500001	-8.64102E-06	-0.04077483	-1.999447	-1.557675	
0.096	-8.831957E-06	-0.04164211	-1.999423	-1.590815	
0.097	-9.025198E-06	-0.04251851	-1.999398	-1.624304	
0.098	-9.220757E-06	-0.04340402	-1.999373	-1.658142	
0.09900001	-9.418645E-06	-0.04429864	-1.999347	-1.692328	
0.1	-9.61887E-06	-0.04520237	-1.99932	-1.726864	
0.101	-9.821437E-06	-0.0461152	-1.999292	-1.761748	
0.102	-1.002636E-05	-0.04703715	-1.999264	-1.79698	
0.103	-1.023365E-05	-0.0479682	-1.999234	-1.832562	
0.104	-1.044331E-05	-0.04890836	-1.999204	-1.868492	
0.105	-1.065536E-05	-0.04985762	-1.999173	-1.90477	
0.106	-1.08698E-05	-0.05081598	-1.99914	-1.941397	
0.107	-1.108665E-05	-0.05178345	-1.999107	-1.978373	
0.108	-1.130592E-05	-0.05276002	-1.999073	-2.015698	
0.109	-1.152762E-05	-0.05374569	-1.999038	-2.053371	
0.11	-1.175175E-05	-0.05474045	-1.999002	-2.091393	
0.111	-1.197832E-05	-0.05574431	-1.998965	-2.129764	
0.112	-1.220735E-05	-0.05675727	-1.998927	-2.168483	
0.113	-1.243885E-05	-0.05777932	-1.998888	-2.207551	
0.114	-1.267283E-05	-0.05881047	-1.998848	-2.246968	
0.115	-1.29093E-05	-0.0598507	-1.998807	-2.286733	
0.116	-1.314827E-05	-0.06090003	-1.998765	-2.326847	
0.117	-1.338975E-05	-0.06195844	-1.998722	-2.367308	
0.118	-1.363375E-05	-0.06302594	-1.998677	-2.40812	
