Time	X Force	Tension	Length	Velocity	Acceleration	Potential Energy	Damping Force	Spring Tension	
0.039	6.768123	-6.698132	4.993109	-0.3232956	-6.67572	4.931325	3.232956	-9.931087	
0.04	6.698133	-6.623302	4.992778	-0.3304481	-7.152557	4.928044	3.304481	-9.927783	
0.041	6.623302	-6.557946	4.992442	-0.336647	-6.198883	4.924702	3.36647	-9.924417	
0.042	6.557947	-6.487756	4.992098	-0.3433227	-6.67572	4.921296	3.433227	-9.920983	
0.043	6.487757	-6.422272	4.991749	-0.3495216	-6.198883	4.917829	3.495216	-9.917488	
0.044	6.422273	-6.351953	4.991393	-0.3561973	-6.67572	4.914297	3.561973	-9.913926	
0.045	6.351954	-6.281567	4.99103	-0.362873	-6.67572	4.9107	3.628731	-9.910297	
0.046	6.281568	-6.22066	4.990661	-0.3685951	-5.722045	4.907048	3.685951	-9.906611	
0.047	6.220661	-6.15015	4.990286	-0.3752708	-6.67572	4.90333	3.752708	-9.902859	
0.048	6.150151	-6.08912	4.989905	-0.3809929	-5.722045	4.899559	3.809929	-9.899049	
0.049	6.089121	-6.018486	4.989517	-0.3876686	-6.67572	4.895721	3.876686	-9.895172	
0.05	6.018487	-5.962105	4.989124	-0.3929138	-5.245208	4.891834	3.929138	-9.891243	
0.051	5.962106	-5.891352	4.988725	-0.3995895	-6.67572	4.887883	3.995895	-9.887247	
0.052	5.891353	-5.834852	4.98832	-0.4048347	-5.245208	4.883881	4.048347	-9.883199	
0.053	5.834853	-5.768753	4.987909	-0.4110336	-6.198883	4.879819	4.110336	-9.879088	
0.054	5.768754	-5.707365	4.987492	-0.4167556	-5.722045	4.875703	4.167556	-9.874921	
0.055	5.707366	-5.645919	4.98707	-0.4224777	-5.722045	4.871532	4.224777	-9.870696	
0.056	5.64592	-5.584417	4.986641	-0.4281997	-5.722045	4.867306	4.281997	-9.866414	
0.057	5.584418	-5.522857	4.986207	-0.4339218	-5.722045	4.863026	4.339218	-9.862075	
0.058	5.522858	-5.466013	4.985768	-0.439167	-5.245208	4.858696	4.39167	-9.857683	
0.059	5.466014	-5.404344	4.985323	-0.444889	-5.722045	4.854311	4.44889	-9.853234	
0.06	5.404345	-5.347391	4.984873	-0.4501342	-5.245208	4.849877	4.501342	-9.848733	
0.061	5.347392	-5.290385	4.984418	-0.4553795	-5.245208	4.845393	4.553794	-9.844179	
0.062	5.290386	-5.233326	4.983957	-0.4606247	-5.245208	4.84086	4.606246	-9.839573	
0.063	5.233327	-5.176216	4.983491	-0.4658699	-5.245208	4.836277	4.658699	-9.834914	
0.064	5.176217	-5.119052	4.98302	-0.4711151	-5.245208	4.831645	4.711151	-9.830203	
0.06500001	5.119053	-5.061837	4.982544	-0.4763603	-5.245208	4.826963	4.763603	-9.825439	
0.066	5.061838	-5.009342	4.982063	-0.4811287	-4.768372	4.822237	4.811286	-9.820628	
0.067	5.009343	-4.956799	4.981577	-0.485897	-4.768372	4.817466	4.85897	-9.815769	
0.068	4.9568	-4.894662	4.981085	-0.4916191	-5.722045	4.812642	4.916191	-9.810853	
0.06900001	4.894663	-4.846788	4.980589	-0.4959106	-4.291534	4.807778	4.959106	-9.805894	
0.07	4.846789	-4.789324	4.980088	-0.5011559	-5.245238	4.802865	5.011559	-9.800882	
0.071	4.789325	-4.741354	4.979583	-0.5054474	-4.291534	4.797912	5.054474	-9.795828	
0.072	4.741355	-4.683795	4.979072	-0.5106926	-5.245208	4.792911	5.106926	-9.790721	
0.07300001	4.683796	-4.63573	4.978557	-0.5149841	-4.291534	4.78787	5.149841	-9.785571	
0.074	4.635731	-4.578075	4.978037	-0.5202293	-5.245208	4.782781	5.202293	-9.780369	
0.075	4.578076	-4.534688	4.977513	-0.524044	-3.814697	4.777657	5.24044	-9.775128	
0.07600001	4.534689	-4.476943	4.976984	-0.5292892	-5.245208	4.772484	5.292892	-9.769835	
0.07700001	4.476944	-4.428692	4.97645	-0.5335808	-4.291534	4.767272	5.335808	-9.7645	
0.078	4.428693	-4.385171	4.975913	-0.5373955	-3.814697	4.762027	5.373955	-9.759126	
0.079	4.385172	-4.336839	4.975371	-0.541687	-4.291534	4.756742	5.41687	-9.753709	
0.08000001	4.33684	-4.28369	4.974824	-0.5464554	-4.768372	4.751413	5.464554	-9.748244	
0.081	4.283691	-4.230494	4.974273	-0.5512238	-4.768372	4.746041	5.512238	-9.742732	
0.082	4.230495	-4.186797	4.973718	-0.5550385	-3.814697	4.740635	5.550385	-9.737182	
0.083	4.186798	-4.138288	4.973159	-0.55933	-4.291534	4.73519	5.5933	-9.731588	
0.08400001	4.138289	-4.089737	4.972595	-0.5636215	-4.291534	4.729707	5.636215	-9.725952	
0.085	4.089738	-4.050689	4.972028	-0.5669594	-3.33786	4.724195	5.669594	-9.720283	
0.086	4.05069	-3.997288	4.971457	-0.5717278	-4.768372	4.718639	5.717278	-9.714565	
0.087	3.997289	-3.953385	4.970881	-0.5755424	-3.814697	4.713049	5.755424	-9.70881	
0.08800001	3.953386	-3.909445	4.970302	-0.5793571	-3.814697	4.707426	5.793571	-9.703016	
0.089	3.909446	-3.860693	4.969718	-0.5836487	-4.291534	4.701765	5.836487	-9.69718	
0.09	3.860694	-3.816671	4.969131	-0.5874634	-3.814697	4.69607	5.874634	-9.691305	
0.09100001	3.816672	-3.782158	4.96854	-0.5903244	-2.861023	4.690351	5.903244	-9.685402	
0.09200001	3.782159	-3.728523	4.967945	-0.5950928	-4.768372	4.684588	5.950928	-9.679451	
0.093	3.728524	-3.684387	4.967346	-0.5989075	-3.814697	4.678793	5.989075	-9.673462	
0.094	3.684388	-3.649759	4.966744	-0.6017685	-2.861023	4.672974	6.017685	-9.667444	
0.09500001	3.64976	-3.600783	4.966138	-0.60606	-4.291534	4.667117	6.0606	-9.661384	
0.096	3.600784	-3.561311	4.965529	-0.6093979	-3.33786	4.661231	6.093979	-9.65529	
0.097	3.561312	-3.517032	4.964916	-0.6132126	-3.814697	4.655312	6.132126	-9.649158	
