Time	Body_X	Body_Y	Body_Z	Joint_1	
0.0176	-3.23131E-07	-0.001396089	-0.01993504	-5.34035	
0.0178	-3.314407E-07	-0.001428068	-0.01993202	-5.463042	
0.018	-3.398844E-07	-0.001460402	-0.0199289	-5.587123	
0.0182	-3.484634E-07	-0.001493092	-0.01992567	-5.712594	
0.0184	-3.57179E-07	-0.001526135	-0.01992233	-5.839452	
0.0186	-3.660325E-07	-0.001559533	-0.01991888	-5.967699	
0.0188	-3.750252E-07	-0.001593284	-0.01991532	-6.097334	
0.019	-3.841584E-07	-0.001627388	-0.01991164	-6.228356	
0.0192	-3.934335E-07	-0.001661844	-0.01990784	-6.360765	
0.0194	-4.028519E-07	-0.001696653	-0.01990392	-6.494561	
0.0196	-4.124149E-07	-0.001731812	-0.01989988	-6.629745	
0.0198	-4.221238E-07	-0.001767323	-0.01989572	-6.766313	
0.02	-4.319801E-07	-0.001803183	-0.01989142	-6.904269	
0.0202	-4.419852E-07	-0.001839394	-0.019887	-7.043607	
0.0204	-4.521404E-07	-0.001875953	-0.01988244	-7.184332	
0.0206	-4.624472E-07	-0.00191286	-0.01987775	-7.32644	
0.0208	-4.729069E-07	-0.001950114	-0.01987291	-7.469934	
0.021	-4.835211E-07	-0.001987716	-0.01986794	-7.61481	
0.0212	-4.942911E-07	-0.002025663	-0.01986282	-7.761069	
0.0214	-5.052185E-07	-0.002063956	-0.01985756	-7.908712	
0.0216	-5.163045E-07	-0.002102594	-0.01985214	-8.057737	
0.0218	-5.275508E-07	-0.002141575	-0.01984658	-8.208141	
0.022	-5.389588E-07	-0.002180899	-0.01984086	-8.359928	
0.0222	-5.5053E-07	-0.002220566	-0.01983498	-8.513096	
0.0224	-5.622659E-07	-0.002260574	-0.01982894	-8.667645	
0.0226	-5.741679E-07	-0.002300922	-0.01982274	-8.823569	
0.0228	-5.862376E-07	-0.002341609	-0.01981637	-8.980877	
0.023	-5.984764E-07	-0.002382636	-0.01980983	-9.139561	
0.0232	-6.10886E-07	-0.002424	-0.01980312	-9.299622	
0.0234	-6.234678E-07	-0.002465701	-0.01979624	-9.461061	
0.0236	-6.362234E-07	-0.002507738	-0.01978918	-9.623878	
0.0238	-6.491542E-07	-0.002550109	-0.01978193	-9.788068	
