Time	Arm_X	Arm_Y	Arm_Z	JointVelocity	Rotation	
2.369	0.08854214	0.01323385	1.054623E-05	0.0002605793	-44.90025	
2.3695	0.08854216	0.01323384	1.054623E-05	0.0002605793	-44.90024	
2.37	0.08854216	0.01323383	1.054623E-05	0.0002605794	-44.90023	
2.3705	0.08854218	0.01323382	1.054623E-05	0.0002605794	-44.90023	
2.371	0.08854219	0.01323381	1.054623E-05	0.0002605794	-44.90022	
2.3715	0.0885422	0.01323379	1.054623E-05	0.0002605795	-44.90022	
2.372	0.08854221	0.01323378	1.054623E-05	0.0002605795	-44.9002	
2.3725	0.08854222	0.01323377	1.054623E-05	0.0002605795	-44.9002	
2.373	0.08854223	0.01323376	1.054623E-05	0.0002605796	-44.90019	
2.3735	0.08854225	0.01323375	1.054623E-05	0.0002605796	-44.90018	
2.374	0.08854225	0.01323374	1.054623E-05	0.0002605796	-44.90018	
2.3745	0.08854227	0.01323372	1.054623E-05	0.0002605797	-44.90017	
2.375	0.08854228	0.01323371	1.054623E-05	0.0002605797	-44.90016	
2.3755	0.08854229	0.0132337	1.054623E-05	0.0002605797	-44.90015	
2.376	0.0885423	0.01323369	1.054623E-05	0.0002605798	-44.90015	
2.3765	0.08854231	0.01323368	1.054623E-05	0.0002605798	-44.90014	
2.377	0.08854232	0.01323366	1.054623E-05	0.0002605798	-44.90014	
2.3775	0.08854233	0.01323365	1.054623E-05	0.0002605799	-44.90012	
2.378	0.08854234	0.01323364	1.054623E-05	0.0002605799	-44.90012	
2.3785	0.08854236	0.01323363	1.054623E-05	0.00026058	-44.90011	
2.379	0.08854236	0.01323362	1.054623E-05	0.00026058	-44.9001	
2.3795	0.08854238	0.01323361	1.054623E-05	0.00026058	-44.9001	
2.38	0.08854239	0.01323359	1.054623E-05	0.00026058	-44.90009	
2.3805	0.0885424	0.01323358	1.054623E-05	0.0002605801	-44.90008	
2.381	0.08854242	0.01323357	1.054623E-05	0.0002605801	-44.90007	
2.3815	0.08854242	0.01323356	1.054623E-05	0.0002605802	-44.90007	
2.382	0.08854243	0.01323355	1.054623E-05	0.0002605802	-44.90006	
2.3825	0.08854245	0.01323354	1.054623E-05	0.0002605802	-44.90005	
2.383	0.08854245	0.01323352	1.054623E-05	0.0002605802	-44.90004	
2.3835	0.08854247	0.01323351	1.054623E-05	0.0002605803	-44.90004	
2.384	0.08854248	0.0132335	1.054623E-05	0.0002605803	-44.90003	
2.3845	0.08854249	0.01323349	1.054622E-05	0.0002605804	-44.90002	
2.385	0.08854251	0.01323348	1.054622E-05	0.0002605804	-44.90001	
2.3855	0.08854251	0.01323347	1.054622E-05	0.0002605804	-44.90001	
2.386	0.08854253	0.01323345	1.054622E-05	0.0002605805	-44.9	
2.3865	0.08854254	0.01323344	1.054622E-05	0.0002605805	-44.89999	
2.387	0.08854254	0.01323343	1.054622E-05	0.0002605805	-44.89998	
2.3875	0.08854256	0.01323342	1.054622E-05	0.0002605806	-44.89997	
2.388	0.08854257	0.01323341	1.054622E-05	0.0002605806	-44.89997	
2.3885	0.08854258	0.0132334	1.054622E-05	0.0002605806	-44.89996	
2.389	0.0885426	0.01323339	1.054622E-05	0.0002605807	-44.89995	
2.3895	0.0885426	0.01323337	1.054622E-05	0.0002605807	-44.89994	
2.39	0.08854262	0.01323336	1.054622E-05	0.0002605807	-44.89994	
2.3905	0.08854263	0.01323335	1.054622E-05	0.0002605808	-44.89993	
2.391	0.08854264	0.01323334	1.054622E-05	0.0002605808	-44.89992	
2.3915	0.08854266	0.01323333	1.054622E-05	0.0002605808	-44.89991	
2.392	0.08854266	0.01323331	1.054622E-05	0.0002605809	-44.89991	
2.3925	0.08854267	0.0132333	1.054622E-05	0.0002605809	-44.8999	
2.393	0.08854268	0.01323329	1.054622E-05	0.0002605809	-44.89989	
2.3935	0.08854269	0.01323328	1.054622E-05	0.000260581	-44.89988	
2.394	0.08854271	0.01323327	1.054622E-05	0.000260581	-44.89988	
2.3945	0.08854272	0.01323326	1.054622E-05	0.000260581	-44.89987	
2.395	0.08854273	0.01323325	1.054622E-05	0.0002605811	-44.89986	
