Time	Length	Velocity	Acceleration	Damping	Tension	2	
0.053	4.98572	0.5273774	9.857196	4.98572	4.98572	0	
0.054	4.985182	0.5372292	9.851824	4.985182	4.985182	0	
0.055	4.984635	0.5470756	9.846351	4.984635	4.984635	0	
0.056	4.984078	0.5569164	9.840784	4.984078	4.984078	0	
0.057	4.983511	0.5667515	9.835115	4.983511	4.983511	0	
0.058	4.982935	0.5765808	9.829348	4.982935	4.982935	0	
0.059	4.982348	0.5864043	9.823485	4.982348	4.982348	0	
0.06	4.981752	0.5962219	9.817522	4.981752	4.981752	0	
0.061	4.981146	0.6060333	9.811462	4.981146	4.981146	0	
0.062	4.980531	0.6158386	9.805304	4.980531	4.980531	0	
0.063	4.979905	0.6256377	9.799049	4.979905	4.979905	0	
0.064	4.97927	0.6354304	9.792696	4.97927	4.97927	0	
0.06500001	4.978624	0.6452166	9.786241	4.978624	4.978624	0	
0.066	4.977969	0.6549963	9.779694	4.977969	4.977969	0	
0.067	4.977304	0.6647694	9.773044	4.977304	4.977304	0	
0.068	4.97663	0.6745356	9.766297	4.97663	4.97663	0	
0.06900001	4.975945	0.6842951	9.759458	4.975945	4.975945	0	
0.07	4.975252	0.6940476	9.752514	4.975252	4.975252	0	
0.071	4.974548	0.7037931	9.745479	4.974548	4.974548	0	
0.072	4.973835	0.7135314	9.738342	4.973835	4.973835	0	
0.07300001	4.973111	0.7232625	9.731112	4.973111	4.973111	0	
0.074	4.972378	0.7329863	9.723782	4.972378	4.972378	0	
0.075	4.971635	0.7427027	9.716355	4.971635	4.971635	0	
0.07600001	4.970883	0.7524115	9.708829	4.970883	4.970883	0	
0.07700001	4.970121	0.7621127	9.701207	4.970121	4.970121	0	
0.078	4.969349	0.7718062	9.69349	4.969349	4.969349	0	
0.079	4.968567	0.7814919	9.685674	4.968567	4.968567	0	
0.08000001	4.967776	0.7911696	9.677762	4.967776	4.967776	0	
0.081	4.966976	0.8008394	9.669754	4.966976	4.966976	0	
0.082	4.966165	0.8105011	9.661653	4.966165	4.966165	0	
0.083	4.965345	0.8201545	9.653449	4.965345	4.965345	0	
0.08400001	4.964515	0.8297997	9.645151	4.964515	4.964515	0	
0.085	4.963675	0.8394365	9.636756	4.963675	4.963675	0	
0.086	4.962827	0.8490647	9.628264	4.962827	4.962827	0	
0.087	4.961968	0.8586844	9.619679	4.961968	4.961968	0	
0.08800001	4.9611	0.8682954	9.610996	4.9611	4.9611	0	
0.089	4.960222	0.8778976	9.602217	4.960222	4.960222	0	
0.09	4.959334	0.8874909	9.593344	4.959334	4.959334	0	
