Time	1	2	3	Rotation	
0	-0.05882369	-0.06	-0.05	0	
0.0002	-0.05769349	-0.06	-0.05	0	
0.0004	-0.05660762	-0.06	-0.05	0	
0.0006	-0.05556431	-0.06	-0.05	0	
0.0008	-0.05456192	-0.06	-0.05	0	
0.0009999999	-0.05359884	-0.06	-0.05	0	
0.0012	-0.05267351	-0.06	-0.05	0	
0.0014	-0.05178447	-0.06	-0.05	0	
0.0016	-0.05093029	-0.06	-0.05	0	
0.0018	-0.0501096	-0.06	-0.05	0	
0.002	-0.04932109	-0.06	-0.05	1.200413E-12	
0.0022	-0.0485635	-0.06	-0.05	1.200413E-12	
0.0024	-0.04783562	-0.06	-0.05	1.200413E-12	
0.0026	-0.04713627	-0.06	-0.05	1.200413E-12	
0.0028	-0.04646435	-0.06	-0.05	1.200413E-12	
0.003	-0.04581877	-0.06	-0.05	1.200413E-12	
0.0032	-0.04519851	-0.06	-0.05	1.200413E-12	
0.0034	-0.04460257	-0.06	-0.05	1.200413E-12	
0.0036	-0.04403	-0.06	-0.05	1.200413E-12	
0.0038	-0.04347987	-0.06	-0.05	1.200413E-12	
0.004	-0.04295132	-0.06	-0.05	1.200413E-12	
0.0042	-0.04244349	-0.06	-0.05	1.200413E-12	
0.0044	-0.04195558	-0.06	-0.05	1.200413E-12	
0.0046	-0.04148679	-0.06	-0.05	1.200413E-12	
0.0048	-0.04103639	-0.06	-0.05	1.200413E-12	
0.005	-0.04060364	-0.06	-0.05	1.200413E-12	
0.0052	-0.04018787	-0.06	-0.05	1.200413E-12	
0.0054	-0.03978839	-0.06	-0.05	1.200413E-12	
0.0056	-0.03940458	-0.06	-0.05	1.200413E-12	
0.0058	-0.03903582	-0.06	-0.05	1.200413E-12	
0.006	-0.03868153	-0.06	-0.05	2.401983E-12	
0.0062	-0.03834112	-0.06	-0.05	2.401983E-12	
0.0064	-0.03801406	-0.06	-0.05	2.401983E-12	
0.0066	0	-0.06	-0.05	2.401983E-12	
0.0068	-0.0386455	-0.06	-0.0499201	2.401983E-12	
0.007	-0.03944176	-0.06	-0.04984552	2.401983E-12	
0.0072	-0.04010852	-0.06	-0.04977592	2.401983E-12	
0.0074	-0.0406627	-0.06	-0.04971094	2.401983E-12	
0.0076	-0.04111871	-0.06	-0.04965029	2.401983E-12	
0.0078	-0.04148888	-0.06	-0.04959365	2.401983E-12	
0.007999999	-0.04178382	-0.06	-0.04954078	3.603501E-12	
0.0082	-0.04201271	-0.06	-0.04949142	3.603501E-12	
0.0084	-0.04218347	-0.06	-0.04944532	3.603501E-12	
0.008599999	-0.04230303	-0.06	-0.04940228	3.603501E-12	
0.0088	-0.04237744	-0.06	-0.04936209	3.603501E-12	
0.009	-0.04241199	-0.06	-0.04932455	4.804975E-12	
0.0092	-0.04241138	-0.06	-0.04928951	4.804975E-12	
0.0094	-0.04237971	-0.06	-0.04925678	4.804975E-12	
0.0096	-0.04232064	-0.06	-0.04922622	4.804975E-12	
0.0098	-0.04223742	-0.06	-0.04919769	4.804975E-12	
0.01	-0.04213294	-0.06	-0.04917104	6.993352E-06	
0.0102	-0.04200979	-0.06	-0.04914616	6.993352E-06	
0.0104	-0.04187028	-0.06	-0.04912294	6.993352E-06	
0.0106	-0.04171649	-0.06	-0.04910125	6.993352E-06	
0.0108	-0.04155028	-0.06	-0.04908101	6.993352E-06	
0.011	-0.04137335	-0.06	-0.04906211	1.894674E-05	
0.0112	-0.04118719	-0.06	-0.04904447	1.894674E-05	
0.0114	-0.04099319	-0.06	-0.04902801	1.894674E-05	
0.0116	-0.04079258	-0.06	-0.04901264	1.894674E-05	
0.0118	-0.04058648	-0.06	-0.0489983	1.894674E-05	
0.012	-0.0403759	-0.06	-0.04898493	3.442128E-05	
0.0122	-0.04016177	-0.06	-0.04897245	3.442128E-05	
0.0124	-0.03994491	-0.06	-0.04896081	3.442128E-05	
0.0126	-0.03972608	-0.06	-0.04894996	3.442128E-05	
0.0128	-0.03950596	-0.06	-0.04893984	3.442128E-05	
0.013	-0.03928516	-0.06	-0.0489304	5.239532E-05	
0.0132	-0.03906425	-0.06	-0.04892161	5.239532E-05	
0.0134	-0.03884373	-0.06	-0.04891342	5.239532E-05	
0.0136	-0.03862404	-0.06	-0.04890579	5.239532E-05	
0.0138	-0.03840562	-0.06	-0.04889869	5.239532E-05	
0.014	-0.0381888	-0.06	-0.04889207	7.214157E-05	
0.0142	-0.03797394	-0.06	-0.04888592	7.214157E-05	
0.0144	-0.03776131	-0.06	-0.04888019	7.214157E-05	
0.0146	-0.03755119	-0.06	-0.04887486	7.214157E-05	
0.0148	-0.03734379	-0.06	-0.04886991	7.214157E-05	
0.015	-0.03713933	-0.06	-0.04886531	9.314143E-05	
0.0152	-0.036938	-0.06	-0.04886104	9.314143E-05	
0.0154	-0.03673993	-0.06	-0.04885707	9.314143E-05	
0.0156	-0.03654526	-0.06	-0.0488534	9.314143E-05	
0.0158	-0.03635412	-0.06	-0.04884999	9.314143E-05	
0.016	-0.03616659	-0.06	-0.04884683	0.0001150246	
0.0162	-0.03598276	-0.06	-0.04884391	0.0001150246	
0.0164	-0.03580268	-0.06	-0.0488412	0.0001150246	
0.0166	-0.03562643	-0.06	-0.0488387	0.0001150246	
0.0168	-0.03545402	-0.06	-0.0488364	0.0001150246	
0.017	-0.03528548	-0.06	-0.04883427	0.0001375264	
0.0172	-0.03512083	-0.06	-0.04883231	0.0001375264	
0.0174	0	-0.06	-0.04883051	0.0001375264	
0.0176	-0.03615257	-0.06	-0.04871653	0.0001375264	
0.0178	-0.03716734	-0.06	-0.04861028	0.0001375264	
0.018	-0.0380283	-0.06	-0.04851123	0.0001604574	
0.0182	-0.03875572	-0.06	-0.04841886	0.0001604574	
0.0184	-0.03936678	-0.06	-0.04833274	0.0001604574	
0.0186	-0.0398762	-0.06	-0.04825242	0.0001604574	
0.0188	-0.04029657	-0.06	-0.04817751	0.0001604574	
0.019	-0.04063876	-0.06	-0.04810763	0.0001836823	
0.0192	-0.04091216	-0.06	-0.04804246	0.0001836823	
0.0194	-0.04112495	-0.06	-0.04798166	0.0001836823	
0.0196	-0.04128424	-0.06	-0.04792495	0.0001836823	
0.0198	-0.04139626	-0.06	-0.04787206	0.0001836823	
0.02	-0.04146649	-0.06	-0.04782271	0.0002093507	
0.0202	-0.04149973	-0.06	-0.04777668	0.0002093507	
0.0204	-0.04150027	-0.06	-0.04773375	0.0002093507	
0.0206	-0.04147189	-0.06	-0.0476937	0.0002093507	
0.0208	-0.04141795	-0.06	-0.04765635	0.0002093507	
0.021	-0.04134143	-0.06	-0.04762152	0.0002443013	
0.0212	-0.04124502	-0.06	-0.04758903	0.0002443013	
0.0214	-0.04113114	-0.06	-0.04755875	0.0002443013	
0.0216	-0.04100191	-0.06	-0.04753051	0.0002443013	
0.0218	-0.04085928	-0.06	-0.04750419	0.0002443013	
0.022	-0.04070501	-0.06	-0.04747966	0.0002858012	
0.0222	-0.04054066	-0.06	-0.0474568	0.0002858012	
0.0224	-0.04036765	-0.06	-0.0474355	0.0002858012	
0.0226	-0.04018728	-0.06	-0.04741567	0.0002858012	
0.0228	-0.0400007	-0.06	-0.04739719	0.0002858012	
0.023	-0.03980897	-0.06	-0.04737999	0.0003319262	
0.0232	-0.03961304	-0.06	-0.04736398	0.0003319262	
0.0234	-0.03941377	-0.06	-0.04734908	0.0003319262	
0.0236	-0.03921195	-0.06	-0.04733523	0.0003319262	
0.0238	-0.03900829	-0.06	-0.04732234	0.0003319262	
0.024	-0.03880343	-0.06	-0.04731037	0.000381315	
0.0242	-0.03859795	-0.06	-0.04729924	0.000381315	
0.0244	-0.03839238	-0.06	-0.04728891	0.000381315	
0.0246	-0.03818718	-0.06	-0.04727932	0.000381315	
0.0248	-0.03798279	-0.06	-0.04727043	0.000381315	
0.025	-0.03777959	-0.06	-0.04726219	0.0004330006	
0.0252	-0.03757792	-0.06	-0.04725455	0.0004330006	
0.0254	-0.03737809	-0.06	-0.04724748	0.0004330006	
0.0256	-0.03718038	-0.06	-0.04724094	0.0004330006	
0.0258	-0.03698502	-0.06	-0.0472349	0.0004330006	
0.026	-0.03679225	-0.06	-0.04722932	0.0004862951	
0.0262	-0.03660224	-0.06	-0.04722418	0.0004862951	
0.0264	-0.03641516	-0.06	-0.04721944	0.0004862951	
0.0266	-0.03623116	-0.06	-0.04721509	0.0004862951	
0.0268	-0.03605036	-0.06	-0.04721108	0.0004862951	
0.027	-0.03587287	-0.06	-0.04720742	0.0005407075	
0.0272	-0.03569878	-0.06	-0.04720405	0.0005407075	
0.0274	-0.03552815	-0.06	-0.04720099	0.0005407075	
0.0276	-0.03536104	-0.06	-0.04719819	0.0005407075	
0.0278	-0.03519751	-0.06	-0.04719564	0.0005407075	
0.028	-0.03503758	-0.06	-0.04719334	0.0005958875	
0.0282	-0.03488129	-0.06	-0.04719125	0.0005958875	
0.0284	-0.03472863	-0.06	-0.04718938	0.0005958875	
0.0286	-0.03457961	-0.06	-0.04718769	0.0005958875	
0.0288	-0.03443423	-0.06	-0.0471862	0.0005958875	
0.029	-0.03429248	-0.06	-0.04718486	0.0006515848	
0.0292	-0.03415433	-0.06	-0.04718369	0.0006515848	
0.0294	-0.03401976	-0.06	-0.04718267	0.0006515848	
0.0296	-0.03388874	-0.06	-0.04718179	0.0006515848	
0.0298	-0.03376123	-0.06	-0.04718103	0.0006515848	
0.03	0	-0.06	-0.0471804	0.00070762	
