Time	A	B	
0.533	0.4110564	0.4121249	
0.5356	0.414421	0.4129151	
0.5382	0.4179031	0.4077492	
0.5408	0.4204655	0.4083823	
0.5434	0.4211113	0.4105499	
0.546	0.4210746	0.4122316	
0.5486	0.4205676	0.4148633	
0.5512	0.4165312	0.4172287	
0.5538	0.4158536	0.4203292	
0.5564	0.4155582	0.4222917	
0.559	0.4093952	0.4175974	
0.5616	0.4042813	0.4178597	
0.5642	0.4022939	0.4119981	
0.5668	0.3964792	0.4130395	
0.5694	0.3902367	0.4152241	
0.572	0.3874502	0.4111911	
0.5746	0.3824206	0.4122642	
0.5772	0.3766548	0.41435	
0.5798	0.3796661	0.4154575	
0.5824	0.3737614	0.4173446	
0.585	0.3732473	0.419282	
0.5876	0.3688338	0.4149759	
0.5902	0.3659148	0.4129635	
0.5928	0.3677345	0.4118697	
0.5954	0.3678331	0.4096478	
0.598	0.367514	0.40572	
0.6006	0.3691667	0.4081153	
0.6032	0.3685828	0.405669	
0.6058	0.3641815	0.4067973	
0.6084	0.3665084	0.4029512	
0.611	0.3657127	0.4012138	
0.6136	0.3686266	0.4037833	
0.6162	0.368614	0.4062926	
0.6188	0.3667969	0.4038926	
0.6214	0.3666537	0.4071015	
0.624	0.3641575	0.409748	
0.6266	0.3664194	0.4139102	
0.6292	0.3656766	0.4085087	
0.6318	0.3687963	0.4085413	
0.6344	0.3656456	0.4092064	
0.637	0.3634299	0.4085216	
0.6396	0.3652212	0.4090172	
0.6422	0.3589069	0.408344	
0.6448	0.356072	0.4069613	
0.6474	0.3544343	0.4022208	
0.65	0.3555277	0.3986501	
0.6526	0.3593259	0.3988994	
0.6552	0.3535042	0.3997327	
0.6578	0.3484776	0.3942646	
0.6604	0.3465658	0.3976563	
0.663	0.3476793	0.4005064	
0.6656	0.3451679	0.4014802	
0.6682	0.3399632	0.4029814	
0.6708	0.3418867	0.4019446	
0.6734	0.3401986	0.4039755	
0.676	0.3344105	0.4063891	
0.6786	0.3298311	0.4059934	
0.6812	0.3259847	0.4043816	
0.6838	0.327035	0.4041395	
0.6864	0.3300261	0.4036736	
0.689	0.3243194	0.4008472	
0.6916	0.3281633	0.4054703	
0.6942	0.3277405	0.4071274	
0.6968	0.3300586	0.4074065	
0.6994	0.3312384	0.4075629	
0.702	0.3349741	0.4111303	
0.7046	0.3374472	0.4110222	
0.7072	0.3318816	0.4103286	
0.7098	0.3298971	0.4055758	
0.7124	0.3256932	0.4092009	
0.715	0.3224884	0.4039756	
0.7176	0.3178852	0.4032598	
0.7202	0.314586	0.4020442	
0.7228	0.3106586	0.4024704	
0.7254	0.3094722	0.4039558	
0.728	0.3040571	0.4071526	
0.7306	0.3028199	0.4116468	
0.7332	0.3025191	0.4100985	
0.7358	0.3009413	0.4127909	
0.7384	0.3001589	0.4154767	
0.741	0.3002469	0.4117087	
0.7436	0.2979996	0.406406	
0.7462	0.2956575	0.4040694	
0.7488	0.2921774	0.4061586	
0.7514	0.2929571	0.4078918	
0.754	0.2954912	0.4075492	
0.7566	0.2903358	0.406703	
0.7592	0.2914906	0.4042253	
0.7618	0.290013	0.4003425	
0.7644	0.2887141	0.4045653	
0.767	0.2860065	0.4013183	
0.7696	0.283347	0.3980549	
0.7722	0.2778996	0.3968925	
0.7748	0.2751081	0.3983287	
0.7774	0.2793195	0.3941585	
0.78	0.282827	0.3971566	
0.7826	0.2830434	0.4005291	
