Time	Hinge	Left	Mll	Mlt	Mrl	Mrt	Right	Sll	Slt	Srl	Srt	
0.07300001	0.03955882	0	0	0	0	0	0	1.940678	9.240079	2.059323	10.76019	
0.074	0.03994452	0	0	0	0	0	0	1.940099	9.250355	2.059901	10.7501	
0.075	0.04032476	0	0	0	0	0	0	1.93953	9.260893	2.060471	10.73959	
0.07600001	0.0406996	0	0	0	0	0	0	1.938968	9.271086	2.061033	10.72938	
0.07700001	0.04106915	0	0	0	0	0	0	1.938414	9.281516	2.061587	10.71875	
0.078	0.04143345	0	0	0	0	0	0	1.937868	9.291577	2.062133	10.7085	
0.079	0.04179258	0	0	0	0	0	0	1.93733	9.301651	2.062671	10.69903	
0.08000001	0.04214663	0	0	0	0	0	0	1.936799	9.311342	2.063202	10.68876	
0.081	0.04249565	0	0	0	0	0	0	1.936276	9.321022	2.063725	10.67927	
0.082	0.04283973	0	0	0	0	0	0	1.93576	9.330297	2.06424	10.67019	
0.083	0.04317892	0	0	0	0	0	0	1.935252	9.339738	2.064749	10.66074	
0.08400001	0.04351331	0	0	0	0	0	0	1.934751	9.349144	2.06525	10.65097	
0.085	0.04384294	0	0	0	0	0	0	1.934257	9.358501	2.065744	10.642	
0.086	0.0441679	0	0	0	0	0	0	1.93377	9.367598	2.066231	10.63271	
0.087	0.04448825	0	0	0	0	0	0	1.93329	9.376621	2.066711	10.62388	
0.08800001	0.04480406	0	0	0	0	0	0	1.932817	9.385371	2.067184	10.61513	
0.089	0.04511538	0	0	0	0	0	0	1.932351	9.394037	2.067651	10.60648	
0.09	0.04542229	0	0	0	0	0	0	1.931891	9.402407	2.068111	10.59792	
0.09100001	0.04572484	0	0	0	0	0	0	1.931437	9.410858	2.068564	10.58986	
0.09200001	0.0460231	0	0	0	0	0	0	1.93099	9.419394	2.069011	10.58113	
0.093	0.04631712	0	0	0	0	0	0	1.93055	9.427595	2.069451	10.57253	
0.094	0.04660698	0	0	0	0	0	0	1.930116	9.435665	2.069886	10.56487	
0.09500001	0.04689272	0	0	0	0	0	0	1.929687	9.443378	2.070314	10.55655	
0.096	0.0471744	0	0	0	0	0	0	1.929265	9.451544	2.070736	10.54881	
0.097	0.04745208	0	0	0	0	0	0	1.928849	9.45915	2.071152	10.5412	
0.098	0.04772581	0	0	0	0	0	0	1.928439	9.466768	2.071562	10.53376	
0.09900001	0.04799565	0	0	0	0	0	0	1.928035	9.474611	2.071967	10.52575	
0.1	0.04826167	0	0	0	0	0	0	1.927636	9.482241	2.072365	10.51829	
0.101	0.04852391	0	0	0	0	0	0	1.927243	9.489298	2.072758	10.51106	
0.102	0.04878243	0	0	0	0	0	0	1.926856	9.496534	2.073145	10.50363	
0.103	0.04903727	0	0	0	0	0	0	1.926474	9.503948	2.073527	10.4964	
0.104	0.0492885	0	0	0	0	0	0	1.926098	9.510553	2.073904	10.48942	
0.105	0.04953616	0	0	0	0	0	0	1.925727	9.517706	2.074275	10.48265	
0.106	0.0497803	0	0	0	0	0	0	1.925361	9.52462	2.07464	10.47535	
0.107	0.05002097	0	0	0	0	0	0	1.925001	9.531487	2.075001	10.46948	
0.108	0.05025823	0	0	0	0	0	0	1.924645	9.537899	2.075356	10.46267	
0.109	0.05049212	0	0	0	0	0	0	1.924295	9.544635	2.075707	10.45613	
0.11	0.05072268	0	0	0	0	0	0	1.92395	9.551107	2.076052	10.44986	
0.111	0.05094996	0	0	0	0	0	0	1.923609	9.557295	2.076393	10.44347	
0.112	0.05117402	0	0	0	0	0	0	1.923273	9.563601	2.076729	10.43661	
0.113	0.0513949	0	0	0	0	0	0	1.922943	9.569799	2.077059	10.43038	
0.114	0.05161263	0	0	0	0	0	0	1.922616	9.576106	2.077385	10.42409	
0.115	0.05182727	0	0	0	0	0	0	1.922295	9.582102	2.077707	10.41811	
0.116	0.05203887	0	0	0	0	0	0	1.921978	9.58817	2.078024	10.41243	
0.117	0.05224746	0	0	0	0	0	0	1.921666	9.593927	2.078336	10.40628	
0.118	0.05245309	0	0	0	0	0	0	1.921358	9.599745	2.078645	10.40084	
0.119	0.0526558	0	0	0	0	0	0	1.921054	9.605444	2.078948	10.39536	
0.12	0.05285563	0	0	0	0	0	0	1.920755	9.610785	2.079247	10.38942	
0.121	0.05305263	0	0	0	0	0	0	1.92046	9.616375	2.079543	10.38384	
0.122	0.05324682	0	0	0	0	0	0	1.920169	9.621811	2.079834	10.3786	
0.123	0.05343826	0	0	0	0	0	0	1.919882	9.627283	2.080121	10.37374	
0.124	0.05362697	0	0	0	0	0	0	1.919599	9.632397	2.080403	10.36804	
0.125	0.053813	0	0	0	0	0	0	1.919321	9.637713	2.080682	10.3631	
0.126	0.0539964	0	0	0	0	0	0	1.919046	9.642863	2.080956	10.35776	
0.127	0.05417717	0	0	0	0	0	0	1.918775	9.648228	2.081227	10.3528	
0.128	0.05435538	0	0	0	0	0	0	1.918508	9.653198	2.081494	10.34706	
0.129	0.05453105	0	0	0	0	0	0	1.918245	9.65817	2.081757	10.34248	
0.13	0.05470424	0	0	0	0	0	0	1.917986	9.663129	2.082017	10.33752	
0.131	0.05487495	0	0	0	0	0	0	1.91773	9.667885	2.082272	10.33256	
0.132	0.05504326	0	0	0	0	0	0	1.917478	9.67244	2.082524	10.32763	
0.133	0.05520916	0	0	0	0	0	0	1.91723	9.67716	2.082773	10.3235	
0.134	0.05537271	0	0	0	0	0	0	1.916985	9.681452	2.083018	10.31861	
0.135	0.05553393	0	0	0	0	0	0	1.916743	9.686112	2.083259	10.31415	
0.136	0.05569287	0	0	0	0	0	0	1.916505	9.690738	2.083497	10.30972	
0.137	0.05584954	0	0	0	0	0	0	1.916271	9.694921	2.083732	10.30533	
0.138	0.056004	0	0	0	0	0	0	1.916039	9.699261	2.083964	10.30142	
0.139	0.05615626	0	0	0	0	0	0	1.915811	9.703732	2.084192	10.29713	
0.14	0.05630635	0	0	0	0	0	0	1.915586	9.707761	2.084416	10.29291	
0.141	0.0564543	0	0	0	0	0	0	1.915365	9.711933	2.084638	10.28874	
0.142	0.05660015	0	0	0	0	0	0	1.915147	9.716225	2.084856	10.28464	
0.143	0.05674393	0	0	0	0	0	0	1.914931	9.720254	2.085072	10.27985	
0.144	0.05688565	0	0	0	0	0	0	1.914719	9.724402	2.085284	10.27629	
0.145	0.05702537	0	0	0	0	0	0	1.91451	9.728468	2.085493	10.27203	
0.146	0.0571631	0	0	0	0	0	0	1.914304	9.732056	2.085699	10.26824	
0.147	0.05729888	0	0	0	0	0	0	1.9141	9.735954	2.085903	10.26454	
0.148	0.05743273	0	0	0	0	0	0	1.9139	9.739757	2.086103	10.26094	
0.149	0.05756468	0	0	0	0	0	0	1.913702	9.743261	2.086301	10.25705	
0.15	0.05769474	0	0	0	0	0	0	1.913508	9.747065	2.086496	10.25364	
0.151	0.05782297	0	0	0	0	0	0	1.913316	9.750748	2.086688	10.24995	
0.152	0.05794937	0	0	0	0	0	0	1.913126	9.754133	2.086877	10.24637	
0.153	0.05807397	0	0	0	0	0	0	1.91294	9.757603	2.087064	10.24292	
0.154	0.0581968	0	0	0	0	0	0	1.912756	9.761143	2.087248	10.23958	
0.155	0.05831789	0	0	0	0	0	0	1.912574	9.764374	2.087429	10.23636	
0.156	0.05843725	0	0	0	0	0	0	1.912396	9.767866	2.087608	10.23285	
0.157	0.05855493	0	0	0	0	0	0	1.91222	9.771228	2.087784	10.22949	
0.158	0.05867092	0	0	0	0	0	0	1.912046	9.774458	2.087958	10.22627	
0.159	0.05878526	0	0	0	0	0	0	1.911875	9.777748	2.088129	10.22279	
0.16	0.05889798	0	0	0	0	0	0	1.911706	9.780895	2.088298	10.21945	
0.161	0.05900909	0	0	0	0	0	0	1.911539	9.783899	2.088464	10.21624	
0.162	0.05911864	0	0	0	0	0	0	1.911376	9.787154	2.088628	10.21359	
0.163	0.05922661	0	0	0	0	0	0	1.911214	9.790051	2.08879	10.2103	
0.164	0.05933305	0	0	0	0	0	0	1.911054	9.792995	2.088949	10.20715	
0.165	0.05943799	0	0	0	0	0	0	1.910897	9.795976	2.089106	10.20417	
0.166	0.05954143	0	0	0	0	0	0	1.910743	9.799194	2.089261	10.20174	
0.167	0.05964339	0	0	0	0	0	0	1.91059	9.80165	2.089414	10.19831	
0.168	0.05974391	0	0	0	0	0	0	1.910439	9.804726	2.089564	10.19583	
0.169	0.05984299	0	0	0	0	0	0	1.910291	9.807634	2.089713	10.19311	
0.17	0.05994068	0	0	0	0	0	0	1.910145	9.810364	2.089859	10.19018	
0.171	0.06003697	0	0	0	0	0	0	1.910001	9.812927	2.090003	10.18744	
0.172	0.0601319	0	0	0	0	0	0	1.909858	9.815681	2.090145	10.18486	
0.173	0.06022547	0	0	0	0	0	0	1.909718	9.818268	2.090286	10.1825	
0.174	0.06031771	0	0	0	0	0	0	1.90958	9.820867	2.090423	10.1795	
0.175	0.06040863	0	0	0	0	0	0	1.909444	9.823465	2.09056	10.17749	
0.176	0.06049827	0	0	0	0	0	0	1.90931	9.826077	2.090694	10.17489	
0.177	0.06058662	0	0	0	0	0	0	1.909178	9.828674	2.090826	10.17249	
0.178	0.06067373	0	0	0	0	0	0	1.909047	9.831083	2.090957	10.16951	
0.179	0.0607596	0	0	0	0	0	0	1.908919	9.83349	2.091085	10.16707	
0.18	0.06084424	0	0	0	0	0	0	1.908792	9.835684	2.091212	10.1649	
0.181	0.06092769	0	0	0	0	0	0	1.908667	9.83808	2.091337	10.16252	
0.182	0.06100994	0	0	0	0	0	0	1.908544	9.84025	2.09146	10.15995	
0.183	0.06109101	0	0	0	0	0	0	1.908422	9.84261	2.091581	10.15718	
0.184	0.06117094	0	0	0	0	0	0	1.908303	9.844756	2.091701	10.15582	
0.185	0.06124973	0	0	0	0	0	0	1.908185	9.847271	2.091819	10.15313	
0.186	0.0613274	0	0	0	0	0	0	1.908069	9.849178	2.091935	10.15103	
0.187	0.06140397	0	0	0	0	0	0	1.907954	9.851849	2.09205	10.14915	
0.188	0.06147945	0	0	0	0	0	0	1.907841	9.853899	2.092163	10.14748	
0.189	0.06155386	0	0	0	0	0	0	1.90773	9.855914	2.092274	10.14488	
0.19	0.0616272	0	0	0	0	0	0	1.90762	9.857904	2.092384	10.14249	
0.191	0.06169951	0	0	0	0	0	0	1.907512	9.86005	2.092493	10.14075	
0.192	0.06177079	0	0	0	0	0	0	1.907405	9.861779	2.092599	10.13844	
0.193	0.06184104	0	0	0	0	0	0	1.9073	9.863853	2.092704	10.13637	
0.194	0.06191029	0	0	0	0	0	0	1.907196	9.86588	2.092808	10.13453	
0.195	0.06197856	0	0	0	0	0	0	1.907094	9.867668	2.09291	10.13293	
0.196	0.06204587	0	0	0	0	0	0	1.906993	9.869814	2.093011	10.13041	
0.197	0.06211222	0	0	0	0	0	0	1.906894	9.871507	2.093111	10.12931	
0.198	0.06217763	0	0	0	0	0	0	1.906796	9.873152	2.093209	10.12766	
0.199	0.06224211	0	0	0	0	0	0	1.906699	9.875143	2.093305	10.12588	
0.2	0.06230567	0	0	0	0	0	0	1.906604	9.877073	2.0934	10.12394	
0.201	0.06236832	0	0	0	0	0	0	1.90651	9.878767	2.093494	10.12225	
0.202	0.06243008	0	0	0	0	0	0	1.906418	9.880579	2.093586	10.12006	
0.203	0.06249096	0	0	0	0	0	0	1.906327	9.882331	2.093678	10.1181	
0.204	0.06255097	0	0	0	0	0	0	1.906237	9.884035	2.093767	10.11641	
0.205	0.06261015	0	0	0	0	0	0	1.906148	9.885669	2.093856	10.11498	
0.206	0.06266847	0	0	0	0	0	0	1.906061	9.887039	2.093943	10.113	
0.207	0.06272595	0	0	0	0	0	0	1.905975	9.888733	2.094029	10.11171	
0.208	0.06278263	0	0	0	0	0	0	1.90589	9.890354	2.094114	10.11028	
0.209	0.06283851	0	0	0	0	0	0	1.905807	9.891915	2.094198	10.10873	
0.21	0.06289358	0	0	0	0	0	0	1.905724	9.893597	2.09428	10.10625	
0.211	0.06294787	0	0	0	0	0	0	1.905643	9.894991	2.094362	10.10563	
0.212	0.06300139	0	0	0	0	0	0	1.905563	9.896517	2.094442	10.10373	
0.213	0.06305416	0	0	0	0	0	0	1.905484	9.898162	2.094521	10.10249	
0.214	0.06310617	0	0	0	0	0	0	1.905406	9.899532	2.094599	10.10072	
0.215	0.06315745	0	0	0	0	0	0	1.905329	9.901023	2.094675	10.10001	
0.216	0.06320798	0	0	0	0	0	0	1.905254	9.902609	2.094751	10.09843	
0.217	0.06325781	0	0	0	0	0	0	1.905179	9.903919	2.094826	10.09672	
0.218	0.06330691	0	0	0	0	0	0	1.905105	9.90535	2.094899	10.09531	
0.219	0.06335533	0	0	0	0	0	0	1.905033	9.906685	2.094972	10.09417	
0.22	0.06340306	0	0	0	0	0	0	1.904961	9.907734	2.095043	10.09252	
0.221	0.0634501	0	0	0	0	0	0	1.904891	9.909081	2.095114	10.09119	
0.222	0.06349646	0	0	0	0	0	0	1.904822	9.910536	2.095183	10.09011	
0.223	0.06354219	0	0	0	0	0	0	1.904753	9.911704	2.095251	10.08856	
0.224	0.06358726	0	0	0	0	0	0	1.904686	9.912968	2.095319	10.0873	
0.225	0.06363168	0	0	0	0	0	0	1.904619	9.91453	2.095385	10.08632	
0.226	0.06367547	0	0	0	0	0	0	1.904554	9.91559	2.095451	10.08487	
0.227	0.06371863	0	0	0	0	0	0	1.904489	9.916962	2.095515	10.0837	
0.228	0.06376118	0	0	0	0	0	0	1.904426	9.918224	2.095579	10.08244	
0.229	0.06380313	0	0	0	0	0	0	1.904363	9.919178	2.095642	10.08148	
0.23	0.06384447	0	0	0	0	0	0	1.904301	9.920443	2.095704	10.08003	
0.231	0.06388523	0	0	0	0	0	0	1.90424	9.921778	2.095765	10.07929	
0.232	0.06392542	0	0	0	0	0	0	1.90418	9.922624	2.095825	10.07805	
0.233	0.06396504	0	0	0	0	0	0	1.90412	9.923756	2.095885	10.07712	
0.234	0.06400408	0	0	0	0	0	0	1.904062	9.925163	2.095943	10.07531	
0.235	0.06404256	0	0	0	0	0	0	1.904004	9.926081	2.096001	10.075	
0.236	0.0640805	0	0	0	0	0	0	1.903947	9.927071	2.096057	10.07342	
0.237	0.06411792	0	0	0	0	0	0	1.903891	9.928143	2.096113	10.07214	
0.238	0.06415479	0	0	0	0	0	0	1.903836	9.929312	2.096168	10.07078	
0.239	0.06419113	0	0	0	0	0	0	1.903782	9.930158	2.096223	10.07011	
0.24	0.06422696	0	0	0	0	0	0	1.903728	9.931087	2.096277	10.06901	
0.241	0.06426229	0	0	0	0	0	0	1.903675	9.932291	2.096329	10.0678	
0.242	0.06429712	0	0	0	0	0	0	1.903623	9.933174	2.096381	10.0673	
0.243	0.06433145	0	0	0	0	0	0	1.903572	9.933949	2.096433	10.06632	
0.244	0.06436528	0	0	0	0	0	0	1.903521	9.934986	2.096484	10.06608	
0.245	0.06439865	0	0	0	0	0	0	1.903471	9.936309	2.096534	10.06458	
0.246	0.06443153	0	0	0	0	0	0	1.903422	9.937107	2.096583	10.06417	
0.247	0.06446394	0	0	0	0	0	0	1.903374	9.938169	2.096631	10.0625	
0.248	0.06449588	0	0	0	0	0	0	1.903326	9.938908	2.096679	10.06236	
0.249	0.06452738	0	0	0	0	0	0	1.903279	9.93992	2.096726	10.06098	
0.25	0.06455842	0	0	0	0	0	0	1.903232	9.940422	2.096773	10.05988	
0.251	0.06458904	0	0	0	0	0	0	1.903186	9.941376	2.096819	10.05914	
0.252	0.0646192	0	0	0	0	0	0	1.903141	9.941996	2.096864	10.05869	
0.253	0.06464894	0	0	0	0	0	0	1.903097	9.943283	2.096908	10.05743	
0.254	0.06467825	0	0	0	0	0	0	1.903053	9.943843	2.096952	10.05647	
0.255	0.06470715	0	0	0	0	0	0	1.90301	9.944666	2.096995	10.05583	
0.256	0.06473564	0	0	0	0	0	0	1.902967	9.945356	2.097038	10.05476	
0.257	0.06476372	0	0	0	0	0	0	1.902925	9.946299	2.09708	10.05399	
0.258	0.0647914	0	0	0	0	0	0	1.902884	9.947133	2.097121	10.05318	
0.259	0.06481868	0	0	0	0	0	0	1.902843	9.948004	2.097162	10.0523	
0.26	0.06484557	0	0	0	0	0	0	1.902802	9.948945	2.097203	10.05175	
0.261	0.06487207	0	0	0	0	0	0	1.902763	9.949743	2.097242	10.05116	
0.262	0.06489822	0	0	0	0	0	0	1.902724	9.950602	2.097281	10.05049	
0.263	0.06492398	0	0	0	0	0	0	1.902685	9.950935	2.09732	10.04937	
0.264	0.06494938	0	0	0	0	0	0	1.902647	9.951711	2.097358	10.04899	
0.265	0.06497442	0	0	0	0	0	0	1.90261	9.952354	2.097395	10.04815	
0.266	0.06499912	0	0	0	0	0	0	1.902573	9.953046	2.097432	10.04727	
0.267	0.06502346	0	0	0	0	0	0	1.902536	9.953594	2.097469	10.04672	
0.268	0.06504745	0	0	0	0	0	0	1.9025	9.954393	2.097505	10.04651	
0.269	0.0650711	0	0	0	0	0	0	1.902465	9.955049	2.09754	10.04546	
0.27	0.0650944	0	0	0	0	0	0	1.90243	9.955561	2.097575	10.04474	
0.271	0.06511738	0	0	0	0	0	0	1.902396	9.956324	2.09761	10.04438	
0.272	0.06514002	0	0	0	0	0	0	1.902362	9.956932	2.097643	10.04357	
0.273	0.06516236	0	0	0	0	0	0	1.902328	9.957802	2.097677	10.04272	
0.274	0.06518436	0	0	0	0	0	0	1.902295	9.958517	2.09771	10.04219	
0.275	0.06520606	0	0	0	0	0	0	1.902263	9.958876	2.097742	10.04162	
0.276	0.06522745	0	0	0	0	0	0	1.902231	9.959698	2.097774	10.04102	
0.277	0.06524853	0	0	0	0	0	0	1.902199	9.960354	2.097806	10.04035	
0.278	0.06526932	0	0	0	0	0	0	1.902168	9.960675	2.097837	10.04004	
0.279	0.06528982	0	0	0	0	0	0	1.902138	9.961033	2.097867	10.03928	
0.28	0.06531002	0	0	0	0	0	0	1.902107	9.962023	2.097898	10.03888	
0.281	0.06532993	0	0	0	0	0	0	1.902078	9.962284	2.097928	10.03804	
0.282	0.06534955	0	0	0	0	0	0	1.902048	9.962976	2.097957	10.03754	
0.283	0.0653689	0	0	0	0	0	0	1.902019	9.963512	2.097986	10.03702	
0.284	0.06538796	0	0	0	0	0	0	1.901991	9.964085	2.098015	10.03683	
0.285	0.06540675	0	0	0	0	0	0	1.901963	9.964514	2.098043	10.03621	
0.286	0.0654253	0	0	0	0	0	0	1.901935	9.964979	2.09807	10.03554	
0.287	0.06544357	0	0	0	0	0	0	1.901907	9.965288	2.098098	10.03523	
0.288	0.06546158	0	0	0	0	0	0	1.901881	9.96604	2.098125	10.03449	
0.289	0.06547933	0	0	0	0	0	0	1.901854	9.966623	2.098151	10.0337	
0.29	0.06549683	0	0	0	0	0	0	1.901828	9.967052	2.098177	10.03327	
0.291	0.06551408	0	0	0	0	0	0	1.901802	9.967518	2.098203	10.0332	
0.292	0.06553108	0	0	0	0	0	0	1.901776	9.968019	2.098229	10.0323	
0.293	0.06554785	0	0	0	0	0	0	1.901751	9.968578	2.098254	10.03175	
