Time	Hinge	Left	Mll	Mlt	Mrl	Mrt	Right	Sll	Slt	Srl	Srt	
0	0	0	2	8.350704E-07	2	8.350704E-07	0	0	0	0	0	
0.001	0	0.02	2	0.00237212	2	0.00237212	0	0	0	0	0	
0.002	0	0.02	2	0.00471732	2	0.00471732	0	0	0	0	0	
0.003	0	0.0396	2	0.007531638	2	0.007036724	0	0	0	0	0	
0.004	0	0.0396	2	0.010315	2	0.009330614	0	0	0	0	0	
0.005	1.778845E-09	0.05880801	2	0.0136456	2	0.01159927	0	0	0	0	0	
0.006	7.09581E-09	0.05880801	2	0.01693957	2	0.01384297	0	0	0	0	0	
0.007	1.976781E-08	0.07763185	2	0.02086665	2	0.01606199	0	0	0	0	0	
0.008	4.356976E-08	0.07763185	2	0.02475053	2	0.0182566	0	0	0	0	0	
0.009000001	8.464085E-08	0.09607922	2	0.02936047	2	0.02042708	0	0	0	0	0	
0.01	1.490527E-07	0.09607922	2	0.0339197	2	0.02257367	0	0	0	0	0	
0.011	1.490527E-07	0.1141576	2	0.03930396	2	0.02469666	0	0	0	0	0	
0.012	2.455735E-07	0.1141576	2	0.04462899	2	0.02679629	0	0	0	0	0	
0.013	2.980757E-07	0.1318745	2	0.05088241	2	0.02887282	0	0	0	0	0	
0.014	4.146732E-07	0.1318745	2	0.05706705	2	0.03092651	0	0	0	0	0	
0.015	6.103786E-07	0.149237	2	0.06428578	2	0.03295762	0	0	0	0	0	
0.016	9.000396E-07	0.149237	2	0.0714251	2	0.03496638	0	0	0	0	0	
0.017	1.302302E-06	0.1662522	2	0.07970393	2	0.03695304	0	0	0	0	0	
0.018	1.835606E-06	0.1662522	2	0.08789171	2	0.03891785	0	0	0	0	0	
0.019	2.522567E-06	0.1829272	2	0.09732115	2	0.04086105	0	0	0	0	0	
0.02	3.385553E-06	0.1829272	2	0.1066469	2	0.04278287	0	0	0	0	0	
0.021	4.45147E-06	0.1992686	2	0.1173099	2	0.04468355	0	0	0	0	0	
