Time	1	Ica	
0	-0.05229878	1.533168E-08	
0.0002	-0.05203688	1.482722E-08	
0.0004	-0.05180159	1.441185E-08	
0.0006	-0.05158893	1.407153E-08	
0.0008	-0.05139554	1.379469E-08	
0.0009999999	-0.05121856	1.357178E-08	
0.0012	-0.05105557	1.339482E-08	
0.0014	-0.0509045	1.325714E-08	
0.0016	-0.05076358	1.315315E-08	
0.0018	-0.0506313	1.30781E-08	
0.002	-0.05050635	1.302802E-08	
0.0022	-0.05038761	1.299952E-08	
0.0024	-0.05027413	1.298971E-08	
0.0026	-0.05016507	1.299614E-08	
0.0028	-0.05005972	1.301675E-08	
0.003	-0.04995746	1.304974E-08	
0.0032	-0.04985776	1.30936E-08	
0.0034	-0.04976015	1.314704E-08	
0.0036	-0.04966422	1.320895E-08	
0.0038	-0.04956963	1.32784E-08	
0.004	-0.04947608	1.335459E-08	
0.0042	-0.04938328	1.343682E-08	
0.0044	-0.04929101	1.352452E-08	
0.0046	-0.04919907	1.36172E-08	
0.0048	-0.04910726	1.371443E-08	
0.005	-0.04901543	1.381588E-08	
0.0052	-0.04892345	1.392125E-08	
0.0054	-0.04883116	1.403029E-08	
0.0056	-0.04873848	1.41428E-08	
0.0058	-0.04864528	1.425861E-08	
0.006	-0.04855147	1.43776E-08	
0.0062	-0.04845697	1.449965E-08	
0.0064	-0.0483617	1.462469E-08	
0.0066	-0.04826559	1.475265E-08	
0.0068	-0.04816855	1.488351E-08	
0.007	-0.04807055	1.501722E-08	
0.0072	-0.0479715	1.51538E-08	
0.0074	-0.04787134	1.529324E-08	
0.0076	-0.04777003	1.543556E-08	
0.0078	-0.04766751	1.558078E-08	
0.007999999	-0.04756371	1.572895E-08	
0.0082	-0.04745859	1.588011E-08	
0.0084	-0.04735209	1.603432E-08	
0.008599999	-0.04724415	1.619165E-08	
0.0088	-0.04713473	1.635216E-08	
0.009	-0.04702377	1.651594E-08	
0.0092	-0.04691121	1.668306E-08	
0.0094	-0.046797	1.685363E-08	
0.0096	-0.04668109	1.702773E-08	
0.0098	-0.04656341	1.720549E-08	
0.01	-0.04644391	1.7387E-08	
0.0102	-0.04632251	1.757238E-08	
0.0104	-0.04619917	1.776177E-08	
0.0106	-0.04607381	1.795529E-08	
0.0108	-0.04594637	1.815308E-08	
0.011	-0.04581678	1.835529E-08	
0.0112	-0.04568498	1.856207E-08	
0.0114	-0.04555088	1.877358E-08	
0.0116	-0.04541441	1.898999E-08	
0.0118	-0.04527549	1.921147E-08	
0.012	-0.04513403	1.943821E-08	
0.0122	-0.04498997	1.967041E-08	
0.0124	-0.04484319	1.990826E-08	
0.0126	-0.04469362	2.015198E-08	
0.0128	-0.04454116	2.04018E-08	
0.013	-0.04438571	2.065794E-08	
0.0132	-0.04422716	2.092066E-08	
0.0134	-0.04406541	2.119021E-08	
0.0136	-0.04390034	2.146684E-08	
0.0138	-0.04373185	2.175086E-08	
0.014	-0.0435598	2.204256E-08	
0.0142	-0.04338407	2.234224E-08	
0.0144	-0.04320453	2.265024E-08	
0.0146	-0.04302104	2.296689E-08	
0.0148	-0.04283346	2.329256E-08	
0.015	-0.04264163	2.362763E-08	
0.0152	-0.0424454	2.397249E-08	
0.0154	-0.04224461	2.432756E-08	
0.0156	-0.04203909	2.469328E-08	
0.0158	-0.04182864	2.507012E-08	
0.016	-0.04161309	2.545855E-08	
0.0162	-0.04139224	2.58591E-08	
0.0164	-0.04116589	2.62723E-08	
0.0166	-0.04093382	2.669871E-08	
0.0168	-0.04069582	2.713895E-08	
0.017	-0.04045163	2.759363E-08	
0.0172	-0.04020102	2.806343E-08	
0.0174	-0.03994373	2.854903E-08	
0.0176	-0.0396795	2.905118E-08	
0.0178	-0.03940803	2.957066E-08	
0.018	-0.03912903	3.010828E-08	
0.0182	-0.03884219	3.066492E-08	
0.0184	-0.0385472	3.124148E-08	
0.0186	-0.0382437	3.183894E-08	
0.0188	-0.03793134	3.24583E-08	
0.019	-0.03760975	3.310064E-08	
0.0192	-0.03727853	3.376708E-08	
0.0194	-0.03693728	3.445883E-08	
0.0196	-0.03658556	3.517714E-08	
0.0198	-0.03622293	3.592334E-08	
0.02	-0.0358489	3.669883E-08	
0.0202	-0.035463	3.750507E-08	
0.0204	-0.03506469	3.834364E-08	
0.0206	-0.03465343	3.921616E-08	
0.0208	-0.03422866	4.012436E-08	
0.021	-0.03378979	4.107005E-08	
0.0212	-0.0333362	4.205512E-08	
