Time	1	Ica	
0	-0.05253209	9.199008E-09	
0.0002	-0.05248623	8.893812E-09	
0.0004	-0.05245251	8.623521E-09	
0.0006	-0.05242929	8.383441E-09	
0.0008	-0.05241514	8.169566E-09	
0.0009999999	-0.05240884	7.978459E-09	
0.0012	-0.05240931	7.807172E-09	
0.0014	-0.05241562	7.653163E-09	
0.0016	-0.05242696	7.514241E-09	
0.0018	-0.05244262	7.388509E-09	
0.002	-0.052462	7.274322E-09	
0.0022	-0.05248456	7.17026E-09	
0.0024	-0.05250983	7.075083E-09	
0.0026	-0.05253741	6.987715E-09	
0.0028	-0.05256695	6.907224E-09	
0.003	-0.05259813	6.832793E-09	
0.0032	-0.05263068	6.763713E-09	
0.0034	-0.05266438	6.699366E-09	
0.0036	-0.05269901	6.639211E-09	
0.0038	-0.0527344	6.582777E-09	
0.004	-0.0527704	6.529652E-09	
0.0042	-0.05280686	6.479477E-09	
0.0044	-0.05284367	6.431936E-09	
0.0046	-0.05288072	6.386756E-09	
0.0048	-0.05291792	6.343695E-09	
0.005	-0.0529552	6.302544E-09	
0.0052	-0.05299249	6.263116E-09	
0.0054	-0.05302972	6.225252E-09	
0.0056	-0.05306685	6.188809E-09	
0.0058	-0.05310383	6.153661E-09	
0.006	-0.05314062	6.119701E-09	
0.0062	-0.05317719	6.086833E-09	
0.0064	-0.05321351	6.054971E-09	
0.0066	-0.05324956	6.024042E-09	
0.0068	-0.0532853	5.99398E-09	
0.007	-0.05332074	5.964728E-09	
0.0072	-0.05335584	5.936235E-09	
0.0074	-0.05339059	5.908455E-09	
0.0076	-0.05342498	5.881347E-09	
0.0078	-0.05345901	5.854877E-09	
0.007999999	-0.05349266	5.829015E-09	
0.0082	-0.05352593	5.803729E-09	
0.0084	-0.05355882	5.778997E-09	
0.008599999	-0.0535913	5.754794E-09	
0.0088	-0.0536234	5.731101E-09	
0.009	-0.0536551	5.707898E-09	
0.0092	-0.05368639	5.685171E-09	
0.0094	-0.05371728	5.662902E-09	
0.0096	-0.05374777	5.641079E-09	
0.0098	-0.05377786	5.619689E-09	
0.01	-0.05380755	5.598719E-09	
0.0102	-0.05383683	5.57816E-09	
0.0104	-0.05386571	5.558003E-09	
0.0106	-0.0538942	5.538235E-09	
0.0108	-0.05392228	5.518851E-09	
0.011	-0.05394997	5.499841E-09	
0.0112	-0.05397726	5.481198E-09	
0.0114	-0.05400416	5.462915E-09	
0.0116	-0.05403068	5.444984E-09	
0.0118	-0.0540568	5.427398E-09	
0.012	-0.05408254	5.410152E-09	
0.0122	-0.05410789	5.39324E-09	
0.0124	-0.05413287	5.376656E-09	
0.0126	-0.05415747	5.360393E-09	
0.0128	-0.0541817	5.344448E-09	
0.013	-0.05420556	5.328813E-09	
0.0132	-0.05422905	5.313486E-09	
0.0134	-0.05425218	5.298458E-09	
0.0136	-0.05427495	5.283728E-09	
0.0138	-0.05429736	5.269289E-09	
0.014	-0.05431942	5.255137E-09	
0.0142	-0.05434112	5.241267E-09	
0.0144	-0.05436248	5.227676E-09	
0.0146	-0.0543835	5.214357E-09	
0.0148	-0.05440417	5.201308E-09	
0.015	-0.05442451	5.188524E-09	
0.0152	-0.05444452	5.176001E-09	
0.0154	-0.0544642	5.163734E-09	
0.0156	-0.05448356	5.151721E-09	
0.0158	-0.05450259	5.139957E-09	
0.016	-0.0545213	5.128437E-09	
0.0162	-0.0545397	5.117157E-09	
0.0164	-0.05455778	5.106116E-09	
0.0166	-0.05457556	5.095307E-09	
0.0168	-0.05459303	5.084729E-09	
0.017	-0.0546102	5.074376E-09	
0.0172	-0.05462708	5.064248E-09	
0.0174	-0.05464366	5.054337E-09	
0.0176	-0.05465995	5.044642E-09	
0.0178	-0.05467595	5.035161E-09	
0.018	-0.05469167	5.025886E-09	
0.0182	-0.05470711	5.016819E-09	
0.0184	-0.05472228	5.007954E-09	
0.0186	-0.05473717	4.999288E-09	
0.0188	-0.05475179	4.990817E-09	
0.019	-0.05476615	4.98254E-09	
0.0192	-0.05478024	4.974452E-09	
0.0194	-0.05479407	4.96655E-09	
0.0196	-0.05480765	4.958833E-09	
0.0198	-0.05482097	4.951296E-09	
0.02	-0.05483405	4.943937E-09	
0.0202	-0.05484688	4.936753E-09	
0.0204	-0.05485946	4.929742E-09	
0.0206	-0.05487181	4.922899E-09	
0.0208	-0.05488391	4.916223E-09	
0.021	-0.05489578	4.909712E-09	
0.0212	-0.05490743	4.903361E-09	
0.0214	-0.05491885	4.897169E-09	
0.0216	-0.05493005	4.891133E-09	
0.0218	-0.05494102	4.88525E-09	
0.022	-0.05495178	4.879519E-09	
0.0222	-0.05496231	4.873937E-09	
0.0224	-0.05497264	4.8685E-09	
0.0226	-0.05498277	4.863206E-09	
0.0228	-0.05499268	4.858055E-09	
0.023	-0.05500239	4.853042E-09	
0.0232	-0.0550119	4.848166E-09	
0.0234	-0.05502122	4.843424E-09	
0.0236	-0.05503033	4.838815E-09	
0.0238	-0.05503926	4.834336E-09	
0.024	-0.055048	4.829985E-09	
0.0242	-0.05505655	4.825761E-09	
0.0244	-0.05506491	4.82166E-09	
0.0246	-0.0550731	4.817681E-09	
0.0248	-0.05508111	4.813822E-09	
0.025	-0.05508894	4.810081E-09	
0.0252	-0.0550966	4.806455E-09	
0.0254	-0.05510409	4.802945E-09	
0.0256	-0.05511141	4.799545E-09	
0.0258	-0.05511856	4.796257E-09	
0.026	-0.05512555	4.793077E-09	
0.0262	-0.05513238	4.790002E-09	
0.0264	-0.05513905	4.787034E-09	
0.0266	-0.05514557	4.784169E-09	
0.0268	-0.05515193	4.781405E-09	
0.027	-0.05515814	4.778741E-09	
0.0272	-0.0551642	4.776175E-09	
0.0274	-0.05517011	4.773707E-09	
0.0276	-0.05517588	4.771333E-09	
0.0278	-0.05518151	4.769053E-09	
0.028	-0.05518699	4.766864E-09	
0.0282	-0.05519234	4.764766E-09	
0.0284	-0.05519755	4.762756E-09	
0.0286	-0.05520263	4.760835E-09	
0.0288	-0.05520757	4.758999E-09	
0.029	-0.05521239	4.757248E-09	
0.0292	-0.05521708	4.75558E-09	
0.0294	-0.05522164	4.753994E-09	
0.0296	-0.05522607	4.75249E-09	
0.0298	-0.05523039	4.751064E-09	
0.03	-0.05523458	4.749714E-09	
0.0302	-0.05523866	4.748443E-09	
0.0304	-0.05524262	4.747246E-09	
0.0306	-0.05524647	4.746124E-09	
0.0308	-0.0552502	4.745074E-09	
0.031	-0.05525382	4.744096E-09	
0.0312	-0.05525733	4.743189E-09	
0.0314	-0.05526073	4.742351E-09	
0.0316	-0.05526403	4.741581E-09	
0.0318	-0.05526722	4.740878E-09	
0.032	-0.05527031	4.740242E-09	
0.0322	-0.0552733	4.73967E-09	
0.0324	-0.05527619	4.739162E-09	
0.0326	-0.05527898	4.738717E-09	
0.0328	-0.05528167	4.738334E-09	
0.033	-0.05528427	4.738012E-09	
0.0332	-0.05528677	4.737749E-09	
0.0334	-0.05528918	4.737546E-09	
0.0336	-0.05529151	4.737401E-09	
0.0338	-0.05529374	4.737312E-09	
0.034	-0.05529588	4.737279E-09	
0.0342	-0.05529794	4.737301E-09	
0.0344	-0.05529992	4.737378E-09	
0.0346	-0.0553018	4.737508E-09	
0.0348	-0.05530361	4.737692E-09	
0.035	-0.05530534	4.737926E-09	
0.0352	-0.05530698	4.738211E-09	
0.0354	-0.05530855	4.738546E-09	
0.0356	-0.05531004	4.738929E-09	
0.0358	-0.05531146	4.739362E-09	
0.036	-0.0553128	4.739843E-09	
0.0362	-0.05531406	4.74037E-09	
0.0364	-0.05531526	4.740942E-09	
0.0366	-0.05531638	4.741561E-09	
0.0368	-0.05531743	4.742224E-09	
0.037	-0.05531841	4.74293E-09	
0.0372	-0.05531933	4.743681E-09	
0.0374	-0.05532017	4.744474E-09	
0.0376	-0.05532096	4.745309E-09	
0.0378	-0.05532167	4.746184E-09	
0.038	-0.05532233	4.7471E-09	
0.0382	-0.05532292	4.748056E-09	
0.0384	-0.05532344	4.749051E-09	
0.0386	-0.05532391	4.750085E-09	
0.0388	-0.05532431	4.751157E-09	
0.039	-0.05532466	4.752267E-09	
0.0392	-0.05532495	4.753414E-09	
0.0394	-0.05532518	4.754597E-09	
