Time	Arm_X	Arm_Y	Arm_Z	
0.0515	0.1245597	-0.08549177	-1.211622E-05	
0.052	0.1245423	-0.08569685	-1.223335E-05	
0.0525	0.1245243	-0.08590389	-1.235041E-05	
0.053	0.1245059	-0.08611288	-1.24674E-05	
0.0535	0.1244869	-0.08632383	-1.258431E-05	
0.054	0.1244673	-0.08653673	-1.270116E-05	
0.0545	0.1244472	-0.08675157	-1.281792E-05	
0.055	0.1244266	-0.08696835	-1.293461E-05	
0.0555	0.1244054	-0.08718709	-1.305123E-05	
0.056	0.1243836	-0.08740776	-1.316776E-05	
0.0565	0.1243612	-0.08763038	-1.32842E-05	
0.057	0.1243382	-0.08785494	-1.340057E-05	
0.0575	0.1243146	-0.08808143	-1.351684E-05	
0.058	0.1242904	-0.08830985	-1.363303E-05	
0.0585	0.1242655	-0.0885402	-1.374913E-05	
0.059	0.12424	-0.08877249	-1.386514E-05	
0.0595	0.1242138	-0.0890067	-1.398105E-05	
0.06	0.124187	-0.08924284	-1.409686E-05	
0.0605	0.1241595	-0.08948089	-1.421258E-05	
0.061	0.1241313	-0.08972087	-1.43282E-05	
0.0615	0.1241024	-0.08996276	-1.444371E-05	
0.062	0.1240727	-0.09020656	-1.455912E-05	
0.0625	0.1240424	-0.09045228	-1.467442E-05	
0.063	0.1240113	-0.0906999	-1.478961E-05	
0.0635	0.1239795	-0.09094943	-1.490469E-05	
0.064	0.1239469	-0.09120086	-1.501966E-05	
0.0645	0.1239135	-0.09145419	-1.513451E-05	
0.06500001	0.1238794	-0.09170941	-1.524924E-05	
0.06550001	0.1238445	-0.09196652	-1.536386E-05	
0.066	0.1238087	-0.09222553	-1.547834E-05	
0.0665	0.1237722	-0.09248642	-1.55927E-05	
0.067	0.1237348	-0.09274919	-1.570694E-05	
0.0675	0.1236966	-0.09301385	-1.582104E-05	
0.068	0.1236575	-0.09328037	-1.593501E-05	
0.0685	0.1236175	-0.09354876	-1.604885E-05	
0.06900001	0.1235767	-0.09381902	-1.616254E-05	
0.06950001	0.123535	-0.09409115	-1.627609E-05	
0.07	0.1234923	-0.09436513	-1.63895E-05	
0.0705	0.1234488	-0.09464097	-1.650277E-05	
0.071	0.1234043	-0.09491866	-1.661588E-05	
0.0715	0.1233589	-0.09519821	-1.672884E-05	
0.072	0.1233125	-0.09547959	-1.684165E-05	
0.07250001	0.1232651	-0.09576281	-1.69543E-05	
0.07300001	0.1232168	-0.09604786	-1.706678E-05	
0.0735	0.1231675	-0.09633475	-1.717911E-05	
0.074	0.1231172	-0.09662345	-1.729126E-05	
0.0745	0.1230658	-0.09691399	-1.740325E-05	
0.075	0.1230134	-0.09720632	-1.751506E-05	
0.0755	0.12296	-0.09750048	-1.76267E-05	
0.07600001	0.1229055	-0.09779644	-1.773816E-05	
0.07650001	0.1228499	-0.0980942	-1.784944E-05	
0.07700001	0.1227932	-0.09839376	-1.796053E-05	
0.0775	0.1227355	-0.0986951	-1.807143E-05	
0.078	0.1226766	-0.09899823	-1.818214E-05	
0.0785	0.1226165	-0.09930313	-1.829266E-05	
0.079	0.1225554	-0.09960981	-1.840298E-05	
0.0795	0.1224931	-0.09991825	-1.851309E-05	
0.08000001	0.1224296	-0.1002285	-1.8623E-05	
0.08050001	0.1223649	-0.1005404	-1.87327E-05	
0.081	0.122299	-0.1008541	-1.884219E-05	
0.0815	0.122232	-0.1011696	-1.895146E-05	
0.082	0.1221636	-0.1014868	-1.906052E-05	
0.0825	0.1220941	-0.1018057	-1.916935E-05	
0.083	0.1220233	-0.1021263	-1.927795E-05	
0.08350001	0.1219512	-0.1024487	-1.938633E-05	
0.08400001	0.1218778	-0.1027727	-1.949447E-05	
0.08450001	0.1218031	-0.1030985	-1.960237E-05	
0.085	0.1217272	-0.103426	-1.971003E-05	
0.0855	0.1216499	-0.1037552	-1.981745E-05	
0.086	0.1215712	-0.104086	-1.992462E-05	
0.0865	0.1214912	-0.1044185	-2.003153E-05	
0.087	0.1214098	-0.1047527	-2.013819E-05	
0.08750001	0.121327	-0.1050885	-2.024458E-05	
0.08800001	0.1212429	-0.105426	-2.035072E-05	
0.0885	0.1211573	-0.1057652	-2.045658E-05	
0.089	0.1210703	-0.1061059	-2.056217E-05	
0.0895	0.1209818	-0.1064483	-2.066748E-05	
0.09	0.1208919	-0.1067924	-2.077252E-05	
0.0905	0.1208005	-0.107138	-2.087726E-05	
0.09100001	0.1207076	-0.1074852	-2.098172E-05	
0.09150001	0.1206132	-0.1078341	-2.108588E-05	
0.09200001	0.1205173	-0.1081845	-2.118974E-05	
0.0925	0.1204199	-0.1085365	-2.129331E-05	
0.093	0.1203209	-0.10889	-2.139656E-05	
0.0935	0.1202203	-0.1092451	-2.149951E-05	
0.094	0.1201182	-0.1096018	-2.160213E-05	
0.09450001	0.1200144	-0.10996	-2.170444E-05	
0.09500001	0.1199091	-0.1103197	-2.180642E-05	
0.09550001	0.1198021	-0.110681	-2.190808E-05	
0.096	0.1196935	-0.1110438	-2.20094E-05	
0.0965	0.1195832	-0.111408	-2.211038E-05	
0.097	0.1194713	-0.1117738	-2.221102E-05	
0.0975	0.1193577	-0.112141	-2.231131E-05	
0.098	0.1192423	-0.1125097	-2.241124E-05	
0.09850001	0.1191253	-0.1128799	-2.251083E-05	
0.09900001	0.1190065	-0.1132515	-2.261004E-05	
0.09950001	0.118886	-0.1136246	-2.270889E-05	
0.1	0.1187637	-0.1139991	-2.280737E-05	
0.1005	0.1186396	-0.114375	-2.290548E-05	
0.101	0.1185138	-0.1147523	-2.30032E-05	
0.1015	0.1183861	-0.115131	-2.310053E-05	
0.102	0.1182566	-0.1155111	-2.319748E-05	
0.1025	0.1181253	-0.1158925	-2.329403E-05	
0.103	0.1179921	-0.1162753	-2.339017E-05	
0.1035	0.1178571	-0.1166595	-2.348591E-05	
0.104	0.1177201	-0.1170449	-2.358123E-05	
0.1045	0.1175813	-0.1174317	-2.367614E-05	
0.105	0.1174405	-0.1178198	-2.377062E-05	
0.1055	0.1172979	-0.1182093	-2.386468E-05	
0.106	0.1171532	-0.1185999	-2.395831E-05	
0.1065	0.1170067	-0.1189919	-2.40515E-05	
0.107	0.1168581	-0.1193851	-2.414424E-05	
0.1075	0.1167075	-0.1197796	-2.423653E-05	
0.108	0.116555	-0.1201753	-2.432838E-05	
0.1085	0.1164004	-0.1205722	-2.441976E-05	
0.109	0.1162438	-0.1209703	-2.451067E-05	
0.1095	0.1160851	-0.1213696	-2.460111E-05	
0.11	0.1159244	-0.12177	-2.469108E-05	
0.1105	0.1157616	-0.1221717	-2.478057E-05	
0.111	0.1155967	-0.1225744	-2.486956E-05	
0.1115	0.1154296	-0.1229784	-2.495807E-05	
0.112	0.1152605	-0.1233834	-2.504608E-05	
0.1125	0.1150892	-0.1237895	-2.513358E-05	
0.113	0.1149158	-0.1241967	-2.522057E-05	
0.1135	0.1147401	-0.124605	-2.530704E-05	
0.114	0.1145623	-0.1250143	-2.5393E-05	
0.1145	0.1143823	-0.1254247	-2.547842E-05	
0.115	0.1142001	-0.1258361	-2.556331E-05	
0.1155	0.1140157	-0.1262485	-2.564767E-05	
0.116	0.113829	-0.1266619	-2.573148E-05	
0.1165	0.1136401	-0.1270763	-2.581474E-05	
0.117	0.1134489	-0.1274916	-2.589744E-05	
0.1175	0.1132554	-0.1279079	-2.597958E-05	
0.118	0.1130596	-0.128325	-2.606115E-05	
0.1185	0.1128615	-0.1287432	-2.614214E-05	
0.119	0.112661	-0.1291621	-2.622255E-05	
