Time	Body_2 Y	Body_2 Z	Body_2 X	Joint_1	
0.129	-0.07289667	-0.1822994	-6.568605E-10	-28.44113	
0.13	-0.07391187	-0.181755	-6.788615E-10	-28.8763	
0.131	-0.07492974	-0.1811991	-7.013636E-10	-29.31442	
0.132	-0.07595012	-0.1806316	-7.243718E-10	-29.75548	
0.133	-0.0769728	-0.1800523	-7.478908E-10	-30.19948	
0.134	-0.07799762	-0.1794611	-7.719254E-10	-30.64639	
0.135	-0.07902438	-0.178858	-7.9648E-10	-31.09621	
0.136	-0.0800529	-0.1782428	-8.215594E-10	-31.5489	
0.137	-0.08108297	-0.1776154	-8.471677E-10	-32.00447	
0.138	-0.08211441	-0.1769758	-8.733093E-10	-32.4629	
0.139	-0.08314701	-0.1763239	-8.999884E-10	-32.92415	
0.14	-0.08418059	-0.1756595	-9.27209E-10	-33.38823	
0.141	-0.08521491	-0.1749826	-9.549751E-10	-33.85511	
0.142	-0.08624979	-0.1742931	-9.832906E-10	-34.32477	
0.143	-0.08728501	-0.1735909	-1.012159E-09	-34.7972	
0.144	-0.08832037	-0.1728759	-1.041584E-09	-35.27238	
0.145	-0.08935565	-0.1721481	-1.071569E-09	-35.7503	
0.146	-0.09039063	-0.1714074	-1.102118E-09	-36.23093	
0.147	-0.09142509	-0.1706537	-1.133233E-09	-36.71425	
0.148	-0.09245881	-0.1698869	-1.164917E-09	-37.20025	
0.149	-0.09349158	-0.169107	-1.197174E-09	-37.68891	
0.15	-0.09452315	-0.168314	-1.230007E-09	-38.18021	
0.151	-0.09555331	-0.1675078	-1.263417E-09	-38.67413	
0.152	-0.09658182	-0.1666882	-1.297408E-09	-39.17065	
0.153	-0.09760846	-0.1658554	-1.331981E-09	-39.66975	
0.154	-0.09863298	-0.1650092	-1.367139E-09	-40.1714	
0.155	-0.09965517	-0.1641496	-1.402884E-09	-40.67559	
0.156	-0.1006747	-0.1632766	-1.439217E-09	-41.1823	
0.157	-0.1016915	-0.1623901	-1.476141E-09	-41.69151	
0.158	-0.1027052	-0.1614901	-1.513656E-09	-42.20318	
0.159	-0.1037156	-0.1605766	-1.551764E-09	-42.71731	
0.16	-0.1047224	-0.1596496	-1.590467E-09	-43.23387	
0.161	-0.1057255	-0.158709	-1.629764E-09	-43.75284	
0.162	-0.1067245	-0.1577548	-1.669658E-09	-44.27419	
0.163	-0.1077191	-0.1567871	-1.710148E-09	-44.7979	
0.164	-0.1087017	-0.1558135	-1.750898E-09	-45.32395	
0.165	-0.1096673	-0.154839	-1.791694E-09	-45.82848	
0.166	-0.1106123	-0.1538677	-1.832355E-09	-46.31746	
0.167	-0.1115333	-0.1529037	-1.872715E-09	-46.7915	
0.168	-0.1124273	-0.1519507	-1.912615E-09	-47.24989	
0.169	-0.1132915	-0.1510127	-1.951902E-09	-47.69164	
0.17	-0.1141233	-0.1500932	-1.990434E-09	-48.1157	
0.171	-0.1149205	-0.149196	-2.028076E-09	-48.52111	
0.172	-0.115681	-0.1483245	-2.064705E-09	-48.90697	
0.173	-0.116403	-0.1474821	-2.100204E-09	-49.27243	
0.174	-0.1170849	-0.1466719	-2.13447E-09	-49.61673	
0.175	-0.1177254	-0.1458971	-2.167406E-09	-49.93918	
0.176	-0.1183233	-0.1451604	-2.198927E-09	-50.23918	
0.177	-0.1188776	-0.1444646	-2.228955E-09	-50.5162	
0.178	-0.1193875	-0.1438121	-2.257421E-09	-50.7698	
0.179	-0.1198526	-0.1432052	-2.284266E-09	-50.99963	
0.18	-0.1202723	-0.1426458	-2.309438E-09	-51.20538	
0.181	-0.1206464	-0.1421358	-2.33289E-09	-51.38688	
0.182	-0.1209747	-0.1416768	-2.354584E-09	-51.54398	
0.183	-0.1212574	-0.14127	-2.374489E-09	-51.67666	
0.184	-0.1214945	-0.1409165	-2.392579E-09	-51.78497	
0.185	-0.1216864	-0.1406171	-2.408833E-09	-51.86899	
0.186	-0.1218333	-0.1403724	-2.423237E-09	-51.92895	
0.187	-0.1219359	-0.1401826	-2.43578E-09	-51.9651	
0.188	-0.1219946	-0.1400479	-2.446459E-09	-51.97778	
0.189	-0.1220101	-0.1399681	-2.455274E-09	-51.96742	
0.19	-0.1219833	-0.1399426	-2.462228E-09	-51.93447	
0.191	-0.1219148	-0.139971	-2.467332E-09	-51.87949	
0.192	-0.1218056	-0.1400522	-2.470597E-09	-51.8031	
0.193	-0.1216567	-0.1401852	-2.472042E-09	-51.70594	
0.194	-0.121469	-0.1403687	-2.471689E-09	-51.58876	
0.195	-0.1212438	-0.1406011	-2.469562E-09	-51.45234	
0.196	-0.1209821	-0.1408807	-2.465692E-09	-51.2975	
0.197	-0.1206852	-0.1412058	-2.460113E-09	-51.12513	
0.198	-0.1203545	-0.1415742	-2.452862E-09	-50.93613	
0.199	-0.1199911	-0.1419837	-2.443982E-09	-50.73149	
0.2	-0.1195966	-0.142432	-2.433518E-09	-50.51221	
0.201	-0.1191724	-0.1429167	-2.42152E-09	-50.27929	
0.202	-0.1187201	-0.1434352	-2.408042E-09	-50.03382	
0.203	-0.1182413	-0.1439849	-2.393142E-09	-49.77687	
0.204	-0.1177375	-0.144563	-2.376882E-09	-49.50956	
0.205	-0.1172106	-0.1451669	-2.359326E-09	-49.23299	
0.206	-0.1166623	-0.1457935	-2.340544E-09	-48.9483	
0.207	-0.1160945	-0.1464402	-2.320607E-09	-48.65663	
0.208	-0.1155089	-0.147104	-2.299594E-09	-48.35912	
0.209	-0.1149076	-0.1477821	-2.277581E-09	-48.05693	
0.21	-0.1142926	-0.1484716	-2.254652E-09	-47.75119	
0.211	-0.1136658	-0.1491697	-2.230891E-09	-47.44302	
0.212	-0.1130293	-0.1498736	-2.206387E-09	-47.13356	
0.213	-0.1123852	-0.1505805	-2.181228E-09	-46.82389	
0.214	-0.1117356	-0.1512878	-2.155508E-09	-46.51512	
0.215	-0.1110827	-0.1519929	-2.129319E-09	-46.2083	
0.216	-0.1104285	-0.1526932	-2.102757E-09	-45.90445	
0.217	-0.1097754	-0.1533864	-2.075917E-09	-45.6046	
0.218	-0.1091237	-0.1540717	-2.048829E-09	-45.30972	
0.219	-0.1084738	-0.1547488	-2.021507E-09	-45.01582	
0.22	-0.1078255	-0.1554176	-1.993959E-09	-44.72187	
0.221	-0.1071789	-0.1560781	-1.966196E-09	-44.42768	
0.222	-0.1065341	-0.1567303	-1.938231E-09	-44.13335	
0.223	-0.1058909	-0.157374	-1.910078E-09	-43.83899	
0.224	-0.1052494	-0.1580093	-1.881756E-09	-43.54472	
0.225	-0.1046097	-0.1586361	-1.85328E-09	-43.25068	
0.226	-0.1039718	-0.1592544	-1.824673E-09	-42.957	
0.227	-0.1033356	-0.1598642	-1.795954E-09	-42.6638	
0.228	-0.1027014	-0.1604655	-1.767146E-09	-42.37119	
0.229	-0.1020691	-0.1610583	-1.738272E-09	-42.07927	
0.23	-0.1014388	-0.1616426	-1.709356E-09	-41.78816	
0.231	-0.1008105	-0.1622185	-1.680423E-09	-41.49796	
0.232	-0.1001844	-0.1627859	-1.651499E-09	-41.20874	
0.233	-0.09956048	-0.1633449	-1.622609E-09	-40.92063	
0.234	-0.09893886	-0.1638955	-1.593779E-09	-40.63368	
0.235	-0.0983196	-0.1644377	-1.565035E-09	-40.34799	
0.236	-0.0977028	-0.1649716	-1.536403E-09	-40.06365	
0.237	-0.09708855	-0.1654973	-1.50791E-09	-39.7807	
0.238	-0.09647692	-0.1660147	-1.479582E-09	-39.49925	
0.239	-0.09586801	-0.1665239	-1.451444E-09	-39.21935	
0.24	-0.09526193	-0.167025	-1.423521E-09	-38.94106	
0.241	-0.09465875	-0.1675179	-1.395839E-09	-38.66445	
0.242	-0.0940586	-0.1680029	-1.368423E-09	-38.38959	
0.243	-0.09346153	-0.1684799	-1.341297E-09	-38.11653	
0.244	-0.09286766	-0.168949	-1.314483E-09	-37.84531	
0.245	-0.09227708	-0.1694102	-1.288004E-09	-37.57601	
0.246	-0.0916899	-0.1698637	-1.261883E-09	-37.30867	
0.247	-0.0911062	-0.1703094	-1.236141E-09	-37.04333	
0.248	-0.0905261	-0.1707475	-1.210797E-09	-36.78004	
0.249	-0.08994966	-0.171178	-1.185871E-09	-36.51884	
0.25	-0.08937701	-0.171601	-1.161382E-09	-36.25978	
0.251	-0.08880823	-0.1720165	-1.137347E-09	-36.00291	
0.252	-0.08824342	-0.1724247	-1.113783E-09	-35.74825	
0.253	-0.08768266	-0.1728256	-1.090703E-09	-35.49584	
0.254	-0.08712605	-0.1732192	-1.068124E-09	-35.24572	
0.255	-0.08657368	-0.1736057	-1.046057E-09	-34.99792	
0.256	-0.08602566	-0.1739851	-1.024514E-09	-34.75248	
0.257	-0.08548205	-0.1743575	-1.003507E-09	-34.50943	
0.258	-0.08494296	-0.174723	-9.830443E-10	-34.2688	
0.259	-0.08440846	-0.1750816	-9.631348E-10	-34.03061	
0.26	-0.08387866	-0.1754334	-9.437855E-10	-33.7949	
0.261	-0.08335362	-0.1757785	-9.250024E-10	-33.56169	
0.262	-0.08283343	-0.176117	-9.067902E-10	-33.33101	
0.263	-0.08231818	-0.1764489	-8.891527E-10	-33.10288	
0.264	-0.08180793	-0.1767743	-8.720921E-10	-32.87733	
0.265	-0.08130279	-0.1770933	-8.556099E-10	-32.65437	
0.266	-0.08080282	-0.177406	-8.397062E-10	-32.43404	
0.267	-0.0803081	-0.1777124	-8.243801E-10	-32.21634	
0.268	-0.07981871	-0.1780125	-8.096295E-10	-32.00131	
0.269	-0.07933471	-0.1783066	-7.954515E-10	-31.78895	
0.27	-0.07885619	-0.1785946	-7.81842E-10	-31.57931	
0.271	-0.0783832	-0.1788766	-7.687959E-10	-31.37237	
0.272	-0.07791582	-0.1791527	-7.563071E-10	-31.16817	
0.273	-0.07745412	-0.179423	-7.443688E-10	-30.96672	
0.274	-0.07699817	-0.1796875	-7.329733E-10	-30.76805	
0.275	-0.07654803	-0.1799463	-7.221118E-10	-30.57216	
0.276	-0.07610377	-0.1801994	-7.11775E-10	-30.37906	
0.277	-0.07566544	-0.180447	-7.019527E-10	-30.18877	
0.278	-0.07523312	-0.1806891	-6.926341E-10	-30.00132	
0.279	-0.07480685	-0.1809258	-6.838077E-10	-29.81671	
0.28	-0.07438669	-0.181157	-6.754614E-10	-29.63495	
0.281	-0.07397272	-0.181383	-6.675826E-10	-29.45605	
0.282	-0.07356497	-0.1816038	-6.60158E-10	-29.28003	
0.283	-0.07316351	-0.1818193	-6.531742E-10	-29.1069	
0.284	-0.07276838	-0.1820298	-6.466171E-10	-28.93667	
0.285	-0.07237965	-0.1822352	-6.404723E-10	-28.76936	
0.286	-0.07199736	-0.1824356	-6.347252E-10	-28.60497	
0.287	-0.07162156	-0.1826311	-6.293609E-10	-28.44351	
0.288	-0.07125229	-0.1828217	-6.243642E-10	-28.28499	
0.289	-0.07088961	-0.1830075	-6.197199E-10	-28.12943	
0.29	-0.07053357	-0.1831885	-6.154125E-10	-27.97682	
0.291	-0.07018419	-0.1833649	-6.114266E-10	-27.82719	
0.292	-0.06984153	-0.1835365	-6.077467E-10	-27.68054	
0.293	-0.06950564	-0.1837036	-6.043574E-10	-27.53687	
0.294	-0.06917655	-0.1838662	-6.012433E-10	-27.39619	
0.295	-0.06885429	-0.1840242	-5.983891E-10	-27.25852	
0.296	-0.06853892	-0.1841779	-5.957796E-10	-27.12386	
0.297	-0.06823047	-0.1843271	-5.933999E-10	-26.99222	
0.298	-0.06792896	-0.184472	-5.912354E-10	-26.86359	
0.299	-0.06763445	-0.1846126	-5.892716E-10	-26.738	
0.3	-0.06734696	-0.184749	-5.874943E-10	-26.61545	
0.301	-0.06706654	-0.1848811	-5.858898E-10	-26.49594	
0.302	-0.0667932	-0.1850091	-5.844445E-10	-26.37948	
0.303	-0.06652697	-0.185133	-5.831455E-10	-26.26607	
0.304	-0.0662679	-0.1852529	-5.8198E-10	-26.15573	
0.305	-0.06601601	-0.1853687	-5.809359E-10	-26.04845	
0.306	-0.06577133	-0.1854805	-5.800014E-10	-25.94424	
0.307	-0.0655339	-0.1855884	-5.791653E-10	-25.84311	
0.308	-0.06530371	-0.1856924	-5.784169E-10	-25.74506	
0.309	-0.06508082	-0.1857925	-5.777458E-10	-25.6501	
0.31	-0.06486524	-0.1858888	-5.771424E-10	-25.55822	
0.311	-0.064657	-0.1859813	-5.765976E-10	-25.46944	
0.312	-0.06445611	-0.18607	-5.761028E-10	-25.38376	
0.313	-0.0642626	-0.1861549	-5.756499E-10	-25.30118	
0.314	-0.06407649	-0.1862362	-5.752315E-10	-25.22171	
0.315	-0.0638978	-0.1863139	-5.748408E-10	-25.14535	
0.316	-0.06372655	-0.1863878	-5.744715E-10	-25.07211	
0.317	-0.06356277	-0.1864582	-5.741179E-10	-25.00198	
0.318	-0.06340645	-0.1865249	-5.737749E-10	-24.93498	
0.319	-0.06325763	-0.1865882	-5.734379E-10	-24.87109	
0.32	-0.06311631	-0.1866478	-5.731031E-10	-24.81034	
0.321	-0.06298252	-0.186704	-5.727671E-10	-24.75271	
0.322	-0.06285626	-0.1867567	-5.724271E-10	-24.69822	
0.323	-0.06273755	-0.1868059	-5.720808E-10	-24.64686	
0.324	-0.0626264	-0.1868516	-5.717265E-10	-24.59865	
0.325	-0.06252282	-0.186894	-5.713632E-10	-24.55357	
0.326	-0.06242683	-0.1869329	-5.709902E-10	-24.51163	
0.327	-0.06233843	-0.1869684	-5.706074E-10	-24.47284	
0.328	-0.06225763	-0.1870005	-5.702152E-10	-24.4372	
0.329	-0.06218444	-0.1870293	-5.698145E-10	-24.40471	
0.33	-0.06211887	-0.1870546	-5.694066E-10	-24.37536	
0.331	-0.06206092	-0.1870767	-5.689933E-10	-24.34917	
0.332	-0.0620106	-0.1870954	-5.685769E-10	-24.32613	
0.333	-0.06196792	-0.1871108	-5.6816E-10	-24.30625	
0.334	-0.06193288	-0.1871229	-5.677456E-10	-24.28952	
0.335	-0.06190548	-0.1871316	-5.673371E-10	-24.27595	
0.336	-0.06188573	-0.187137	-5.669384E-10	-24.26554	
0.337	-0.06187362	-0.1871392	-5.665534E-10	-24.25829	
0.338	-0.06186917	-0.187138	-5.661866E-10	-24.2542	
0.339	-0.06187236	-0.1871335	-5.658427E-10	-24.25327	
0.34	-0.06188321	-0.1871257	-5.655266E-10	-24.2555	
0.341	-0.0619017	-0.1871146	-5.652435E-10	-24.26089	
0.342	-0.06192784	-0.1871002	-5.649989E-10	-24.26945	
0.343	-0.06196163	-0.1870826	-5.647984E-10	-24.28117	
0.344	-0.06200305	-0.1870615	-5.646478E-10	-24.29605	
0.345	-0.06205212	-0.1870372	-5.64553E-10	-24.3141	
0.346	-0.06210881	-0.1870096	-5.645203E-10	-24.33531	
0.347	-0.06217314	-0.1869786	-5.645557E-10	-24.35968	
0.348	-0.06224508	-0.1869442	-5.646655E-10	-24.38722	
0.349	-0.06232464	-0.1869065	-5.648563E-10	-24.41792	
0.35	-0.0624118	-0.1868655	-5.651343E-10	-24.45178	
0.351	-0.06250656	-0.186821	-5.655063E-10	-24.4888	
0.352	-0.06260891	-0.1867732	-5.659784E-10	-24.52899	
0.353	-0.06271883	-0.186722	-5.665574E-10	-24.57233	
0.354	-0.06283632	-0.1866673	-5.672496E-10	-24.61884	
0.355	-0.06296136	-0.1866092	-5.680616E-10	-24.6685	
0.356	-0.06309395	-0.1865476	-5.689997E-10	-24.72133	
0.357	-0.06323406	-0.1864825	-5.700702E-10	-24.77731	
0.358	-0.06338169	-0.186414	-5.712794E-10	-24.83644	
0.359	-0.06353682	-0.1863419	-5.726335E-10	-24.89874	
0.36	-0.06369942	-0.1862662	-5.741385E-10	-24.96418	
0.361	-0.0638695	-0.186187	-5.758002E-10	-25.03277	
0.362	-0.06404702	-0.1861042	-5.776247E-10	-25.10452	
0.363	-0.06423198	-0.1860177	-5.796174E-10	-25.17941	
0.364	-0.06442434	-0.1859276	-5.817839E-10	-25.25745	
0.365	-0.06462409	-0.1858338	-5.841295E-10	-25.33863	
0.366	-0.06483122	-0.1857363	-5.866595E-10	-25.42296	
0.367	-0.06504568	-0.185635	-5.893788E-10	-25.51042	
0.368	-0.06526748	-0.1855299	-5.922923E-10	-25.60103	
0.369	-0.06549658	-0.1854211	-5.954047E-10	-25.69477	
0.37	-0.06573295	-0.1853084	-5.987203E-10	-25.79164	
0.371	-0.06597658	-0.1851918	-6.022435E-10	-25.89165	
0.372	-0.06622743	-0.1850713	-6.059783E-10	-25.99478	
0.373	-0.06648548	-0.1849468	-6.099287E-10	-26.10103	
0.374	-0.0667507	-0.1848184	-6.140982E-10	-26.21041	
0.375	-0.06702305	-0.1846859	-6.184905E-10	-26.32291	
0.376	-0.06730252	-0.1845493	-6.231087E-10	-26.43852	
0.377	-0.06758907	-0.1844086	-6.279561E-10	-26.55724	
0.378	-0.06788266	-0.1842638	-6.330353E-10	-26.67908	
0.379	-0.06818327	-0.1841147	-6.383494E-10	-26.80402	
0.38	-0.06849085	-0.1839614	-6.439006E-10	-26.93206	
0.381	-0.06880537	-0.1838038	-6.496914E-10	-27.0632	
0.382	-0.06912681	-0.1836419	-6.557239E-10	-27.19744	
0.383	-0.06945512	-0.1834756	-6.620001E-10	-27.33477	
0.384	-0.06979026	-0.1833048	-6.685218E-10	-27.47518	
0.385	-0.07013219	-0.1831296	-6.752907E-10	-27.61867	
0.386	-0.07048088	-0.1829499	-6.823083E-10	-27.76525	
0.387	-0.07083628	-0.1827655	-6.895759E-10	-27.9149	
0.388	-0.07119834	-0.1825766	-6.970948E-10	-28.06762	
0.389	-0.07156703	-0.1823829	-7.048659E-10	-28.2234	
0.39	-0.0719423	-0.1821846	-7.128903E-10	-28.38225	
0.391	-0.0723241	-0.1819814	-7.211688E-10	-28.54414	
0.392	-0.07271239	-0.1817734	-7.29702E-10	-28.70908	
0.393	-0.07310712	-0.1815605	-7.384907E-10	-28.87707	
0.394	-0.07350823	-0.1813427	-7.475353E-10	-29.04811	
0.395	-0.07391569	-0.1811198	-7.568362E-10	-29.22217	
0.396	-0.07432943	-0.1808919	-7.663938E-10	-29.39926	
0.397	-0.0747494	-0.1806589	-7.762084E-10	-29.57938	
0.398	-0.07517556	-0.1804207	-7.862803E-10	-29.7625	
0.399	-0.07560784	-0.1801773	-7.966096E-10	-29.94865	
0.4	-0.07604618	-0.1799286	-8.071964E-10	-30.1378	
0.401	-0.07649054	-0.1796745	-8.180409E-10	-30.32995	
0.402	-0.07694084	-0.179415	-8.29143E-10	-30.52509	
0.403	-0.07739704	-0.1791501	-8.405029E-10	-30.72322	
0.404	-0.07785906	-0.1788796	-8.521208E-10	-30.92432	
0.405	-0.07832684	-0.1786036	-8.639965E-10	-31.12841	
0.406	-0.07880034	-0.1783219	-8.761303E-10	-31.33545	
0.407	-0.07927945	-0.1780345	-8.885221E-10	-31.54546	
0.408	-0.07976414	-0.1777413	-9.011722E-10	-31.75841	
0.409	-0.08025433	-0.1774423	-9.140806E-10	-31.97432	
