Time	1	2	1Ie	
0	-0.06	-0.05956624	0	
0.0002	-0.06	-0.05915319	0	
0.0004	-0.06	-0.05875983	0	
0.0006	-0.06	-0.05838525	0	
0.0008	-0.06	-0.05802854	0	
0.0009999999	-0.06	-0.05768885	0	
0.0012	-0.06	-0.05736537	0	
0.0014	-0.06	-0.05705732	0	
0.0016	-0.06	-0.05676397	0	
0.0018	-0.06	-0.05648461	0	
0.002	-0.06	-0.05621859	0	
0.0022	-0.06	-0.05596526	0	
0.0024	-0.06	-0.05572401	0	
0.0026	-0.06	-0.05549428	0	
0.0028	-0.06	-0.0552755	0	
0.003	-0.06	-0.05506717	0	
0.0032	-0.06	-0.05486877	0	
0.0034	-0.06	-0.05467985	0	
0.0036	-0.06	-0.05449993	0	
0.0038	-0.06	-0.0543286	0	
0.004	-0.06	-0.05416545	0	
0.0042	-0.06	-0.05401008	0	
0.0044	-0.06	-0.05386212	0	
0.0046	-0.06	-0.05372122	0	
0.0048	-0.06	-0.05358705	0	
0.005	-0.06	-0.05345928	0	
0.0052	-0.06	-0.0533376	0	
0.0054	-0.06	-0.05322172	0	
0.0056	-0.06	-0.05311138	0	
0.0058	-0.06	-0.0530063	0	
0.006	-0.06	-0.05290624	0	
0.0062	-0.06	-0.05281095	0	
0.0064	-0.06	-0.0527202	0	
0.0066	-0.06	-0.05263379	0	
0.0068	-0.06	-0.0525515	0	
0.007	-0.06	-0.05247313	0	
0.0072	-0.06	-0.05239851	0	
0.0074	-0.06	-0.05232744	0	
0.0076	-0.06	-0.05225977	0	
0.0078	-0.06	-0.05219533	0	
0.007999999	-0.06	-0.05213395	0	
0.0082	-0.06	-0.05207551	0	
0.0084	-0.06	-0.05201986	0	
0.008599999	-0.06	-0.05196686	0	
0.0088	-0.06	-0.05191639	0	
0.009	-0.06	-0.05186833	0	
0.0092	-0.06	-0.05182256	0	
0.0094	-0.06	-0.05177898	0	
0.0096	-0.06	-0.05173747	0	
0.0098	-0.06	-0.05169795	0	
0.01	-0.06	-0.05166031	0	
0.0102	-0.06	-0.05162447	0	
0.0104	-0.06	-0.05159033	0	
0.0106	-0.06	-0.05155783	0	
0.0108	-0.06	-0.05152687	0	
0.011	-0.06	-0.0514974	0	
0.0112	-0.06	-0.05146933	0	
0.0114	-0.06	-0.0514426	0	
0.0116	-0.06	-0.05141715	0	
0.0118	-0.06	-0.05139291	0	
0.012	-0.06	-0.05136982	0	
0.0122	-0.06	-0.05134784	0	
0.0124	-0.06	-0.0513269	0	
0.0126	-0.06	-0.05130697	0	
0.0128	-0.06	-0.05128798	0	
0.013	-0.06	-0.0512699	0	
0.0132	-0.06	-0.05125269	0	
0.0134	-0.06	-0.05123629	0	
0.0136	-0.06	-0.05122068	0	
0.0138	-0.06	-0.05120581	0	
0.014	-0.06	-0.05119166	0	
