Time	1	2	1Ie	
0	-0.06	-0.06	0	
0.0005	-0.06	-0.05973638	0	
0.0009999999	-0.06	-0.05949917	0	
0.0015	-0.06	-0.05928572	0	
0.002	-0.06	-0.05909365	0	
0.0025	-0.06	-0.05892083	0	
0.003	-0.06	-0.05876531	0	
0.0035	-0.06	-0.05862538	0	
0.004	-0.06	-0.05849947	0	
0.0045	-0.06	-0.05838616	0	
0.005	-0.06	-0.05828421	0	
0.0055	-0.06	-0.05819247	0	
0.006	-0.06	-0.05810992	0	
0.0065	-0.06	-0.05803564	0	
0.007	-0.06	-0.0579688	0	
0.0075	-0.06	-0.05790866	0	
0.007999999	-0.06	-0.05785454	0	
0.0085	-0.06	-0.05780584	0	
0.009	-0.06	-0.05776202	0	
0.0095	-0.06	-0.05772259	0	
0.01	-0.06	-0.05768711	0	
0.0105	-0.06	-0.05765519	0	
0.011	-0.06	-0.05762646	0	
0.0115	-0.06	-0.05760061	0	
0.012	-0.06	-0.05757735	0	
0.0125	-0.06	-0.05755642	0	
0.013	-0.06	-0.05753759	0	
0.0135	-0.06	-0.05752065	0	
0.014	-0.06	-0.0575054	0	
0.0145	-0.06	-0.05749168	0	
0.015	-0.06	-0.05747933	0	
0.0155	-0.06	-0.05746822	0	
0.016	-0.06	-0.05745822	0	
0.0165	-0.06	-0.05744923	0	
0.017	-0.06	-0.05744113	0	
0.0175	-0.06	-0.05743385	0	
0.018	-0.06	-0.05742729	0	
0.0185	-0.06	-0.0574214	0	
0.019	-0.06	-0.05741609	0	
0.0195	-0.06	-0.05741132	0	
0.02	-0.06	-0.05740702	0	
0.0205	-0.06	-0.05740315	0	
0.021	-0.06	-0.05739968	0	
0.0215	-0.06	-0.05739654	0	
0.022	-0.06	-0.05739373	0	
0.0225	-0.06	-0.05739119	0	
0.023	-0.06	-0.05738891	0	
0.0235	-0.06	-0.05738686	0	
0.024	-0.06	-0.05738501	0	
0.0245	-0.06	-0.05738335	0	
0.025	-0.06	-0.05738185	0	
0.0255	-0.06	-0.0573805	0	
0.026	-0.06	-0.05737929	0	
0.0265	-0.06	-0.0573782	0	
0.027	-0.06	-0.05737722	0	
